<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPXI.US,D,20141111,000000,27.673,27.8865,27.673,27.8865,801.03094299028,0
FPXI.US,D,20141113,000000,27.8865,27.8865,27.8865,27.8865,8125.1742443694,0
FPXI.US,D,20141114,000000,27.7772,27.7772,27.7772,27.7772,325.45030765517,0
FPXI.US,D,20141117,000000,27.7197,27.7197,27.6919,27.6919,768.78818805231,0
FPXI.US,D,20141118,000000,27.6939,27.6939,27.6919,27.6919,974.33575078189,0
FPXI.US,D,20141120,000000,27.7197,27.7197,27.6919,27.6919,676.09026760564,0
FPXI.US,D,20141121,000000,28.1197,28.1197,27.9887,27.9887,1192.981932705,0
FPXI.US,D,20141124,000000,28.1643,28.1643,28.1643,28.1643,355.67789040952,0
FPXI.US,D,20141125,000000,28.2645,28.2645,28.2645,28.2645,532.00545647657,0
FPXI.US,D,20141201,000000,27.7009,28.1464,27.7009,27.8329,617.65027428056,0
FPXI.US,D,20141202,000000,27.9162,27.9162,27.9162,27.9162,404.04202281648,0
FPXI.US,D,20141203,000000,27.8239,27.8239,27.806,27.812,8345.8355984761,0
FPXI.US,D,20141204,000000,27.9251,27.9251,27.9251,27.9251,215.6234236477,0
FPXI.US,D,20141205,000000,27.8339,27.8339,27.8339,27.8339,118.89515883378,0
FPXI.US,D,20141208,000000,27.5271,27.5271,27.1014,27.4726,843.34955884637,0
FPXI.US,D,20141209,000000,27.3148,27.3148,27.3148,27.3148,156.17584423081,0
FPXI.US,D,20141210,000000,27.1748,27.1947,27.1748,27.1947,1842.8749619236,0
FPXI.US,D,20141211,000000,26.9267,26.9267,26.8324,26.8324,458.45167177431,0
FPXI.US,D,20141212,000000,26.7808,26.7808,26.7143,26.7143,325.45030765517,0
FPXI.US,D,20141215,000000,26.3104,26.3104,26.2618,26.2905,646.8702709431,0
FPXI.US,D,20141216,000000,26.3352,26.3352,26.3352,26.3352,2168.3252695787,0
FPXI.US,D,20141217,000000,26.3352,26.3352,26.2241,26.2241,1622.2136078168,0
FPXI.US,D,20141218,000000,26.5406,26.6022,26.5406,26.6022,1344.1198464768,0
FPXI.US,D,20141222,000000,26.7124,26.7124,26.7124,26.7124,105.79653964023,0
FPXI.US,D,20141224,000000,27.1382,27.1382,26.7153,26.7153,327.4654798388,0
FPXI.US,D,20141229,000000,26.8156,26.8533,26.8156,26.8434,7917.6115094562,0
FPXI.US,D,20141230,000000,26.8334,26.8434,26.7897,26.7897,542.08131739468,0
FPXI.US,D,20141231,000000,26.8821,26.8821,26.7551,26.7551,8193.6900986126,0
FPXI.US,D,20150105,000000,26.3283,26.3283,26.3283,26.3283,228.72204284125,0
FPXI.US,D,20150109,000000,26.3193,26.3193,26.3193,26.3193,434.26960557083,0
FPXI.US,D,20150112,000000,26.1516,26.1516,26.1516,26.1516,269.02548651372,0
FPXI.US,D,20150113,000000,26.0712,26.0712,26.0712,26.0712,646.8702709431,0
FPXI.US,D,20150116,000000,25.7666,25.7666,25.7666,25.7666,107.81171182385,0
FPXI.US,D,20150121,000000,25.9322,25.9322,25.9313,25.9313,1016.654366638,0
FPXI.US,D,20150122,000000,25.9779,26.0256,25.9779,26.0256,974.33575078189,0
FPXI.US,D,20150128,000000,26.0891,26.0901,25.9779,25.9779,1731.0329057325,0
FPXI.US,D,20150129,000000,25.6613,25.6762,25.6613,25.6762,500.7702876304,0
FPXI.US,D,20150130,000000,25.5968,25.6167,25.5234,25.6167,75833.952028023,0
FPXI.US,D,20150202,000000,25.5333,25.571,25.5333,25.571,219.65376801495,0
FPXI.US,D,20150204,000000,26.0256,26.0256,26.0067,26.0256,3641.4161358074,0
FPXI.US,D,20150209,000000,25.8489,25.8489,25.7586,25.7586,1237.3157207447,0
FPXI.US,D,20150210,000000,26.4394,26.4394,25.7735,25.7735,657.95371795303,0
FPXI.US,D,20150211,000000,25.8032,25.8032,25.699,25.8032,1962.7777068491,0
