<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSZ.US,D,20120227,000000,24.9228,24.9228,24.9228,24.9228,406.29985147534,0
FSZ.US,D,20120228,000000,24.8746,24.8746,24.8746,24.8746,278.81290828282,0
FSZ.US,D,20120229,000000,25.0222,25.0772,25.0222,25.0772,1121.470508409,0
FSZ.US,D,20120301,000000,25.0337,25.2277,25.0337,25.219,11385.724154226,0
FSZ.US,D,20120302,000000,24.8601,25.0067,24.8601,25.0067,747.301512535,0
FSZ.US,D,20120307,000000,24.2687,24.3622,24.2687,24.2919,666.45613392511,0
FSZ.US,D,20120308,000000,24.7733,24.7733,24.7733,24.7733,336.85574420787,0
FSZ.US,D,20120314,000000,24.7781,24.7781,24.4404,24.4404,498.54650142765,0
FSZ.US,D,20120315,000000,25.1621,25.2431,25.1621,25.2431,401.1174554106,0
FSZ.US,D,20120316,000000,25.5191,25.5191,25.5191,25.5191,310.94376388419,0
FSZ.US,D,20120319,000000,25.5721,25.5721,25.5721,25.5721,153.3989235162,0
FSZ.US,D,20120321,000000,25.1669,25.1669,25.1669,25.1669,432.21183179902,0
FSZ.US,D,20120322,000000,24.6604,24.8206,24.6604,24.7,3390.3235055506,0
FSZ.US,D,20120323,000000,24.8437,24.9344,24.8437,24.9344,663.34669628627,0
FSZ.US,D,20120327,000000,25.1824,25.2711,24.9421,24.9421,9941.9086105905,0
FSZ.US,D,20120328,000000,24.7404,24.7404,24.7,24.7,484.03579244639,0
FSZ.US,D,20120329,000000,24.426,24.426,24.426,24.426,246.68205268146,0
FSZ.US,D,20120402,000000,24.8601,25.1322,24.8601,25.1322,291.25065883819,0
FSZ.US,D,20120405,000000,24.1452,24.1954,24.0748,24.0748,68483.291037066,0
FSZ.US,D,20120409,000000,24.0989,24.26,24.0496,24.0496,374.16899587397,0
FSZ.US,D,20120410,000000,24.0835,24.2503,23.6503,23.6503,3058.6501574075,0
FSZ.US,D,20120411,000000,23.9783,23.9783,23.9204,23.9204,746.26503332206,0
FSZ.US,D,20120412,000000,24.3555,24.5881,24.3555,24.4501,6253.0790917111,0
FSZ.US,D,20120413,000000,24.0188,24.2359,23.8741,23.9947,6561.9498971693,0
FSZ.US,D,20120416,000000,24.0429,24.0429,24.0429,24.0429,158.58131958094,0
FSZ.US,D,20120417,000000,24.37,24.37,24.37,24.37,246.68205268146,0
FSZ.US,D,20120418,000000,24.2687,24.3622,24.2687,24.3159,1708.1177429371,0
FSZ.US,D,20120419,000000,24.3073,24.37,24.3073,24.37,13614.154462063,0
FSZ.US,D,20120420,000000,24.6122,24.6691,24.6122,24.6691,1806.5832681671,0
FSZ.US,D,20120423,000000,23.9454,23.9454,23.9368,23.9368,1241.7020971109,0
FSZ.US,D,20120424,000000,24.1384,24.2282,24.1384,24.2282,1241.7020971109,0
FSZ.US,D,20120425,000000,24.5977,24.6045,24.5224,24.6045,1264.5046397957,0
FSZ.US,D,20120426,000000,24.5803,24.6923,24.5485,24.6923,1137.0176966032,0
FSZ.US,D,20120427,000000,24.8206,24.836,24.8206,24.836,2483.4041942217,0
FSZ.US,D,20120430,000000,24.7183,24.7434,24.6045,24.7434,894.48156077352,0
FSZ.US,D,20120501,000000,24.9575,24.9663,24.9508,24.9663,1241.7020971109,0
FSZ.US,D,20120502,000000,24.6362,24.6362,24.6045,24.6045,997.0930028553,0
FSZ.US,D,20120503,000000,24.5137,24.5137,24.5137,24.5137,159.61779879388,0
FSZ.US,D,20120504,000000,24.0989,24.1384,24.0496,24.0584,3388.2505471247,0
FSZ.US,D,20120508,000000,23.8027,23.8191,23.8027,23.8191,870.64253887573,0
FSZ.US,D,20120509,000000,23.3348,23.4236,23.3194,23.4236,770.10405521984,0
FSZ.US,D,20120511,000000,23.4959,23.4959,23.4727,23.4727,2150.6943668656,0
FSZ.US,D,20120515,000000,22.5726,22.5726,22.5726,22.5726,123.34102634073,0
FSZ.US,D,20120516,000000,22.4684,22.5079,22.4684,22.5079,746.26503332206,0
FSZ.US,D,20120517,000000,22.4028,22.4028,22.3073,22.3073,943.19608378204,0
FSZ.US,D,20120518,000000,22.3709,22.3796,22.2426,22.2986,4940.8964081198,0
FSZ.US,D,20120522,000000,22.7984,22.7984,22.78,22.78,1120.434029196,0
FSZ.US,D,20120525,000000,22.1384,22.1384,22.1123,22.122,785.65124341405,0
FSZ.US,D,20120530,000000,21.8239,21.8567,21.6492,21.6715,22334.054080588,0
FSZ.US,D,20120605,000000,21.1389,21.1389,21.1389,21.1389,246.68205268146,0
FSZ.US,D,20120612,000000,21.793,21.8403,21.793,21.8403,459.16029133565,0
FSZ.US,D,20120614,000000,22.0641,22.0641,22.0641,22.0641,123.34102634073,0
FSZ.US,D,20120615,000000,22.1972,22.2146,22.1007,22.2146,3736.507562675,0
FSZ.US,D,20120619,000000,22.6131,22.6951,22.5813,22.6526,3766.5654598505,0
FSZ.US,D,20120625,000000,20.6951,21.822,20.6951,21.822,414.59168517892,0
FSZ.US,D,20120626,000000,21.9232,22.0583,21.9232,22.0583,464.34268740039,0
FSZ.US,D,20120629,000000,22.78,22.8138,22.7501,22.7578,2077.1043427464,0
FSZ.US,D,20120703,000000,23.0801,23.1128,23.0801,23.1128,611.52273563891,0
FSZ.US,D,20120706,000000,22.4182,22.4182,22.37,22.4182,747.301512535,0
FSZ.US,D,20120709,000000,22.288,22.288,22.288,22.288,121.26806791483,0
FSZ.US,D,20120720,000000,22.5484,22.5484,22.5002,22.5002,1266.5775982216,0
FSZ.US,D,20120723,000000,21.8383,21.8799,21.8383,21.8799,626.03344462017,0
FSZ.US,D,20120725,000000,22.0583,22.0583,22.0583,22.0583,161.69075721978,0
FSZ.US,D,20120727,000000,22.8041,22.8041,22.8041,22.8041,183.45682069167,0
FSZ.US,D,20120801,000000,22.8041,22.8041,22.8041,22.8041,734.86376197963,0
FSZ.US,D,20120803,000000,22.8514,22.9826,22.8427,22.9826,2274.0353932064,0
FSZ.US,D,20120806,000000,23.2036,23.2036,23.2036,23.2036,393.86210091997,0
FSZ.US,D,20120807,000000,23.2354,23.2354,23.2354,23.2354,148.21652745146,0
