<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTA.US,D,20070511,000000,24.4766,24.4766,24.4766,24.4766,119.1830133044,0
FTA.US,D,20070517,000000,24.6697,24.6697,24.6697,24.6697,611.06544956918,0
FTA.US,D,20070522,000000,24.9538,24.9538,24.9538,24.9538,246.44623090063,0
FTA.US,D,20070523,000000,24.8994,24.9083,24.8994,24.9083,2572.5350414094,0
FTA.US,D,20070524,000000,24.8311,24.8311,24.8311,24.8311,2452.3420025685,0
FTA.US,D,20070605,000000,24.9875,24.9875,24.9608,24.9706,2327.0988360453,0
FTA.US,D,20070606,000000,24.6855,24.7113,24.6855,24.7113,733.27853948302,0
FTA.US,D,20070608,000000,24.4073,24.4252,24.4073,24.4252,490.8724107283,0
FTA.US,D,20070612,000000,24.2766,24.2766,24.2766,24.2766,119.1830133044,0
FTA.US,D,20070613,000000,24.4073,24.4073,24.4073,24.4073,246.44623090063,0
FTA.US,D,20070614,000000,24.7676,24.7676,24.7676,24.7676,246.44623090063,0
FTA.US,D,20070615,000000,24.9954,24.9954,24.9875,24.9875,1471.6072066484,0
FTA.US,D,20070618,000000,24.931,24.931,24.931,24.931,119.1830133044,0
FTA.US,D,20070620,000000,24.7994,24.7994,24.5548,24.5548,733.27853948302,0
FTA.US,D,20070621,000000,24.7518,24.7518,24.7518,24.7518,364.61921866855,0
FTA.US,D,20070622,000000,24.5934,24.6034,24.5934,24.6034,1589.7801944163,0
FTA.US,D,20070626,000000,24.3123,24.3123,24.3123,24.3123,490.8724107283,0
FTA.US,D,20070629,000000,24.5934,24.6222,24.5934,24.6222,1836.226425317,0
FTA.US,D,20070702,000000,24.7023,24.7023,24.6855,24.6855,246.44623090063,0
FTA.US,D,20070706,000000,24.9083,24.938,24.9083,24.938,54143.428908438,0
FTA.US,D,20070710,000000,24.6627,24.6627,24.6627,24.6627,1715.0233609396,0
FTA.US,D,20070711,000000,24.5707,24.6855,24.5707,24.6855,6982.3065336723,0
FTA.US,D,20070716,000000,25.2261,25.2429,25.1112,25.1112,5511.7093525604,0
FTA.US,D,20070717,000000,25.1737,25.1737,25.0875,25.0875,1102.947885834,0
FTA.US,D,20070719,000000,25.1112,25.1112,25.1054,25.1054,490.8724107283,0
FTA.US,D,20070720,000000,24.931,24.931,24.7914,24.8142,7597.4120853874,0
FTA.US,D,20070723,000000,24.9172,24.9172,24.8994,24.8994,733.27853948302,0
FTA.US,D,20070724,000000,24.5796,24.5796,24.2499,24.2499,2202.8656950585,0
FTA.US,D,20070725,000000,24.4073,24.4073,24.0568,24.243,611.06544956918,0
FTA.US,D,20070726,000000,23.9113,23.9291,23.3647,23.5361,14698.901632364,0
FTA.US,D,20070727,000000,23.3865,23.4945,23.3865,23.4538,5023.8670184415,0
FTA.US,D,20070730,000000,23.4202,23.4202,23.4202,23.4202,246.44623090063,0
FTA.US,D,20070731,000000,23.5746,23.5746,23.5746,23.5746,246.44623090063,0
FTA.US,D,20070801,000000,23.1608,23.1835,22.9548,22.9548,1836.226425317,0
FTA.US,D,20070802,000000,23.2202,23.2202,23.2202,23.2202,1345.3540145887,0
FTA.US,D,20070806,000000,22.4004,22.842,22.4004,22.842,12985.898322497,0
FTA.US,D,20070807,000000,23.0123,23.0123,23.0123,23.0123,6125.804878739,0
FTA.US,D,20070808,000000,23.0449,23.0449,23.0449,23.0449,2202.8656950585,0
FTA.US,D,20070809,000000,22.6074,22.6074,22.6074,22.6074,981.7448214566,0
FTA.US,D,20070810,000000,22.5034,22.5034,22.4707,22.4707,1836.226425317,0
FTA.US,D,20070813,000000,22.9311,22.9311,22.9311,22.9311,364.61921866855,0
FTA.US,D,20070815,000000,22.3846,22.3846,22.1321,22.1321,611.06544956918,0
FTA.US,D,20070816,000000,21.6182,21.6182,21.4272,21.4272,611.06544956918,0
FTA.US,D,20070817,000000,22.4004,22.5034,22.3935,22.3935,855.49162939685,0
FTA.US,D,20070820,000000,22.6955,22.6955,22.6955,22.6955,364.61921866855,0
FTA.US,D,20070821,000000,22.6132,22.646,22.6132,22.646,733.27853948302,0
FTA.US,D,20070822,000000,22.9548,22.9548,22.9548,22.9548,364.61921866855,0
FTA.US,D,20070823,000000,22.9786,22.9786,22.9786,22.9786,490.8724107283,0
FTA.US,D,20070827,000000,23.0123,23.0598,23.0123,23.0598,4529.9645311038,0
FTA.US,D,20070828,000000,22.6797,22.6797,22.6797,22.6797,364.61921866855,0
FTA.US,D,20070904,000000,23.1272,23.1272,23.1272,23.1272,1345.3540145887,0
FTA.US,D,20070905,000000,22.8647,22.8647,22.8172,22.8172,364.61921866855,0
FTA.US,D,20070906,000000,22.8647,22.9222,22.7925,22.9222,3306.8236064289,0
FTA.US,D,20070910,000000,22.3192,22.3192,22.3192,22.3192,1102.947885834,0
FTA.US,D,20070911,000000,22.5459,22.5459,22.5459,22.5459,611.06544956918,0
FTA.US,D,20070912,000000,22.5311,22.5311,22.5311,22.5311,119.1830133044,0
FTA.US,D,20070913,000000,22.6797,22.6797,22.638,22.638,6372.2511096396,0
FTA.US,D,20070914,000000,22.5697,22.5697,22.5697,22.5697,733.27853948302,0
FTA.US,D,20070917,000000,22.646,22.646,22.6301,22.6301,1471.6072066484,0
FTA.US,D,20070919,000000,23.5509,23.5509,23.4658,23.4658,1471.6072066484,0
FTA.US,D,20070920,000000,23.4945,23.4945,23.3162,23.3162,5759.1656089975,0
FTA.US,D,20070921,000000,23.4202,23.4301,23.3955,23.3955,2202.8656950585,0
FTA.US,D,20070924,000000,23.2895,23.2895,23.1122,23.1122,13232.344553398,0
FTA.US,D,20070925,000000,23.0261,23.0261,23.0261,23.0261,3548.2197096472,0
FTA.US,D,20070926,000000,23.1667,23.2658,23.0856,23.136,2452.3420025685,0
FTA.US,D,20070927,000000,23.3064,23.3064,23.2806,23.2806,2696.7681823962,0
