<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTAG.US,D,20100312,000000,127.714,127.714,127.16,127.16,48.494688907158,0
FTAG.US,D,20100315,000000,126.239,126.239,123.932,123.932,117.1954981923,0
FTAG.US,D,20100316,000000,126.526,126.823,126.408,126.823,313.19486585873,0
FTAG.US,D,20100317,000000,129.298,130.852,129.298,130.297,2456.0539319438,0
FTAG.US,D,20100318,000000,129.763,130.06,128.446,128.446,998.18234667234,0
FTAG.US,D,20100319,000000,129.021,129.021,126.091,126.091,672.86380858682,0
FTAG.US,D,20100322,000000,124.784,126.952,124.784,126.952,2416.6519972067,0
FTAG.US,D,20100323,000000,127.249,128.624,126.654,128.259,1987.2719391746,0
FTAG.US,D,20100324,000000,126.18,126.18,124.962,125.833,2208.5289573135,0
FTAG.US,D,20100325,000000,125.537,126.18,124.912,124.912,1140.6354953371,0
FTAG.US,D,20100326,000000,125.091,125.873,125.091,125.269,349.5658825391,0
FTAG.US,D,20100329,000000,125.091,128.338,125.091,128.338,422.30791589984,0
FTAG.US,D,20100330,000000,129.129,129.258,129.021,129.258,320.26700799102,0
FTAG.US,D,20100331,000000,130.297,133.266,128.941,130.406,9390.7944456674,0
FTAG.US,D,20100401,000000,132.92,134.672,132.92,134.514,2512.6310690021,0
FTAG.US,D,20100405,000000,135.682,137.819,134.998,137.047,2089.3128470834,0
FTAG.US,D,20100406,000000,136.622,144.659,136.414,138.424,6358.8660829511,0
FTAG.US,D,20100407,000000,138.582,139.305,137.79,138.097,1709.4377839773,0
FTAG.US,D,20100408,000000,137.434,137.908,135.623,137.908,12737.93828628,0
FTAG.US,D,20100409,000000,139.621,140.334,139.205,140.284,5591.0335085878,0
FTAG.US,D,20100412,000000,140.374,141.334,139.69,139.69,1151.748861545,0
FTAG.US,D,20100413,000000,139.205,139.205,136.295,137.582,1921.6020479461,0
FTAG.US,D,20100414,000000,139.948,141.037,139.65,140.838,3078.4024395856,0
FTAG.US,D,20100415,000000,140.591,141.334,140.591,141.086,3503.7412735422,0
FTAG.US,D,20100416,000000,139.69,139.69,135.514,137.047,4143.2649835053,0
FTAG.US,D,20100419,000000,135.998,135.998,133.583,135.682,1277.0268078885,0
FTAG.US,D,20100420,000000,138.384,138.67,137.998,137.998,820.36848734609,0
FTAG.US,D,20100421,000000,137.464,137.819,136.928,137.216,606.18361133948,0
FTAG.US,D,20100422,000000,134.831,136.593,134.088,135.998,1755.9118608467,0
FTAG.US,D,20100423,000000,136.295,138.295,136.087,138.245,1653.8709529379,0
FTAG.US,D,20100426,000000,138.384,140.809,138.384,140.136,1003.2338767668,0
FTAG.US,D,20100427,000000,139.077,139.077,135.801,135.801,2015.5605077038,0
FTAG.US,D,20100428,000000,135.623,135.623,134.316,135.078,553.64769835672,0
FTAG.US,D,20100429,000000,136.414,137.908,136.335,136.335,3413.8240378602,0
FTAG.US,D,20100430,000000,139.017,139.017,135.365,135.365,660.74013636003,0
FTAG.US,D,20100503,000000,136.849,136.849,134.91,135.414,6781.173998851,0
FTAG.US,D,20100504,000000,131.485,131.485,125.625,125.922,3829.0598116277,0
