<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTC.US,D,20070511,000000,28.0697,28.0796,28.0697,28.0796,1171.4140365006,0
FTC.US,D,20070523,000000,28.5315,28.5315,28.5315,28.5315,1387.4123365415,0
FTC.US,D,20070524,000000,28.4838,28.4838,28.2508,28.2508,2346.8466460253,0
FTC.US,D,20070605,000000,28.7376,28.7376,28.7376,28.7376,205.95186748081,0
FTC.US,D,20070606,000000,28.435,28.4738,28.435,28.4738,1387.4123365415,0
FTC.US,D,20070607,000000,28.204,28.204,27.9671,27.9671,1171.4140365006,0
FTC.US,D,20070608,000000,28.1274,28.204,28.1274,28.1653,5113.6341730602,0
FTC.US,D,20070611,000000,28.204,28.204,28.204,28.204,100.4643256004,0
FTC.US,D,20070612,000000,27.9483,27.9483,27.9483,27.9483,100.4643256004,0
FTC.US,D,20070618,000000,28.7853,28.7853,28.6739,28.7126,7247.4964488126,0
FTC.US,D,20070619,000000,28.5694,28.5872,28.5694,28.5872,1387.4123365415,0
FTC.US,D,20070620,000000,28.6072,28.6072,28.3145,28.3145,534.47021219411,0
FTC.US,D,20070621,000000,28.4738,28.4738,28.4638,28.4638,1387.4123365415,0
FTC.US,D,20070622,000000,28.2677,28.2767,28.2677,28.2767,2131.8529892404,0
FTC.US,D,20070625,000000,28.3594,28.3594,28.3594,28.3594,1062.9125648522,0
FTC.US,D,20070626,000000,27.9671,27.9671,27.9124,27.9124,1599.3920635583,0
FTC.US,D,20070629,000000,28.3394,28.3394,28.1751,28.1751,640.96239733053,0
FTC.US,D,20070702,000000,28.3782,28.3782,28.3494,28.3494,205.95186748081,0
FTC.US,D,20070703,000000,28.4937,28.4937,28.4937,28.4937,534.47021219411,0
FTC.US,D,20070705,000000,28.7028,28.7028,28.7028,28.7028,100.4643256004,0
FTC.US,D,20070706,000000,28.8132,29.0003,28.8132,28.9257,19714.114612566,0
FTC.US,D,20070709,000000,28.8988,28.8988,28.8988,28.8988,4369.1935203612,0
FTC.US,D,20070710,000000,28.6549,28.6549,28.5225,28.5225,313.44869587324,0
FTC.US,D,20070711,000000,28.5315,28.6449,28.5315,28.5872,2556.8170865301,0
FTC.US,D,20070712,000000,28.9526,29.1377,28.9526,29.1377,2346.8466460253,0
FTC.US,D,20070713,000000,29.1844,29.1844,29.1844,29.1844,3409.7592108775,0
FTC.US,D,20070716,000000,29.2313,29.29,29.1944,29.1944,6606.5340514821,0
FTC.US,D,20070717,000000,29.28,29.28,29.1277,29.1277,640.96239733053,0
FTC.US,D,20070718,000000,29.0919,29.0919,29.0462,29.0462,1810.3671473191,0
FTC.US,D,20070719,000000,29.3557,29.3557,29.3368,29.3368,3730.2404095427,0
FTC.US,D,20070720,000000,29.1277,29.1277,28.8889,28.9715,7561.9497879418,0
FTC.US,D,20070724,000000,28.7575,28.7575,28.435,28.435,1810.3671473191,0
FTC.US,D,20070725,000000,28.4738,28.5027,28.3494,28.5027,1171.4140365006,0
FTC.US,D,20070726,000000,28.1573,28.1951,27.7163,27.8169,10550.763474553,0
FTC.US,D,20070727,000000,27.7163,27.9483,27.4973,27.4973,15450.408634085,0
FTC.US,D,20070730,000000,27.4973,27.7342,27.4973,27.7342,424.96409728968,0
FTC.US,D,20070731,000000,27.8556,27.8556,27.8556,27.8556,313.44869587324,0
FTC.US,D,20070801,000000,27.4804,27.5172,27.0942,27.2345,32176.714203295,0
FTC.US,D,20070802,000000,27.7342,27.7342,27.7342,27.7342,534.47021219411,0
