<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTCS.US,D,20060711,000000,16.8004,16.9247,16.7219,16.9247,292547.61755737,0
FTCS.US,D,20060712,000000,16.8829,16.8829,16.7299,16.7299,14024.194582702,0
FTCS.US,D,20060713,000000,16.6892,16.6892,16.4646,16.4726,15906.164002842,0
FTCS.US,D,20060714,000000,16.5829,16.5829,16.3871,16.4994,22620.869869781,0
FTCS.US,D,20060717,000000,16.4328,16.4328,16.3474,16.3474,4239.9663994922,0
FTCS.US,D,20060718,000000,16.3791,16.3791,16.3026,16.3026,3771.9900463557,0
FTCS.US,D,20060719,000000,16.4726,16.7061,16.4726,16.7061,12254.942047619,0
FTCS.US,D,20060720,000000,16.7537,16.7537,16.6355,16.6355,3652.2283559832,0
FTCS.US,D,20060721,000000,16.3791,16.3791,16.3553,16.3553,94965.988461638,0
FTCS.US,D,20060724,000000,16.5829,16.7369,16.5829,16.7369,11782.940091444,0
FTCS.US,D,20060725,000000,16.8004,16.9157,16.7537,16.9157,17080.633689101,0
FTCS.US,D,20060726,000000,16.8561,17.033,16.8561,17.033,2120.4864001258,0
FTCS.US,D,20060727,000000,17.0936,17.1025,16.8829,16.8829,6834.467557311,0
FTCS.US,D,20060728,000000,16.9654,17.0598,16.9654,17.0598,589.75084502787,0
FTCS.US,D,20060731,000000,17.1274,17.177,17.1274,17.1522,5539.2297799205,0
FTCS.US,D,20060801,000000,17.0419,17.0419,17.0012,17.0012,3299.9880901815,0
FTCS.US,D,20060802,000000,17.1432,17.2387,17.1025,17.1274,8603.7200923946,0
FTCS.US,D,20060803,000000,16.9922,17.1095,16.9922,17.1095,105330.90988304,0
FTCS.US,D,20060804,000000,17.177,17.177,16.9754,16.9754,55259.452898959,0
FTCS.US,D,20060807,000000,16.9833,16.9922,16.9247,16.9922,22856.367647488,0
FTCS.US,D,20060808,000000,16.9565,16.9565,16.7945,16.8104,4239.9663994922,0
FTCS.US,D,20060809,000000,16.9396,16.9654,16.8462,16.8462,5419.4680895479,0
FTCS.US,D,20060810,000000,16.8104,16.9157,16.8004,16.8909,4125.2367129168,0
FTCS.US,D,20060811,000000,16.7449,16.8561,16.7219,16.8004,80705.28970047,0
