<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTGC.US,D,20131025,000000,24.5039,24.5609,24.5039,24.5437,6949.8317833905,0
FTGC.US,D,20131028,000000,24.4134,24.4134,24.388,24.388,365.83879139667,0
FTGC.US,D,20131029,000000,24.3465,24.3465,24.3302,24.3302,792.46650583508,0
FTGC.US,D,20131030,000000,24.388,24.388,24.2904,24.2904,5974.9985084302,0
FTGC.US,D,20131101,000000,23.8959,23.8959,23.8462,23.8543,822.30834078285,0
FTGC.US,D,20131104,000000,23.7312,23.7403,23.7059,23.7059,18895.407787666,0
FTGC.US,D,20131105,000000,23.6995,23.7403,23.6995,23.7403,1020.1486539551,0
FTGC.US,D,20131106,000000,23.8217,23.8217,23.7891,23.7891,4390.06549676,0
FTGC.US,D,20131107,000000,23.8217,23.8217,23.7557,23.7557,2072.3496491503,0
FTGC.US,D,20131111,000000,23.8633,23.8877,23.8633,23.8877,853.25542887683,0
FTGC.US,D,20131113,000000,23.838,23.838,23.838,23.838,1315.2512439941,0
FTGC.US,D,20131114,000000,23.666,23.7973,23.666,23.7937,730.57232964713,0
FTGC.US,D,20131115,000000,23.8705,23.8705,23.8217,23.8217,975.93852810653,0
FTGC.US,D,20131118,000000,23.904,23.904,23.904,23.904,243.15569216697,0
FTGC.US,D,20131121,000000,23.904,23.904,23.904,23.904,418.89094241492,0
FTGC.US,D,20131122,000000,24.018,24.018,24.018,24.018,853.25542887683,0
FTGC.US,D,20131125,000000,23.9855,24.0597,23.9855,24.0597,6943.2002645132,0
FTGC.US,D,20131126,000000,24.0932,24.1013,24.0932,24.1013,2957.6574192673,0
FTGC.US,D,20131127,000000,24.0027,24.0352,24.0027,24.0352,3049.3934304031,0
FTGC.US,D,20131129,000000,24.1013,24.1664,24.1013,24.1664,2438.188440547,0
FTGC.US,D,20131202,000000,24.208,24.208,24.208,24.208,398.99638578308,0
FTGC.US,D,20131203,000000,24.0597,24.0597,24.0597,24.0597,121.57784608349,0
FTGC.US,D,20131204,000000,24.265,24.265,24.2162,24.2162,432.15398016948,0
FTGC.US,D,20131205,000000,24.0932,24.1745,24.0932,24.1745,2384.0310363825,0
FTGC.US,D,20131206,000000,24.2397,24.2397,24.2397,24.2397,121.57784608349,0
FTGC.US,D,20131209,000000,24.3465,24.4043,24.3465,24.4043,1341.7773195032,0
FTGC.US,D,20131211,000000,24.6079,24.6088,24.5437,24.6088,3777.7552537578,0
FTGC.US,D,20131212,000000,24.5926,24.5926,24.5917,24.5926,700.73049469936,0
FTGC.US,D,20131217,000000,24.7156,24.7156,24.7156,24.7156,1096.4111210438,0
FTGC.US,D,20131218,000000,24.8143,24.8143,24.7654,24.7654,6028.0506594485,0
FTGC.US,D,20131219,000000,24.7654,24.7654,24.7156,24.7156,18895.407787666,0
FTGC.US,D,20131223,000000,25.0929,25.0929,24.8965,24.9364,2682.4493858602,0
FTGC.US,D,20131224,000000,25.0359,25.0929,25.0359,25.0929,284.05005857687,0
FTGC.US,D,20131227,000000,24.9364,24.9364,24.9364,24.9364,243.15569216697,0
FTGC.US,D,20131230,000000,24.8965,24.9047,24.8649,24.8649,1096.4111210438,0
FTGC.US,D,20131231,000000,24.6495,24.6495,24.6477,24.6477,1273.251624438,0
FTGC.US,D,20140102,000000,24.4451,24.4451,24.3221,24.3221,7681.5093661839,0
FTGC.US,D,20140103,000000,24.3384,24.4261,24.2234,24.4261,80745.373849774,0
FTGC.US,D,20140106,000000,24.5274,24.532,24.5265,24.532,2216.0325581581,0
FTGC.US,D,20140107,000000,24.5274,24.5274,24.4134,24.4134,4616.6423917338,0
FTGC.US,D,20140109,000000,24.2162,24.2162,24.085,24.085,1161.6210566704,0
FTGC.US,D,20140110,000000,24.4541,24.4541,24.2397,24.2397,55739.021416693,0
FTGC.US,D,20140113,000000,24.3112,24.4786,24.3112,24.4451,15399.492086193,0
FTGC.US,D,20140114,000000,24.5356,24.5763,24.5356,24.5691,6870.2535568631,0
FTGC.US,D,20140115,000000,24.6251,24.6251,24.6251,24.6251,121.57784608349,0
FTGC.US,D,20140116,000000,24.8143,24.8143,24.6993,24.7075,1583.827758524,0
FTGC.US,D,20140117,000000,24.5691,24.6007,24.5528,24.5528,995.83308473837,0
FTGC.US,D,20140121,000000,24.4614,24.4659,24.3962,24.4659,68060.383490682,0
FTGC.US,D,20140122,000000,24.6749,24.7228,24.6749,24.7228,2317.7158476097,0
FTGC.US,D,20140123,000000,24.8965,24.8965,24.8884,24.8884,1096.4111210438,0
FTGC.US,D,20140124,000000,25.1825,25.1825,25.1825,25.1825,853.25542887683,0
FTGC.US,D,20140127,000000,25.1752,25.1752,24.9536,24.9536,4122.5942353764,0
FTGC.US,D,20140128,000000,25.1254,25.1662,25.0848,25.1662,1427.9870649078,0
FTGC.US,D,20140129,000000,25.282,25.3065,25.282,25.3065,1311.9354845554,0
