<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTHI.US,D,20140113,000000,14.4342,14.4342,14.3968,14.3968,1095.9201031242,0
FTHI.US,D,20140115,000000,14.4864,14.4864,14.4806,14.4806,2141.1031644371,0
FTHI.US,D,20140117,000000,14.4736,14.4736,14.4274,14.4274,3038.134063661,0
FTHI.US,D,20140122,000000,14.4736,14.4864,14.4736,14.4864,1536.3176260463,0
FTHI.US,D,20140123,000000,14.376,14.376,14.376,14.376,2501.3361612974,0
FTHI.US,D,20140124,000000,14.2362,14.2362,14.2362,14.2362,678.86161943527,0
FTHI.US,D,20140127,000000,14.115,14.115,14.115,14.115,2070.0713059013,0
FTHI.US,D,20140128,000000,14.1169,14.1169,14.1169,14.1169,1375.9885739226,0
FTHI.US,D,20140129,000000,14.0617,14.0617,13.9986,13.9986,1095.9201031242,0
FTHI.US,D,20140130,000000,14.0794,14.0794,14.0794,14.0794,391.68996278328,0
FTHI.US,D,20140131,000000,13.9612,13.9612,13.9612,13.9612,102.48882445884,0
FTHI.US,D,20140203,000000,13.7582,13.7582,13.7582,13.7582,7481.6841854951,0
FTHI.US,D,20140205,000000,13.7355,13.7523,13.7286,13.7286,2766.1835195524,0
FTHI.US,D,20140207,000000,13.9306,13.9454,13.9306,13.9454,5534.3965207772,0
FTHI.US,D,20140210,000000,13.9809,13.9809,13.9809,13.9809,574.34331330398,0
FTHI.US,D,20140212,000000,14.1022,14.1022,14.0874,14.0942,2138.0589419284,0
FTHI.US,D,20140213,000000,14.1208,14.1297,14.0982,14.0982,994.44601950159,0
FTHI.US,D,20140214,000000,14.2076,14.2302,14.2076,14.2302,1654.0275630486,0
FTHI.US,D,20140218,000000,14.2302,14.2302,14.2134,14.2224,6613.0660296855,0
FTHI.US,D,20140219,000000,14.1868,14.1868,14.1534,14.1622,4506.4640536801,0
FTHI.US,D,20140221,000000,14.251,14.251,14.2214,14.2214,1116.2149198487,0
FTHI.US,D,20140224,000000,14.2756,14.2952,14.2676,14.2676,4351.2087057376,0
FTHI.US,D,20140225,000000,14.2756,14.2756,14.2598,14.2598,3375.028021288,0
FTHI.US,D,20140226,000000,14.2756,14.2756,14.2756,14.2756,759.02614549713,0
FTHI.US,D,20140227,000000,14.2894,14.2894,14.2894,14.2894,415.02900201648,0
FTHI.US,D,20140228,000000,14.4164,14.4164,14.4155,14.4155,1931.0518113383,0
FTHI.US,D,20140303,000000,14.2824,14.3032,14.2756,14.2894,11094.16156246,0
FTHI.US,D,20140304,000000,14.4578,14.4578,14.448,14.4578,2298.3879940521,0
FTHI.US,D,20140305,000000,14.4302,14.4302,14.4254,14.4302,13679.721213164,0
FTHI.US,D,20140306,000000,14.453,14.4578,14.453,14.453,2415.0831902181,0
FTHI.US,D,20140307,000000,14.4421,14.4421,14.4174,14.4174,1833.6366910606,0
FTHI.US,D,20140310,000000,14.4578,14.4578,14.4274,14.4274,2437.4074886151,0
FTHI.US,D,20140311,000000,14.3998,14.3998,14.3998,14.3998,4245.67565877,0
FTHI.US,D,20140312,000000,14.3998,14.4076,14.3998,14.4076,3914.8701461603,0
FTHI.US,D,20140313,000000,14.4076,14.4076,14.3268,14.3268,4954.9795032921,0
FTHI.US,D,20140317,000000,14.4164,14.4164,14.3652,14.4076,1441.9467282773,0
