<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTRI.US,D,20100312,000000,19.3497,19.3497,18.8928,19.0129,5165.577487678,0
FTRI.US,D,20100315,000000,18.9203,18.9203,18.6328,18.6328,1603.0737914677,0
FTRI.US,D,20100316,000000,19.1387,19.1387,19.1387,19.1387,159.67291722403,0
FTRI.US,D,20100317,000000,19.4309,19.5757,19.3894,19.4811,8667.8073012276,0
FTRI.US,D,20100318,000000,19.3193,19.3562,19.0196,19.1322,3383.7969213039,0
FTRI.US,D,20100319,000000,18.9515,18.9515,18.508,18.5439,2405.6681237395,0
FTRI.US,D,20100322,000000,18.5212,18.6962,18.282,18.6962,1383.126991583,0
FTRI.US,D,20100323,000000,18.9637,19.0441,18.7462,18.9941,7779.5606093853,0
FTRI.US,D,20100324,000000,18.9515,18.9515,18.7274,18.7274,2083.1499796777,0
FTRI.US,D,20100325,000000,18.734,18.8181,18.6375,18.6375,9606.8109468895,0
FTRI.US,D,20100326,000000,19.3497,19.3497,18.6129,18.6962,3624.8924519468,0
FTRI.US,D,20100329,000000,19.1151,19.1557,19.1151,19.1492,6007.2969718524,0
FTRI.US,D,20100330,000000,19.3894,19.3894,19.2239,19.3052,36021.575663818,0
FTRI.US,D,20100331,000000,19.4631,19.5189,19.0508,19.4007,10122.839977388,0
FTRI.US,D,20100401,000000,19.9113,20.1553,19.9113,20.1497,4172.6445785829,0
FTRI.US,D,20100405,000000,20.3927,20.5535,20.2603,20.4816,13364.940402613,0
FTRI.US,D,20100406,000000,20.5308,20.5998,20.3388,20.5468,13817.523240837,0
FTRI.US,D,20100407,000000,20.4561,20.4561,20.2291,20.2868,91230.337307968,0
FTRI.US,D,20100408,000000,19.8878,20.2291,19.779,20.2121,5282.9529433858,0
FTRI.US,D,20100409,000000,20.5374,20.649,20.5241,20.6414,22583.67214009,0
FTRI.US,D,20100412,000000,20.5241,20.8656,20.5241,20.7653,26360.835453496,0
FTRI.US,D,20100413,000000,20.6764,20.6764,20.2811,20.3927,23634.76405877,0
FTRI.US,D,20100414,000000,20.5865,20.9053,20.5865,20.9053,18500.909667229,0
FTRI.US,D,20100415,000000,20.7965,21.1549,20.7795,21.0802,10661.075175183,0
FTRI.US,D,20100416,000000,22.4789,22.4789,20.0911,20.3057,10545.814592551,0
FTRI.US,D,20100419,000000,20.2291,20.2291,19.7336,19.901,6556.1065350264,0
FTRI.US,D,20100420,000000,20.3625,20.4873,20.2234,20.2234,3601.6288481129,0
FTRI.US,D,20100421,000000,20.2367,20.2367,19.7185,19.7185,2160.342846945,0
FTRI.US,D,20100422,000000,19.6693,19.6693,19.2843,19.6059,5022.8235550605,0
FTRI.US,D,20100423,000000,19.5113,19.6749,19.5113,19.6399,1203.3627801387,0
FTRI.US,D,20100426,000000,20.2546,20.3813,20.1857,20.1857,8359.0358321586,0
FTRI.US,D,20100427,000000,19.7393,19.9568,19.3118,19.3241,11146.438546082,0
FTRI.US,D,20100428,000000,19.5189,19.5189,19.1444,19.2304,13934.898696545,0
FTRI.US,D,20100429,000000,20.2064,20.2064,19.3118,19.4064,5498.6699971189,0
FTRI.US,D,20100430,000000,19.1265,19.3562,18.8436,18.8701,13370.227585303,0
FTRI.US,D,20100503,000000,18.7699,18.8701,18.4645,18.6688,9966.339369778,0
FTRI.US,D,20100504,000000,18.2999,18.2999,17.5471,17.5708,23245.62741282,0
FTRI.US,D,20100505,000000,17.3004,17.4819,16.7216,17.2748,7637.8641133057,0
FTRI.US,D,20100506,000000,17.3533,17.3779,15.617,16.7461,15610.935609128,0
FTRI.US,D,20100507,000000,16.8048,16.8048,15.2973,16.3641,12880.634468251,0
FTRI.US,D,20100510,000000,17.7779,18.1401,17.7561,17.8687,3803.5992268532,0
FTRI.US,D,20100511,000000,17.4649,17.7164,17.0402,17.4696,3245.2727348381,0
FTRI.US,D,20100512,000000,17.863,17.9027,17.8138,17.8961,7926.5442881545,0
FTRI.US,D,20100513,000000,17.9444,18.2025,17.8271,17.8819,25975.928553697,0
FTRI.US,D,20100514,000000,17.7637,17.7637,17.0345,17.0345,2643.5913447687,0
FTRI.US,D,20100517,000000,16.8719,16.8719,15.8156,16.4927,21598.14128676,0
FTRI.US,D,20100518,000000,16.9703,16.9703,16.1466,16.2781,19683.12371661,0
FTRI.US,D,20100519,000000,16.1041,16.1041,15.4601,15.965,15158.352770904,0
FTRI.US,D,20100520,000000,15.3229,15.3229,14.7857,14.922,12821.418022128,0
FTRI.US,D,20100521,000000,14.9626,15.7721,14.6723,15.7371,10913.802507743,0
FTRI.US,D,20100524,000000,15.8781,15.8781,15.6227,15.6227,4590.3320110564,0
FTRI.US,D,20100525,000000,15.1669,15.4733,14.6723,15.4042,8239.5455033751,0
FTRI.US,D,20100526,000000,15.8524,15.965,15.7645,15.861,8545.1446628303,0
FTRI.US,D,20100527,000000,16.1901,16.6649,16.1901,16.6649,1673.9220395075,0
FTRI.US,D,20100528,000000,16.8162,16.8162,16.4851,16.5381,4525.828382244,0
FTRI.US,D,20100601,000000,16.1154,16.5144,16.0085,16.0435,1760.631835616,0
FTRI.US,D,20100602,000000,16.2459,16.6781,16.2459,16.5863,3846.9541249074,0
FTRI.US,D,20100603,000000,16.6714,16.6714,16.2204,16.3943,2560.053858274,0
FTRI.US,D,20100604,000000,15.6794,15.7721,15.3182,15.3182,4359.8108457925,0
FTRI.US,D,20100607,000000,15.1281,15.1971,14.8737,14.8803,3388.0266674556,0
FTRI.US,D,20100608,000000,15.1555,15.1593,15.0543,15.1035,2677.4293139817,0
FTRI.US,D,20100609,000000,15.7078,15.8468,15.3305,15.3305,11926.826711059,0
FTRI.US,D,20100610,000000,15.8733,16.14,15.8733,16.0851,6413.3526024089,0
FTRI.US,D,20100611,000000,16.1041,16.3244,15.6918,16.1542,6631.1845292178,0
FTRI.US,D,20100614,000000,16.4851,16.6904,16.3943,16.3943,23430.678806954,0
FTRI.US,D,20100615,000000,16.6714,16.8654,16.6714,16.8654,2481.8035544689,0
FTRI.US,D,20100616,000000,16.9589,16.9589,16.6308,16.7963,5117.9928434722,0
FTRI.US,D,20100617,000000,16.6507,16.7765,16.5863,16.5863,1603.0737914677,0
FTRI.US,D,20100618,000000,16.6781,16.7765,16.5665,16.6166,22062.355926902,0
FTRI.US,D,20100621,000000,17.0829,17.3533,16.8587,16.9901,5797.9245373467,0
FTRI.US,D,20100622,000000,16.9901,16.9901,16.401,16.401,14264.818896372,0
FTRI.US,D,20100623,000000,16.1901,16.3792,16.1333,16.3726,2992.5454022782,0
FTRI.US,D,20100624,000000,16.1106,16.1106,15.9036,15.9101,5607.5859605234,0
FTRI.US,D,20100625,000000,15.9452,16.0719,15.9101,16.0719,7729.8610921037,0
FTRI.US,D,20100628,000000,16.1608,16.1608,15.9527,15.9527,2929.0992100037,0
FTRI.US,D,20100629,000000,15.2973,15.2973,14.8104,14.8104,10099.576373554,0
FTRI.US,D,20100630,000000,15.0023,15.0524,14.3356,14.3857,15085.389649788,0
FTRI.US,D,20100701,000000,14.3602,14.4434,14.137,14.4378,18942.918140075,0
FTRI.US,D,20100702,000000,14.6789,14.7432,14.3649,14.5986,8798.9294319281,0
FTRI.US,D,20100706,000000,14.9427,15.2926,14.7621,14.8434,26118.682486315,0
FTRI.US,D,20100707,000000,14.8926,15.4865,14.8926,15.3777,18973.583799674,0
FTRI.US,D,20100708,000000,15.5158,15.5858,15.4109,15.5858,5917.4148661303,0
FTRI.US,D,20100709,000000,15.6965,16.173,15.6965,16.173,3680.9365884559,0
FTRI.US,D,20100712,000000,16.1948,16.1948,15.7768,15.9905,5991.4354237838,0
FTRI.US,D,20100713,000000,16.1844,16.4105,16.173,16.2629,3828.977703763,0
FTRI.US,D,20100714,000000,16.4275,16.4275,16.2894,16.2894,1779.6656932983,0
FTRI.US,D,20100715,000000,16.0776,16.0776,15.9234,15.9962,2122.2751315803,0
FTRI.US,D,20100716,000000,15.6227,15.6227,15.5669,15.6114,3522.3211077698,0
FTRI.US,D,20100719,000000,15.8033,15.8033,15.5225,15.6397,3529.7231635352,0
FTRI.US,D,20100720,000000,15.6965,16.1665,15.4231,16.1665,3041.1874830219,0
FTRI.US,D,20100721,000000,16.4984,16.4984,16.4984,16.4984,319.34583444806,0
FTRI.US,D,20100722,000000,16.732,17.2427,16.732,17.2427,3008.4069503468,0
FTRI.US,D,20100723,000000,17.1906,17.4517,17.1718,17.4213,27616.012623991,0
FTRI.US,D,20100726,000000,17.6483,17.6483,17.306,17.6124,7301.5992942512,0
FTRI.US,D,20100727,000000,18.0115,18.0115,17.4393,17.5471,5293.5273087648,0
FTRI.US,D,20100728,000000,17.7694,17.7694,17.4213,17.4213,2893.1463677149,0
FTRI.US,D,20100729,000000,17.9179,17.9179,17.5651,17.62,9316.0158989649,0
FTRI.US,D,20100730,000000,17.5084,17.62,17.4592,17.62,5126.4523357755,0
FTRI.US,D,20100802,000000,18.0692,18.246,18.0692,18.246,3243.1578617622,0
FTRI.US,D,20100803,000000,18.246,18.246,18.0256,18.2025,3825.8053941493,0
FTRI.US,D,20100804,000000,18.4115,18.4115,18.3567,18.3822,2471.2291890898,0
FTRI.US,D,20100805,000000,18.3311,18.3311,18.1959,18.3311,1349.2890223699,0
