<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTSL.US,D,20130506,000000,37.1426,37.1426,37.1119,37.1139,4611.6522626022,0
FTSL.US,D,20130507,000000,37.1742,37.1742,37.1119,37.1139,14052.535290431,0
FTSL.US,D,20130508,000000,37.1426,37.1426,36.1248,37.105,132249.2738603,0
FTSL.US,D,20130509,000000,37.1139,37.1139,37.0961,37.105,13715.541609621,0
FTSL.US,D,20130510,000000,37.5181,37.5181,37.0753,37.0901,15844.774956235,0
FTSL.US,D,20130513,000000,37.2039,37.2039,37.104,37.105,32854.353896287,0
FTSL.US,D,20130514,000000,37.1139,37.1139,37.105,37.105,2385.2675845849,0
FTSL.US,D,20130515,000000,37.105,37.105,37.0595,37.0833,3464.0521603878,0
FTSL.US,D,20130516,000000,37.6318,37.6318,37.0813,37.0833,3678.5946839058,0
FTSL.US,D,20130517,000000,37.0833,37.0833,37.0753,37.0753,9646.3176140276,0
FTSL.US,D,20130520,000000,37.0833,37.0833,37.0833,37.0833,7553.5160166914,0
FTSL.US,D,20130521,000000,37.2641,37.2641,37.2176,37.2236,5132.8286758653,0
FTSL.US,D,20130522,000000,37.2838,37.2838,37.103,37.1712,9041.1457788211,0
FTSL.US,D,20130523,000000,37.2542,37.2542,37.1782,37.2019,21752.790297265,0
FTSL.US,D,20130524,000000,37.2226,37.2236,37.2226,37.2236,6877.5046690025,0
FTSL.US,D,20130528,000000,37.2167,37.2167,37.1258,37.1929,16562.278018378,0
FTSL.US,D,20130529,000000,37.1544,37.2453,37.1544,37.2097,24992.18000378,0
FTSL.US,D,20130530,000000,37.1929,37.1929,37.1544,37.1929,28413.728456679,0
FTSL.US,D,20130531,000000,37.2453,37.3846,37.1821,37.3846,29847.722587927,0
FTSL.US,D,20130603,000000,37.3243,37.3243,37.1109,37.268,42189.989648428,0
FTSL.US,D,20130604,000000,37.2305,37.2453,37.2216,37.2384,8800.2914363811,0
FTSL.US,D,20130605,000000,37.2127,37.2167,37.2019,37.2137,6988.8239029033,0
FTSL.US,D,20130606,000000,37.2019,37.2019,37.1623,37.1623,5491.074210419,0
FTSL.US,D,20130607,000000,37.1712,37.1712,37.0279,37.0418,9337.6597382115,0
FTSL.US,D,20130610,000000,37.1336,37.1406,37.1336,37.1406,4136.0155359349,0
FTSL.US,D,20130611,000000,37.1859,37.1859,37.1742,37.1742,358.24553455369,0
FTSL.US,D,20130612,000000,37.0803,37.1406,36.936,36.936,72041.760208497,0
FTSL.US,D,20130613,000000,37.2641,37.2641,36.9745,36.9745,27055.633803088,0
FTSL.US,D,20130614,000000,37.1859,37.1859,36.8787,37.0201,6791.4852609882,0
FTSL.US,D,20130617,000000,37.0941,37.0941,36.9705,37.0615,13164.005405295,0
FTSL.US,D,20130618,000000,37.103,37.1179,36.9242,37.0882,26033.520837271,0
FTSL.US,D,20130619,000000,37.1336,37.1475,37.0803,37.0941,18753.242940153,0
FTSL.US,D,20130620,000000,37.6238,37.6238,36.8421,36.9992,56437.839594703,0
FTSL.US,D,20130621,000000,36.8314,36.9765,36.7838,36.8678,54920.862034545,0
FTSL.US,D,20130624,000000,36.8441,36.8441,36.6663,36.8441,14994.700806446,0
FTSL.US,D,20130625,000000,36.9538,36.9538,36.7591,36.7997,5982.9028256537,0
