<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTSM.US,D,20140825,000000,54.8564,54.8564,54.8564,54.8564,1311.851879961,0
FTSM.US,D,20140826,000000,54.8564,54.8564,54.8564,54.8564,595.2013502807,0
FTSM.US,D,20140828,000000,54.8414,54.8414,54.8414,54.8414,175.64963962753,0
FTSM.US,D,20140902,000000,54.8564,54.8564,54.8564,54.8564,1310.8481677346,0
FTSM.US,D,20140903,000000,54.8215,54.8544,54.8215,54.8544,701.59484628366,0
FTSM.US,D,20140904,000000,54.8215,54.8564,54.8215,54.8215,701.59484628366,0
FTSM.US,D,20140905,000000,54.8753,54.8753,54.8753,54.8753,75.278416983225,0
FTSM.US,D,20140908,000000,54.8753,54.8753,54.8564,54.8564,1005.7196508959,0
FTSM.US,D,20140911,000000,54.8564,54.8564,54.8564,54.8564,18559.642779158,0
FTSM.US,D,20140912,000000,54.8394,54.8394,54.7916,54.7916,4770.6442122836,0
FTSM.US,D,20140915,000000,54.8394,54.8394,54.8394,54.8394,150.55683396645,0
FTSM.US,D,20140919,000000,54.8394,54.8394,54.8394,54.8394,681.5206017548,0
FTSM.US,D,20140922,000000,54.8564,54.8564,54.8564,54.8564,1203.4509595052,0
FTSM.US,D,20140923,000000,54.7627,54.7995,54.7627,54.7995,100.3712226443,0
FTSM.US,D,20140926,000000,54.8733,54.8733,54.8374,54.8374,182.67562521263,0
FTSM.US,D,20140929,000000,54.7995,54.8095,54.7995,54.7995,174.64592740108,0
FTSM.US,D,20140930,000000,54.8544,54.8544,54.8195,54.8195,100.3712226443,0
FTSM.US,D,20141001,000000,54.8374,54.8374,54.7627,54.7627,150.55683396645,0
FTSM.US,D,20141003,000000,54.7857,54.8544,54.7857,54.7857,363.34382597237,0
FTSM.US,D,20141006,000000,54.8544,54.8544,54.8444,54.8444,804.97720560729,0
FTSM.US,D,20141010,000000,54.9261,54.9261,54.8733,54.8733,49563.309741756,0
FTSM.US,D,20141013,000000,54.7995,54.8733,54.7995,54.8733,1203.4509595052,0
FTSM.US,D,20141015,000000,54.7995,54.8374,54.7995,54.8374,2145.9367401351,0
FTSM.US,D,20141016,000000,54.7995,54.8902,54.7995,54.8902,435.61110627626,0
FTSM.US,D,20141023,000000,54.8773,54.8942,54.8773,54.8773,5228.3369875416,0
FTSM.US,D,20141028,000000,54.8942,54.8942,54.8414,54.8414,10232018.085999,0
FTSM.US,D,20141029,000000,54.8594,54.8773,54.8245,54.8584,43760.849360688,0
FTSM.US,D,20141030,000000,54.8235,54.8773,54.7737,54.8773,71950.107240341,0
FTSM.US,D,20141031,000000,54.8414,54.9112,54.8235,54.8255,54700.308916691,0
FTSM.US,D,20141103,000000,54.8942,55.0586,54.8584,54.9112,19781995.647311,0
FTSM.US,D,20141104,000000,54.8614,54.9112,54.8235,54.8584,137837.79263296,0
FTSM.US,D,20141105,000000,54.8812,54.9112,54.8245,54.8414,92437.881206495,0
FTSM.US,D,20141106,000000,54.8414,54.9002,54.8235,54.8773,53922.431941197,0
FTSM.US,D,20141107,000000,54.8942,54.9112,54.8414,54.8902,78342.750410556,0
FTSM.US,D,20141110,000000,54.8484,54.8942,54.8414,54.8414,148557.43921138,0
FTSM.US,D,20141111,000000,54.8852,54.8942,54.8414,54.8942,176865.13513375,0
FTSM.US,D,20141112,000000,54.8584,54.8942,54.8414,54.8763,86064.308568582,0
FTSM.US,D,20141113,000000,54.8325,54.8673,54.8325,54.8484,68042.655542798,0
FTSM.US,D,20141114,000000,54.8673,54.8773,54.8484,54.8673,86163.676079,0
FTSM.US,D,20141117,000000,54.8972,54.8972,54.8584,54.8584,118937.89140904,0
FTSM.US,D,20141118,000000,54.8484,54.8942,54.8325,54.8773,163307.99409118,0
FTSM.US,D,20141119,000000,54.8484,54.8852,54.8484,54.8484,136593.18947217,0
FTSM.US,D,20141120,000000,54.8414,54.8872,54.8414,54.8584,143401.36950413,0
FTSM.US,D,20141121,000000,54.9002,54.9002,54.8384,54.8384,150406.27713249,0
FTSM.US,D,20141124,000000,54.8384,54.8832,54.8295,54.8295,824280.59914624,0
FTSM.US,D,20141125,000000,54.8574,54.8763,54.8384,54.8454,101192.25924553,0
FTSM.US,D,20141126,000000,54.8384,54.8922,54.8384,54.8922,112669.70855491,0
FTSM.US,D,20141128,000000,54.8832,54.8922,54.8384,54.8384,61351.909841329,0
FTSM.US,D,20141201,000000,54.8623,54.8832,54.8205,54.8623,5852545.6211665,0
FTSM.US,D,20141202,000000,54.8922,54.8922,54.8554,54.8832,104928.07615235,0
FTSM.US,D,20141203,000000,54.8554,54.8922,54.8454,54.8922,89004.181679834,0
FTSM.US,D,20141204,000000,54.8753,54.8753,54.8554,54.8554,69660.639651824,0
FTSM.US,D,20141205,000000,54.8454,54.8753,54.8454,54.8753,64176.356046539,0
FTSM.US,D,20141208,000000,54.8454,54.8703,54.8384,54.8454,9326547.2048564,0
FTSM.US,D,20141209,000000,54.8554,54.8832,54.8454,54.8454,100312.00362294,0
FTSM.US,D,20141210,000000,54.8653,54.8663,54.8424,54.8454,50327.134746079,0
FTSM.US,D,20141211,000000,54.8554,54.8753,54.8384,54.8454,41641.009138441,0
FTSM.US,D,20141212,000000,54.8584,54.8584,54.8295,54.8384,52114.746221373,0
FTSM.US,D,20141215,000000,54.8653,54.8832,54.8454,54.8753,774923.05041091,0
FTSM.US,D,20141216,000000,54.8554,54.8773,54.8554,54.8554,39893.546152203,0
FTSM.US,D,20141217,000000,54.8643,54.8832,54.8384,54.8454,41083.948852765,0
FTSM.US,D,20141218,000000,54.8554,54.8653,54.8205,54.8335,60879.161382674,0
FTSM.US,D,20141219,000000,54.7827,54.8554,54.7827,54.8205,72438.915094618,0
FTSM.US,D,20141222,000000,54.8005,54.8753,54.8005,54.8454,679091.61816681,0
FTSM.US,D,20141223,000000,54.8105,54.8554,54.7906,54.8205,74730.390107588,0
FTSM.US,D,20141224,000000,54.8384,54.8653,54.7906,54.8005,85095.726270065,0
FTSM.US,D,20141226,000000,54.8005,54.8753,54.7906,54.8005,31266.639565926,0
FTSM.US,D,20141229,000000,54.8005,54.8514,54.7727,54.7827,12837971.195197,0
FTSM.US,D,20141230,000000,54.7627,54.8653,54.7627,54.7827,61071.874130151,0
FTSM.US,D,20141231,000000,54.8653,54.8653,54.7547,54.7627,46078.420891546,0
FTSM.US,D,20150102,000000,54.7827,54.8554,54.7727,54.8554,22752.14874901,0
FTSM.US,D,20150105,000000,54.8295,54.8454,54.8295,54.8384,34750.524703909,0
FTSM.US,D,20150106,000000,54.8005,54.8554,54.8005,54.8295,18614.846951612,0
FTSM.US,D,20150107,000000,54.8454,54.8753,54.8205,54.8205,18982.20562649,0
FTSM.US,D,20150108,000000,54.8574,54.8574,54.8205,54.8205,17572.993660565,0
FTSM.US,D,20150109,000000,54.8205,54.8693,54.8205,54.8295,31195.375997849,0
FTSM.US,D,20150112,000000,54.8832,54.8832,54.8135,54.8384,698168.17274258,0
FTSM.US,D,20150113,000000,54.8295,54.8653,54.8295,54.8384,16541.177491781,0
FTSM.US,D,20150114,000000,54.8653,54.8832,54.8295,54.8295,34239.63518065,0
FTSM.US,D,20150115,000000,54.8365,54.9002,54.8365,54.8384,21826.726076229,0
FTSM.US,D,20150116,000000,54.8384,54.8653,54.8205,54.8454,23412.591394009,0
FTSM.US,D,20150120,000000,54.8962,54.9092,54.8454,54.9092,4398185.675583,0
FTSM.US,D,20150121,000000,54.8673,54.9092,54.8384,54.9002,4249839.015939,0
FTSM.US,D,20150122,000000,54.8802,54.9271,54.8454,54.9182,94233.522379602,0
FTSM.US,D,20150123,000000,54.8832,54.9092,54.8653,54.8753,262561.08131522,0
FTSM.US,D,20150126,000000,54.8464,54.8922,54.8414,54.8832,758934.91835589,0
FTSM.US,D,20150127,000000,54.8554,54.8922,54.8554,54.8554,90532.835400707,0
FTSM.US,D,20150128,000000,54.8653,54.9271,54.8454,54.8753,295914.43859992,0
FTSM.US,D,20150129,000000,54.9271,54.9271,54.8554,54.8554,123819.94767846,0
FTSM.US,D,20150130,000000,54.9182,54.946,54.8554,54.936,137063.93050638,0
FTSM.US,D,20150202,000000,54.8554,54.946,54.8454,54.936,6480805.2373373,0
FTSM.US,D,20150203,000000,54.8832,54.946,54.8832,54.936,9130871.4988868,0
FTSM.US,D,20150204,000000,54.8554,54.9271,54.8554,54.9271,214718.13432959,0
FTSM.US,D,20150205,000000,54.8922,54.956,54.8653,54.8922,183018.89479407,0
FTSM.US,D,20150206,000000,54.8832,54.946,54.8753,54.8922,206915.27548123,0
FTSM.US,D,20150209,000000,54.948,54.948,54.8653,54.8832,618760.48365977,0
FTSM.US,D,20150210,000000,54.8832,54.8922,54.8753,54.8922,259862.09913832,0
FTSM.US,D,20150211,000000,54.8653,54.8832,54.8653,54.8653,233867.9598979,0
FTSM.US,D,20150212,000000,54.8753,54.9002,54.8753,54.8922,212420.63704326,0
FTSM.US,D,20150213,000000,54.9659,54.9659,54.8753,54.8922,143331.10964828,0
FTSM.US,D,20150217,000000,54.8753,54.9659,54.8653,54.9271,1626037.8959311,0
FTSM.US,D,20150218,000000,54.8753,54.936,54.8753,54.8832,250705.23249648,0
FTSM.US,D,20150219,000000,54.8922,54.942,54.8832,54.9092,245334.36837279,0
FTSM.US,D,20150220,000000,54.8922,54.946,54.8753,54.8832,216429.46367568,0
FTSM.US,D,20150223,000000,54.9002,54.9659,54.9002,54.9042,233182.42444723,0
FTSM.US,D,20150224,000000,54.8832,54.936,54.8653,54.8753,225724.84260476,0
FTSM.US,D,20150225,000000,54.9092,54.9271,54.8922,54.9002,251324.5229402,0
FTSM.US,D,20150226,000000,54.9829,54.9829,54.8653,54.8922,288635.51753376,0
FTSM.US,D,20150227,000000,54.8922,54.9739,54.8753,54.9092,233826.80769661,0
FTSM.US,D,20150302,000000,54.8922,54.9659,54.8922,54.9659,6462517.6005715,0
FTSM.US,D,20150303,000000,54.8205,54.9829,54.8205,54.9092,235687.69016445,0
FTSM.US,D,20150304,000000,54.9271,54.9659,54.9002,54.936,131125.96897474,0
FTSM.US,D,20150305,000000,54.9182,54.9829,54.9182,54.936,184880.78097413,0
FTSM.US,D,20150306,000000,54.9002,54.936,54.8922,54.936,195919.60804055,0
FTSM.US,D,20150309,000000,54.9271,55.0107,54.8753,54.946,290876.8069354,0
FTSM.US,D,20150310,000000,54.8832,54.956,54.8832,54.9271,174604.7751998,0
FTSM.US,D,20150311,000000,54.8922,54.9829,54.8922,54.9271,164881.81486225,0
FTSM.US,D,20150312,000000,54.956,55.0297,54.9182,54.9919,422429.35360638,0
FTSM.US,D,20150313,000000,54.8832,55.0297,54.8832,54.936,135052.49120459,0
FTSM.US,D,20150316,000000,54.9182,55.0297,54.9182,55.0207,1343445.7297127,0
FTSM.US,D,20150317,000000,54.956,55.0009,54.946,54.956,415655.29979012,0
FTSM.US,D,20150318,000000,54.9092,54.9919,54.9092,54.9919,76161.683742495,0
FTSM.US,D,20150319,000000,54.9659,54.9739,54.9182,54.956,101289.6193315,0
FTSM.US,D,20150320,000000,54.9271,55.0009,54.8922,54.946,169038.18719194,0
FTSM.US,D,20150323,000000,54.9271,54.9829,54.9271,54.936,353044.73481683,0
FTSM.US,D,20150324,000000,55.0207,55.0297,54.9271,54.946,164121.00099461,0
FTSM.US,D,20150325,000000,54.946,55.0009,54.946,54.946,80504.746546314,0
FTSM.US,D,20150326,000000,54.936,55.0009,54.9182,54.946,127035.84165199,0
FTSM.US,D,20150327,000000,54.9092,55.0009,54.9092,54.946,197160.19635243,0
FTSM.US,D,20150330,000000,54.956,55.0009,54.946,54.946,1334588.9730266,0
FTSM.US,D,20150331,000000,54.946,55.0107,54.946,54.956,80287.944705403,0
FTSM.US,D,20150401,000000,54.956,55.0207,54.946,54.9659,206774.75576953,0
FTSM.US,D,20150402,000000,54.956,54.9829,54.956,54.9659,81156.155781275,0
FTSM.US,D,20150406,000000,54.946,54.9919,54.946,54.9919,124959.16105548,0
FTSM.US,D,20150407,000000,54.9659,55.0107,54.9659,55.0107,87171.403154348,0
FTSM.US,D,20150408,000000,55.0107,55.0297,54.9659,54.9829,110322.02565726,0
FTSM.US,D,20150409,000000,54.9659,55.0107,54.9659,55.0107,91508.443684809,0
FTSM.US,D,20150410,000000,54.9739,55.0107,54.9659,54.9739,181321.61741916,0
FTSM.US,D,20150413,000000,54.9829,55.0107,54.9659,54.9739,200000.70195326,0
FTSM.US,D,20150414,000000,54.9739,54.9919,54.9739,54.9829,79520.104852173,0
FTSM.US,D,20150415,000000,54.9829,55.0157,54.9829,55.0107,144267.57315556,0
FTSM.US,D,20150416,000000,55.0029,55.0029,54.9829,54.9919,103440.57463276,0
FTSM.US,D,20150417,000000,54.9829,55.0009,54.9829,54.9919,99729.850531604,0
