<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXG.US,D,20161026,000000,18.2449,18.3135,18.2429,18.3085,11723.338654066,0
FTXG.US,D,20161027,000000,18.1298,18.1347,18.1298,18.1347,1824.8165656875,0
FTXG.US,D,20161028,000000,18.2449,18.3432,18.2449,18.3432,43844.944161335,0
FTXG.US,D,20161031,000000,18.3988,18.4276,18.3622,18.3622,22513.120488932,0
FTXG.US,D,20161101,000000,18.4614,18.4614,18.3075,18.3522,4650.6638522876,0
FTXG.US,D,20161102,000000,18.4366,18.4366,18.4078,18.4078,11884.470359646,0
FTXG.US,D,20161103,000000,18.3333,18.3333,18.1496,18.1526,107313.71591593,0
FTXG.US,D,20161104,000000,18.0692,18.088,18.0225,18.0225,7924.6586950305,0
FTXG.US,D,20161107,000000,18.3214,18.3224,18.2896,18.2976,2250.8085123133,0
FTXG.US,D,20161108,000000,18.5181,18.7076,18.5181,18.6372,22818.263656373,0
FTXG.US,D,20161109,000000,18.1158,18.3174,18.1158,18.2727,12418.219134378,0
FTXG.US,D,20161110,000000,18.7673,18.7673,17.675,17.675,2709.0268000549,0
FTXG.US,D,20161111,000000,17.6193,17.6481,17.5211,17.5211,2335.4026577425,0
FTXG.US,D,20161114,000000,17.5469,17.7038,17.5469,17.677,1737.2012007787,0
FTXG.US,D,20161115,000000,17.7942,17.7942,17.7942,17.7942,380.67365443151,0
FTXG.US,D,20161116,000000,17.7942,17.8368,17.7942,17.8368,3185.3724046742,0
FTXG.US,D,20161117,000000,17.7614,17.8587,17.7514,17.8378,5128.0165300668,0
FTXG.US,D,20161118,000000,17.8259,17.8378,17.7852,17.8309,6751.41846378,0
FTXG.US,D,20161121,000000,17.6661,17.803,17.6661,17.7742,567.98926216765,0
FTXG.US,D,20161122,000000,17.8865,17.9153,17.8666,17.9053,11429.273291384,0
FTXG.US,D,20161123,000000,17.8855,17.8855,17.8755,17.8755,244.71877784883,0
FTXG.US,D,20161125,000000,17.8587,17.9331,17.812,17.9331,2878.2150909134,0
FTXG.US,D,20161128,000000,17.8855,17.9153,17.8855,17.9153,295.07243584241,0
FTXG.US,D,20161130,000000,17.8755,17.8755,17.6661,17.7137,18398.219557697,0
FTXG.US,D,20161201,000000,17.4704,17.4714,17.4684,17.4714,1172.2331580907,0
FTXG.US,D,20161202,000000,17.4714,17.6035,17.4714,17.4714,1154.105841213,0
FTXG.US,D,20161205,000000,17.5955,17.5955,17.5955,17.5955,283.99463108382,0
FTXG.US,D,20161206,000000,17.6988,17.7206,17.6988,17.7197,789.54535733942,0
