<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXH.US,D,20161003,000000,18.9428,18.9706,18.9428,18.9706,527.72248475763,0
FTXH.US,D,20161006,000000,18.7896,18.7896,18.7696,18.7696,1011.2167993641,0
FTXH.US,D,20161011,000000,18.6294,18.6294,18.5459,18.5459,1159.9842807815,0
FTXH.US,D,20161014,000000,18.127,18.127,18.127,18.127,535.76397023965,0
FTXH.US,D,20161020,000000,18.1459,18.1459,18.1439,18.1439,2266.6937202447,0
FTXH.US,D,20161021,000000,18.2284,18.2284,18.2284,18.2284,1061.4760836268,0
FTXH.US,D,20161031,000000,17.1938,17.1938,17.1938,17.1938,290.49866303801,0
FTXH.US,D,20161101,000000,17.1938,17.1938,17.1729,17.1729,234.20826466386,0
FTXH.US,D,20161102,000000,17.2794,17.2794,17.1272,17.1491,418.15724506509,0
FTXH.US,D,20161109,000000,17.5778,18.0335,17.5778,17.9947,3287.9623764614,0
FTXH.US,D,20161110,000000,18.2773,18.316,18.2494,18.2871,522.69655633137,0
FTXH.US,D,20161111,000000,18.315,18.315,18.2773,18.2871,3252.7808774775,0
FTXH.US,D,20161115,000000,18.3956,18.3956,18.3956,18.3956,1144.9064955027,0
FTXH.US,D,20161116,000000,18.2961,18.2961,18.1439,18.1439,916.7293449504,0
FTXH.US,D,20161118,000000,18.1648,18.1727,18.1638,18.1727,6372.8772445017,0
FTXH.US,D,20161121,000000,18.131,18.131,18.131,18.131,548.83138414794,0
FTXH.US,D,20161122,000000,18.0514,18.0514,18.0514,18.0514,712.67665084412,0
FTXH.US,D,20161123,000000,17.5002,17.946,17.5002,17.946,1072.5331261646,0
FTXH.US,D,20161128,000000,17.8803,17.8803,17.8704,17.8704,3255.7964345333,0
FTXH.US,D,20161129,000000,17.7728,17.7728,17.7728,17.7728,448.31281562267,0
FTXH.US,D,20161130,000000,17.7062,17.7062,17.7062,17.7062,174.90230923396,0
