<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXL.US,D,20161005,000000,20.1332,20.1332,20.1153,20.1153,727.05025621886,0
FTXL.US,D,20161006,000000,20.2209,20.2209,20.1053,20.1053,1404.894072445,0
FTXL.US,D,20161011,000000,19.5676,19.5676,19.4043,19.4511,4569.1694278948,0
FTXL.US,D,20161013,000000,19.2589,19.2589,19.219,19.219,3587.0490541627,0
FTXL.US,D,20161014,000000,19.3435,19.3435,19.3435,19.3435,2595.8907628809,0
FTXL.US,D,20161017,000000,19.3157,19.3157,19.1991,19.1991,5434.8010865421,0
FTXL.US,D,20161018,000000,19.461,19.461,19.461,19.461,5191.7815257618,0
FTXL.US,D,20161019,000000,19.3245,19.3245,19.3245,19.3245,100.42130610758,0
FTXL.US,D,20161020,000000,19.4013,19.4013,19.4013,19.4013,100.42130610758,0
FTXL.US,D,20161025,000000,19.699,19.699,19.699,19.699,100.42130610758,0
FTXL.US,D,20161026,000000,19.6243,19.6711,19.6144,19.6711,10621.561546998,0
FTXL.US,D,20161027,000000,19.5386,19.5954,19.2091,19.219,5300.236536358,0
FTXL.US,D,20161028,000000,19.3723,19.461,19.3445,19.3723,41431.822473865,0
FTXL.US,D,20161031,000000,19.2957,19.2957,19.2778,19.2778,19547.00723384,0
FTXL.US,D,20161101,000000,19.1134,19.1932,18.9213,19.1573,16390.765582878,0
FTXL.US,D,20161102,000000,19.2489,19.2489,19.0099,19.0099,12028.464045566,0
FTXL.US,D,20161103,000000,19.0936,19.1324,18.9601,19.0049,88018.270590231,0
FTXL.US,D,20161104,000000,19.0278,19.1234,18.99,18.99,15476.9316973,0
FTXL.US,D,20161107,000000,19.2589,19.5088,19.2489,19.5088,8325.9304893793,0
FTXL.US,D,20161108,000000,19.4789,19.7289,19.4311,19.6691,22150.93170121,0
FTXL.US,D,20161109,000000,19.6691,19.7577,19.1812,19.7289,17713.314184316,0
FTXL.US,D,20161110,000000,20.7406,20.7406,19.2389,19.4063,110298.74577632,0
