<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXN.US,D,20161116,000000,18.8313,18.8313,18.7247,18.7247,8520.9621619095,0
FTXN.US,D,20161117,000000,18.9467,18.9467,18.9467,18.9467,382.01959032464,0
FTXN.US,D,20161121,000000,19.153,19.153,19.153,19.153,338.44706410724,0
FTXN.US,D,20161123,000000,19.377,19.377,19.3276,19.3405,2303.264002143,0
FTXN.US,D,20161130,000000,19.6079,19.7372,19.5004,19.7372,3059.1966662867,0
FTXN.US,D,20161201,000000,20.6856,20.6856,19.8843,19.905,1695.2752642258,0
FTXN.US,D,20161205,000000,20.202,20.202,20.202,20.202,3029.810543954,0
FTXN.US,D,20161206,000000,19.9543,20.0866,19.9543,20.0787,2256.651532236,0
FTXN.US,D,20161208,000000,20.1122,20.1349,20.1122,20.1349,1794.5800914189,0
FTXN.US,D,20161212,000000,20.2297,20.2297,20.2297,20.2297,559.34963888382,0
FTXN.US,D,20161213,000000,20.3826,20.3826,20.2079,20.3826,3906.327641118,0
FTXN.US,D,20161214,000000,20.5977,20.5977,20.5977,20.5977,472.20458644902,0
FTXN.US,D,20161215,000000,19.9069,20.0046,19.9069,20.0046,615.08193985956,0
FTXN.US,D,20161219,000000,20.3481,20.3481,19.9454,19.9997,9198.8696046872,0
FTXN.US,D,20161220,000000,20.2938,20.2938,19.9839,19.9839,2260.7047904888,0
FTXN.US,D,20161221,000000,20.0471,20.0471,19.9771,19.9771,588.73576121648,0
FTXN.US,D,20161222,000000,20.0639,20.0639,20.0549,20.0549,258.39521361481,0
FTXN.US,D,20161223,000000,20.2247,20.2247,20.2247,20.2247,447.88503693233,0
FTXN.US,D,20161229,000000,19.8142,19.8142,19.6918,19.6918,359.72666993434,0
FTXN.US,D,20170104,000000,19.9839,20.0816,19.9839,20.0816,603.93547966441,0
FTXN.US,D,20170110,000000,19.6355,19.6355,19.5241,19.5241,3248.6864896042,0
FTXN.US,D,20170117,000000,19.601,19.601,19.5556,19.5556,1835.1126739467,0
