<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXO.US,D,20161011,000000,17.7327,17.7327,17.649,17.649,3817.3522028431,0
FTXO.US,D,20161013,000000,17.2926,17.2926,17.2926,17.2926,2890.1794012481,0
FTXO.US,D,20161014,000000,17.3871,17.3871,17.3871,17.3871,2890.1794012481,0
FTXO.US,D,20161017,000000,17.26,17.268,17.26,17.268,5778.3277558333,0
FTXO.US,D,20161018,000000,17.4137,17.4216,17.4137,17.4216,5778.3277558333,0
FTXO.US,D,20161019,000000,17.8667,17.8667,17.8588,17.8588,522.99451568614,0
FTXO.US,D,20161020,000000,17.9759,17.9759,17.9425,17.9425,277.23786948023,0
FTXO.US,D,20161025,000000,18.0271,18.0803,18.0133,18.0803,1043.9579847094,0
FTXO.US,D,20161026,000000,18.0991,18.2271,18.0991,18.2271,462.06311580038,0
FTXO.US,D,20161027,000000,19.0316,19.0316,18.2005,18.3885,1850.2835098644,0
FTXO.US,D,20161028,000000,18.2793,18.2793,18.1523,18.1523,672.27644540627,0
FTXO.US,D,20161102,000000,17.9681,17.9681,17.8991,17.8991,576.8172522519,0
FTXO.US,D,20161103,000000,18.038,18.038,18.038,18.038,576.8172522519,0
FTXO.US,D,20161108,000000,18.3817,18.3856,18.3817,18.3856,1791.3831566415,0
FTXO.US,D,20161109,000000,19.3722,19.3722,19.3447,19.3447,1214.5659043896,0
FTXO.US,D,20161110,000000,20.0665,20.1138,19.708,20.099,12563.039133114,0
FTXO.US,D,20161111,000000,20.9449,20.9449,19.972,20.3471,3214.1313439741,0
FTXO.US,D,20161114,000000,20.9863,21.6362,20.6781,20.8573,44774.423682722,0
FTXO.US,D,20161115,000000,22.6386,22.6386,20.4781,20.9123,21814.456682435,0
FTXO.US,D,20161116,000000,20.6947,20.6947,20.5097,20.5628,27099.240099194,0
FTXO.US,D,20161117,000000,20.7529,20.9193,20.7371,20.8601,179410.47591697,0
FTXO.US,D,20161118,000000,20.9123,21.131,20.7371,21.1172,40751.93576693,0
FTXO.US,D,20161121,000000,21.5002,21.5002,20.8681,21.0483,42028.448594538,0
FTXO.US,D,20161122,000000,21.194,21.5751,20.9773,21.1143,75042.096575976,0
FTXO.US,D,20161123,000000,21.1783,21.2816,21.1783,21.2541,8761.9353035729,0
FTXO.US,D,20161125,000000,21.4205,21.4205,21.2196,21.3003,11762.806747947,0
