<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXR.US,D,20161116,000000,20.287,20.3444,20.287,20.3286,678.42636149707,0
FTXR.US,D,20161117,000000,20.5118,20.5118,20.5118,20.5118,102.97542987009,0
FTXR.US,D,20161118,000000,20.5564,20.5653,20.5495,20.5653,880.33896908549,0
FTXR.US,D,20161121,000000,20.6604,20.6604,20.6574,20.6574,1073.1655093324,0
FTXR.US,D,20161122,000000,20.6881,20.6881,20.6733,20.6733,727.89495035624,0
FTXR.US,D,20161123,000000,20.8288,20.8764,20.8149,20.8764,4363.3314499856,0
FTXR.US,D,20161128,000000,20.9943,20.9943,20.8387,20.8447,747.07664807714,0
FTXR.US,D,20161129,000000,20.8863,20.8863,20.8863,20.8863,213.01780100578,0
FTXR.US,D,20161130,000000,21.02,21.023,21.0111,21.015,1020.6682313594,0
FTXR.US,D,20161201,000000,21.23,21.23,21.2072,21.2072,429.06429112538,0
FTXR.US,D,20161202,000000,21.2557,21.2557,21.0269,21.0269,2899.4650449696,0
FTXR.US,D,20161206,000000,21.1537,21.332,21.1537,21.332,1118.5958460398,0
FTXR.US,D,20161207,000000,21.4687,21.9075,21.4687,21.9005,1875.7681244964,0
FTXR.US,D,20161208,000000,21.9372,21.9808,21.9293,21.9808,323.06017214146,0
FTXR.US,D,20161212,000000,22.065,22.065,21.8986,21.8986,238.25687695433,0
FTXR.US,D,20161213,000000,21.8422,21.853,21.8422,21.853,220.08474227137,0
FTXR.US,D,20161215,000000,21.7599,21.7599,21.7599,21.7599,215.03692708166,0
FTXR.US,D,20161216,000000,21.5994,21.6499,21.5994,21.6469,729.91407643212,0
FTXR.US,D,20161219,000000,21.5994,21.5994,21.5816,21.5994,755.15315238067,0
FTXR.US,D,20161220,000000,21.8055,21.8055,21.7837,21.7837,1716.2571645015,0
FTXR.US,D,20161221,000000,21.7718,21.8085,21.7718,21.7837,11362.631992039,0
FTXR.US,D,20161222,000000,21.5558,21.5558,21.5558,21.5558,889.42503642697,0
FTXR.US,D,20161227,000000,21.6222,21.6222,21.6024,21.6024,322.05060910352,0
FTXR.US,D,20161228,000000,21.4083,21.4083,21.4083,21.4083,103.98499290803,0
FTXR.US,D,20161229,000000,21.2349,21.2577,21.2349,21.2577,868.22421263018,0
FTXR.US,D,20161230,000000,21.1577,21.1616,21.1577,21.1616,347.28968505207,0
FTXR.US,D,20170103,000000,21.1547,21.1547,21.1537,21.1537,1179.1696283163,0
FTXR.US,D,20170105,000000,21.4905,21.4905,21.4905,21.4905,102.97542987009,0
FTXR.US,D,20170106,000000,21.338,21.3905,21.338,21.3905,940.91275136201,0
FTXR.US,D,20170110,000000,21.6024,21.6024,21.6024,21.6024,322.05060910352,0
FTXR.US,D,20170111,000000,21.7689,21.7689,21.7689,21.7689,102.97542987009,0
FTXR.US,D,20170113,000000,21.7202,21.7252,21.7202,21.7252,322.05060910352,0
