<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FV.US,D,20140310,000000,19.1298,19.1298,18.9591,19.0911,230451.2545183,0
FV.US,D,20140311,000000,19.7392,19.7392,18.9016,18.9492,318472.20247852,0
FV.US,D,20140312,000000,18.9204,19.0137,18.7756,18.9661,168166.77762133,0
FV.US,D,20140313,000000,19.1199,19.1199,18.6098,18.6793,433052.90642207,0
FV.US,D,20140314,000000,18.6893,18.7657,18.6098,18.6595,710304.43210681,0
FV.US,D,20140317,000000,18.6981,18.8916,18.6981,18.7557,233631.53261836,0
FV.US,D,20140318,000000,18.9115,19.0525,18.844,19.0505,266193.10620752,0
FV.US,D,20140319,000000,19.2082,19.2082,18.8192,18.9115,331530.89192679,0
FV.US,D,20140320,000000,18.9393,18.9949,18.8152,18.9016,243511.95935193,0
FV.US,D,20140321,000000,19.0425,19.0812,18.581,18.591,1122374.1538401,0
FV.US,D,20140324,000000,18.7557,18.7557,18.0313,18.2546,460198.13185284,0
FV.US,D,20140325,000000,18.4361,18.4937,18.071,18.2248,683248.89132461,0
FV.US,D,20140326,000000,18.3389,18.3588,17.9816,17.9916,356185.10105105,0
FV.US,D,20140327,000000,18.0809,18.1007,17.7425,17.9916,216523.93397933,0
FV.US,D,20140328,000000,18.0809,18.1573,17.8179,17.9062,252347.40877568,0
FV.US,D,20140331,000000,18.1107,18.196,17.9966,18.1772,566973.24829225,0
FV.US,D,20140401,000000,18.321,18.4937,18.196,18.4551,231768.30885188,0
FV.US,D,20140402,000000,18.6595,18.6595,18.4064,18.5036,614332.78889643,0
FV.US,D,20140403,000000,18.591,18.591,18.1107,18.2348,220313.86615118,0
FV.US,D,20140404,000000,18.3578,18.4361,17.6939,17.7802,257941.11084585,0
FV.US,D,20140407,000000,17.7723,17.8279,17.4071,17.5887,159597.35906527,0
FV.US,D,20140408,000000,17.5589,17.6939,17.4428,17.6552,201082.05134138,0
FV.US,D,20140409,000000,17.7723,18.0412,17.7138,18.0412,561065.14610572,0
FV.US,D,20140410,000000,18.0909,18.0909,17.3108,17.416,202752.80580587,0
FV.US,D,20140411,000000,17.291,17.4805,17.0568,17.0945,201952.69781744,0
FV.US,D,20140414,000000,17.3396,17.3684,16.9625,17.1848,129669.89414328,0
FV.US,D,20140415,000000,17.3208,17.3496,16.7492,17.2811,860636.0569737,0
FV.US,D,20140416,000000,17.5193,17.5589,17.3396,17.5589,392252.4374761,0
FV.US,D,20140417,000000,17.5788,17.6652,17.4339,17.549,248678.39972551,0
FV.US,D,20140421,000000,17.5589,17.6652,17.4627,17.6652,226349.94530815,0
FV.US,D,20140422,000000,17.8377,17.9816,17.7227,17.9261,737615.92682987,0
FV.US,D,20140423,000000,17.9718,17.9718,17.7326,17.7524,223605.99813879,0
FV.US,D,20140424,000000,17.9816,17.9816,17.4905,17.7891,254547.20189749,0
FV.US,D,20140425,000000,17.7802,17.7802,17.3564,17.3882,225813.85280205,0
FV.US,D,20140428,000000,17.5589,17.5589,17.031,17.3307,182779.32918313,0
FV.US,D,20140429,000000,17.5003,17.5589,17.3307,17.5391,289692.49951977,0
FV.US,D,20140430,000000,17.4716,17.6354,17.3584,17.6354,251190.57757832,0
FV.US,D,20140501,000000,17.5391,17.8864,17.5391,17.7366,147402.2622443,0
FV.US,D,20140502,000000,17.8279,17.8675,17.6066,17.6939,234088.01740269,0
FV.US,D,20140505,000000,17.674,17.8279,17.5103,17.8279,314525.0702485,0
FV.US,D,20140506,000000,18.2932,18.2932,17.549,17.5788,509278.81155554,0
FV.US,D,20140507,000000,17.6254,17.7138,17.2622,17.5003,195478.27234441,0
FV.US,D,20140508,000000,17.549,17.7227,17.3307,17.4071,164613.65322943,0
FV.US,D,20140509,000000,17.5003,17.5986,17.3208,17.5589,331464.38420986,0
FV.US,D,20140512,000000,17.7038,17.9648,17.684,17.9648,333299.39258129,0
FV.US,D,20140513,000000,18.0909,18.0909,17.9142,17.9162,200021.95864136,0
FV.US,D,20140514,000000,17.9548,17.9638,17.7802,17.8279,176277.69600771,0
FV.US,D,20140515,000000,17.9062,17.9062,17.4428,17.6552,188555.42362849,0
FV.US,D,20140516,000000,17.6452,17.7723,17.5291,17.674,268475.53012914,0
FV.US,D,20140519,000000,17.6452,17.9261,17.6452,17.9261,251844.57012805,0
FV.US,D,20140520,000000,17.8477,17.9648,17.6452,17.7425,191224.80153947,0
FV.US,D,20140521,000000,17.8477,17.8577,17.7227,17.8577,238706.27295801,0
FV.US,D,20140522,000000,17.7891,18.0511,17.7891,17.9916,147615.8930926,0
FV.US,D,20140523,000000,18.1007,18.1007,17.9529,18.0909,117009.24330386,0
FV.US,D,20140527,000000,18.2248,18.2932,18.1563,18.2932,295138.07076588,0
FV.US,D,20140528,000000,18.331,18.3588,18.1573,18.2348,651015.82554934,0
FV.US,D,20140529,000000,18.3588,18.3786,18.2546,18.3786,247300.88383109,0
FV.US,D,20140530,000000,18.4263,18.4263,18.2248,18.3389,621966.06095218,0
FV.US,D,20140602,000000,18.4551,18.4551,18.202,18.331,279543.01884048,0
FV.US,D,20140603,000000,18.3122,18.3875,18.206,18.3489,297531.34088238,0
