<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVC.US,D,20160321,000000,19.3624,19.3903,19.3565,19.3903,6236.7835873217,0
FVC.US,D,20160322,000000,19.3813,19.4091,19.3346,19.3813,15359.663417084,0
FVC.US,D,20160323,000000,19.3535,19.3535,19.3216,19.3216,40531.048450016,0
FVC.US,D,20160324,000000,19.2679,19.3146,19.2481,19.3146,78385.167214536,0
FVC.US,D,20160328,000000,19.3246,19.3435,19.2988,19.3246,26737.117384668,0
FVC.US,D,20160329,000000,19.5185,19.5185,19.2659,19.4788,68323.049095423,0
FVC.US,D,20160330,000000,19.6329,19.6329,19.4588,19.4788,305057.35600057,0
FVC.US,D,20160331,000000,19.5643,19.5643,19.4788,19.5185,251598.20535794,0
FVC.US,D,20160401,000000,19.5365,19.5365,19.3992,19.5185,305902.06709593,0
FVC.US,D,20160404,000000,19.5941,19.5941,19.4091,19.4091,291306.66609844,0
FVC.US,D,20160405,000000,19.3723,19.3723,19.2858,19.2948,87944.481110228,0
FVC.US,D,20160406,000000,19.429,19.429,19.258,19.429,115757.59953302,0
FVC.US,D,20160407,000000,19.5185,19.5185,19.258,19.3146,43378.931571477,0
FVC.US,D,20160408,000000,19.4091,19.429,19.3435,19.3723,44615.829961094,0
FVC.US,D,20160411,000000,19.604,19.604,19.2858,19.2858,78316.785840151,0
FVC.US,D,20160412,000000,19.4091,19.601,19.2679,19.5742,44218.614624591,0
FVC.US,D,20160413,000000,19.7851,19.7851,19.5922,19.7104,139827.84331665,0
FVC.US,D,20160414,000000,19.8228,19.8228,19.611,19.6329,305053.33356679,0
FVC.US,D,20160415,000000,19.5464,19.6329,19.4788,19.6239,122805.90913694,0
FVC.US,D,20160418,000000,19.604,19.7651,19.5543,19.7194,64745.094241555,0
FVC.US,D,20160419,000000,19.8825,19.8825,19.7452,19.8228,96937.637450347,0
FVC.US,D,20160420,000000,19.97,19.97,19.7651,19.8427,78195.107218083,0
FVC.US,D,20160421,000000,19.9601,19.9601,19.6507,19.6707,63928.540182718,0
FVC.US,D,20160422,000000,19.7552,19.8019,19.7104,19.7851,62612.1987258,0
FVC.US,D,20160425,000000,19.8526,19.8526,19.6299,19.6906,173777.18448209,0
FVC.US,D,20160426,000000,19.8149,19.8149,19.7104,19.8049,141714.36476293,0
FVC.US,D,20160427,000000,19.9481,20.0585,19.8726,20.0038,92962.467259976,0
FVC.US,D,20160428,000000,19.8626,20.143,19.8626,19.8825,79650.222640664,0
FVC.US,D,20160429,000000,19.9471,19.97,19.7274,19.9014,248932.33736536,0
FVC.US,D,20160502,000000,19.9213,20.0098,19.8606,19.9998,40398.308135033,0
FVC.US,D,20160503,000000,19.8228,19.8228,19.6607,19.7104,70034.59467195,0
FVC.US,D,20160504,000000,19.6906,19.7373,19.5464,19.614,45759.206765155,0
FVC.US,D,20160505,000000,19.6906,19.7104,19.4847,19.5275,32856.244783709,0
FVC.US,D,20160506,000000,19.4788,19.6329,19.4788,19.614,17339.706448918,0
FVC.US,D,20160509,000000,19.7194,19.7194,19.5185,19.5543,52776.342507227,0
FVC.US,D,20160510,000000,19.7651,19.8526,19.6329,19.8526,69458.381031908,0
FVC.US,D,20160511,000000,19.8924,19.8924,19.6806,19.7194,56914.421265986,0
FVC.US,D,20160512,000000,19.8228,19.8228,19.5812,19.6906,98083.025471301,0
FVC.US,D,20160513,000000,19.7651,19.7651,19.4788,19.4887,243277.80106876,0
FVC.US,D,20160516,000000,19.6329,19.6329,19.5543,19.5941,38109.543310018,0
FVC.US,D,20160517,000000,19.614,19.6239,19.451,19.4817,255502.98295704,0
FVC.US,D,20160518,000000,19.449,19.5085,19.3048,19.3723,78946.296727874,0
FVC.US,D,20160519,000000,19.3286,19.3893,19.2481,19.3813,79241.945611246,0
