<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FYC.US,D,20110503,000000,20.285,20.285,20.256,20.256,7110,0
FYC.US,D,20110504,000000,19.952,20.285,19.952,20.06,924,0
FYC.US,D,20110505,000000,19.862,20.218,19.862,20.218,523,0
FYC.US,D,20110509,000000,20.285,20.313,20.285,20.305,2755,0
FYC.US,D,20110510,000000,20.549,20.666,20.549,20.666,1285,0
FYC.US,D,20110511,000000,20.647,20.647,20.305,20.305,707,0
FYC.US,D,20110512,000000,20.246,20.491,20.246,20.472,19232,0
FYC.US,D,20110513,000000,20.265,20.51,20.265,20.275,784,0
FYC.US,D,20110516,000000,20.05,20.05,20.04,20.04,30514,0
FYC.US,D,20110517,000000,19.803,19.803,19.744,19.744,32552,0
FYC.US,D,20110518,000000,19.892,20.139,19.892,20.09,10397,0
FYC.US,D,20110520,000000,20.169,20.169,19.991,20.169,811,0
FYC.US,D,20110523,000000,19.657,19.852,19.657,19.657,7229,0
FYC.US,D,20110524,000000,19.764,19.764,19.568,19.568,657,0
FYC.US,D,20110527,000000,20.362,20.362,20.275,20.285,5482,0
FYC.US,D,20110531,000000,20.352,20.352,20.352,20.352,2552,0
FYC.US,D,20110601,000000,20.442,20.442,19.942,19.942,2816,0
FYC.US,D,20110602,000000,19.952,19.991,19.952,19.952,712,0
FYC.US,D,20110603,000000,19.676,19.784,19.657,19.735,5204,0
FYC.US,D,20110607,000000,19.431,19.451,19.391,19.451,2755,0
FYC.US,D,20110608,000000,19.215,19.215,19.109,19.109,242,0
FYC.US,D,20110609,000000,19.275,19.275,19.275,19.275,339,0
FYC.US,D,20110613,000000,18.883,18.883,18.883,18.883,101,0
FYC.US,D,20110615,000000,19.119,19.119,19.119,19.119,1306,0
FYC.US,D,20110616,000000,19.012,19.07,18.835,18.835,5984,0
FYC.US,D,20110617,000000,19.129,19.149,19.129,19.149,712,0
FYC.US,D,20110620,000000,19.021,19.021,18.962,18.962,1483,0
FYC.US,D,20110621,000000,19.49,19.49,19.49,19.49,101,0
FYC.US,D,20110623,000000,19.548,19.548,19.548,19.548,279,0
FYC.US,D,20110624,000000,19.47,19.47,19.441,19.441,612,0
FYC.US,D,20110627,000000,19.5,19.548,19.5,19.548,1018,0
FYC.US,D,20110628,000000,19.922,19.932,19.922,19.932,313,0
