<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FYT.US,D,20110503,000000,18.2459,18.2459,18.2459,18.2459,431.77646342386,0
FYT.US,D,20110505,000000,18.0224,18.0224,18.0224,18.0224,275.77331230335,0
FYT.US,D,20110509,000000,18.0949,18.1942,18.0949,18.1942,773.97692394627,0
FYT.US,D,20110510,000000,18.4585,18.4585,18.4396,18.4396,545.50779295042,0
FYT.US,D,20110511,000000,18.2727,18.2727,18.2727,18.2727,980.30367220242,0
FYT.US,D,20110512,000000,18.3493,18.3493,18.3423,18.3493,19365.52664974,0
FYT.US,D,20110517,000000,17.8644,17.8644,17.8644,17.8644,12044.449738446,0
FYT.US,D,20110518,000000,17.8893,18.0303,17.8893,18.0303,1061.8278995622,0
FYT.US,D,20110520,000000,18.0224,18.1147,18.0134,18.0134,878.65000598841,0
FYT.US,D,20110524,000000,17.624,17.624,17.624,17.624,221.42382739685,0
FYT.US,D,20110525,000000,17.6945,17.6945,17.6945,17.6945,728.68568652418,0
FYT.US,D,20110527,000000,17.9786,17.9786,17.9786,17.9786,507.26185912733,0
FYT.US,D,20110531,000000,18.1774,18.1774,18.1774,18.1774,2813.0890798827,0
FYT.US,D,20110607,000000,17.3656,17.3656,17.3656,17.3656,308.98688641288,0
FYT.US,D,20110609,000000,17.2414,17.2414,17.2414,17.2414,384.47228211635,0
FYT.US,D,20110616,000000,17.1878,17.1878,17.0536,17.0536,1921.354938639,0
FYT.US,D,20110617,000000,17.3319,17.3319,17.1103,17.1103,1984.76267103,0
FYT.US,D,20110623,000000,17.3129,17.5087,17.2951,17.5087,1726.0993817527,0
FYT.US,D,20110629,000000,17.8455,17.8455,17.8078,17.8455,308.98688641288,0
FYT.US,D,20110630,000000,18.0274,18.0274,18.0274,18.0274,281.81214395963,0
FYT.US,D,20110701,000000,18.2658,18.2807,18.2658,18.2807,2576.5681733452,0
FYT.US,D,20110706,000000,18.4198,18.4198,18.4198,18.4198,281.81214395963,0
FYT.US,D,20110707,000000,18.6543,18.6821,18.6543,18.6731,773.97692394627,0
FYT.US,D,20110708,000000,18.4396,18.4396,18.4396,18.4396,223.43677128228,0
FYT.US,D,20110711,000000,18.2727,18.2727,18.2727,18.2727,1127.2485758385,0
