<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FYX.US,D,20070510,000000,27.5419,27.5419,27.4303,27.4303,2174.8200658295,0
FYX.US,D,20070515,000000,27.3556,27.3556,27.3556,27.3556,1090.4222490724,0
FYX.US,D,20070518,000000,27.0837,27.3039,27.0757,27.2959,4792.4359068347,0
FYX.US,D,20070523,000000,27.9711,27.9711,27.8536,27.8536,1741.0609391266,0
FYX.US,D,20070525,000000,27.6006,27.6006,27.6006,27.6006,871.53454161587,0
FYX.US,D,20070530,000000,28.0278,28.0278,28.0278,28.0278,1090.4222490724,0
FYX.US,D,20070531,000000,28.2032,28.231,28.2032,28.231,3268.2545310595,0
FYX.US,D,20070601,000000,28.4253,28.4253,28.4253,28.4253,978.97025123902,0
FYX.US,D,20070604,000000,28.3217,28.3217,28.2649,28.3018,1090.4222490724,0
FYX.US,D,20070605,000000,28.2928,28.3306,28.1932,28.1932,87657.498331969,0
FYX.US,D,20070606,000000,27.9174,27.9362,27.9174,27.9362,33318.122919861,0
FYX.US,D,20070613,000000,27.5419,27.5419,27.5419,27.5419,101.41127730784,0
FYX.US,D,20070615,000000,28.231,28.231,28.231,28.231,322.30712886946,0
FYX.US,D,20070618,000000,28.0836,28.0836,28.0836,28.0836,1194.8457425379,0
FYX.US,D,20070622,000000,27.7988,27.7988,27.6345,27.6345,1194.8457425379,0
FYX.US,D,20070625,000000,27.6992,27.7261,27.4502,27.4502,17746.973528872,0
FYX.US,D,20070629,000000,28.0278,28.0278,27.6912,27.6912,1633.6252295035,0
FYX.US,D,20070702,000000,28.018,28.018,28.018,28.018,548.22334069385,0
FYX.US,D,20070703,000000,28.0936,28.0936,28.0936,28.0936,101.41127730784,0
FYX.US,D,20070706,000000,28.1832,28.1932,28.1832,28.1932,7946.2262239032,0
FYX.US,D,20070709,000000,28.3486,28.3486,28.3486,28.3486,2174.8200658295,0
FYX.US,D,20070710,000000,27.9442,27.9442,27.9442,27.9442,1850.5047928549,0
FYX.US,D,20070711,000000,27.8894,28.009,27.8894,28.009,436.77134286049,0
FYX.US,D,20070712,000000,28.3874,28.3874,28.3874,28.3874,101.41127730784,0
FYX.US,D,20070713,000000,28.3406,28.3974,28.3406,28.3974,10996.597119559,0
FYX.US,D,20070716,000000,28.3874,28.3874,28.3874,28.3874,653.6509062119,0
FYX.US,D,20070717,000000,28.4342,28.5517,28.4253,28.489,9688.2912350824,0
FYX.US,D,20070719,000000,28.4979,28.4979,28.489,28.489,213.86734719376,0
FYX.US,D,20070720,000000,28.3974,28.3974,27.8994,28.0936,10887.15326583,0
FYX.US,D,20070723,000000,28.1374,28.1374,28.1374,28.1374,101.41127730784,0
FYX.US,D,20070724,000000,27.6624,27.6624,27.6086,27.6086,19490.042612103,0
FYX.US,D,20070725,000000,27.1455,27.2869,27.1455,27.2869,758.0743996774,0
FYX.US,D,20070726,000000,26.5499,26.5868,26.1824,26.511,3917.8891490612,0
FYX.US,D,20070727,000000,26.1824,26.5588,26.1824,26.2202,1526.1895198803,0
FYX.US,D,20070730,000000,25.9065,26.2202,25.9065,26.2202,436.77134286049,0
FYX.US,D,20070731,000000,26.4842,26.4842,25.9613,25.9613,3811.4575114906,0
FYX.US,D,20070801,000000,26.0838,26.1286,25.8597,25.9065,1850.5047928549,0
FYX.US,D,20070802,000000,26.1286,26.2122,26.0938,26.2122,13064.985547818,0
FYX.US,D,20070803,000000,25.9444,25.9444,25.2153,25.2153,2067.3843562063,0
FYX.US,D,20070806,000000,24.9524,24.9524,24.9524,24.9524,1959.9486465832,0
FYX.US,D,20070807,000000,25.4941,25.4941,25.4941,25.4941,1194.8457425379,0
FYX.US,D,20070808,000000,25.6017,25.8338,25.6017,25.8338,8925.1964751422,0
FYX.US,D,20070809,000000,25.5371,25.5629,25.5271,25.5629,1741.0609391266,0
FYX.US,D,20070810,000000,25.2353,26.2482,25.2353,25.9523,9800.7473049683,0
FYX.US,D,20070813,000000,26.1186,26.1186,25.8896,25.8896,16007.92073385,0
FYX.US,D,20070815,000000,24.9902,24.9902,24.9902,24.9902,322.30712886946,0
FYX.US,D,20070816,000000,25.1088,25.1247,25.1088,25.1247,4466.1124897551,0
FYX.US,D,20070817,000000,25.8597,26.044,25.8428,25.8428,978.97025123902,0
FYX.US,D,20070820,000000,25.9523,25.9523,25.9523,25.9523,871.53454161587,0
FYX.US,D,20070821,000000,25.8507,25.8507,25.8507,25.8507,322.30712886946,0
FYX.US,D,20070822,000000,26.3736,26.3736,26.1924,26.2292,3917.8891490612,0
FYX.US,D,20070823,000000,26.037,26.037,26.037,26.037,978.97025123902,0
FYX.US,D,20070827,000000,26.1924,26.284,26.1186,26.1186,871.53454161587,0
FYX.US,D,20070828,000000,25.9264,25.9264,25.4773,25.4773,4792.4359068347,0
FYX.US,D,20070830,000000,26.1744,26.1744,25.79,25.79,978.97025123902,0
FYX.US,D,20070904,000000,26.3208,26.3826,26.3208,26.3826,871.53454161587,0
FYX.US,D,20070905,000000,26.1485,26.1485,25.9991,25.9991,758.0743996774,0
FYX.US,D,20070906,000000,26.0738,26.0738,26.0738,26.0738,322.30712886946,0
FYX.US,D,20070911,000000,25.6953,25.7701,25.6953,25.7322,758.0743996774,0
FYX.US,D,20070912,000000,25.7133,25.7133,25.7133,25.7133,213.86734719376,0
FYX.US,D,20070913,000000,25.7233,25.7233,25.7233,25.7233,101.41127730784,0
FYX.US,D,20070914,000000,25.6864,25.8079,25.6864,25.7422,2395.7159173911,0
FYX.US,D,20070917,000000,25.7422,25.7422,25.7422,25.7422,978.97025123902,0
FYX.US,D,20070918,000000,25.7511,25.7511,25.7511,25.7511,436.77134286049,0
FYX.US,D,20070919,000000,27.1365,27.1365,27.01,27.0579,1850.5047928549,0
FYX.US,D,20070920,000000,26.8616,27.0658,26.761,26.761,2833.4913323041,0
FYX.US,D,20070921,000000,26.9363,26.9363,26.8268,26.8268,2937.9148257696,0
FYX.US,D,20070924,000000,26.8178,26.8517,26.53,26.5588,2613.5995527951,0
FYX.US,D,20070925,000000,26.264,26.4354,26.264,26.4354,6752.3845534179,0
FYX.US,D,20070926,000000,26.5688,26.6883,26.502,26.5688,8818.7648375716,0
FYX.US,D,20070927,000000,26.6604,26.6684,26.6604,26.6684,1633.6252295035,0
FYX.US,D,20070928,000000,26.5768,26.5768,26.54,26.54,548.22334069385,0
FYX.US,D,20071001,000000,26.7421,26.9363,26.7421,26.9363,871.53454161587,0
FYX.US,D,20071002,000000,27.0837,27.2401,27.0837,27.2401,1633.6252295035,0
FYX.US,D,20071003,000000,27.0289,27.0289,26.9901,27.01,11103.028757129,0
FYX.US,D,20071008,000000,27.4203,27.4203,27.4203,27.4203,548.22334069385,0
FYX.US,D,20071009,000000,27.4502,27.4502,27.3367,27.3645,758.0743996774,0
FYX.US,D,20071010,000000,27.4104,27.513,27.4104,27.4771,1194.8457425379,0
FYX.US,D,20071011,000000,27.2869,27.2869,27.1733,27.1733,3484.1300223584,0
FYX.US,D,20071015,000000,26.8417,26.9453,26.8417,26.9453,1418.7538102572,0
FYX.US,D,20071016,000000,26.8098,26.8616,26.7072,26.7072,1633.6252295035,0
FYX.US,D,20071018,000000,26.5588,26.6316,26.5588,26.6316,322.30712886946,0
FYX.US,D,20071019,000000,26.264,26.264,25.8428,25.8428,1418.7538102572,0
FYX.US,D,20071022,000000,26.0639,26.0738,25.9165,25.9165,1741.0609391266,0
FYX.US,D,20071023,000000,26.0938,26.2023,26.0938,26.2023,758.0743996774,0
FYX.US,D,20071024,000000,26.1924,26.1924,26.1186,26.1485,548.22334069385,0
FYX.US,D,20071025,000000,26.2292,26.284,25.8428,25.9712,5552.5184506172,0
FYX.US,D,20071026,000000,26.3826,26.4094,26.3826,26.4094,1741.0609391266,0
FYX.US,D,20071029,000000,26.3208,26.4174,26.274,26.3208,5660.9582322929,0
FYX.US,D,20071030,000000,26.3556,26.3556,26.274,26.3028,5988.2857214252,0
FYX.US,D,20071031,000000,26.2392,26.54,26.1824,26.54,22756.288999058,0
FYX.US,D,20071101,000000,25.8985,25.8985,25.4483,25.4483,3811.4575114906,0
FYX.US,D,20071102,000000,25.5271,25.5549,25.2153,25.4863,16333.240078877,0
FYX.US,D,20071105,000000,25.2631,25.3099,25.1924,25.1924,8496.4577087022,0
FYX.US,D,20071107,000000,25.2353,25.2353,24.6844,24.789,10887.15326583,0
FYX.US,D,20071108,000000,24.7204,24.7204,24.3558,24.6288,1959.9486465832,0
FYX.US,D,20071109,000000,24.4932,24.7692,24.4006,24.7502,871.53454161587,0
FYX.US,D,20071112,000000,24.5122,24.8608,24.4754,24.4754,3268.2545310595,0
FYX.US,D,20071113,000000,24.8348,25.1347,24.805,25.1347,2395.7159173911,0
FYX.US,D,20071114,000000,25.1088,25.1088,25.0988,25.0988,2502.1475549617,0
FYX.US,D,20071115,000000,24.6288,24.6288,24.6288,24.6288,101.41127730784,0
FYX.US,D,20071116,000000,24.3459,24.567,24.316,24.558,3516.2603280401,0
FYX.US,D,20071119,000000,24.0799,24.0799,24.0799,24.0799,436.77134286049,0
FYX.US,D,20071120,000000,24.2881,24.2881,23.7303,23.7303,2613.5995527951,0
FYX.US,D,20071126,000000,23.9863,23.9863,23.6308,23.6308,1850.5047928549,0
FYX.US,D,20071127,000000,23.8609,23.8609,23.6835,23.6835,322.30712886946,0
FYX.US,D,20071128,000000,24.2971,24.5918,24.2453,24.5918,6426.0611363382,0
FYX.US,D,20071129,000000,24.4932,24.6288,24.3259,24.3259,1959.9486465832,0
FYX.US,D,20071203,000000,24.541,24.541,24.4006,24.4006,548.22334069385,0
FYX.US,D,20071204,000000,24.1795,24.1795,24.1537,24.1537,548.22334069385,0
FYX.US,D,20071205,000000,24.5311,24.5311,24.2363,24.4574,19053.271269242,0
FYX.US,D,20071206,000000,24.6188,24.9614,24.6188,24.9614,978.97025123902,0
FYX.US,D,20071207,000000,25.1745,25.1745,25.052,25.1546,4792.4359068347,0
FYX.US,D,20071210,000000,25.2811,25.3767,25.2541,25.2541,2286.2720636628,0
FYX.US,D,20071211,000000,25.2253,25.4863,24.558,24.577,56295.307770481,0
FYX.US,D,20071212,000000,24.6924,24.6924,24.4574,24.5918,6426.0611363382,0
FYX.US,D,20071213,000000,24.3837,24.6656,24.3837,24.6656,1526.1895198803,0
FYX.US,D,20071214,000000,24.3907,24.541,24.1537,24.1537,2325.4308737124,0
FYX.US,D,20071217,000000,23.8777,23.9047,23.5013,23.5013,1194.8457425379,0
FYX.US,D,20071218,000000,23.7961,23.8867,23.7961,23.8141,4570.5359832205,0
FYX.US,D,20071219,000000,24.0611,24.0979,23.9415,24.0979,1418.7538102572,0
FYX.US,D,20071220,000000,24.2363,24.2363,24.2363,24.2363,1959.9486465832,0
FYX.US,D,20071221,000000,24.7791,24.9325,24.7791,24.9325,10016.622796267,0
FYX.US,D,20071224,000000,25.1835,25.2731,25.1835,25.2253,12739.66620279,0
FYX.US,D,20071226,000000,25.0271,25.0271,25.0271,25.0271,322.30712886946,0
FYX.US,D,20071227,000000,24.8936,24.9225,24.8856,24.8856,1741.0609391266,0
FYX.US,D,20071228,000000,24.8767,24.9803,24.6844,24.6844,1959.9486465832,0
FYX.US,D,20071231,000000,24.4843,24.567,24.2791,24.567,9037.6525450282,0
FYX.US,D,20080102,000000,24.0521,24.2881,24.0521,24.0799,15131.365831971,0
FYX.US,D,20080103,000000,24.2094,24.2273,23.7861,23.7861,1526.1895198803,0
FYX.US,D,20080104,000000,23.337,23.344,22.9216,23.0342,4246.220710246,0
FYX.US,D,20080107,000000,23.1876,23.2075,22.7922,23.2075,16333.240078877,0
FYX.US,D,20080108,000000,23.2872,23.2872,22.5004,22.5004,2395.7159173911,0
FYX.US,D,20080109,000000,22.4377,22.6079,22.0143,22.584,9470.4075996784,0
FYX.US,D,20080110,000000,22.6,22.9585,22.6,22.9585,10996.597119559,0
FYX.US,D,20080111,000000,22.5093,22.5452,22.2883,22.3539,21014.223987879,0
FYX.US,D,20080114,000000,22.4287,22.4287,22.3988,22.3988,2067.3843562063,0
FYX.US,D,20080115,000000,22.2513,22.2513,21.9655,21.9755,2067.3843562063,0
FYX.US,D,20080116,000000,21.8949,22.3441,21.8949,22.2335,1959.9486465832,0
FYX.US,D,20080117,000000,22.0143,22.0512,21.6927,21.6927,11325.932752796,0
FYX.US,D,20080118,000000,21.6289,21.6289,21.2943,21.4964,3158.8106773312,0
FYX.US,D,20080122,000000,21.2435,21.6927,21.2435,21.5522,23520.38783105,0
FYX.US,D,20080123,000000,21.3202,22.3161,21.2854,22.3161,4570.5359832205,0
FYX.US,D,20080124,000000,22.6557,22.6557,22.1409,22.1498,3376.6943127352,0
FYX.US,D,20080125,000000,22.5093,22.6079,22.0891,22.0891,1526.1895198803,0
FYX.US,D,20080128,000000,22.0143,22.591,22.0143,22.5093,4131.756496255,0
FYX.US,D,20080129,000000,22.7384,22.841,22.7384,22.841,548.22334069385,0
FYX.US,D,20080130,000000,22.7822,22.7822,22.7822,22.7822,871.53454161587,0
FYX.US,D,20080131,000000,23.327,23.327,23.0252,23.1776,20146.705734473,0
FYX.US,D,20080201,000000,23.4356,23.9415,23.4356,23.9415,3268.2545310595,0
FYX.US,D,20080204,000000,23.6308,23.6308,23.6308,23.6308,2067.3843562063,0
