<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLDI.US,D,20130201,000000,281.437,281.437,178.421,178.756,6930.9613369541,0
GLDI.US,D,20130204,000000,178.493,179.481,178.421,179.219,4025.3991644396,0
GLDI.US,D,20130205,000000,179.803,179.803,178.678,179.068,3887.8844032646,0
GLDI.US,D,20130206,000000,179.068,179.654,179.068,179.615,3577.0399713423,0
GLDI.US,D,20130207,000000,178.697,179.898,178.421,179.219,3035.8311427355,0
GLDI.US,D,20130208,000000,178.899,179.125,178.697,178.756,1606.2365875308,0
GLDI.US,D,20130211,000000,203.128,203.128,176.905,177.179,4406.6312799143,0
GLDI.US,D,20130212,000000,177.013,177.712,176.553,177.326,3853.5704075329,0
GLDI.US,D,20130213,000000,176.905,177.013,176.22,176.296,1774.8047385084,0
GLDI.US,D,20130214,000000,177.013,177.029,175.782,175.963,1006.8026530446,0
GLDI.US,D,20130215,000000,173.995,173.995,172.476,172.766,3827.1750262009,0
GLDI.US,D,20130219,000000,173.015,173.287,172.476,172.476,1186.0324678541,0
GLDI.US,D,20130220,000000,170.833,171.03,168.292,168.292,1117.0421868432,0
GLDI.US,D,20130221,000000,169.159,170.405,169.159,169.634,1063.940890281,0
GLDI.US,D,20130222,000000,169.634,170.099,169.634,170.099,1036.3033733569,0
GLDI.US,D,20130225,000000,170.922,172.045,170.566,171.831,2824.4610694803,0
GLDI.US,D,20130226,000000,171.191,173.867,171.191,173.867,2979.8315297918,0
GLDI.US,D,20130227,000000,173.015,173.015,171.559,171.972,1169.1601260616,0
GLDI.US,D,20130228,000000,171.03,171.03,169.457,170.028,2642.1259156903,0
GLDI.US,D,20130301,000000,170.315,170.315,169.634,169.634,2434.4822492114,0
GLDI.US,D,20130304,000000,170.028,170.028,169.087,169.087,1426.7479944728,0
GLDI.US,D,20130305,000000,170.26,170.26,168.912,169.457,759.92820411524,0
GLDI.US,D,20130306,000000,169.261,170.405,169.261,170.26,3322.7644645101,0
GLDI.US,D,20130307,000000,169.775,169.775,169.491,169.671,2500.5224581914,0
GLDI.US,D,20130308,000000,174.705,200.635,168.366,169.879,12156.470505958,0
GLDI.US,D,20130311,000000,171.136,171.136,169.879,170.26,1117.8185215883,0
GLDI.US,D,20130312,000000,171.376,171.465,171.136,171.358,1181.6332376322,0
GLDI.US,D,20130313,000000,171.559,171.559,170.619,170.922,4413.2560030721,0
GLDI.US,D,20130314,000000,170.405,171.376,170.405,170.922,1987.6239699544,0
GLDI.US,D,20130315,000000,171.48,171.559,171.301,171.301,660.45384544806,0
GLDI.US,D,20130318,000000,174.215,174.215,171.899,172.082,2157.3825008744,0
GLDI.US,D,20130319,000000,172.312,172.457,172.188,172.312,786.16831849826,0
GLDI.US,D,20130320,000000,172.223,172.623,171.791,172.223,903.29135370312,0
GLDI.US,D,20130321,000000,172.532,172.708,172.457,172.708,919.74965029839,0
GLDI.US,D,20130322,000000,172.223,172.457,172.223,172.406,1213.0489169825,0
GLDI.US,D,20130325,000000,171.593,172.457,171.593,172.388,2356.1241956099,0
GLDI.US,D,20130326,000000,171.755,172.223,171.755,172.223,345.57247285141,0
GLDI.US,D,20130327,000000,172.082,172.708,172.082,172.457,7330.2561741634,0
GLDI.US,D,20130328,000000,172.082,172.223,171.831,171.831,168.36112837886,0
GLDI.US,D,20130401,000000,171.899,172.312,171.791,172.025,1149.2342009384,0
GLDI.US,D,20130402,000000,170.957,171.136,170.119,170.119,3368.671725768,0
GLDI.US,D,20130403,000000,169.93,170.348,167.853,168.472,10585.790049752,0
GLDI.US,D,20130404,000000,167.112,168.292,167.112,167.783,500.7876662139,0
GLDI.US,D,20130405,000000,169.457,170.778,169.404,170.26,1543.5604957797,0
GLDI.US,D,20130408,000000,170.26,170.26,169.707,169.93,200.96718767141,0
GLDI.US,D,20130409,000000,171.431,171.5,171.244,171.431,1513.3351963719,0
GLDI.US,D,20130410,000000,169.93,170.458,168.308,168.308,1951.7055490829,0
GLDI.US,D,20130411,000000,169.107,169.297,168.682,168.682,212.35343059898,0
GLDI.US,D,20130412,000000,166.201,166.372,160.92,161.01,9411.6096256719,0
GLDI.US,D,20130415,000000,153.009,153.009,145.905,147.343,14237.616934869,0
GLDI.US,D,20130416,000000,155.315,155.315,147.877,148.247,564.49887095855,0
GLDI.US,D,20130417,000000,150.722,150.818,148.753,149.14,602.59102911621,0
GLDI.US,D,20130418,000000,151.392,151.873,150.474,150.474,13782.063706466,0
GLDI.US,D,20130419,000000,153.08,153.08,151.473,151.97,628.36534265224,0
