<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNMA.US,D,20120222,000000,42.7467,42.7467,42.7467,42.7467,213.81403225644,0
GNMA.US,D,20120223,000000,42.7566,42.7566,42.7566,42.7566,695.64847114418,0
GNMA.US,D,20120224,000000,42.7566,42.7566,42.7566,42.7566,344.3108594552,0
GNMA.US,D,20120301,000000,42.7377,42.7467,42.7107,42.7467,1691.4396448455,0
GNMA.US,D,20120302,000000,42.7635,42.7635,42.7635,42.7635,2573.7989610587,0
GNMA.US,D,20120305,000000,42.7935,42.7935,42.7935,42.7935,466.7771126725,0
GNMA.US,D,20120306,000000,42.7935,42.7935,42.7935,42.7935,100.38217476828,0
GNMA.US,D,20120307,000000,42.7935,42.8094,42.7845,42.8094,3238.3289580247,0
GNMA.US,D,20120308,000000,42.8283,42.8383,42.8283,42.8283,466.7771126725,0
GNMA.US,D,20120309,000000,42.8094,42.8094,42.7845,42.7935,1748.6574844634,0
GNMA.US,D,20120313,000000,42.8542,42.8542,42.8542,42.8542,213.81403225644,0
GNMA.US,D,20120314,000000,42.8463,42.8463,42.8014,42.8383,1524.8052347302,0
GNMA.US,D,20120315,000000,42.7695,42.7695,42.7566,42.7566,2523.6078736746,0
GNMA.US,D,20120316,000000,42.5116,42.5116,42.5116,42.5116,695.64847114418,0
GNMA.US,D,20120319,000000,42.7566,42.7566,42.6769,42.7377,1052.0051915716,0
GNMA.US,D,20120320,000000,42.65,42.65,42.6141,42.643,2932.1633249815,0
GNMA.US,D,20120321,000000,42.5773,42.5952,42.4936,42.4936,3129.916209275,0
GNMA.US,D,20120322,000000,42.7775,42.8094,42.7775,42.8094,12862.971874808,0
GNMA.US,D,20120326,000000,42.7107,42.7107,42.6231,42.6231,855.25612902575,0
GNMA.US,D,20120327,000000,42.6769,42.8383,42.6679,42.8383,2339.9084938486,0
GNMA.US,D,20120329,000000,42.8712,42.8712,42.8712,42.8712,100.38217476828,0
GNMA.US,D,20120330,000000,42.7715,42.7715,42.7715,42.7715,467.78093442019,0
GNMA.US,D,20120403,000000,42.8114,42.8114,42.8114,42.8114,628.39241404943,0
GNMA.US,D,20120404,000000,42.5862,42.5862,42.5862,42.5862,213.81403225644,0
GNMA.US,D,20120411,000000,43.2885,43.2885,42.9897,42.9897,847.22555504428,0
GNMA.US,D,20120412,000000,42.9768,42.9768,42.9768,42.9768,755.87777600515,0
GNMA.US,D,20120413,000000,42.8463,42.9508,42.8463,42.9508,672.56057094748,0
GNMA.US,D,20120416,000000,43.0066,43.0066,42.9897,42.9897,1164.433227312,0
GNMA.US,D,20120417,000000,43.0096,43.0096,43.0096,43.0096,1635.2256269753,0
GNMA.US,D,20120418,000000,43.0146,43.0146,43.0146,43.0146,161.61530137693,0
GNMA.US,D,20120419,000000,43.0554,43.0913,43.0554,43.0913,598.27776161895,0
GNMA.US,D,20120420,000000,42.9996,42.9996,42.918,42.9996,1362.1861116056,0
GNMA.US,D,20120423,000000,42.9678,42.9678,42.9678,42.9678,1463.5721081215,0
GNMA.US,D,20120424,000000,42.916,42.9897,42.916,42.9897,466.7771126725,0
GNMA.US,D,20120425,000000,43.0724,43.0724,42.9508,42.9508,936.56569058805,0
GNMA.US,D,20120426,000000,42.9428,42.9428,42.9428,42.9428,700.6675798826,0
GNMA.US,D,20120427,000000,43.0236,43.0236,43.0236,43.0236,957.64594728939,0
GNMA.US,D,20120501,000000,42.919,42.919,42.919,42.919,466.7771126725,0
GNMA.US,D,20120502,000000,42.9768,42.9768,42.9768,42.9768,213.81403225644,0
GNMA.US,D,20120503,000000,43.0336,43.0336,43.0336,43.0336,577.19750491761,0
GNMA.US,D,20120504,000000,43.177,43.177,43.1341,43.1341,749.85484551905,0
GNMA.US,D,20120507,000000,43.2189,43.2189,43.0415,43.0415,1763.7148106787,0
GNMA.US,D,20120508,000000,43.0824,43.1083,43.0824,43.1083,694.6446493965,0
GNMA.US,D,20120509,000000,43.1859,43.1859,43.1859,43.1859,100.38217476828,0
GNMA.US,D,20120510,000000,47.0891,47.0891,43.1601,43.1789,2856.8766939053,0
