<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNOM.US,D,20190410,000000,15.273,15.353,15.273,15.343,106532,0
GNOM.US,D,20190411,000000,15.363,15.363,15.032,15.033,31567,0
GNOM.US,D,20190412,000000,15.183,15.183,14.993,14.993,16539,0
GNOM.US,D,20190415,000000,15.073,15.083,14.776,14.883,9507,0
GNOM.US,D,20190416,000000,14.973,15.023,14.893,14.923,40383,0
GNOM.US,D,20190417,000000,14.853,14.853,14.165,14.165,21864,0
GNOM.US,D,20190418,000000,14.235,14.245,13.896,14.08,11326,0
GNOM.US,D,20190422,000000,14.155,14.225,14.025,14.145,5676,0
GNOM.US,D,20190423,000000,14.155,14.51,14.125,14.51,3483,0
GNOM.US,D,20190424,000000,14.595,14.595,14.365,14.405,4451,0
GNOM.US,D,20190425,000000,14.355,14.485,14.31,14.482,6294,0
GNOM.US,D,20190426,000000,14.425,14.489,14.425,14.489,2651,0
GNOM.US,D,20190429,000000,14.554,14.646,14.525,14.525,5992,0
GNOM.US,D,20190430,000000,14.577,14.577,14.313,14.313,4442,0
GNOM.US,D,20190501,000000,14.255,14.355,14.245,14.265,7121,0
GNOM.US,D,20190502,000000,14.025,14.285,14.025,14.175,4791,0
GNOM.US,D,20190503,000000,14.315,14.485,14.275,14.455,9278,0
GNOM.US,D,20190506,000000,14.225,14.475,14.195,14.475,2308,0
GNOM.US,D,20190507,000000,14.203,14.215,13.981,13.981,14470,0
GNOM.US,D,20190508,000000,13.936,13.999,13.856,13.916,9841,0
GNOM.US,D,20190509,000000,13.786,13.936,13.573,13.936,1228,0
GNOM.US,D,20190510,000000,13.886,14.065,13.741,14.036,6554,0
GNOM.US,D,20190513,000000,13.696,13.696,13.403,13.436,8537,0
GNOM.US,D,20190514,000000,13.616,13.636,13.486,13.636,2168,0
GNOM.US,D,20190515,000000,13.546,13.796,13.546,13.796,1955,0
GNOM.US,D,20190516,000000,14.005,14.058,13.966,14.015,1678,0
GNOM.US,D,20190517,000000,13.78,14.005,13.78,13.806,15004,0
GNOM.US,D,20190520,000000,13.716,13.716,13.458,13.496,2634,0
GNOM.US,D,20190521,000000,13.626,13.806,13.626,13.794,2013,0
GNOM.US,D,20190522,000000,13.856,13.856,13.746,13.766,2370,0
GNOM.US,D,20190523,000000,13.476,13.579,13.476,13.579,2770,0
GNOM.US,D,20190524,000000,13.746,13.746,13.74,13.74,473,0
GNOM.US,D,20190528,000000,13.876,13.942,13.876,13.942,1901,0
GNOM.US,D,20190529,000000,13.538,13.696,13.538,13.636,2821,0
GNOM.US,D,20190530,000000,13.655,13.655,13.593,13.593,5917,0
GNOM.US,D,20190531,000000,13.376,13.402,13.29,13.296,4457,0
GNOM.US,D,20190603,000000,13.376,13.536,13.376,13.399,3050,0
GNOM.US,D,20190604,000000,13.476,13.786,13.476,13.786,1690,0
GNOM.US,D,20190605,000000,13.826,13.826,13.755,13.755,571,0
GNOM.US,D,20190606,000000,13.785,13.785,13.765,13.765,1722,0
GNOM.US,D,20190607,000000,13.876,14.049,13.876,14.049,1659,0
GNOM.US,D,20190610,000000,14.223,14.265,14.222,14.222,3727,0
GNOM.US,D,20190611,000000,14.205,14.205,13.826,13.889,4939,0
GNOM.US,D,20190612,000000,13.961,13.961,13.961,13.961,424,0
GNOM.US,D,20190613,000000,14.205,14.257,14.175,14.23,1973,0
GNOM.US,D,20190614,000000,14.244,14.244,14.185,14.185,686,0
GNOM.US,D,20190617,000000,14.266,14.667,14.266,14.667,7487,0
GNOM.US,D,20190618,000000,14.883,14.983,14.883,14.963,12199,0
GNOM.US,D,20190619,000000,14.983,14.983,14.913,14.933,760,0
GNOM.US,D,20190620,000000,15.163,15.177,14.93,14.948,9595,0
GNOM.US,D,20190621,000000,14.983,14.983,14.764,14.944,5941,0
GNOM.US,D,20190624,000000,15.083,15.083,14.595,14.608,5525,0
GNOM.US,D,20190625,000000,14.595,14.625,14.512,14.512,7685,0
GNOM.US,D,20190626,000000,14.535,14.538,14.396,14.396,4301,0
GNOM.US,D,20190627,000000,14.585,14.605,14.585,14.605,244,0
GNOM.US,D,20190628,000000,14.725,15.093,14.725,15.093,2074,0
GNOM.US,D,20190701,000000,15.303,15.303,15.083,15.113,12793,0
GNOM.US,D,20190702,000000,15.063,15.083,14.973,14.993,2153,0
GNOM.US,D,20190703,000000,15.093,15.093,15.053,15.063,1009,0
GNOM.US,D,20190705,000000,15.063,15.073,14.963,14.963,3948,0
GNOM.US,D,20190708,000000,14.754,14.754,14.615,14.635,3129,0
GNOM.US,D,20190709,000000,14.675,14.928,14.675,14.913,14303,0
GNOM.US,D,20190710,000000,15.003,15.106,14.912,14.933,4423,0
GNOM.US,D,20190711,000000,14.933,14.943,14.693,14.693,6614,0
GNOM.US,D,20190712,000000,14.584,14.655,14.584,14.629,3905,0
GNOM.US,D,20190715,000000,14.655,14.655,14.516,14.555,3113,0
GNOM.US,D,20190716,000000,14.685,14.685,14.631,14.633,1844,0
GNOM.US,D,20190717,000000,14.645,14.779,14.625,14.774,1940,0
GNOM.US,D,20190718,000000,14.725,14.903,14.725,14.903,3724,0
GNOM.US,D,20190719,000000,14.983,14.983,14.699,14.699,7350,0
GNOM.US,D,20190722,000000,14.764,14.919,14.764,14.862,2437,0
GNOM.US,D,20190723,000000,14.744,14.791,14.738,14.791,2090,0
GNOM.US,D,20190724,000000,14.813,14.953,14.802,14.953,2976,0
GNOM.US,D,20190725,000000,14.883,14.903,14.695,14.695,5419,0
GNOM.US,D,20190726,000000,14.759,14.823,14.759,14.784,710,0
GNOM.US,D,20190729,000000,15.043,15.043,14.863,14.884,1841,0
GNOM.US,D,20190730,000000,14.883,15.083,14.873,15.083,704,0
GNOM.US,D,20190731,000000,15.083,15.119,14.925,14.934,2675,0
GNOM.US,D,20190801,000000,15.003,15.173,14.774,14.903,17703,0
GNOM.US,D,20190802,000000,14.715,14.764,14.295,14.385,14414,0
GNOM.US,D,20190805,000000,14.265,14.265,13.798,13.896,5120,0
GNOM.US,D,20190806,000000,14.056,14.07,14.056,14.07,612,0
GNOM.US,D,20190807,000000,14.135,14.372,14.135,14.372,1942,0
