<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRID.US,D,20091117,000000,26.3689,26.5572,26.2589,26.4115,49685.017897639,0
GRID.US,D,20091118,000000,26.8586,26.9518,26.4888,26.5731,235890.33209956,0
GRID.US,D,20091119,000000,26.6911,26.6911,25.4204,25.8605,122133.17135565,0
GRID.US,D,20091120,000000,25.911,25.911,25.6236,25.6909,34041.794031682,0
GRID.US,D,20091123,000000,26.3947,26.5225,26.1032,26.3144,33456.623451724,0
GRID.US,D,20091124,000000,26.4552,26.4552,25.9625,26.4283,86032.182231399,0
GRID.US,D,20091125,000000,26.3144,26.7069,26.3144,26.6544,71046.770810499,0
GRID.US,D,20091127,000000,26.2331,26.2688,25.8228,26.1627,24619.53877956,0
GRID.US,D,20091130,000000,26.2688,26.2688,25.9527,26.1122,12429.83025015,0
GRID.US,D,20091201,000000,26.3243,26.8675,26.2966,26.7486,36913.16553265,0
GRID.US,D,20091202,000000,26.8923,27.148,26.7396,26.8923,18764.806235597,0
GRID.US,D,20091203,000000,27.6188,27.6188,26.7169,26.7961,35382.641791621,0
GRID.US,D,20091204,000000,27.1143,27.3224,26.6167,26.9438,22131.554899943,0
GRID.US,D,20091207,000000,26.8051,27.3026,26.8051,27.2342,18253.28643553,0
GRID.US,D,20091208,000000,27.2252,27.2252,26.8398,27.0063,15171.051742817,0
GRID.US,D,20091209,000000,27.2431,27.2431,26.6167,26.919,12671.969800478,0
GRID.US,D,20091210,000000,26.7396,27.0667,26.7396,27.032,17192.916988053,0
GRID.US,D,20091211,000000,27.1549,27.1995,27.025,27.1549,11139.428229863,0
GRID.US,D,20091214,000000,27.8576,27.8576,27.1044,27.6377,21306.262599243,0
GRID.US,D,20091215,000000,27.6188,27.7595,27.3224,27.6277,19447.841550479,0
GRID.US,D,20091216,000000,27.8041,28.0043,27.7506,27.8746,23607.597242149,0
GRID.US,D,20091217,000000,27.7774,27.7774,27.3462,27.4166,21464.66222175,0
GRID.US,D,20091218,000000,27.6475,27.6555,27.3729,27.6555,35347.329773865,0
GRID.US,D,20091221,000000,27.5643,27.9618,27.4334,27.9003,15857.113802079,0
GRID.US,D,20091222,000000,28.0817,28.3532,28.0817,28.2799,25869.584208125,0
GRID.US,D,20091223,000000,28.4702,28.4702,28.1183,28.3532,19864.523360001,0
GRID.US,D,20091224,000000,28.5386,28.5386,28.3819,28.5386,124998.48936787,0
GRID.US,D,20091228,000000,28.4603,28.607,28.3632,28.4801,21548.40214957,0
GRID.US,D,20091229,000000,28.5663,28.5663,28.271,28.3265,17249.416216463,0
GRID.US,D,20091230,000000,28.4276,28.4276,28.162,28.2947,12017.1840998,0
GRID.US,D,20091231,000000,28.4454,28.4454,28.1263,28.1263,11255.453431062,0
GRID.US,D,20100104,000000,28.4534,28.7735,28.4534,28.7477,13301.53263133,0
GRID.US,D,20100105,000000,28.9054,29.0629,28.8191,28.9479,24395.559695506,0
GRID.US,D,20100106,000000,28.9906,29.3255,28.9906,29.2215,17074.873957268,0
GRID.US,D,20100107,000000,29.1511,29.2393,28.829,29.2305,28248.605290095,0
GRID.US,D,20100108,000000,29.1858,29.3434,28.9648,29.3434,29196.985195544,0
GRID.US,D,20100111,000000,29.5377,29.5377,29.0916,29.2215,25997.71638684,0
GRID.US,D,20100112,000000,29.2305,29.2305,28.7547,28.9222,25858.486145402,0
GRID.US,D,20100113,000000,29.0916,29.2582,28.5822,29.2305,15937.826985522,0
GRID.US,D,20100114,000000,29.2582,29.3107,29.1243,29.169,10841.798365919,0
GRID.US,D,20100115,000000,28.9559,28.9559,28.1778,28.3819,15802.632403256,0
GRID.US,D,20100119,000000,28.3532,28.6159,28.152,28.6159,5920.31200551,0
GRID.US,D,20100120,000000,28.2055,28.2522,27.699,27.9696,22862.009210098,0
GRID.US,D,20100121,000000,28.1183,28.1183,27.1143,27.2619,28398.933594256,0
GRID.US,D,20100122,000000,27.3224,27.3224,26.3421,26.3421,46406.044820286,0
GRID.US,D,20100125,000000,27.4166,27.4166,26.4463,26.58,28521.012284213,0
GRID.US,D,20100126,000000,26.5979,26.8051,26.2778,26.4283,47739.830176673,0
GRID.US,D,20100127,000000,26.5225,26.5225,25.9378,26.5067,55110.961654563,0
GRID.US,D,20100128,000000,26.5483,26.5979,25.7861,25.9625,39119.662185011,0
GRID.US,D,20100129,000000,25.9725,26.4195,25.7336,25.7781,28630.983996653,0
GRID.US,D,20100201,000000,26.1211,26.2589,25.9725,26.1796,28095.250241553,0
GRID.US,D,20100202,000000,26.2876,26.6257,26.1896,26.6078,65072.986320958,0
GRID.US,D,20100203,000000,26.359,26.589,26.2509,26.3243,3821.7692360041,0
GRID.US,D,20100204,000000,25.8605,25.8605,25.3153,25.3153,19826.184597865,0
GRID.US,D,20100205,000000,25.3153,25.3153,24.5264,25.0774,19622.383809674,0
GRID.US,D,20100208,000000,25.2013,25.3678,24.9189,24.9277,5660.0119889078,0
GRID.US,D,20100209,000000,25.0447,25.6315,25.0447,25.3927,24972.658957121,0
GRID.US,D,20100210,000000,25.2638,25.35,25.0071,25.2638,7217.7764293487,0
GRID.US,D,20100211,000000,25.4204,25.6831,25.0537,25.5968,2697.8381565667,0
GRID.US,D,20100212,000000,25.4887,25.4887,25.0349,25.3847,4822.6127106915,0
GRID.US,D,20100216,000000,25.4105,26.0964,25.4105,25.7524,10112.352970557,0
GRID.US,D,20100217,000000,25.911,25.9467,25.7781,25.8138,5281.6689415209,0
GRID.US,D,20100218,000000,25.6137,26.3243,25.6137,26.2778,3495.8897578548,0
GRID.US,D,20100219,000000,25.9893,26.2589,25.8605,26.2589,3708.7707791845,0
GRID.US,D,20100222,000000,26.4978,26.4978,26.1627,26.2252,2454.6896914461,0
GRID.US,D,20100223,000000,25.8872,25.8872,25.6315,25.7336,2737.185833495,0
GRID.US,D,20100224,000000,25.7693,25.9378,25.7336,25.7951,2695.8203269807,0
GRID.US,D,20100225,000000,25.3847,25.4015,25.1329,25.4015,5382.5604208241,0
GRID.US,D,20100226,000000,25.36,25.4719,25.35,25.464,30471.244579144,0
GRID.US,D,20100301,000000,26.7317,26.7317,25.6404,25.9527,97136.298443505,0
GRID.US,D,20100302,000000,26.1539,26.3421,26.0884,26.2163,67825.305876349,0
GRID.US,D,20100303,000000,26.359,26.6544,26.3323,26.4195,31757.610940258,0
GRID.US,D,20100304,000000,26.5305,26.5483,26.2074,26.3947,35178.841003429,0
GRID.US,D,20100305,000000,26.5979,26.6911,26.4195,26.6454,29212.118917439,0
GRID.US,D,20100308,000000,26.8675,26.8675,26.6167,26.699,32728.186971155,0
GRID.US,D,20100309,000000,26.6742,26.7317,26.4552,26.5652,46407.053735079,0
GRID.US,D,20100310,000000,26.7584,26.8586,26.6078,26.7486,9749.1436450652,0
GRID.US,D,20100311,000000,26.7069,26.9706,26.6078,26.9706,25591.123725248,0
GRID.US,D,20100312,000000,27.1549,27.1549,26.8754,27.0568,21946.923492819,0
GRID.US,D,20100315,000000,27.0955,27.0955,26.6167,26.7169,24385.470547576,0
GRID.US,D,20100316,000000,26.919,27.0152,26.7674,27.0152,8584.8559739067,0
GRID.US,D,20100317,000000,27.1727,27.2619,27.1232,27.1232,12849.538804052,0
GRID.US,D,20100318,000000,27.1727,27.1727,26.9002,27.032,7662.7078530757,0
GRID.US,D,20100319,000000,26.8675,26.8754,26.5652,26.6257,10531.052609664,0
GRID.US,D,20100322,000000,26.4978,26.9438,26.4552,26.9438,4259.6382561798,0
GRID.US,D,20100323,000000,27.0568,27.3126,26.919,27.3126,9268.9002035822,0
GRID.US,D,20100324,000000,27.2619,27.2619,26.9339,26.9438,8272.0923880669,0
GRID.US,D,20100325,000000,27.0488,27.3224,26.9101,26.9101,9107.4738366971,0
GRID.US,D,20100326,000000,27.1995,27.1995,26.8923,26.9706,8934.9494070887,0
GRID.US,D,20100329,000000,27.1232,27.2074,27.1232,27.2074,3402.0606821029,0
GRID.US,D,20100330,000000,27.3729,27.3729,26.9893,27.039,5676.1546255963,0
GRID.US,D,20100331,000000,26.8586,27.1896,26.8586,26.926,24534.789936944,0
GRID.US,D,20100401,000000,27.1727,27.2521,27.0955,27.2074,8312.4489797881,0
