<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GXTG.US,D,20191105,000000,25.5318,25.5318,25.3271,25.3271,2551.4086955448,0
GXTG.US,D,20191106,000000,25.1404,25.1404,25.1404,25.1404,166.2220735716,0
GXTG.US,D,20191107,000000,25.4799,25.5109,25.435,25.5109,939.2548494588,0
GXTG.US,D,20191108,000000,25.3671,25.3671,25.3671,25.3671,452.6046822552,0
GXTG.US,D,20191111,000000,25.3101,25.396,25.3101,25.396,3436.5913042032,0
GXTG.US,D,20191112,000000,25.393,25.393,25.2053,25.2392,2344.1317724766,0
GXTG.US,D,20191118,000000,25.5518,25.5518,25.5169,25.5169,1317.7605350616,0
GXTG.US,D,20191119,000000,25.444,25.4789,25.3671,25.4789,4133.5224078528,0
GXTG.US,D,20191120,000000,25.4639,25.4639,25.3331,25.3331,2150.8735785048,0
GXTG.US,D,20191125,000000,25.7456,25.8344,25.7456,25.8344,1062.4193979486,0
GXTG.US,D,20191126,000000,25.8444,25.9053,25.8444,25.9053,530.709030078,0
GXTG.US,D,20191127,000000,26.0571,26.0581,26.0212,26.0212,320.428093632,0
GXTG.US,D,20191129,000000,26.0102,26.0102,26.0102,26.0102,448.5993310848,0
GXTG.US,D,20191202,000000,25.5998,25.5998,25.5668,25.5808,1127.5063544676,0
GXTG.US,D,20191203,000000,25.4539,25.5119,25.4539,25.5119,1641.1926420714,0
GXTG.US,D,20191204,000000,25.7855,25.7855,25.6766,25.6766,575.769230745,0
GXTG.US,D,20191205,000000,25.7256,25.7256,25.7256,25.7256,181.2421404606,0
GXTG.US,D,20191209,000000,25.8924,26.126,25.7266,25.7266,6092.1391301784,0
GXTG.US,D,20191210,000000,25.8145,25.8145,25.7026,25.7026,2118.8307691416,0
GXTG.US,D,20191211,000000,26.946,26.946,25.6577,25.7935,942.2588628366,0
GXTG.US,D,20191212,000000,26.0002,26.0821,26.0002,26.0821,321.4294314246,0
GXTG.US,D,20191213,000000,26.146,26.2249,26.146,26.178,3418.5672239364,0
GXTG.US,D,20191216,000000,26.4007,26.4007,26.3767,26.3767,574.7678929524,0
GXTG.US,D,20191217,000000,26.4217,26.4656,26.4217,26.4336,455.608695633,0
GXTG.US,D,20191218,000000,26.4606,26.4676,26.4286,26.4286,12321.461537943,0
GXTG.US,D,20191219,000000,26.5954,26.6154,26.5515,26.5515,1178.5745818902,0
GXTG.US,D,20191220,000000,26.6643,26.6643,26.6054,26.6434,1281.712374528,0
GXTG.US,D,20191223,000000,26.6873,26.7622,26.6843,26.7163,1699.2702340422,0
GXTG.US,D,20191224,000000,26.7522,26.7522,26.6593,26.7143,570.762541782,0
GXTG.US,D,20191227,000000,26.8581,26.9659,26.8581,26.882,2995.0013376666,0
GXTG.US,D,20191230,000000,26.946,26.946,26.946,26.946,288.3852842688,0
GXTG.US,D,20191231,000000,26.6533,26.7063,26.6533,26.7063,224.2996655424,0
GXTG.US,D,20200102,000000,27.0928,27.1856,27.0928,27.1856,242.3237458092,0
GXTG.US,D,20200103,000000,26.9669,27.0049,26.9659,26.9659,699.9351170274,0
