<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HERD.US,D,20190507,000000,22.8699,22.8699,22.7814,22.7814,597.6300486159,0
HERD.US,D,20190508,000000,22.8228,22.8228,22.8228,22.8228,220.92967725664,0
HERD.US,D,20190513,000000,22.0212,22.0212,22.0212,22.0212,219.91156814486,0
HERD.US,D,20190516,000000,22.472,22.472,22.472,22.472,109.95578407243,0
HERD.US,D,20190517,000000,22.3444,22.3444,22.3444,22.3444,109.95578407243,0
HERD.US,D,20190528,000000,21.6803,21.6803,21.6803,21.6803,216.85724080952,0
HERD.US,D,20190529,000000,21.2639,21.2639,21.2414,21.2414,270.81702373395,0
HERD.US,D,20190530,000000,21.3062,21.3062,21.3062,21.3062,310.52327909344,0
HERD.US,D,20190606,000000,21.6529,21.6529,21.6529,21.6529,109.95578407243,0
HERD.US,D,20190607,000000,21.8916,21.9201,21.8916,21.9201,759.50939738919,0
HERD.US,D,20190613,000000,22.0693,22.0693,22.0693,22.0693,544.68837480324,0
HERD.US,D,20190617,000000,21.8435,21.8435,21.8435,21.8435,188.35018567962,0
HERD.US,D,20190620,000000,22.362,22.362,22.362,22.362,216.85724080952,0
HERD.US,D,20190625,000000,22.2472,22.2472,22.2472,22.2472,623.08277641044,0
HERD.US,D,20190626,000000,22.2501,22.2501,22.2501,22.2501,212.78480436239,0
HERD.US,D,20190627,000000,22.3434,22.3434,22.3434,22.3434,429.64204517191,0
HERD.US,D,20190628,000000,22.4436,22.4436,22.4436,22.4436,280.99811485177,0
HERD.US,D,20190701,000000,22.6027,22.6027,22.6027,22.6027,431.67826339546,0
HERD.US,D,20190703,000000,22.6832,22.6832,22.6832,22.6832,108.93767496064,0
HERD.US,D,20190705,000000,22.6223,22.6223,22.6223,22.6223,494.80102832593,0
HERD.US,D,20190708,000000,22.5064,22.5123,22.4779,22.4779,2477.0594689651,0
HERD.US,D,20190710,000000,22.4927,22.5771,22.4927,22.5584,4992.8070841777,0
HERD.US,D,20190711,000000,22.5025,22.5025,22.5025,22.5025,108.93767496064,0
HERD.US,D,20190712,000000,22.6754,22.7343,22.6754,22.7343,2476.0413598532,0
HERD.US,D,20190715,000000,22.7127,22.7127,22.7127,22.7127,565.05055703888,0
HERD.US,D,20190716,000000,22.6872,22.6872,22.6774,22.6774,768.67237939523,0
HERD.US,D,20190717,000000,22.5025,22.5025,22.5025,22.5025,931.56983728031,0
HERD.US,D,20190724,000000,22.7461,22.7461,22.7461,22.7461,1319.4694088692,0
HERD.US,D,20190725,000000,22.6509,22.6509,22.6509,22.6509,206.6761496917,0
HERD.US,D,20190729,000000,22.642,22.642,22.642,22.642,424.551499613,0
HERD.US,D,20190730,000000,22.642,22.642,22.642,22.642,273.87135106929,0
HERD.US,D,20190731,000000,22.6783,22.6862,22.6223,22.6223,1367.3205371229,0
HERD.US,D,20190801,000000,22.4652,22.4652,22.1224,22.1695,4148.7946305107,0
HERD.US,D,20190805,000000,21.3493,21.3493,21.2581,21.2581,733.03856048287,0
HERD.US,D,20190806,000000,21.4731,21.4731,21.4731,21.4731,652.6079406521,0
HERD.US,D,20190807,000000,21.3523,21.482,21.3092,21.482,1003.8555842168,0
HERD.US,D,20190812,000000,21.6214,21.6214,21.3621,21.3621,311.54138820522,0
HERD.US,D,20190813,000000,21.6244,21.6244,21.6244,21.6244,159.84313054974,0
HERD.US,D,20190816,000000,21.2305,21.2531,21.2305,21.2531,278.9618966282,0
HERD.US,D,20190819,000000,21.535,21.535,21.535,21.535,269.79891462217,0
HERD.US,D,20190827,000000,21.2492,21.2492,21.2129,21.2129,248.41862327475,0
HERD.US,D,20190828,000000,21.2669,21.2669,21.2581,21.2581,9078.4789497579,0
HERD.US,D,20190830,000000,21.5576,21.5576,21.5467,21.5467,1091.41296783,0
HERD.US,D,20190904,000000,21.6725,21.6725,21.6725,21.6725,341.06655244689,0
HERD.US,D,20190905,000000,22.142,22.142,22.087,22.09,834.84947166105,0
HERD.US,D,20190909,000000,22.3002,22.3503,22.3002,22.3503,889.82736369725,0
HERD.US,D,20190910,000000,22.586,22.586,22.5791,22.584,687.22365045269,0
HERD.US,D,20190911,000000,22.8256,22.8256,22.8031,22.8031,352.26575267649,0
HERD.US,D,20190917,000000,22.914,22.914,22.914,22.914,459.16720941357,0
HERD.US,D,20190919,000000,22.859,22.8826,22.8168,22.8168,1024.2177664525,0
HERD.US,D,20190920,000000,22.7431,22.7431,22.7431,22.7431,108.93767496064,0
HERD.US,D,20190923,000000,22.7245,22.7245,22.7245,22.7245,862.33841767915,0
HERD.US,D,20190925,000000,22.5909,22.5909,22.5909,22.5909,340.04844333511,0
HERD.US,D,20191002,000000,21.8926,21.8926,21.8474,21.8474,392.99011714776,0
HERD.US,D,20191010,000000,22.0733,22.0733,22.0733,22.0733,107.91956584887,0
HERD.US,D,20191015,000000,22.6596,22.6596,22.6596,22.6596,214.82102258595,0
HERD.US,D,20191018,000000,22.6499,22.6499,22.6499,22.6499,107.91956584887,0
HERD.US,D,20191021,000000,22.8365,22.8365,22.8365,22.8365,127.26363897272,0
HERD.US,D,20191022,000000,22.8178,23.0702,22.8178,23.0603,750.34641538316,0
HERD.US,D,20191023,000000,23.0536,23.0536,23.0536,23.0536,322.74058843482,0
HERD.US,D,20191029,000000,23.3688,23.3688,23.3688,23.3688,267.7626963986,0
HERD.US,D,20191104,000000,23.6409,23.6978,23.6409,23.691,1520.0369038902,0
HERD.US,D,20191111,000000,23.7901,23.7901,23.7901,23.7901,111.992002296,0
HERD.US,D,20191112,000000,23.8118,23.8118,23.7715,23.7715,345.13898889402,0
HERD.US,D,20191113,000000,23.7234,23.7234,23.5848,23.5947,2407.8280493639,0
HERD.US,D,20191115,000000,23.7332,23.7332,23.7214,23.7214,378.73658958281,0
HERD.US,D,20191118,000000,23.7047,23.7047,23.6723,23.6723,3488.0418169643,0
HERD.US,D,20191119,000000,23.6409,23.7038,23.6409,23.6635,832.81325343748,0
HERD.US,D,20191120,000000,23.6212,23.6212,23.4179,23.4847,540.61593835612,0
HERD.US,D,20191121,000000,23.4356,23.4445,23.4356,23.4445,657.69848621101,0
HERD.US,D,20191122,000000,23.5662,23.5662,23.5329,23.5329,1127.0467867424,0
HERD.US,D,20191125,000000,23.855,23.8747,23.855,23.86,270.81702373395,0
HERD.US,D,20191126,000000,23.8648,23.8648,23.8402,23.8402,643.44495864607,0
HERD.US,D,20191127,000000,23.9454,23.9522,23.9208,23.9522,650.57172242855,0
HERD.US,D,20191129,000000,23.9208,23.9208,23.8039,23.8039,266.74458728682,0
HERD.US,D,20191203,000000,23.3324,23.4356,23.3324,23.4356,305.43273353453,0
HERD.US,D,20191204,000000,23.6674,23.6674,23.6262,23.6262,148.64393032014,0
HERD.US,D,20191206,000000,23.8835,23.9021,23.857,23.8697,1164.7168238783,0
HERD.US,D,20191209,000000,23.9208,23.9208,23.9208,23.9208,321.72247932304,0
HERD.US,D,20191210,000000,23.8186,23.8186,23.7951,23.7951,311.54138820522,0
HERD.US,D,20191211,000000,23.855,23.8973,23.855,23.8973,404.18931737735,0
HERD.US,D,20191212,000000,24.2293,24.2293,24.1546,24.2193,654.64415887567,0
HERD.US,D,20191218,000000,24.3657,24.3825,24.3657,24.3825,214.82102258595,0
HERD.US,D,20191219,000000,24.4149,24.4149,24.4149,24.4149,629.19143108113,0
HERD.US,D,20191223,000000,24.4256,24.4512,24.4256,24.4512,133.37229364341,0
HERD.US,D,20191224,000000,24.4512,24.4512,24.4286,24.4286,275.90756929286,0
HERD.US,D,20191230,000000,24.4905,24.4905,24.3677,24.3677,437.78691806616,0
HERD.US,D,20191231,000000,24.4433,24.4581,24.3972,24.4581,1573.9966868146,0
HERD.US,D,20200102,000000,24.5573,24.5573,24.4797,24.5435,348.19331622936,0
HERD.US,D,20200106,000000,24.4336,24.4336,24.3491,24.4149,1613.7029421741,0
HERD.US,D,20200107,000000,24.3825,24.4011,24.3579,24.4011,670.93390466418,0
HERD.US,D,20200108,000000,24.41,24.4905,24.41,24.4905,638.35441308716,0
HERD.US,D,20200114,000000,24.6133,24.6133,24.5897,24.5897,494.80102832593,0
HERD.US,D,20200116,000000,24.7999,24.8235,24.7636,24.8235,368.555498465,0
HERD.US,D,20200117,000000,24.847,24.847,24.8421,24.8421,258.59971439257,0
HERD.US,D,20200124,000000,24.302,24.302,24.2577,24.2577,1850.9223652192,0
HERD.US,D,20200127,000000,23.8903,23.9091,23.8256,23.8256,2895.5023139073,0
HERD.US,D,20200128,000000,23.9885,24.0623,23.964,24.0485,1703.2965440109,0
HERD.US,D,20200204,000000,23.4111,23.4111,23.4111,23.4111,106.90145673709,0
HERD.US,D,20200205,000000,23.9866,24.1192,23.9866,24.1192,267.7626963986,0
HERD.US,D,20200206,000000,24.1163,24.1163,24.1163,24.1163,108.93767496064,0
HERD.US,D,20200211,000000,23.9818,24.0112,23.9689,23.9689,1596.3950872738,0
HERD.US,D,20200213,000000,24.134,24.134,24.134,24.134,110.97389318421,0
HERD.US,D,20200214,000000,24.0013,24.0013,24.0013,24.0013,117.0825478549,0
HERD.US,D,20200218,000000,23.8422,23.8472,23.8275,23.8472,349.21142534115,0
HERD.US,D,20200219,000000,24.0043,24.02,23.9748,24.02,504.98211944375,0
HERD.US,D,20200220,000000,23.9965,23.9965,23.9738,23.9847,404.18931737735,0
HERD.US,D,20200224,000000,23.2225,23.2225,23.2225,23.2225,1873.3207656784,0
HERD.US,D,20200225,000000,22.6596,22.6596,22.6596,22.6596,108.93767496064,0
HERD.US,D,20200226,000000,22.4897,22.4897,22.1509,22.1509,1038.4712940174,0
HERD.US,D,20200227,000000,21.4475,21.4475,21.3406,21.3406,108.93767496064,0
HERD.US,D,20200228,000000,21.0438,21.1087,20.9947,21.1087,2448.5524138351,0
HERD.US,D,20200306,000000,20.6176,20.9466,20.6176,20.9466,266.74458728682,0
HERD.US,D,20200309,000000,19.5794,19.5794,19.1836,19.1836,108.93767496064,0
HERD.US,D,20200310,000000,19.1856,19.7946,19.1856,19.7946,2247.9849188141,0
HERD.US,D,20200312,000000,18.2554,18.2554,16.8213,16.8213,11326.463868572,0
HERD.US,D,20200313,000000,17.3911,17.8448,16.899,17.8448,11920.02148074,0
HERD.US,D,20200316,000000,16.5729,16.5729,16.5542,16.5542,4658.8672955134,0
HERD.US,D,20200323,000000,15.0907,15.0907,14.9542,15.0514,638.35441308716,0
HERD.US,D,20200324,000000,16.3008,16.5277,16.2821,16.5277,3708.9714942209,0
HERD.US,D,20200326,000000,17.6159,17.841,17.4638,17.841,3609.1968012663,0
HERD.US,D,20200406,000000,17.6002,17.7398,17.6002,17.7398,465.27586408427,0
HERD.US,D,20200407,000000,18.4086,18.4086,17.9137,17.9137,544.68837480324,0
HERD.US,D,20200408,000000,18.4764,18.5029,18.3251,18.5029,3307.836504179,0
HERD.US,D,20200409,000000,18.826,18.8684,18.826,18.8684,900.00845481507,0
HERD.US,D,20200413,000000,18.4421,18.5943,18.4283,18.5903,2115.6307342825,0
HERD.US,D,20200414,000000,18.8457,18.9685,18.826,18.9429,3871.868952106,0
HERD.US,D,20200415,000000,18.2397,18.2672,18.1748,18.1748,264.70836906326,0
HERD.US,D,20200416,000000,18.4951,18.4951,18.4951,18.4951,292.19731508137,0
HERD.US,D,20200420,000000,18.723,18.723,18.4096,18.4096,1277.7269352861,0
HERD.US,D,20200421,000000,17.8026,17.9107,17.8026,17.9107,188.35018567962,0
HERD.US,D,20200422,000000,18.2063,18.2397,18.2063,18.2397,212.78480436239,0
HERD.US,D,20200424,000000,18.4086,18.6551,18.391,18.6551,1429.4251929416,0
HERD.US,D,20200428,000000,19.3938,19.4801,19.3938,19.4586,313.57760642879,0
HERD.US,D,20200429,000000,20.2317,20.3004,20.2317,20.3004,212.78480436239,0
HERD.US,D,20200504,000000,18.8163,18.996,18.8163,18.996,313.57760642879,0
HERD.US,D,20200507,000000,19.2798,19.2798,19.1679,19.1679,161.8793487733,0
HERD.US,D,20200511,000000,19.6668,19.6668,19.6109,19.6472,370.59171668856,0
HERD.US,D,20200513,000000,18.7583,18.7769,18.6541,18.6541,1002.837475105,0
HERD.US,D,20200514,000000,18.6747,18.7632,18.5294,18.7632,5256.4973441292,0
HERD.US,D,20200518,000000,19.8761,19.9693,19.7799,19.9458,8803.5894895769,0
HERD.US,D,20200519,000000,19.9409,19.9595,19.6728,19.6728,6667.5965730587,0
HERD.US,D,20200520,000000,19.9979,20.0351,19.9979,20.0351,984.51151109296,0
HERD.US,D,20200522,000000,19.7425,19.8838,19.7425,19.8838,524.32619256761,0
HERD.US,D,20200526,000000,20.5283,20.5283,20.4654,20.4654,2194.0251358897,0
HERD.US,D,20200527,000000,21.0391,21.1303,21.0381,21.1303,2064.7252786934,0
HERD.US,D,20200529,000000,20.8681,20.8868,20.819,20.819,529.41673812652,0
HERD.US,D,20200601,000000,20.8868,21.1991,20.8868,21.0979,2171.6267354305,0
HERD.US,D,20200603,000000,21.4348,22.0379,21.4348,22.0379,660.75281354636,0
HERD.US,D,20200608,000000,23.3089,23.3924,23.3089,23.3924,238.23753215693,0
HERD.US,D,20200609,000000,22.9769,22.9769,22.9013,22.9013,421.49717227765,0
HERD.US,D,20200610,000000,22.5624,22.6065,22.4436,22.4485,2498.4397603125,0
HERD.US,D,20200616,000000,21.7944,22.0969,21.7944,21.9102,269.79891462217,0
HERD.US,D,20200617,000000,21.8435,21.8906,21.7737,21.7737,4179.3379038641,0
HERD.US,D,20200622,000000,21.4829,21.6558,21.4829,21.6558,105.8833476253,0
HERD.US,D,20200623,000000,21.7884,21.7884,21.7472,21.7472,156.78880321439,0
HERD.US,D,20200701,000000,21.5684,21.5684,21.3729,21.3729,401.13499004201,0
HERD.US,D,20200702,000000,21.5291,21.6332,21.5291,21.5576,237.21942304515,0
HERD.US,D,20200706,000000,21.7226,21.814,21.7226,21.814,212.78480436239,0
HERD.US,D,20200714,000000,21.7187,21.8572,21.7187,21.8572,1053.7429306942,0
HERD.US,D,20200715,000000,22.1941,22.1941,22.1941,22.1941,106.90145673709,0
HERD.US,D,20200728,000000,22.6566,22.6852,22.5545,22.5545,580.3221937156,0
HERD.US,D,20200803,000000,22.7333,22.7501,22.7293,22.7293,460.18531852536,0
HERD.US,D,20200804,000000,22.858,22.9101,22.857,22.9101,263.69025995148,0
HERD.US,D,20200813,000000,23.7293,23.7293,23.5908,23.5908,105.8833476253,0
HERD.US,D,20200814,000000,23.6733,23.6733,23.6733,23.6733,108.93767496064,0
HERD.US,D,20200817,000000,23.7391,23.7489,23.7174,23.7174,378.73658958281,0
HERD.US,D,20200826,000000,23.5976,23.6349,23.5976,23.6349,581.34030282739,0
HERD.US,D,20200828,000000,23.5986,23.7097,23.5976,23.7097,263.69025995148,0
HERD.US,D,20200831,000000,23.5976,23.5976,23.5377,23.5377,343.10277067045,0
HERD.US,D,20200901,000000,23.3227,23.3855,23.2941,23.3855,2115.6307342825,0
HERD.US,D,20200904,000000,22.8295,22.8295,22.8295,22.8295,156.78880321439,0
HERD.US,D,20200911,000000,22.8375,22.8375,22.8247,22.8247,395.02633537132,0
HERD.US,D,20200914,000000,23.1075,23.1114,23.0752,23.1114,1595.376978162,0
HERD.US,D,20200915,000000,23.2175,23.2175,23.2175,23.2175,156.78880321439,0
HERD.US,D,20200916,000000,23.3914,23.3914,23.3914,23.3914,146.60771209657,0
HERD.US,D,20200917,000000,23.1615,23.1979,23.1615,23.1979,658.7165953228,0
