<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HERO.US,D,20191104,000000,15.3223,15.3223,15.2634,15.2634,556.2937062765,0
HERO.US,D,20191105,000000,15.3722,15.3722,15.1477,15.2435,1402.2610722177,0
HERO.US,D,20191106,000000,15.1637,15.1637,15.0659,15.1058,1153.6829836473,0
HERO.US,D,20191107,000000,15.1417,15.1547,15.0958,15.1347,1528.5547785075,0
HERO.US,D,20191108,000000,15.1447,15.2235,15.1447,15.2235,2220.1631700945,0
HERO.US,D,20191111,000000,15.0459,15.1148,15.0459,15.1148,11895.664335296,0
HERO.US,D,20191112,000000,15.429,15.429,15.2355,15.2355,1383.216783174,0
HERO.US,D,20191113,000000,15.3422,15.3422,15.1537,15.1537,5719.3006991238,0
HERO.US,D,20191114,000000,15.1148,15.1547,15.1148,15.1547,303.7062936969,0
HERO.US,D,20191115,000000,15.2036,15.2534,15.1966,15.2135,1366.1771561349,0
HERO.US,D,20191118,000000,15.2245,15.2245,15.1876,15.2235,1755.0815850273,0
HERO.US,D,20191120,000000,15.3722,15.3722,15.3622,15.3622,481.118881104,0
HERO.US,D,20191121,000000,15.3123,15.3462,15.3123,15.3323,1905.4312353723,0
HERO.US,D,20191122,000000,15.4171,15.437,15.3522,15.3522,948.2051281758,0
HERO.US,D,20191125,000000,15.6066,15.6066,15.5168,15.5388,702.6340326123,0
HERO.US,D,20191126,000000,15.5358,15.5378,15.5358,15.5378,217.5058274991,0
HERO.US,D,20191127,000000,15.5867,15.7154,15.5797,15.6755,3396.8997667947,0
HERO.US,D,20191129,000000,15.5478,15.5966,15.5368,15.5368,1031.3986013667,0
HERO.US,D,20191202,000000,15.5278,15.5278,15.4939,15.4939,736.7132866905,0
HERO.US,D,20191203,000000,15.3911,15.5079,15.3831,15.4749,2213.1468530784,0
HERO.US,D,20191206,000000,15.8231,15.8231,15.5378,15.7383,11783.403263039,0
HERO.US,D,20191209,000000,15.7343,15.7343,15.5966,15.5966,609.4172493984,0
HERO.US,D,20191210,000000,15.7343,15.7343,15.6804,15.6804,664.5454545249,0
HERO.US,D,20191213,000000,15.9598,15.9897,15.9448,15.9448,1439.3473193028,0
HERO.US,D,20191216,000000,16.0576,16.0576,15.9897,16.0246,2049.7668997035,0
HERO.US,D,20191217,000000,15.9897,16.0197,15.9897,16.0197,379.8834498717,0
HERO.US,D,20191218,000000,16.0197,16.0197,15.9798,15.9798,2968.9044288126,0
HERO.US,D,20191219,000000,16.0336,16.0646,16.0286,16.0436,2755.4079253227,0
HERO.US,D,20191220,000000,16.0286,16.1324,16.0286,16.1324,3477.0862469787,0
HERO.US,D,20191223,000000,16.1962,16.1962,16.1374,16.1673,2336.4335663613,0
HERO.US,D,20191224,000000,16.1863,16.1863,16.0885,16.1424,1723.0069929537,0
HERO.US,D,20191226,000000,16.1573,16.2362,16.1384,16.2062,2117.9254078599,0
HERO.US,D,20191227,000000,16.2262,16.2411,16.1962,16.1962,3777.7855476687,0
HERO.US,D,20191230,000000,16.2651,16.2651,16.1075,16.1075,2261.2587411888,0
HERO.US,D,20191231,000000,16.1304,16.1304,16.1304,16.1304,532.2377622213,0
HERO.US,D,20200102,000000,16.3738,16.4916,16.3738,16.4686,3640.4662003536,0
HERO.US,D,20200103,000000,16.4317,16.5115,16.4187,16.4616,4076.4801863541,0
HERO.US,D,20200106,000000,16.3539,16.5464,16.3539,16.5335,3053.1002330058,0
HERO.US,D,20200107,000000,16.6492,16.6492,16.5614,16.6153,1395.2447552016,0
HERO.US,D,20200108,000000,16.737,16.8467,16.6891,16.7968,5134.9417247829,0
HERO.US,D,20200109,000000,16.8757,16.9365,16.8697,16.9365,4492.4475523086,0
HERO.US,D,20200110,000000,16.9645,16.9744,16.8437,16.8527,4016.3403262161,0
HERO.US,D,20200113,000000,17.1031,17.1919,17.0183,17.1869,8975.8741255965,0
HERO.US,D,20200114,000000,17.1221,17.153,16.9944,17.1031,13650.745920324,0
HERO.US,D,20200115,000000,17.1131,17.152,17.0792,17.1081,5603.030302857,0
HERO.US,D,20200116,000000,17.2219,17.2219,17.0932,17.162,3270.6060605049,0
HERO.US,D,20200117,000000,17.2219,17.2219,17.0642,17.172,6908.0652678516,0
HERO.US,D,20200121,000000,17.142,17.142,16.9994,16.9994,10893.333332996,0
HERO.US,D,20200122,000000,17.154,17.154,17.0193,17.0193,1281.9813519417,0
HERO.US,D,20200123,000000,17.0243,17.0642,17.0243,17.0443,2352.4708623981,0
HERO.US,D,20200124,000000,17.1819,17.1819,16.8866,16.8866,4926.4568763045,0
HERO.US,D,20200127,000000,16.4736,16.748,16.4337,16.5913,8281.2587410026,0
HERO.US,D,20200128,000000,16.6981,16.8667,16.6981,16.8577,4871.328671178,0
HERO.US,D,20200129,000000,17.0143,17.0143,16.8268,16.8268,6506.1305359293,0
HERO.US,D,20200130,000000,16.5903,16.738,16.5275,16.738,2652.1678320858,0
HERO.US,D,20200131,000000,16.5015,16.5015,16.3459,16.3788,1264.9417249026,0
HERO.US,D,20200203,000000,16.6203,16.6262,16.6003,16.6153,4889.3706292194,0
HERO.US,D,20200204,000000,16.7081,16.9804,16.7081,16.9615,23674.055943324,0
HERO.US,D,20200205,000000,16.9744,17.1311,16.9744,17.0193,3559.2773891673,0
HERO.US,D,20200206,000000,17.0742,17.2578,17.0742,17.2578,2041.7482516851,0
HERO.US,D,20200207,000000,17.2219,17.2219,16.9445,17.0183,3962.2144520919,0
HERO.US,D,20200210,000000,17.0143,17.165,16.9645,17.165,897748.78785102,0
HERO.US,D,20200211,000000,17.3396,17.3396,17.181,17.1869,3460.0466199396,0
HERO.US,D,20200212,000000,17.2408,17.3984,17.2408,17.3645,8668.1585078904,0
HERO.US,D,20200213,000000,17.3595,17.5381,17.2907,17.2907,8727.2960370261,0
HERO.US,D,20200214,000000,17.4882,17.6349,17.4533,17.6259,5025.6876455322,0
HERO.US,D,20200218,000000,17.5661,17.5661,17.3984,17.4214,9514.1258738316,0
HERO.US,D,20200219,000000,17.7327,17.8703,17.6648,17.7327,10594.638694311,0
HERO.US,D,20200220,000000,17.7426,17.9103,17.609,17.6738,178842.91374738,0
HERO.US,D,20200221,000000,17.7127,17.7127,17.4882,17.5082,6267.5757573819,0
HERO.US,D,20200224,000000,16.9355,17.2019,16.8777,16.9704,881752.58738531,0
HERO.US,D,20200225,000000,17.5661,17.5661,16.748,16.748,24815.710954943,0
HERO.US,D,20200226,000000,16.748,17.2219,16.748,16.9694,915883.96267563,0
HERO.US,D,20200227,000000,16.738,16.8966,16.2461,16.3539,15962.121211628,0
HERO.US,D,20200228,000000,15.9598,16.5015,15.871,16.5015,9988.2284379195,0
HERO.US,D,20200302,000000,16.7869,16.9056,16.3439,16.6203,10321.002330683,0
HERO.US,D,20200303,000000,16.9355,16.9645,16.5484,16.6213,3882.0279719079,0
HERO.US,D,20200304,000000,17.0932,17.4384,17.0443,17.4384,9796.7832164802,0
HERO.US,D,20200305,000000,16.8767,17.2907,16.8767,17.2248,10335.034964715,0
HERO.US,D,20200306,000000,16.7579,16.9355,16.6302,16.9355,5748.3682981905,0
HERO.US,D,20200309,000000,15.7732,16.3838,15.7662,16.0576,947318.06523876,0
HERO.US,D,20200310,000000,16.6003,16.6003,16.1015,16.5734,152203.96269926,0
HERO.US,D,20200311,000000,16.1174,16.285,15.861,15.9199,4430.303030166,0
HERO.US,D,20200312,000000,15.2016,15.3502,14.6688,14.6788,10479.370629046,0
HERO.US,D,20200313,000000,15.6645,15.6645,14.7975,15.4879,4451.3519812143,0
HERO.US,D,20200316,000000,13.8427,14.6299,13.7699,14.4134,13214.731934323,0
HERO.US,D,20200317,000000,14.57,15.2016,13.9644,15.01,13627.692307271,0
HERO.US,D,20200318,000000,14.3735,14.7576,13.9006,14.2189,9451.981351689,0
HERO.US,D,20200319,000000,14.3685,14.4324,14.2857,14.4314,11389.487179135,0
HERO.US,D,20200320,000000,14.7975,15.1527,13.9405,14.1809,90347.109554315,0
HERO.US,D,20200323,000000,14.0682,14.4822,13.8826,14.2558,11458.648018294,0
HERO.US,D,20200324,000000,15.3402,15.8131,15.1886,15.3153,6196.4102562186,0
HERO.US,D,20200325,000000,15.4969,15.6944,15.014,15.1716,17685.128204581,0
HERO.US,D,20200326,000000,15.448,15.88,15.448,15.8271,10834.195803861,0
HERO.US,D,20200327,000000,15.6745,15.8311,15.4181,15.6914,16859.207458686,0
HERO.US,D,20200330,000000,15.9997,16.0476,15.861,15.9927,11558.881118524,0
HERO.US,D,20200331,000000,16.0576,16.305,15.9897,16.1274,10691.864801534,0
HERO.US,D,20200401,000000,15.861,16.2062,15.7633,15.9438,10167.645687331,0
HERO.US,D,20200402,000000,15.8131,16.2362,15.8131,16.1743,13452.284381868,0
HERO.US,D,20200403,000000,16.1075,16.6003,16.0097,16.0705,9336.7132864245,0
HERO.US,D,20200406,000000,16.8667,16.8667,16.5265,16.7081,13285.897435487,0
HERO.US,D,20200407,000000,17.3106,17.3106,16.5414,16.6552,18809.743589162,0
HERO.US,D,20200408,000000,16.6592,16.6592,16.4147,16.5464,5946.8298366459,0
HERO.US,D,20200409,000000,16.9156,16.9844,16.5414,16.6412,10705.897435566,0
HERO.US,D,20200413,000000,16.7679,16.9255,16.5315,16.8368,27715.454544597,0
HERO.US,D,20200414,000000,17.2807,17.5381,17.1051,17.3396,21642.331001662,0
HERO.US,D,20200415,000000,17.0842,17.5261,17.0443,17.3226,15067.039626574,0
HERO.US,D,20200416,000000,17.6449,17.9242,17.586,17.9202,35374.265733172,0
HERO.US,D,20200417,000000,18.1667,18.1667,17.5381,17.8075,22984.452213741,0
HERO.US,D,20200420,000000,17.9302,17.9302,17.7127,17.7586,40804.895103633,0
HERO.US,D,20200421,000000,17.7816,17.7816,17.0902,17.3845,29980.722609795,0
HERO.US,D,20200422,000000,17.7127,17.7127,17.3206,17.5651,16618.648018134,0
HERO.US,D,20200423,000000,17.7816,17.7816,17.4753,17.4882,36673.286712152,0
HERO.US,D,20200424,000000,17.6449,17.7915,17.3895,17.6359,133605.71095158,0
HERO.US,D,20200427,000000,17.7327,17.999,17.7327,17.8115,24063.962703218,0
HERO.US,D,20200428,000000,18.3642,18.3642,17.6159,17.6159,13406.177155763,0
HERO.US,D,20200429,000000,17.8703,18.018,17.7327,17.9103,21766.620045947,0
HERO.US,D,20200430,000000,17.576,17.7556,17.4783,17.5182,18959.090908505,0
HERO.US,D,20200501,000000,17.4583,17.4583,17.0243,17.2019,23302.19114147,0
