<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEWG.US,D,20140220,000000,19.1722,19.1789,19.1722,19.1789,4239.3133386084,0
HEWG.US,D,20140221,000000,19.2662,19.2662,19.2662,19.2662,448.9048934505,0
HEWG.US,D,20140314,000000,18.02,18.05,17.9977,18.05,2441.6298342618,0
HEWG.US,D,20140317,000000,18.239,18.3088,18.239,18.3088,5138.1550907817,0
HEWG.US,D,20140321,000000,18.5559,18.5559,18.4483,18.4551,4735.6886345847,0
HEWG.US,D,20140324,000000,18.3921,18.3921,18.3921,18.3921,1925.6471981118,0
HEWG.US,D,20140328,000000,19.0336,19.0714,19.0171,19.0249,3655.2209944866,0
HEWG.US,D,20140331,000000,19.0714,19.1411,19.0016,19.0016,1155.801104976,0
HEWG.US,D,20140401,000000,19.1499,19.1499,19.1499,19.1499,900.9056827179,0
HEWG.US,D,20140411,000000,18.4551,18.4551,18.4551,18.4551,513.9187056054,0
HEWG.US,D,20140422,000000,19.0859,19.1024,19.0859,19.1024,2570.6254932993,0
HEWG.US,D,20140425,000000,18.6818,18.6896,18.6818,18.6896,2312.6341752243,0
HEWG.US,D,20140508,000000,19.0559,19.0559,19.0559,19.0559,130.0276243098,0
HEWG.US,D,20140522,000000,19.2662,19.3117,19.2662,19.2894,2419241.3476793,0
HEWG.US,D,20140523,000000,19.3592,19.4222,19.3505,19.4134,56987.186266951,0
HEWG.US,D,20140527,000000,19.7478,19.7478,19.7003,19.7003,51723.131412948,0
HEWG.US,D,20140528,000000,19.6925,19.708,19.6848,19.6848,2644.9269929049,0
HEWG.US,D,20140529,000000,19.677,19.7652,19.677,19.7478,2931.8133386043,0
HEWG.US,D,20140530,000000,19.6693,19.7255,19.6693,19.7255,2415.8307024543,0
HEWG.US,D,20140602,000000,19.6925,19.8243,19.6925,19.7255,1349.8105761684,0
HEWG.US,D,20140603,000000,19.677,19.677,19.6237,19.6237,9991.4877664086,0
HEWG.US,D,20140604,000000,19.6295,19.6615,19.6072,19.6615,2903.9502762522,0
HEWG.US,D,20140605,000000,19.7565,19.7652,19.7255,19.7652,4956.5292028569,0
HEWG.US,D,20140606,000000,19.8243,19.8243,19.8098,19.8175,1214.6231254971,0
HEWG.US,D,20140609,000000,19.7313,19.8631,19.7313,19.8631,10133.898973986,0
HEWG.US,D,20140610,000000,19.8573,19.8883,19.8573,19.8631,1541.7561168162,0
HEWG.US,D,20140611,000000,19.74,19.7478,19.74,19.7478,454.064719812,0
HEWG.US,D,20140612,000000,19.7003,19.74,19.6383,19.6383,3399.2936069562,0
HEWG.US,D,20140613,000000,19.6072,19.6925,19.6072,19.6072,53168.914759441,0
HEWG.US,D,20140616,000000,19.6615,19.6615,19.6383,19.6547,1470.5505130275,0
HEWG.US,D,20140617,000000,19.6072,19.6925,19.6072,19.6925,1166.120757699,0
HEWG.US,D,20140618,000000,19.6925,19.8243,19.6925,19.8243,454.064719812,0
HEWG.US,D,20140619,000000,19.8243,19.8408,19.8175,19.8175,1270.3492502013,0
HEWG.US,D,20140620,000000,19.8011,19.8011,19.7788,19.7865,5807.9005525044,0
HEWG.US,D,20140623,000000,19.7003,19.7003,19.677,19.6848,1232.1665351262,0
HEWG.US,D,20140624,000000,19.6848,19.7313,19.677,19.677,1669.7198105814,0
HEWG.US,D,20140625,000000,19.583,19.583,19.5365,19.583,1972.0856353653,0
HEWG.US,D,20140626,000000,19.4222,19.5074,19.4222,19.5074,3689.2758484725,0
HEWG.US,D,20140630,000000,19.5288,19.5288,19.491,19.4987,1884.3685872198,0
HEWG.US,D,20140701,000000,19.6072,19.6693,19.6072,19.6295,1165.0887924267,0
HEWG.US,D,20140702,000000,19.6576,19.6576,19.6344,19.6431,1257.9656669337,0
HEWG.US,D,20140703,000000,19.834,19.8805,19.834,19.8728,2429.2462509942,0
HEWG.US,D,20140707,000000,19.7293,19.7293,19.5481,19.5481,1762.5966850884,0
HEWG.US,D,20140708,000000,19.5084,19.5084,19.3592,19.3747,5393.0505130398,0
HEWG.US,D,20140709,000000,19.3669,19.4222,19.3669,19.4222,2060.8346487831,0
HEWG.US,D,20140710,000000,19.0568,19.1915,19.0568,19.1276,4310.5189423971,0
HEWG.US,D,20140711,000000,19.1189,19.1363,19.1189,19.1276,1645.9846093185,0
HEWG.US,D,20140714,000000,19.335,19.3747,19.335,19.3747,6616.9613259876,0
HEWG.US,D,20140715,000000,19.3262,19.3262,19.2487,19.2487,2103.1452249474,0
HEWG.US,D,20140716,000000,19.5239,19.5239,19.4929,19.4929,14591.988950322,0
HEWG.US,D,20140717,000000,19.4222,19.4222,19.2632,19.272,7422.9262036539,0
HEWG.US,D,20140718,000000,19.2778,19.2865,19.2778,19.2865,1510.7971586472,0
HEWG.US,D,20140721,000000,19.0568,19.1043,19.0568,19.1043,2487.036306243,0
HEWG.US,D,20140722,000000,19.2778,19.2943,19.2632,19.272,1661.464088403,0
HEWG.US,D,20140723,000000,19.335,19.335,19.3262,19.3262,3464.3074191111,0
HEWG.US,D,20140724,000000,19.3194,19.397,19.3194,19.3592,3688.2438832002,0
HEWG.US,D,20140725,000000,19.1189,19.1189,19.1189,19.1189,1620.185477511,0
HEWG.US,D,20140728,000000,18.9919,19.0103,18.9696,19.0103,2987.5394633085,0
HEWG.US,D,20140729,000000,19.1276,19.1576,19.1043,19.1043,1759.5007892715,0
HEWG.US,D,20140730,000000,19.0394,19.0723,18.9619,19.0723,2058.7707182385,0
HEWG.US,D,20140731,000000,18.7245,18.7245,18.5801,18.6111,14591.988950322,0
HEWG.US,D,20140801,000000,18.4115,18.4115,18.2215,18.269,8335.1835043671,0
HEWG.US,D,20140804,000000,18.2613,18.2613,18.1343,18.2613,4430.2269139839,0
HEWG.US,D,20140805,000000,18.1983,18.2458,18.0461,18.0801,1943.1906077409,0
HEWG.US,D,20140806,000000,18.0239,18.1024,18.0239,18.0549,2879.183109717,0
HEWG.US,D,20140807,000000,18.0956,18.0956,17.8417,17.8417,4077.2947908573,0
HEWG.US,D,20140808,000000,18.0064,18.0151,17.9929,17.9929,7634.4790844754,0
HEWG.US,D,20140811,000000,18.2293,18.2545,18.1983,18.2215,3320.8642462614,0
HEWG.US,D,20140812,000000,18.0306,18.0723,18.0151,18.0394,2791.4660615715,0
HEWG.US,D,20140813,000000,18.2613,18.269,18.2293,18.2293,2321.921862675,0
HEWG.US,D,20140814,000000,18.3495,18.3591,18.3495,18.3591,987.5907655911,0
HEWG.US,D,20140815,000000,18.3252,18.3252,18.0461,18.1431,2765.666929764,0
HEWG.US,D,20140818,000000,18.3495,18.4037,18.3495,18.396,3403.4214680454,0
HEWG.US,D,20140819,000000,18.5229,18.5801,18.5229,18.5636,3261.010260468,0
HEWG.US,D,20140820,000000,18.4289,18.5636,18.4037,18.5549,44631.466061703,0
HEWG.US,D,20140821,000000,18.6111,18.6673,18.6111,18.6431,9043.1116811649,0
HEWG.US,D,20140822,000000,18.5636,18.5878,18.5636,18.5714,1913.2636148442,0
HEWG.US,D,20140825,000000,18.7458,18.8902,18.7458,18.8592,101555.70244704,0
HEWG.US,D,20140826,000000,18.9696,19.0103,18.9532,18.9851,5035.990528824,0
HEWG.US,D,20140827,000000,18.9696,18.9696,18.9532,18.9532,2663.5023678063,0
HEWG.US,D,20140828,000000,18.7768,18.8262,18.7545,18.7952,3352.8551697027,0
HEWG.US,D,20140829,000000,18.6906,18.833,18.6838,18.7623,3469.4672454726,0
HEWG.US,D,20140902,000000,18.8592,18.8805,18.7855,18.8427,14317.48618789,0
HEWG.US,D,20140903,000000,19.1276,19.1276,19.0336,19.0394,58215.224940988,0
HEWG.US,D,20140904,000000,19.207,19.2943,19.207,19.2225,142447.32636193,0
HEWG.US,D,20140905,000000,19.3194,19.3592,19.2943,19.3262,2700.6531176091,0
HEWG.US,D,20140908,000000,19.301,19.3262,19.2487,19.2778,15601.250986631,0
HEWG.US,D,20140909,000000,19.2303,19.2303,19.1828,19.1828,3284.7454617309,0
HEWG.US,D,20140910,000000,19.1828,19.2778,19.1828,19.2632,39108.387924353,0
HEWG.US,D,20140911,000000,19.1576,19.2003,19.0723,19.1741,374638.48066416,0
HEWG.US,D,20140912,000000,19.0646,19.1121,19.0481,19.0879,196106.42462571,0
HEWG.US,D,20140915,000000,19.0956,19.1441,19.0956,19.1363,35076.499605477,0
HEWG.US,D,20140916,000000,19.0171,19.1528,19.0171,19.1528,21935.453828009,0
HEWG.US,D,20140917,000000,19.1663,19.2138,19.1189,19.1663,488389.94869924,0
HEWG.US,D,20140918,000000,19.3262,19.3669,19.2943,19.3495,32342.823599154,0
HEWG.US,D,20140919,000000,19.4386,19.4386,19.3427,19.3592,7139.1357537714,0
HEWG.US,D,20140922,000000,19.3495,19.3912,19.2225,19.272,12715.876085281,0
HEWG.US,D,20140923,000000,19.0481,19.0723,18.9454,18.9851,10534.301499638,0
HEWG.US,D,20140924,000000,18.9532,19.1663,18.9532,19.1276,86477.657853468,0
HEWG.US,D,20140925,000000,19.0956,19.0956,18.738,18.7855,141617.626283,0
HEWG.US,D,20140926,000000,18.77,18.8805,18.77,18.8592,26026.164167406,0
HEWG.US,D,20140929,000000,18.5878,18.6906,18.5714,18.675,48267.079716016,0
HEWG.US,D,20140930,000000,18.6576,18.7623,18.6576,18.7313,14314.390292073,0
HEWG.US,D,20141001,000000,18.5549,18.5714,18.5093,18.5316,7560.1775848698,0
HEWG.US,D,20141002,000000,18.4202,18.4202,18.1731,18.2942,12637.446724586,0
HEWG.US,D,20141003,000000,18.4444,18.5316,18.2613,18.4522,68894.001578748,0
HEWG.US,D,20141006,000000,18.3495,18.3495,18.1508,18.2293,12245.299921112,0
HEWG.US,D,20141007,000000,18.1198,18.1198,17.9124,17.9124,43913.218232182,0
HEWG.US,D,20141008,000000,17.7932,18.0006,17.7932,18.0006,4779.0311760213,0
HEWG.US,D,20141009,000000,18.0239,18.0239,17.6266,17.6818,93371.185872432,0
HEWG.US,D,20141010,000000,17.5393,17.5393,17.3795,17.395,17508.322809842,0
HEWG.US,D,20141013,000000,17.5713,17.5713,17.3329,17.3329,6546.7876874712,0
HEWG.US,D,20141014,000000,17.5219,17.5558,17.4211,17.4521,168128.81412839,0
HEWG.US,D,20141015,000000,17.0539,17.1818,16.8252,17.0626,29060.142067968,0
HEWG.US,D,20141016,000000,16.9056,17.0393,16.9056,16.9521,21485.516969286,0
HEWG.US,D,20141017,000000,17.3872,17.5481,17.3572,17.5074,10617.890686695,0
HEWG.US,D,20141020,000000,17.3329,17.3872,17.2622,17.3872,37826.687056156,0
HEWG.US,D,20141021,000000,17.643,17.737,17.5781,17.737,122817.28295224,0
HEWG.US,D,20141022,000000,17.7458,17.769,17.5781,17.5946,65331.657458768,0
HEWG.US,D,20141023,000000,17.7932,17.9773,17.7932,17.9202,12421.765982675,0
HEWG.US,D,20141024,000000,17.8155,17.8872,17.801,17.8872,46804.784925166,0
HEWG.US,D,20141027,000000,17.5713,17.7138,17.5713,17.6731,11727.253354417,0
HEWG.US,D,20141028,000000,17.9202,18.0723,17.9202,18.0636,32205.572217938,0
HEWG.US,D,20141029,000000,18.0801,18.0956,18.0006,18.0006,3838.910812956,0
HEWG.US,D,20141030,000000,17.9589,18.2458,17.8649,18.1508,30843.378058502,0
HEWG.US,D,20141031,000000,18.4522,18.5316,18.4522,18.5316,32766.96132607,0
HEWG.US,D,20141103,000000,18.4754,18.4754,18.365,18.3824,15809.707971636,0
HEWG.US,D,20141104,000000,18.3591,18.3591,18.239,18.2545,7815.0730071279,0
HEWG.US,D,20141105,000000,18.5026,18.5093,18.4599,18.4841,18964.425809057,0
HEWG.US,D,20141106,000000,21.2391,21.2391,18.5714,18.6111,10370.219021343,0
HEWG.US,D,20141107,000000,18.5229,18.5229,18.3495,18.3882,16968.604972429,0
HEWG.US,D,20141110,000000,18.4599,18.5549,18.4115,18.5394,124539.63299171,0
HEWG.US,D,20141111,000000,18.5093,18.5801,18.5093,18.5549,54436.168113825,0
HEWG.US,D,20141112,000000,18.3495,18.3727,18.2458,18.3727,59341.099053067,0
HEWG.US,D,20141113,000000,18.4289,18.4289,18.3107,18.4037,33481.081294501,0
HEWG.US,D,20141114,000000,18.333,18.3882,18.333,18.333,43115.509076694,0
HEWG.US,D,20141117,000000,18.4929,18.5229,18.4599,18.5229,2946.2608524165,0
HEWG.US,D,20141118,000000,18.77,18.8592,18.738,18.8262,13593.046566736,0
HEWG.US,D,20141119,000000,18.8097,18.833,18.738,18.833,21045.899763286,0
HEWG.US,D,20141120,000000,18.7157,18.8737,18.7157,18.833,929694.41791925,0
HEWG.US,D,20141121,000000,19.2303,19.3194,19.2138,19.2632,130865.58011091,0
HEWG.US,D,20141124,000000,19.4774,19.4774,19.3824,19.4619,40537.659826489,0
HEWG.US,D,20141125,000000,19.5549,19.6276,19.5317,19.5811,62217.186266967,0
HEWG.US,D,20141126,000000,19.6344,19.7468,19.6121,19.7235,1560617.346098,0
HEWG.US,D,20141128,000000,19.7555,19.7952,19.6751,19.7642,43835.820836759,0
HEWG.US,D,20141201,000000,19.7061,19.7865,19.6819,19.7381,61344.143646601,0
HEWG.US,D,20141202,000000,19.7468,19.7555,19.6344,19.7293,124649.02131057,0
HEWG.US,D,20141203,000000,19.7642,19.8175,19.7235,19.8098,72679.250197544,0
HEWG.US,D,20141204,000000,19.6344,19.7158,19.5084,19.6208,54891.264798909,0
HEWG.US,D,20141205,000000,19.8175,19.9852,19.8175,19.9687,170549.8046572,0
HEWG.US,D,20141208,000000,19.928,19.9687,19.7381,19.7952,204785.25256576,0
HEWG.US,D,20141209,000000,19.5007,19.5714,19.4057,19.5636,37005.242699406,0
HEWG.US,D,20141210,000000,19.5317,19.5859,19.2943,19.2943,41271.387135094,0
HEWG.US,D,20141211,000000,19.5317,19.6208,19.4299,19.4299,33142.596685187,0
HEWG.US,D,20141212,000000,19.3098,19.3262,18.9377,18.9377,38400.459747555,0
HEWG.US,D,20141215,000000,19.0171,19.0646,18.4754,18.5714,17267.874901396,0
HEWG.US,D,20141216,000000,18.5801,18.9289,18.5801,18.7245,37312.768350551,0
HEWG.US,D,20141217,000000,19.1043,19.1828,18.8805,19.1121,21767.243488624,0
HEWG.US,D,20141218,000000,19.4222,19.5394,19.3098,19.5394,45689.23046581,0
HEWG.US,D,20141219,000000,19.3098,19.5084,19.3098,19.4299,38244.632991438,0
HEWG.US,D,20141222,000000,19.5394,19.6528,19.5239,19.6528,21563.946329981,0
HEWG.US,D,20141223,000000,19.6673,19.7061,19.6121,19.6528,183260.52091612,0
HEWG.US,D,20141224,000000,19.6121,19.771,19.6034,19.7642,66501.906077557,0
HEWG.US,D,20141226,000000,19.6867,19.8514,19.6867,19.7691,77598.628650598,0
HEWG.US,D,20141229,000000,19.5956,19.6945,19.5956,19.6702,21498.932517826,0
HEWG.US,D,20141230,000000,19.4328,19.4822,19.3592,19.4164,14636.363457031,0
HEWG.US,D,20141231,000000,19.5384,19.5384,19.3001,19.3262,32503.810181633,0
