<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HLAL.US,D,20190717,000000,24.2266,24.2266,24.0039,24.0039,3944.7602174282,0
HLAL.US,D,20190718,000000,24.1391,24.1391,24.0138,24.1391,4618.4765940983,0
HLAL.US,D,20190719,000000,24.2167,24.2167,24.1092,24.148,6411.3665935055,0
HLAL.US,D,20190722,000000,24.1092,24.1242,24.0815,24.1092,15988.19461053,0
HLAL.US,D,20190723,000000,24.159,24.2615,24.149,24.2615,9615.0387965965,0
HLAL.US,D,20190724,000000,24.342,24.3619,24.3141,24.342,7902.5925436574,0
HLAL.US,D,20190725,000000,24.3141,24.3141,24.2416,24.2843,9971.0023747177,0
HLAL.US,D,20190726,000000,24.2635,24.2843,24.2366,24.2763,3326.3489164548,0
HLAL.US,D,20190729,000000,24.333,24.333,24.2067,24.3141,4662.7206546557,0
HLAL.US,D,20190730,000000,24.2366,24.2645,24.2366,24.2645,10017.257528937,0
HLAL.US,D,20190731,000000,24.4007,24.4007,24.149,24.149,7752.7660658606,0
HLAL.US,D,20190801,000000,24.0616,24.1968,23.7443,23.7443,6989.5560212447,0
HLAL.US,D,20190802,000000,23.7225,23.7225,23.4131,23.4231,3862.3053772984,0
HLAL.US,D,20190805,000000,23.0272,23.065,22.7369,22.7369,13354.667460531,0
HLAL.US,D,20190806,000000,22.8303,22.9905,22.8115,22.9547,10772.423198906,0
HLAL.US,D,20190807,000000,22.8403,22.8403,22.6603,22.8075,5538.5519443269,0
HLAL.US,D,20190808,000000,23.249,23.4519,23.249,23.4519,3075.967755573,0
HLAL.US,D,20190809,000000,23.4231,23.4231,23.2918,23.2918,1542.5088385253,0
HLAL.US,D,20190812,000000,23.1347,23.2391,23.0163,23.0163,2257.4526352603,0
HLAL.US,D,20190813,000000,23.5196,23.5395,23.4609,23.5126,5191.6382876833,0
HLAL.US,D,20190814,000000,23.0163,23.0352,22.7916,22.7916,9334.4912307891,0
HLAL.US,D,20190815,000000,22.7737,22.7757,22.6096,22.6096,8693.9578995371,0
HLAL.US,D,20190816,000000,22.9945,23.0959,22.9945,23.0959,2443.4787989677,0
