<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HNDL.US,D,20180117,000000,20.6907,20.7055,20.6878,20.7025,86607.41518667,0
HNDL.US,D,20180118,000000,21.0848,21.0848,20.6839,20.6907,5163.0423780154,0
HNDL.US,D,20180119,000000,20.6907,20.6907,20.6643,20.674,36322.456027793,0
HNDL.US,D,20180122,000000,20.673,20.7124,20.673,20.7055,7835.6521325332,0
HNDL.US,D,20180123,000000,20.7055,20.7782,20.7055,20.7782,3712.7495752021,0
HNDL.US,D,20180124,000000,20.8047,20.8047,20.7556,20.7615,13524.870916903,0
HNDL.US,D,20180125,000000,20.7615,20.7703,20.7291,20.7615,6097.3362678278,0
HNDL.US,D,20180126,000000,20.7458,20.7969,20.7458,20.7625,8407.627258976,0
HNDL.US,D,20180129,000000,20.8214,20.8214,20.7369,20.7458,9386.7021195419,0
HNDL.US,D,20180130,000000,20.7291,20.7291,20.6476,20.6573,9239.1284659223,0
HNDL.US,D,20180131,000000,20.678,20.678,20.6219,20.6219,6900.3404933854,0
HNDL.US,D,20180201,000000,20.6643,20.6643,20.6309,20.6309,2589.1543090225,0
HNDL.US,D,20180202,000000,20.5325,20.5325,20.4186,20.4186,14290.218417054,0
HNDL.US,D,20180205,000000,20.3605,20.3605,20.2496,20.2496,3966.1691596936,0
HNDL.US,D,20180206,000000,20.1042,20.1946,20.1012,20.1946,2805.9349174431,0
HNDL.US,D,20180207,000000,20.2683,20.2683,20.2054,20.2319,1034.0333246725,0
HNDL.US,D,20180208,000000,20.2319,20.2319,19.9961,19.9961,4391.5883818522,0
HNDL.US,D,20180209,000000,20.2407,20.2407,19.717,19.8645,1967.3094651496,0
HNDL.US,D,20180212,000000,19.946,19.9794,19.9263,19.9705,1844.1617955774,0
HNDL.US,D,20180213,000000,19.9882,20.0285,19.9882,20.0285,2648.1837704704,0
HNDL.US,D,20180214,000000,19.9744,20.0767,19.9744,20.0767,7827.5101378507,0
HNDL.US,D,20180215,000000,20.17,20.1877,20.1474,20.1789,1324.0918852351,0
HNDL.US,D,20180216,000000,20.2702,20.3027,20.2427,20.2516,10799.338196949,0
HNDL.US,D,20180220,000000,20.2702,20.283,20.2604,20.2604,485.46643294172,0
HNDL.US,D,20180221,000000,20.2673,20.278,20.2604,20.2604,2464.988890115,0
HNDL.US,D,20180222,000000,20.2191,20.2191,20.1877,20.2113,778.57824151031,0
HNDL.US,D,20180223,000000,20.2427,20.286,20.2427,20.286,276.82781920367,0
HNDL.US,D,20180226,000000,20.4029,20.4126,20.4029,20.4126,452.89845421187,0
HNDL.US,D,20180227,000000,20.4216,20.4333,20.3792,20.3939,2704.1599839123,0
HNDL.US,D,20180228,000000,20.3548,20.3548,20.3027,20.3027,8589.8043899961,0
HNDL.US,D,20180301,000000,20.278,20.278,20.2702,20.2702,232.04684845013,0
HNDL.US,D,20180302,000000,20.1209,20.1789,20.1209,20.1769,989.25235391897,0
HNDL.US,D,20180305,000000,20.1877,20.2604,20.1877,20.2604,2500.6101168508,0
HNDL.US,D,20180306,000000,20.4373,20.4373,20.278,20.3124,4374.286643152,0
HNDL.US,D,20180308,000000,20.3458,20.3458,20.3261,20.3458,1445.2040561368,0
HNDL.US,D,20180309,000000,20.3939,20.4126,20.3939,20.4126,2301.1312471305,0
HNDL.US,D,20180312,000000,20.5847,20.5847,20.453,20.4609,1414.6715760776,0
HNDL.US,D,20180313,000000,20.5129,20.5129,20.4746,20.4874,550.60239040141,0
HNDL.US,D,20180314,000000,20.4647,20.4647,20.4442,20.4442,2249.2260310297,0
HNDL.US,D,20180315,000000,20.5611,20.5611,20.4265,20.4313,1320.0208878939,0
HNDL.US,D,20180316,000000,20.4226,20.4226,20.4226,20.4226,1119.5242688383,0
HNDL.US,D,20180319,000000,20.3478,20.3478,20.2987,20.2987,3618.0988870185,0
HNDL.US,D,20180320,000000,20.2722,20.278,20.2722,20.278,483.43093427111,0
HNDL.US,D,20180321,000000,20.3802,20.3802,20.2623,20.28,2537.2490929218,0
HNDL.US,D,20180322,000000,20.226,20.226,20.1808,20.1808,3136.703451418,0
HNDL.US,D,20180323,000000,19.9538,20.0934,19.775,20.0688,3487.8269720991,0
HNDL.US,D,20180326,000000,20.0128,20.0373,20.0039,20.0373,4545.2685314837,0
HNDL.US,D,20180327,000000,20.1483,20.1483,20.1218,20.1218,483.43093427111,0
HNDL.US,D,20180328,000000,20.0039,20.0128,20.0039,20.0128,1642.6474271865,0
HNDL.US,D,20180329,000000,20.0039,20.113,20.0039,20.113,1059.4770580552,0
HNDL.US,D,20180402,000000,20.7389,20.7389,19.9902,19.9902,1441.1330587955,0
HNDL.US,D,20180403,000000,20.0128,20.0295,19.9283,19.9283,7362.3986916152,0
HNDL.US,D,20180404,000000,20.0039,20.1032,19.9744,20.1032,1493.0382748963,0
HNDL.US,D,20180405,000000,20.1641,20.172,20.1641,20.172,1044.2108180255,0
HNDL.US,D,20180406,000000,20.0904,20.0904,20.0364,20.0364,1936.7769850903,0
HNDL.US,D,20180409,000000,20.0688,20.1306,20.0688,20.113,1239.6186904047,0
HNDL.US,D,20180410,000000,20.1474,20.1474,20.1474,20.1474,593.34786248432,0
HNDL.US,D,20180411,000000,20.1641,20.2132,20.1641,20.1641,873.22892969392,0
HNDL.US,D,20180412,000000,20.2211,20.228,20.2142,20.228,6158.4012279462,0
HNDL.US,D,20180413,000000,20.228,20.228,20.228,20.228,470.20019291211,0
