<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYLS.US,D,20130301,000000,32.2181,32.2338,32.0718,32.1111,19273.752823883,0
HYLS.US,D,20130304,000000,32.3617,32.3617,32.1111,32.1435,26496.323099259,0
HYLS.US,D,20130305,000000,32.1395,32.1395,32.1395,32.1395,3894.6329080354,0
HYLS.US,D,20130306,000000,32.172,32.172,32.0855,32.1111,25703.763267662,0
HYLS.US,D,20130307,000000,32.1572,32.2987,32.1562,32.1661,26739.483304333,0
HYLS.US,D,20130308,000000,32.4707,32.4707,32.2084,32.2732,9270.6099942579,0
HYLS.US,D,20130311,000000,32.5013,32.5013,32.283,32.283,3271.9799979734,0
HYLS.US,D,20130312,000000,32.4433,32.4433,32.283,32.3027,6494.1070668731,0
HYLS.US,D,20130313,000000,32.4089,32.459,32.3351,32.3351,7175.7695664509,0
HYLS.US,D,20130314,000000,32.3941,32.4276,32.3941,32.4276,5924.3593060319,0
HYLS.US,D,20130315,000000,32.3617,32.3676,32.2506,32.3214,15277.379244268,0
HYLS.US,D,20130318,000000,32.518,32.5307,32.3941,32.4001,12192.602082001,0
HYLS.US,D,20130319,000000,32.4001,32.4669,32.4001,32.4098,20430.544259733,0
HYLS.US,D,20130320,000000,32.4098,32.9288,32.4098,32.4236,12805.080924904,0
HYLS.US,D,20130321,000000,32.635,32.7961,32.5759,32.5829,6975.3404434407,0
HYLS.US,D,20130322,000000,32.5396,32.5396,32.4875,32.5032,22075.690919162,0
HYLS.US,D,20130325,000000,32.574,32.688,32.5662,32.5829,5517.3966197168,0
HYLS.US,D,20130326,000000,32.5829,32.5829,32.5573,32.5829,7360.9375887242,0
HYLS.US,D,20130327,000000,33.1244,33.1568,32.6507,32.6507,3808.1533371935,0
HYLS.US,D,20130328,000000,32.7617,33.1441,32.3991,32.5681,19044.836312831,0
HYLS.US,D,20130401,000000,32.4413,32.6143,32.4413,32.5435,6931.5919546618,0
HYLS.US,D,20130402,000000,32.5474,32.918,32.5474,32.6683,4692.2797732131,0
HYLS.US,D,20130403,000000,32.627,33.21,32.5759,32.7008,18068.125865674,0
HYLS.US,D,20130404,000000,32.7008,32.7008,32.6026,32.6565,7605.1152005133,0
HYLS.US,D,20130405,000000,32.6438,32.7676,32.635,32.7607,63858.549923132,0
HYLS.US,D,20130408,000000,32.5829,32.6802,32.5829,32.6792,13252.73987985,0
HYLS.US,D,20130409,000000,32.7676,32.7676,32.6546,32.6585,1419.2823685238,0
HYLS.US,D,20130410,000000,32.6507,32.6507,32.5966,32.5966,15233.630755489,0
HYLS.US,D,20130411,000000,32.9308,32.9613,32.8394,32.9062,13727.868816124,0
HYLS.US,D,20130412,000000,33.0192,33.0242,32.9062,32.9367,6019.995537316,0
HYLS.US,D,20130415,000000,32.9062,32.9062,32.9003,32.9003,4723.8193814025,0
HYLS.US,D,20130416,000000,32.8758,32.9367,32.8375,32.8375,48353.271574528,0
HYLS.US,D,20130417,000000,32.9151,32.9691,32.8679,32.9062,20536.354558176,0
