<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYXF.US,D,20170117,000000,41.283,41.283,41.283,41.283,245.24837940602,0
HYXF.US,D,20170119,000000,41.3236,41.3236,41.3236,41.3236,250.29464235676,0
HYXF.US,D,20170130,000000,41.3544,41.3604,41.3544,41.3604,250.29464235676,0
HYXF.US,D,20170206,000000,41.5139,41.5139,41.5139,41.5139,197.81350766905,0
HYXF.US,D,20170207,000000,41.5674,41.5674,41.5674,41.5674,117.0733004572,0
HYXF.US,D,20170216,000000,41.6615,41.6615,41.6615,41.6615,482.42273809086,0
HYXF.US,D,20170223,000000,41.9776,41.9776,41.9776,41.9776,942.64191919845,0
HYXF.US,D,20170228,000000,42.0093,42.0093,42.0093,42.0093,464.25619146819,0
HYXF.US,D,20170303,000000,42.0281,42.042,42.0271,42.042,1015.3081056891,0
HYXF.US,D,20170310,000000,41.4138,41.4138,41.4138,41.4138,461.22843369774,0
HYXF.US,D,20170324,000000,41.4435,41.4465,41.4416,41.4435,3095.3776939846,0
HYXF.US,D,20170405,000000,42.04,42.041,42.04,42.041,2314.2161892099,0
HYXF.US,D,20170412,000000,41.9935,41.9935,41.9935,41.9935,415.81206714107,0
HYXF.US,D,20170424,000000,42.3105,42.3105,42.3105,42.3105,289.65549337254,0
HYXF.US,D,20170425,000000,42.3521,42.3521,42.3353,42.3353,1235.3251703414,0
HYXF.US,D,20170426,000000,42.3263,42.3263,42.3263,42.3263,117.0733004572,0
HYXF.US,D,20170428,000000,42.3947,42.4027,42.3947,42.4027,5299.5853508684,0
HYXF.US,D,20170501,000000,42.4453,42.4453,42.4453,42.4453,118.08255304734,0
HYXF.US,D,20170503,000000,42.479,42.479,42.4453,42.4453,985.03052798468,0
HYXF.US,D,20170505,000000,42.3185,42.3185,42.3185,42.3185,1174.7700149325,0
HYXF.US,D,20170509,000000,42.3957,42.3957,42.3957,42.3957,544.99639868005,0
HYXF.US,D,20170510,000000,42.4453,42.4453,42.4453,42.4453,258.36866307795,0
HYXF.US,D,20170519,000000,42.3759,42.3759,42.3759,42.3759,4907.9953458909,0
HYXF.US,D,20170522,000000,42.4532,42.4651,42.4532,42.4651,273.50745193017,0
HYXF.US,D,20170531,000000,42.6276,42.6276,42.6276,42.6276,246.25763199617,0
HYXF.US,D,20170601,000000,42.7009,42.7009,42.7009,42.7009,614.63482740027,0
HYXF.US,D,20170619,000000,42.8812,42.8812,42.8812,42.8812,173.5914455055,0
HYXF.US,D,20170620,000000,42.7782,42.802,42.7782,42.802,1340.2874397169,0
HYXF.US,D,20170621,000000,42.7485,42.7485,42.7277,42.7277,362.32167986322,0
HYXF.US,D,20170622,000000,45.4435,45.4435,42.6236,42.6841,5337.936949294,0
HYXF.US,D,20170626,000000,42.8317,42.8317,42.8188,42.8188,2330.3642306523,0
HYXF.US,D,20170703,000000,42.904,42.904,42.8872,42.8872,485.4504958613,0
HYXF.US,D,20170718,000000,43.0784,43.0784,43.0784,43.0784,234.14660091439,0
HYXF.US,D,20170720,000000,43.2013,43.2013,43.2013,43.2013,495.54302176278,0
HYXF.US,D,20170725,000000,43.2191,43.2191,43.2013,43.2013,584.35724969583,0
HYXF.US,D,20170726,000000,43.2191,43.2191,43.2191,43.2191,284.6092304218,0
HYXF.US,D,20170801,000000,43.231,43.231,43.231,43.231,255.3409053075,0
HYXF.US,D,20170802,000000,43.2498,43.2568,43.2498,43.2568,381.49747907603,0
HYXF.US,D,20170804,000000,43.1467,43.1636,43.1467,43.1636,378.46972130559,0
HYXF.US,D,20170807,000000,43.1627,43.1627,43.1487,43.1487,245.24837940602,0
HYXF.US,D,20170808,000000,43.1735,43.1735,43.1735,43.1735,209.92453875083,0
HYXF.US,D,20170809,000000,43.0071,43.0071,42.9416,42.9416,3261.9043713591,0
HYXF.US,D,20170810,000000,42.7811,42.7811,42.7663,42.7663,727.67111749688,0
HYXF.US,D,20170811,000000,42.7445,42.7525,42.7445,42.7485,754.92093743088,0
HYXF.US,D,20170814,000000,42.8912,42.8912,42.8912,42.8912,178.63770845624,0
HYXF.US,D,20170817,000000,42.8614,42.8614,42.8614,42.8614,564.17219789286,0
HYXF.US,D,20170818,000000,42.8069,42.8168,42.798,42.798,979.98426503394,0
HYXF.US,D,20170821,000000,42.8168,42.8446,42.8168,42.8446,283.59997783165,0
HYXF.US,D,20170822,000000,42.907,42.907,42.907,42.907,1228.2604022104,0
HYXF.US,D,20170825,000000,43.0071,43.0071,43.0071,43.0071,117.0733004572,0
HYXF.US,D,20170828,000000,43.0507,43.0507,43.0507,43.0507,2126.4952074423,0
HYXF.US,D,20170829,000000,43.0427,43.0427,43.0427,43.0427,117.0733004572,0
HYXF.US,D,20170830,000000,43.0913,43.0913,43.0913,43.0913,141.29536262075,0
HYXF.US,D,20170901,000000,43.2647,43.2647,43.2647,43.2647,242.22062163558,0
HYXF.US,D,20170905,000000,43.2161,43.2161,43.1627,43.1627,390.58075238737,0
HYXF.US,D,20170911,000000,43.1904,43.1904,43.1904,43.1904,117.0733004572,0
HYXF.US,D,20170912,000000,43.2072,43.2072,43.1933,43.1933,421.86758268196,0
HYXF.US,D,20170913,000000,43.1389,43.1389,43.1389,43.1389,152.39714111238,0
HYXF.US,D,20171002,000000,43.3826,43.3826,43.3826,43.3826,140.2861100306,0
HYXF.US,D,20171012,000000,43.3727,43.3727,43.3727,43.3727,189.73948694787,0
HYXF.US,D,20171013,000000,43.3776,43.3776,43.3776,43.3776,117.0733004572,0
HYXF.US,D,20171101,000000,43.4212,43.4212,43.3935,43.3935,7707.6620309621,0
HYXF.US,D,20171103,000000,43.339,43.339,43.339,43.339,595.45902818746,0
HYXF.US,D,20171108,000000,43.0457,43.0457,43.0457,43.0457,117.0733004572,0
HYXF.US,D,20171109,000000,42.798,42.798,42.798,42.798,207.90603357054,0
HYXF.US,D,20171110,000000,42.8059,42.8059,42.8059,42.8059,411.77505678048,0
HYXF.US,D,20171114,000000,42.7039,42.7039,42.7039,42.7039,207.90603357054,0
HYXF.US,D,20171121,000000,43.1003,43.1003,43.1003,43.1003,240.20211645528,0
HYXF.US,D,20171122,000000,43.1249,43.1249,43.1249,43.1249,149.36938334194,0
HYXF.US,D,20171124,000000,43.1686,43.1963,43.1686,43.1963,258.36866307795,0
HYXF.US,D,20171128,000000,43.1587,43.1587,43.1587,43.1587,422.87683527211,0
HYXF.US,D,20171129,000000,43.1785,43.1785,43.1785,43.1785,235.15585350454,0
HYXF.US,D,20171130,000000,43.2043,43.2043,43.2043,43.2043,151.38788852224,0
HYXF.US,D,20171201,000000,43.2013,43.2013,43.2013,43.2013,450.12665520611,0
HYXF.US,D,20171204,000000,43.1656,43.1656,43.1656,43.1656,274.51670452032,0
HYXF.US,D,20171205,000000,43.1656,43.1656,43.1656,43.1656,234.14660091439,0
HYXF.US,D,20171207,000000,43.1577,43.1577,43.1577,43.1577,268.46118897943,0
