<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYZD.US,D,20131220,000000,17.7045,17.7501,17.7045,17.7362,4236.8773064278,0
HYZD.US,D,20131223,000000,17.6956,17.7293,17.6956,17.7293,5926.1756223606,0
HYZD.US,D,20131226,000000,17.7253,17.7392,17.7253,17.7253,1623.665087878,0
HYZD.US,D,20131230,000000,17.7857,17.7857,17.7857,17.7857,284.74723556069,0
HYZD.US,D,20131231,000000,17.7996,17.7996,17.6847,17.6847,702.78041117106,0
HYZD.US,D,20140103,000000,17.8016,17.8016,17.7937,17.7937,674.50763600901,0
HYZD.US,D,20140106,000000,17.7768,17.8214,17.7768,17.8214,86999.368141521,0
HYZD.US,D,20140107,000000,17.8095,17.8115,17.8095,17.8115,850.20273880177,0
HYZD.US,D,20140108,000000,17.7768,17.7768,17.7768,17.7768,3807.7369691467,0
HYZD.US,D,20140109,000000,17.7768,17.7768,17.7768,17.7768,3525.0092175261,0
HYZD.US,D,20140110,000000,17.6927,17.7461,17.6927,17.7461,8457.5987413345,0
HYZD.US,D,20140113,000000,17.7461,17.7461,17.7461,17.7461,110.061874738,0
HYZD.US,D,20140114,000000,17.6124,17.6124,17.6124,17.6124,562.42627733086,0
HYZD.US,D,20140116,000000,17.7144,17.9383,17.7144,17.7808,13678.974468584,0
HYZD.US,D,20140121,000000,17.7174,17.7808,17.7174,17.7808,850.20273880177,0
HYZD.US,D,20140122,000000,17.8283,17.8283,17.8214,17.8214,7897.1919479438,0
HYZD.US,D,20140123,000000,17.8283,17.8372,17.8283,17.8372,3809.7564530868,0
HYZD.US,D,20140127,000000,17.8788,17.8788,17.8699,17.8699,2811.1216446842,0
HYZD.US,D,20140128,000000,17.7739,17.7739,17.7421,17.7421,3905.6819402438,0
HYZD.US,D,20140130,000000,17.7135,17.7135,17.7135,17.7135,416.01369167023,0
HYZD.US,D,20140131,000000,17.6887,17.7501,17.6887,17.7095,25467.711969191,0
HYZD.US,D,20140204,000000,17.6233,17.6233,17.6233,17.6233,1513.60321314,0
HYZD.US,D,20140205,000000,17.6293,17.6372,17.6293,17.6293,2392.0787271038,0
HYZD.US,D,20140210,000000,17.7135,17.7135,17.7135,17.7135,1548.9441820925,0
HYZD.US,D,20140212,000000,17.7739,17.7739,17.7739,17.7739,113.09110064822,0
HYZD.US,D,20140218,000000,17.7788,17.7788,17.7778,17.7788,5400.1000559523,0
HYZD.US,D,20140219,000000,17.7788,17.7788,17.7788,17.7788,11761.474467414,0
HYZD.US,D,20140220,000000,17.7788,17.8164,17.7788,17.7966,6259.3904724848,0
HYZD.US,D,20140221,000000,17.7837,17.7837,17.7837,17.7837,3097.8883641851,0
HYZD.US,D,20140225,000000,17.8214,17.8214,17.7699,17.8214,6890.4792037806,0
HYZD.US,D,20140226,000000,17.8135,17.8214,17.8135,17.8214,283.73749359061,0
HYZD.US,D,20140227,000000,17.7808,17.7808,17.7808,17.7808,242.33807281761,0
HYZD.US,D,20140303,000000,17.8135,17.8135,17.8125,17.8125,2672.7869947842,0
HYZD.US,D,20140304,000000,17.8422,17.963,17.8422,17.8897,3752.2011607926,0
HYZD.US,D,20140310,000000,17.8125,17.8125,17.8125,17.8125,698.74144329077,0
HYZD.US,D,20140317,000000,17.9036,17.9036,17.8897,17.8897,458.42285441331,0
HYZD.US,D,20140318,000000,17.7699,18.0066,17.7699,17.9858,27146.912865422,0
HYZD.US,D,20140319,000000,17.9799,17.9799,17.9799,17.9799,4581.1993182228,0
HYZD.US,D,20140321,000000,17.9799,17.9799,17.9799,17.9799,211.03607174533,0
HYZD.US,D,20140325,000000,17.9937,17.9937,17.9937,17.9937,282.72775162054,0
HYZD.US,D,20140326,000000,17.9937,17.9937,17.8541,17.8541,3221.076884534,0
HYZD.US,D,20140327,000000,17.967,17.967,17.8541,17.8541,1822.5842559824,0
HYZD.US,D,20140328,000000,17.9521,17.9521,17.9521,17.9521,417.0234336403,0
HYZD.US,D,20140402,000000,17.9363,17.9363,17.9363,17.9363,411.97472378993,0
