<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBB.US,D,20050225,000000,22.7706,23.2258,22.7706,23.2258,2834664.8232021,0
IBB.US,D,20050228,000000,22.3143,22.4921,22.0168,22.2504,7525335.4424201,0
IBB.US,D,20050301,000000,22.2006,22.3532,22.1546,22.3143,2293152.1745398,0
IBB.US,D,20050302,000000,22.5809,22.5909,22.1426,22.2404,1099914.0125298,0
IBB.US,D,20050303,000000,22.1516,22.3722,21.9249,21.9549,5085143.9692212,0
IBB.US,D,20050304,000000,22.0857,22.1476,21.7153,21.7283,4732120.6407246,0
IBB.US,D,20050307,000000,21.7593,21.9789,21.6484,21.6624,4835875.9081779,0
IBB.US,D,20050308,000000,21.6624,21.7593,21.5286,21.5346,3931504.7910748,0
IBB.US,D,20050309,000000,21.5316,21.5805,21.304,21.4457,6345605.4479719,0
IBB.US,D,20050310,000000,21.4357,21.5486,21.2091,21.334,3983994.9299523,0
IBB.US,D,20050311,000000,21.3699,21.4896,21.0703,21.1672,2462599.2454459,0
IBB.US,D,20050314,000000,21.2061,21.873,21.2061,21.8251,15090584.38484,0
IBB.US,D,20050315,000000,21.9389,21.9449,21.314,21.32,12516233.749914,0
IBB.US,D,20050316,000000,21.1732,21.4327,21.0344,21.0813,4779377.1910279,0
IBB.US,D,20050317,000000,20.9646,21.304,20.9646,21.1962,2530136.0766792,0
IBB.US,D,20050318,000000,21.1572,21.274,21.0983,21.1402,3197211.7804378,0
IBB.US,D,20050321,000000,21.3699,21.3699,21.0045,21.1402,3215320.497726,0
IBB.US,D,20050322,000000,21.2221,21.3699,21.0913,21.1732,3054460.5186563,0
IBB.US,D,20050323,000000,21.1083,21.33,21.0105,21.2381,3415778.4590154,0
IBB.US,D,20050324,000000,21.2381,21.5016,21.2381,21.4029,4244014.6349675,0
IBB.US,D,20050328,000000,21.5316,21.5316,21.0344,21.0643,2999208.8479704,0
IBB.US,D,20050329,000000,21.0105,21.0813,20.5233,20.6221,8170921.8812471,0
IBB.US,D,20050330,000000,20.653,20.9516,20.653,20.9446,3051700.9901353,0
IBB.US,D,20050331,000000,20.8477,20.8677,20.685,20.7009,4675013.9258207,0
IBB.US,D,20050401,000000,20.9446,21.0245,20.4314,20.5233,3789369.5401971,0
IBB.US,D,20050404,000000,20.4744,20.6371,20.3385,20.5333,3911865.5621424,0
IBB.US,D,20050405,000000,20.5732,20.7898,20.5562,20.7509,2903435.6795308,0
IBB.US,D,20050406,000000,20.9446,21.307,20.9196,21.1053,7147134.7967182,0
IBB.US,D,20050407,000000,21.1732,21.4457,20.9845,21.4029,2944246.6523272,0
IBB.US,D,20050408,000000,21.7443,21.7473,21.2091,21.294,2228380.8816897,0
IBB.US,D,20050411,000000,21.3699,21.4457,21.274,21.304,1410571.8171359,0
IBB.US,D,20050412,000000,21.271,21.5975,21.0015,21.5775,5783518.0351182,0
IBB.US,D,20050413,000000,21.5645,21.5875,21.324,21.4029,2007036.6450038,0
IBB.US,D,20050414,000000,21.337,21.4707,21.0444,21.0444,3184011.1175063,0
IBB.US,D,20050415,000000,21.0603,21.3699,21.0105,21.0444,6136857.8830386,0
IBB.US,D,20050418,000000,21.1243,21.1892,20.8377,20.9616,3453231.9219744,0
IBB.US,D,20050419,000000,21.0913,21.1632,20.9815,21.1243,1667216.9843701,0
IBB.US,D,20050420,000000,21.2021,21.2061,20.8797,20.8797,1953630.0020986,0
IBB.US,D,20050421,000000,21.1732,21.334,21.0573,21.32,3460906.5163581,0
IBB.US,D,20050422,000000,21.1472,21.34,21.0205,21.1402,2091462.1914425,0
IBB.US,D,20050425,000000,21.1732,21.284,21.0275,21.1892,1370977.8414911,0
IBB.US,D,20050426,000000,21.2541,21.4517,21.1402,21.1532,2725372.4691196,0
IBB.US,D,20050427,000000,21.0913,21.0913,20.8507,21.0305,3274258.2173979,0
IBB.US,D,20050428,000000,20.9296,20.9296,20.5003,20.5233,5305551.6690043,0
IBB.US,D,20050429,000000,20.5792,20.6979,20.2926,20.676,2227153.8681006,0
IBB.US,D,20050502,000000,20.7009,20.8797,20.7009,20.8148,1871661.4877696,0
IBB.US,D,20050503,000000,20.8927,21.0913,20.8178,20.9296,2417778.6927333,0
IBB.US,D,20050504,000000,20.9776,21.33,20.9396,21.2541,1398297.6746696,0
IBB.US,D,20050505,000000,21.2381,21.3759,21.0953,21.317,2886846.4558057,0
IBB.US,D,20050506,000000,21.1962,21.4986,21.1962,21.34,1122328.796283,0
IBB.US,D,20050509,000000,21.4517,21.7113,21.334,21.7113,2044493.1128942,0
IBB.US,D,20050510,000000,21.6954,21.9189,21.6265,21.8251,5126580.969359,0
IBB.US,D,20050511,000000,21.9719,21.9719,21.5705,21.9549,3844323.7226903,0
IBB.US,D,20050512,000000,21.9549,22.0897,21.7493,21.8381,1873812.0168927,0
IBB.US,D,20050513,000000,21.9219,21.9219,21.4837,21.6624,3280706.7998361,0
IBB.US,D,20050516,000000,21.7113,21.7952,21.5346,21.7952,1746105.4441795,0
IBB.US,D,20050517,000000,21.7752,21.7752,21.4986,21.6784,3640492.2252636,0
IBB.US,D,20050518,000000,21.7922,21.9789,21.7443,21.86,4122452.1449937,0
IBB.US,D,20050519,000000,21.9879,21.9879,21.7593,21.889,2057388.2744832,0
IBB.US,D,20050520,000000,21.7443,21.879,21.7443,21.8122,2589696.8187613,0
IBB.US,D,20050523,000000,21.8082,21.9449,21.7663,21.857,2490541.0993908,0
IBB.US,D,20050524,000000,21.889,21.9789,21.7443,21.7992,4506485.3622299,0
IBB.US,D,20050525,000000,21.8401,21.85,21.5835,21.6285,1339659.4464777,0
IBB.US,D,20050526,000000,21.7533,21.87,21.6684,21.8082,1341811.9788883,0
IBB.US,D,20050527,000000,21.882,21.9549,21.7663,21.899,969442.90307704,0
IBB.US,D,20050531,000000,21.9219,21.9219,21.6784,21.7283,1129078.8734889,0
IBB.US,D,20050601,000000,21.7922,21.9249,21.6954,21.8152,1116800.7244476,0
IBB.US,D,20050602,000000,21.8251,21.8351,21.7443,21.7752,1208889.8471885,0
IBB.US,D,20050603,000000,21.7283,21.8122,21.1143,21.3539,3682543.2330178,0
IBB.US,D,20050606,000000,21.4188,21.4188,21.1302,21.1572,4428203.8985307,0
IBB.US,D,20050607,000000,21.1732,21.34,21.0105,21.0793,2984775.1615872,0
IBB.US,D,20050608,000000,21.1572,21.1572,20.9396,20.9716,1312343.6198743,0
IBB.US,D,20050609,000000,21.0444,21.334,20.9586,21.271,2637895.91583,0
IBB.US,D,20050610,000000,21.271,21.311,21.1922,21.271,1034828.2035435,0
IBB.US,D,20050613,000000,21.304,21.3959,21.2191,21.271,814416.4971854,0
IBB.US,D,20050614,000000,21.2641,21.3859,21.2411,21.3599,2532291.6140212,0
IBB.US,D,20050615,000000,21.4357,21.4357,21.1732,21.34,1092236.413215,0
IBB.US,D,20050616,000000,21.5146,22.1287,21.4737,21.9879,8288493.8225359,0
IBB.US,D,20050617,000000,22.1187,22.2304,21.9918,22.1516,4038644.6127466,0
IBB.US,D,20050620,000000,22.3143,22.4072,22.1676,22.3363,4657523.2227241,0
IBB.US,D,20050621,000000,22.4261,22.4591,22.1846,22.2504,4829125.830972,0
IBB.US,D,20050622,000000,22.3463,22.3822,22.1027,22.1386,2907415.2101346,0
IBB.US,D,20050623,000000,22.2334,22.2694,21.912,21.9389,2373885.6621297,0
IBB.US,D,20050624,000000,21.906,22.0368,21.857,22.0108,2531978.0995286,0
IBB.US,D,20050627,000000,22.0857,22.0857,21.7992,21.873,2592142.8327897,0
IBB.US,D,20050628,000000,21.9549,22.2823,21.9189,22.2823,1837591.5773853,0
IBB.US,D,20050629,000000,22.3303,22.3303,22.1426,22.2504,2172810.6882926,0
IBB.US,D,20050630,000000,22.1846,22.2823,22.0538,22.1187,1281646.2439834,0
IBB.US,D,20050701,000000,22.1846,22.2174,21.9968,22.1027,1041593.3054055,0
IBB.US,D,20050705,000000,22.1027,22.4221,22.0268,22.4132,1630072.0276849,0
IBB.US,D,20050706,000000,22.508,22.6587,22.4421,22.505,4016537.3336235,0
IBB.US,D,20050707,000000,22.4261,22.8554,22.3143,22.8515,5669934.6392269,0
IBB.US,D,20050708,000000,22.9803,23.5782,22.9014,23.4874,4896964.156973,0
IBB.US,D,20050711,000000,23.5523,23.5912,23.4015,23.5523,4957436.3948642,0
IBB.US,D,20050712,000000,23.6182,23.6691,23.3925,23.5852,3193217.2251779,0
IBB.US,D,20050713,000000,23.6621,23.6661,23.3726,23.4804,1512801.5811637,0
IBB.US,D,20050714,000000,23.6661,23.8578,23.5912,23.6981,2052784.7198255,0
IBB.US,D,20050715,000000,23.8867,24.2581,23.771,24.1962,4434335.9615451,0
