<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTE.US,D,20200302,000000,25.1042,25.1042,25.1042,25.1042,4440.2142633152,0
IBTE.US,D,20200303,000000,25.2067,25.2734,25.1738,25.2635,2822.8511493022,0
IBTE.US,D,20200306,000000,25.4486,25.4526,25.4088,25.4088,559.54736304674,0
IBTE.US,D,20200309,000000,25.592,25.592,25.5222,25.5222,10532.95170834,0
IBTE.US,D,20200310,000000,25.4824,25.4824,25.4824,25.4824,200.9146725482,0
IBTE.US,D,20200311,000000,25.3929,25.3929,25.3331,25.3331,720.2791010853,0
IBTE.US,D,20200312,000000,25.4526,25.4526,25.4526,25.4526,1928.7808564627,0
IBTE.US,D,20200313,000000,25.3729,26.7039,25.3033,25.3033,305161.25954656,0
IBTE.US,D,20200316,000000,25.5222,25.582,25.4626,25.582,27074.256699233,0
IBTE.US,D,20200317,000000,25.5124,25.5124,25.3073,25.3073,427.94825252767,0
IBTE.US,D,20200318,000000,25.2903,25.4327,25.134,25.1888,3837.4702456706,0
IBTE.US,D,20200319,000000,25.2435,25.3729,25.2435,25.2645,2422.0263775686,0
IBTE.US,D,20200320,000000,25.3839,25.5024,25.3839,25.4675,477.17234730198,0
IBTE.US,D,20200323,000000,25.5222,25.6437,25.5222,25.6437,729.32026134997,0
IBTE.US,D,20200324,000000,25.6118,25.6118,25.5024,25.5024,2829.8831628414,0
IBTE.US,D,20200325,000000,25.5522,25.5522,25.5153,25.5153,686.1236067521,0
IBTE.US,D,20200326,000000,25.592,25.6218,25.5522,25.5522,472.14948048827,0
IBTE.US,D,20200327,000000,25.591,25.6567,25.591,25.6567,444.02142633152,0
IBTE.US,D,20200330,000000,25.7213,25.7263,25.6616,25.6815,3946.9687422094,0
IBTE.US,D,20200331,000000,25.7513,25.7513,25.6915,25.6915,1155.2593671522,0
IBTE.US,D,20200401,000000,25.7413,25.7413,25.6915,25.7015,1154.2547937894,0
IBTE.US,D,20200402,000000,25.7313,25.7313,25.6865,25.6865,1448.5947890725,0
IBTE.US,D,20200403,000000,25.7513,25.7513,25.6915,25.6915,910.14346664335,0
IBTE.US,D,20200406,000000,25.6318,25.6417,25.6318,25.6417,198.90552582272,0
IBTE.US,D,20200407,000000,25.6517,25.6517,25.582,25.582,100.4573362741,0
IBTE.US,D,20200408,000000,25.6417,25.6417,25.592,25.6118,442.01227960604,0
IBTE.US,D,20200409,000000,25.6716,25.6915,25.6567,25.6567,735.34770152641,0
IBTE.US,D,20200413,000000,25.6716,25.6815,25.6118,25.6417,609.77603118379,0
IBTE.US,D,20200414,000000,25.6915,25.6915,25.6666,25.6666,192.87808564627,0
IBTE.US,D,20200416,000000,25.7114,25.7313,25.7114,25.7263,1219.5520623676,0
IBTE.US,D,20200417,000000,25.7611,25.7611,25.7114,25.7114,1016.6282430939,0
IBTE.US,D,20200420,000000,25.7313,25.7413,25.7114,25.7213,739.36599497738,0
IBTE.US,D,20200421,000000,25.7711,25.7711,25.7363,25.7363,369.68299748869,0
IBTE.US,D,20200422,000000,25.7313,25.7313,25.7065,25.7065,588.67999056623,0
IBTE.US,D,20200424,000000,25.6716,25.7313,25.6716,25.6815,762.47118232042,0
IBTE.US,D,20200428,000000,25.6716,25.7213,25.6716,25.7065,900.09773301594,0
IBTE.US,D,20200430,000000,25.7015,25.7711,25.7015,25.7164,4549.712759854,0
IBTE.US,D,20200504,000000,25.7213,25.7213,25.7065,25.7065,561.55650977222,0
IBTE.US,D,20200505,000000,25.7213,25.7213,25.7114,25.7114,170.77747166597,0
IBTE.US,D,20200506,000000,25.7114,25.7114,25.6905,25.7015,2092.5263145895,0
IBTE.US,D,20200508,000000,25.7811,25.801,25.7563,25.7563,1169.3233942305,0
IBTE.US,D,20200511,000000,25.7513,25.7513,25.7213,25.7213,299.36286209682,0
IBTE.US,D,20200513,000000,25.7513,25.7911,25.7513,25.7611,655.98640586987,0
IBTE.US,D,20200514,000000,25.8099,25.8099,25.7661,25.7661,1236.6298095342,0
IBTE.US,D,20200515,000000,25.7513,25.7811,25.7513,25.7731,419.91166562574,0
IBTE.US,D,20200518,000000,25.7711,25.7911,25.7164,25.7164,3398.4716861528,0
IBTE.US,D,20200522,000000,25.7681,25.7711,25.7661,25.7661,374.70586430239,0
IBTE.US,D,20200527,000000,25.7711,25.7711,25.7513,25.7513,962.38128150588,0
IBTE.US,D,20200528,000000,25.7413,25.7611,25.7413,25.7513,1597.2716467582,0
IBTE.US,D,20200529,000000,25.7611,25.7861,25.7611,25.7861,882.0154124866,0
