<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTF.US,D,20200302,000000,25.1429,25.1429,25.1231,25.1231,4041.1285216897,0
IBTF.US,D,20200303,000000,25.2027,25.3601,25.2027,25.3302,3357.2297833024,0
IBTF.US,D,20200306,000000,25.5592,25.5592,25.4994,25.4994,807.42229906524,0
IBTF.US,D,20200309,000000,25.7384,25.7384,25.6488,25.6488,8732.0110576769,0
IBTF.US,D,20200310,000000,25.5891,25.5991,25.4497,25.4497,5552.5346909598,0
IBTF.US,D,20200311,000000,25.4896,25.4896,25.3501,25.3501,141196.46816414,0
IBTF.US,D,20200312,000000,25.4447,25.5393,25.3102,25.3102,20500.894046167,0
IBTF.US,D,20200313,000000,25.2814,26.0651,25.2416,25.2416,309417.4811888,0
IBTF.US,D,20200316,000000,25.4896,25.5592,25.4198,25.5592,20266.902260492,0
IBTF.US,D,20200317,000000,25.5691,25.5691,25.3202,25.3202,1551.5764329052,0
IBTF.US,D,20200318,000000,25.2634,25.3202,25.0732,25.1699,6805.8469163745,0
IBTF.US,D,20200319,000000,25.2316,25.3819,25.2226,25.2226,3873.4176710132,0
IBTF.US,D,20200320,000000,25.4198,25.4994,25.4198,25.4994,581.46456611788,0
IBTF.US,D,20200323,000000,25.5791,25.7334,25.5791,25.7334,1127.7801515551,0
IBTF.US,D,20200324,000000,25.6179,25.6179,25.5493,25.5493,2930.4207321796,0
IBTF.US,D,20200325,000000,25.5991,25.5991,25.5293,25.5711,684.90299497822,0
IBTF.US,D,20200327,000000,25.6698,25.7584,25.6688,25.7584,850.60533247296,0
IBTF.US,D,20200330,000000,25.8121,25.8371,25.7484,25.7633,51179.928640873,0
IBTF.US,D,20200331,000000,25.7932,25.8659,25.7932,25.8659,2872.1738499087,0
IBTF.US,D,20200401,000000,25.8758,25.8758,25.8121,25.8121,851.60958906383,0
IBTF.US,D,20200402,000000,25.8071,25.847,25.7982,25.7982,2061.7387810708,0
IBTF.US,D,20200403,000000,25.8659,25.9156,25.8071,25.8071,1400.9379442736,0
IBTF.US,D,20200406,000000,25.7534,25.8171,25.7235,25.7285,1718.2830269908,0
IBTF.US,D,20200407,000000,25.7186,25.7186,25.6886,25.6886,105.4469420421,0
IBTF.US,D,20200408,000000,25.6787,25.6936,25.6787,25.6936,372.57919521543,0
IBTF.US,D,20200409,000000,25.7584,25.7683,25.7285,25.7554,736.12008111296,0
IBTF.US,D,20200413,000000,25.7534,25.7883,25.7086,25.7304,883.7457999719,0
IBTF.US,D,20200414,000000,25.7883,25.7982,25.7285,25.7285,2110.9473540238,0
IBTF.US,D,20200415,000000,25.8371,25.8609,25.8371,25.8609,424.80053794104,0
IBTF.US,D,20200416,000000,25.847,25.8958,25.8371,25.8519,2512.6499903747,0
IBTF.US,D,20200417,000000,25.8758,25.8858,25.8071,25.8071,1222.1802710975,0
IBTF.US,D,20200420,000000,25.8071,25.8659,25.8071,25.846,1109.7035329193,0
IBTF.US,D,20200421,000000,25.8958,25.8958,25.847,25.8709,568.40923043647,0
IBTF.US,D,20200422,000000,25.8071,25.8569,25.8071,25.8321,1037.3970583761,0
IBTF.US,D,20200423,000000,25.8171,25.8171,25.8071,25.8071,404.7154061235,0
IBTF.US,D,20200424,000000,25.7982,25.8659,25.7982,25.8321,642.72421816138,0
IBTF.US,D,20200427,000000,25.8071,25.8071,25.7584,25.7833,795.37121997471,0
IBTF.US,D,20200428,000000,25.7883,25.847,25.7883,25.8321,918.8947806526,0
IBTF.US,D,20200429,000000,25.8271,25.85,25.8271,25.85,323.37062226245,0
IBTF.US,D,20200430,000000,25.8371,25.8958,25.8271,25.841,1123.7631251915,0
IBTF.US,D,20200501,000000,25.8171,25.847,25.8171,25.8241,978.14591951436,0
IBTF.US,D,20200504,000000,25.7982,25.8321,25.7982,25.8321,826.5031742919,0
IBTF.US,D,20200505,000000,25.7982,25.8569,25.7982,25.8221,1082.5886049656,0
IBTF.US,D,20200506,000000,25.7683,25.8171,25.7683,25.8121,3272.8722296687,0
IBTF.US,D,20200507,000000,25.8071,25.9008,25.8071,25.9008,421.78776816841,0
IBTF.US,D,20200508,000000,25.9107,25.9356,25.8739,25.8739,733.10731134033,0
IBTF.US,D,20200511,000000,25.847,25.8659,25.8371,25.8371,704.98812679577,0
IBTF.US,D,20200512,000000,25.8171,25.8609,25.8171,25.8609,425.80479453192,0
IBTF.US,D,20200513,000000,25.8758,25.9156,25.8659,25.8659,1072.5460390568,0
IBTF.US,D,20200514,000000,25.8858,25.9356,25.8858,25.9008,1584.7169004042,0
IBTF.US,D,20200515,000000,25.8758,25.9156,25.8758,25.8988,649.75401429752,0
IBTF.US,D,20200518,000000,25.9256,25.9256,25.9256,25.9256,2318.8284683354,0
IBTF.US,D,20200519,000000,25.8569,25.8709,25.8569,25.8709,3449.6213896631,0
IBTF.US,D,20200521,000000,25.8758,25.8758,25.8659,25.8659,1792.5980147157,0
IBTF.US,D,20200522,000000,25.8898,25.8958,25.8808,25.8808,398.68986657823,0
IBTF.US,D,20200526,000000,25.8659,25.8659,25.8659,25.8659,3404.4298430736,0
IBTF.US,D,20200527,000000,25.8749,25.8808,25.8609,25.8609,1520.444478588,0
IBTF.US,D,20200528,000000,25.8758,25.8758,25.8659,25.8659,1755.4405208533,0
IBTF.US,D,20200529,000000,25.8758,25.9107,25.8758,25.9107,1058.4864467845,0
IBTF.US,D,20200601,000000,25.8858,25.8908,25.8858,25.8908,157.66828476771,0
IBTF.US,D,20200603,000000,25.8271,25.8271,25.8061,25.8061,639.71144838875,0
IBTF.US,D,20200604,000000,25.7883,25.7883,25.7733,25.7733,234.99604226526,0
IBTF.US,D,20200605,000000,25.6986,25.7036,25.6986,25.7036,588.49436225402,0
IBTF.US,D,20200608,000000,25.6886,25.7235,25.6886,25.7235,429.82182089543,0
IBTF.US,D,20200609,000000,25.7733,25.7883,25.7733,25.7883,301.27697726315,0
IBTF.US,D,20200611,000000,25.9058,25.9058,25.8778,25.8778,1604.8020322217,0
IBTF.US,D,20200612,000000,25.8858,25.8858,25.8758,25.8758,458.94526203086,0
IBTF.US,D,20200615,000000,25.8958,25.8958,25.8958,25.8958,316.34082612631,0
IBTF.US,D,20200616,000000,25.8659,25.8659,25.8519,25.8519,775.28608815717,0
IBTF.US,D,20200617,000000,25.8758,25.8758,25.8569,25.8569,944.00119542453,0
IBTF.US,D,20200618,000000,25.8858,25.8858,25.8709,25.8709,1367.7974767747,0
IBTF.US,D,20200619,000000,25.8858,25.8858,25.8758,25.8758,160.68105454035,0
IBTF.US,D,20200622,000000,25.8858,25.8958,25.8659,25.8659,1081.5843483747,0
IBTF.US,D,20200623,000000,25.8569,25.8858,25.8569,25.8709,438.86013021332,0
IBTF.US,D,20200624,000000,25.8858,25.8858,25.8858,25.8858,164.69808090385,0
IBTF.US,D,20200625,000000,25.9156,25.9156,25.8858,25.8858,280.18758885473,0
IBTF.US,D,20200626,000000,25.9256,25.9256,25.9156,25.9156,232.9875290835,0
IBTF.US,D,20200629,000000,25.9456,25.9456,25.9456,25.9456,176.74915999438,0
IBTF.US,D,20200630,000000,25.9456,25.9456,25.9356,25.9356,227.96624612912,0
IBTF.US,D,20200702,000000,25.9156,25.9406,25.9156,25.9406,279.18333226385,0
IBTF.US,D,20200706,000000,25.9156,25.9206,25.9156,25.9206,592.51138861753,0
IBTF.US,D,20200707,000000,25.9356,25.9456,25.9356,25.9456,9556.5057187871,0
IBTF.US,D,20200708,000000,25.9456,25.9456,25.9306,25.9356,623.64334293472,0
IBTF.US,D,20200709,000000,25.9655,25.9655,25.9555,25.9555,215.91516703859,0
IBTF.US,D,20200710,000000,25.9555,25.9555,25.9406,25.9406,2241.5007108378,0
IBTF.US,D,20200713,000000,25.9356,25.9456,25.9356,25.9456,1330.6399829122,0
IBTF.US,D,20200714,000000,25.9754,25.9754,25.9456,25.9456,279.18333226385,0
IBTF.US,D,20200716,000000,25.9854,25.9854,25.9655,25.9655,2790.8290660476,0
IBTF.US,D,20200720,000000,25.9655,25.9655,25.9555,25.9555,847.59256270032,0
IBTF.US,D,20200721,000000,25.9754,25.9854,25.9754,25.9754,4374.5417098609,0
IBTF.US,D,20200722,000000,25.9754,25.9754,25.9754,25.9754,395.6770968056,0
IBTF.US,D,20200723,000000,25.9953,25.9953,25.9754,25.9754,251.06414771929,0
IBTF.US,D,20200724,000000,25.9854,25.9854,25.9655,25.9754,361.53237271578,0
IBTF.US,D,20200727,000000,25.9754,25.9754,25.9555,25.9555,619.62631657121,0
IBTF.US,D,20200728,000000,25.9854,25.9854,25.9854,25.9854,300.27272067227,0
IBTF.US,D,20200730,000000,26.0253,26.0253,26.0153,26.0253,730.0945415677,0
IBTF.US,D,20200731,000000,26.0253,26.0451,26.0253,26.0451,331.40467498946,0
IBTF.US,D,20200803,000000,26.0153,26.0253,26.0153,26.0253,228.97050271999,0
IBTF.US,D,20200804,000000,26.0651,26.0651,26.0601,26.0601,289.22589817262,0
IBTF.US,D,20200805,000000,26.0153,26.0351,26.0153,26.0253,627.66036929823,0
IBTF.US,D,20200807,000000,26.0351,26.0351,26.0153,26.0153,706.99663997752,0
IBTF.US,D,20200810,000000,25.9953,26.0053,25.9953,26.0053,204.86834453894,0
