<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTG.US,D,20200302,000000,25.181,25.181,25.1063,25.1063,12005.760732539,0
IBTG.US,D,20200303,000000,25.2397,25.4378,25.2208,25.3482,5446.4815503228,0
IBTG.US,D,20200304,000000,25.3781,25.3781,25.3781,25.3781,603.6023256028,0
IBTG.US,D,20200305,000000,25.4678,25.4678,25.4678,25.4678,301.29899780506,0
IBTG.US,D,20200306,000000,25.7266,25.7266,25.613,25.613,1254.4081608617,0
IBTG.US,D,20200309,000000,25.9556,25.9556,25.7764,25.7764,8478.5537982344,0
IBTG.US,D,20200310,000000,25.7017,25.7466,25.5374,25.5374,6352.3872037234,0
IBTG.US,D,20200311,000000,25.5972,25.5972,25.408,25.408,58276.247825462,0
IBTG.US,D,20200312,000000,25.5474,25.6918,25.171,25.2994,28445.638382776,0
IBTG.US,D,20200313,000000,25.3194,25.8461,25.2308,25.2805,312960.27335011,0
IBTG.US,D,20200316,000000,25.5672,25.6868,25.5076,25.647,23612.802457982,0
IBTG.US,D,20200317,000000,25.5922,25.617,25.2596,25.2596,5272.7324615886,0
IBTG.US,D,20200318,000000,25.181,25.2596,24.9619,25.0565,7314.5353367142,0
IBTG.US,D,20200319,000000,25.1212,25.2696,25.1013,25.1013,3977.1467710268,0
IBTG.US,D,20200320,000000,25.2696,25.4478,25.2696,25.4478,4632.9742562491,0
IBTG.US,D,20200323,000000,25.7166,25.7764,25.7166,25.7764,1092.7110320397,0
IBTG.US,D,20200324,000000,25.627,25.637,25.5872,25.6052,3133.5095771726,0
IBTG.US,D,20200325,000000,25.6668,25.6668,25.6072,25.632,23271.33026047,0
IBTG.US,D,20200327,000000,25.7754,25.872,25.7754,25.872,455.96581667833,0
IBTG.US,D,20200330,000000,25.9755,27.5497,25.8879,25.9058,258221.27575888,0
IBTG.US,D,20200331,000000,25.9954,26.0044,25.9566,25.9656,5573.0271294009,0
IBTG.US,D,20200401,000000,26.0144,27.9868,25.9158,25.9576,107524.57334669,0
IBTG.US,D,20200402,000000,25.9855,25.9855,25.9407,25.9407,1617.9756182132,0
IBTG.US,D,20200403,000000,25.9158,26.0741,25.9158,25.9735,2290.8767133111,0
IBTG.US,D,20200406,000000,25.856,25.877,25.856,25.856,641.76686532478,0
IBTG.US,D,20200407,000000,25.8162,25.8162,25.7764,25.7764,279.20373796602,0
IBTG.US,D,20200408,000000,25.7864,25.8262,25.7764,25.7864,2716.712630209,0
IBTG.US,D,20200409,000000,25.8461,25.876,25.8391,25.853,1319.6896103862,0
IBTG.US,D,20200413,000000,25.7963,25.7963,25.7963,25.7963,541.33386605643,0
IBTG.US,D,20200414,000000,25.8859,25.8859,25.852,25.852,496.13901638567,0
IBTG.US,D,20200415,000000,26.0243,26.0243,25.9855,26.0034,937.03988317374,0
IBTG.US,D,20200416,000000,26.0243,26.0442,25.9855,25.9994,1657.1444879278,0
IBTG.US,D,20200417,000000,26.0343,26.0343,25.9656,25.9656,909.92297337128,0
IBTG.US,D,20200420,000000,25.9855,26.0144,25.9855,25.9994,3510.133324429,0
IBTG.US,D,20200421,000000,26.0741,26.0741,26.0393,26.0393,492.12169641493,0
IBTG.US,D,20200422,000000,26.0044,26.0044,25.9835,25.9835,1037.4728824421,0
IBTG.US,D,20200424,000000,26.0144,26.0144,25.9855,25.9855,758.26914447607,0
IBTG.US,D,20200427,000000,25.9357,25.9456,25.8959,25.9108,864.72812370052,0
IBTG.US,D,20200428,000000,25.9258,25.9855,25.9258,25.9855,634.73655537599,0
IBTG.US,D,20200429,000000,25.9656,26.0343,25.9656,25.9915,1465.3174593253,0
IBTG.US,D,20200430,000000,26.0343,26.0343,25.9596,25.9596,2022.7206052646,0
IBTG.US,D,20200501,000000,26.0044,26.0044,25.9596,25.9596,285.22971792212,0
IBTG.US,D,20200504,000000,25.9755,25.9755,25.9656,25.9656,802.45966415414,0
