<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTH.US,D,20200302,000000,25.2792,25.2792,25.2194,25.2194,2723.2441908176,0
IBTH.US,D,20200303,000000,25.2692,25.5484,25.2692,25.4886,7766.5118856357,0
IBTH.US,D,20200304,000000,25.5285,25.5285,25.4388,25.4388,4338.1330111552,0
IBTH.US,D,20200305,000000,25.5584,25.5584,25.5584,25.5584,806.44137363439,0
IBTH.US,D,20200306,000000,25.8655,25.8655,25.7668,25.7738,2664.0650352897,0
IBTH.US,D,20200309,000000,26.2134,26.2134,26.014,26.014,13067.559969787,0
IBTH.US,D,20200310,000000,25.9153,25.9642,25.7069,25.7069,7269.0057645876,0
IBTH.US,D,20200311,000000,25.7967,25.7967,25.6182,25.6182,16955.329577009,0
IBTH.US,D,20200312,000000,25.6282,25.8854,25.5484,25.5883,36513.538960713,0
IBTH.US,D,20200313,000000,25.4188,25.5484,25.3989,25.4288,9755.5333332937,0
IBTH.US,D,20200316,000000,25.4288,25.7368,25.2742,25.2742,6063.3558502735,0
IBTH.US,D,20200317,000000,25.4288,25.7069,25.3689,25.3689,5045.2737678868,0
IBTH.US,D,20200318,000000,25.2494,25.2494,25.2494,25.2494,1107.3523339457,0
IBTH.US,D,20200319,000000,25.2005,25.2005,25.2005,25.2005,1514.5851669004,0
IBTH.US,D,20200320,000000,25.4786,25.5335,25.4388,25.5335,316.95954486128,0
IBTH.US,D,20200323,000000,25.8455,25.8455,25.8455,25.8455,117.35527452142,0
IBTH.US,D,20200324,000000,25.8255,25.8255,25.8255,25.8255,117.35527452142,0
IBTH.US,D,20200330,000000,26.1935,27.4198,26.0081,26.019,292564.69330884,0
IBTH.US,D,20200331,000000,26.0738,26.1536,26.0738,26.0818,3012.1187127165,0
IBTH.US,D,20200401,000000,26.1635,27.6401,26.1337,26.1337,85976.279580157,0
IBTH.US,D,20200402,000000,26.1337,26.1337,26.0938,26.1187,1765.3443004932,0
IBTH.US,D,20200403,000000,26.1038,26.2324,26.0539,26.1237,1293.9171293388,0
IBTH.US,D,20200406,000000,26.1237,26.1237,26.014,26.014,988.99402288994,0
IBTH.US,D,20200408,000000,25.8904,25.9024,25.8904,25.9024,257.78038933338,0
IBTH.US,D,20200409,000000,25.9891,26.0041,25.9352,25.9542,1552.7005552065,0
IBTH.US,D,20200413,000000,25.9642,25.9642,25.9054,25.9054,1303.9474946825,0
IBTH.US,D,20200414,000000,25.9352,25.9442,25.9352,25.9442,682.06484337237,0
IBTH.US,D,20200415,000000,26.0339,26.1237,26.0339,26.1237,957.89989032444,0
IBTH.US,D,20200416,000000,26.1436,26.2034,26.1337,26.1337,2550.7219069058,0
IBTH.US,D,20200417,000000,26.1835,26.1835,26.1038,26.1087,636.92819932567,0
IBTH.US,D,20200420,000000,26.1337,26.1585,26.1337,26.1585,1127.4130646332,0
IBTH.US,D,20200421,000000,26.2034,26.2314,26.1935,26.2124,613.85835903514,0
IBTH.US,D,20200422,000000,26.1038,26.1137,26.1038,26.1137,604.8310302258,0
IBTH.US,D,20200423,000000,26.1038,26.1137,26.1038,26.1137,650.97071080687,0
IBTH.US,D,20200424,000000,26.1237,26.1925,26.1137,26.1585,734.22274315967,0
IBTH.US,D,20200427,000000,26.0888,26.0938,26.0339,26.0439,1217.6863527266,0
IBTH.US,D,20200428,000000,26.0738,26.1436,26.0738,26.1436,813.46262937499,0
IBTH.US,D,20200429,000000,26.1436,26.1935,26.1187,26.1386,1255.8017410327,0
IBTH.US,D,20200430,000000,26.1436,26.1735,26.1068,26.1068,1280.8776543919,0
IBTH.US,D,20200501,000000,26.1137,26.1137,26.0838,26.0938,885.68125984971,0
IBTH.US,D,20200504,000000,26.0738,26.1237,26.0638,26.1137,889.6934059872,0
IBTH.US,D,20200505,000000,26.0439,26.0988,26.0439,26.0988,605.83406676017,0
IBTH.US,D,20200506,000000,25.9941,26.0439,25.9941,26.0389,893.70555212468,0
IBTH.US,D,20200507,000000,26.1436,26.1835,26.1436,26.1685,1015.0729727836,0
IBTH.US,D,20200511,000000,26.0738,26.0738,26.0569,26.0569,334.01116594559,0
IBTH.US,D,20200512,000000,26.1038,26.1087,26.1038,26.1087,322.97776406751,0
IBTH.US,D,20200513,000000,26.1935,26.1935,26.1635,26.1635,406.22979642031,0
IBTH.US,D,20200514,000000,26.2234,26.2234,26.1885,26.1885,720.18023167848,0
IBTH.US,D,20200518,000000,26.0638,26.0638,26.0589,26.0589,212.64374528668,0
IBTH.US,D,20200519,000000,26.1237,26.1237,26.1107,26.1107,373.12959078606,0
IBTH.US,D,20200521,000000,26.1137,26.1227,26.1137,26.1227,376.13870038918,0
IBTH.US,D,20200522,000000,26.1635,26.1635,26.1585,26.1585,302.91703338008,0
IBTH.US,D,20200526,000000,26.1038,26.1187,26.1038,26.1187,200.60730687423,0
IBTH.US,D,20200527,000000,26.0838,26.1237,26.0838,26.1237,353.06886009864,0
IBTH.US,D,20200528,000000,26.1337,26.1337,26.1137,26.1137,461.39680581072,0
IBTH.US,D,20200601,000000,26.1337,26.1536,26.1337,26.1526,525.59114401048,0
IBTH.US,D,20200602,000000,26.1237,26.1237,26.1038,26.1038,572.73386112592,0
IBTH.US,D,20200603,000000,26.0339,26.0339,25.9991,25.9991,692.09520871608,0
IBTH.US,D,20200604,000000,25.9442,25.9442,25.9272,25.9272,646.95856466938,0
IBTH.US,D,20200605,000000,25.7768,25.8146,25.7468,25.8146,867.62660223103,0
IBTH.US,D,20200608,000000,25.8255,25.8305,25.8255,25.8305,473.43324422318,0
IBTH.US,D,20200609,000000,25.9153,25.9153,25.9104,25.9104,415.25712522965,0
IBTH.US,D,20200610,000000,26.024,26.0688,26.024,26.0688,538.6306189573,0
IBTH.US,D,20200612,000000,26.1237,26.1237,26.0838,26.0838,466.41198848258,0
IBTH.US,D,20200616,000000,26.0938,26.0938,26.0439,26.0489,2176.5892795854,0
IBTH.US,D,20200617,000000,26.0339,26.0738,26.0339,26.0678,517.56685173551,0
IBTH.US,D,20200618,000000,26.1337,26.1337,26.0988,26.0988,712.15593940351,0
IBTH.US,D,20200622,000000,26.1137,26.1137,26.0938,26.0938,541.63972856041,0
IBTH.US,D,20200623,000000,26.0738,26.0888,26.0738,26.0888,1547.6853725347,0
IBTH.US,D,20200624,000000,26.1237,26.1287,26.1197,26.1287,475.43931729192,0
IBTH.US,D,20200626,000000,26.1935,26.1935,26.1835,26.1835,212.64374528668,0
IBTH.US,D,20200630,000000,26.2234,26.2234,26.1735,26.1735,298.9048872426,0
IBTH.US,D,20200702,000000,26.1625,26.1685,26.1625,26.1685,659.99803961621,0
IBTH.US,D,20200708,000000,26.1835,26.1835,26.1785,26.1785,1061.2126533647,0
IBTH.US,D,20200709,000000,26.1885,26.2324,26.1885,26.2324,560.69742271347,0
IBTH.US,D,20200710,000000,26.2424,26.2522,26.1885,26.1885,1086.2885667239,0
IBTH.US,D,20200713,000000,26.1735,26.1735,26.1735,26.1735,1210.665096986,0
IBTH.US,D,20200714,000000,26.2522,26.2522,26.2134,26.2134,448.3573308639,0
IBTH.US,D,20200715,000000,26.2234,26.2374,26.2134,26.2374,995.01224209617,0
