<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTI.US,D,20200302,000000,25.3884,25.3884,25.3485,25.3485,707.21081457872,0
IBTI.US,D,20200303,000000,25.6067,25.7353,25.5669,25.5669,14880.518047462,0
IBTI.US,D,20200304,000000,25.5967,25.5967,25.5569,25.5569,5345.7112494894,0
IBTI.US,D,20200305,000000,25.6954,25.7452,25.6954,25.7452,907.8379960195,0
IBTI.US,D,20200306,000000,26.0722,26.0722,25.9765,25.9765,5507.2161305492,0
IBTI.US,D,20200309,000000,26.489,26.489,26.2557,26.2557,11397.63017765,0
IBTI.US,D,20200310,000000,26.1122,26.2208,25.8539,25.8539,8018.0653062805,0
IBTI.US,D,20200311,000000,25.9725,25.9825,25.7054,25.7652,17247.918788463,0
IBTI.US,D,20200312,000000,25.844,25.9875,25.5768,25.5768,26428.618611193,0
IBTI.US,D,20200313,000000,25.4282,25.6067,25.4084,25.4322,5546.3384309302,0
IBTI.US,D,20200316,000000,25.824,25.9775,25.7752,25.9775,22739.084744497,0
IBTI.US,D,20200317,000000,25.6067,25.6067,25.4482,25.4482,6051.9189281609,0
IBTI.US,D,20200318,000000,25.3087,25.3087,25.0126,25.0424,3409.6589485859,0
IBTI.US,D,20200319,000000,25.2489,25.3784,25.2089,25.2089,6272.6088277458,0
IBTI.US,D,20200320,000000,25.5369,25.5768,25.5369,25.5768,2440.629662227,0
IBTI.US,D,20200323,000000,25.9925,26.0224,25.9925,26.0224,727.2735327228,0
IBTI.US,D,20200325,000000,25.814,25.824,25.814,25.824,401.25436288155,0
IBTI.US,D,20200327,000000,26.0423,26.161,26.0423,26.161,186.58327873992,0
IBTI.US,D,20200330,000000,26.3503,26.466,26.1769,26.1769,245561.65126806,0
IBTI.US,D,20200331,000000,26.3005,26.449,26.2457,26.2457,5540.3196154869,0
IBTI.US,D,20200401,000000,26.3902,27.8876,26.3265,26.3265,85930.628082897,0
IBTI.US,D,20200402,000000,26.3703,26.3703,26.2905,26.3165,1637.1178005567,0
IBTI.US,D,20200403,000000,26.3305,26.469,26.2806,26.3404,2118.6230360146,0
IBTI.US,D,20200406,000000,26.2258,26.2706,26.161,26.2058,1111.4745851819,0
IBTI.US,D,20200408,000000,26.1022,26.1022,26.0922,26.0922,414.2951296752,0
IBTI.US,D,20200409,000000,26.171,26.171,26.121,26.136,1339.1864361172,0
IBTI.US,D,20200415,000000,26.3503,26.3503,26.3434,26.3434,532.66516672525,0
IBTI.US,D,20200416,000000,26.3902,26.3902,26.3643,26.3643,455.42370187055,0
IBTI.US,D,20200417,000000,26.4102,26.4102,26.3095,26.3095,765.39269719655,0
IBTI.US,D,20200420,000000,26.3503,26.3703,26.3503,26.3703,763.38642538214,0
IBTI.US,D,20200421,000000,26.449,26.449,26.4291,26.444,337.0536648205,0
IBTI.US,D,20200424,000000,26.4002,26.4102,26.3853,26.3853,458.43310959217,0
IBTI.US,D,20200427,000000,26.3005,26.3105,26.3005,26.3105,583.82509799265,0
IBTI.US,D,20200429,000000,26.4102,26.4102,26.3205,26.3464,852.66552112329,0
IBTI.US,D,20200430,000000,26.4291,26.4291,26.3195,26.3404,2787.7146861195,0
IBTI.US,D,20200504,000000,26.3055,26.3205,26.3055,26.3155,447.39861461292,0
IBTI.US,D,20200505,000000,26.3205,26.3205,26.3005,26.3005,434.35784781927,0
IBTI.US,D,20200506,000000,26.2058,26.2208,26.2058,26.2208,572.79060301341,0
IBTI.US,D,20200507,000000,26.3703,26.3703,26.3583,26.3603,1155.6125650989,0
IBTI.US,D,20200508,000000,26.3503,26.3503,26.3503,26.3503,425.32962465444,0
IBTI.US,D,20200511,000000,26.2307,26.2307,26.2218,26.2218,328.02544165566,0
IBTI.US,D,20200512,000000,26.2706,26.3055,26.2706,26.3055,258.8090640586,0
IBTI.US,D,20200513,000000,26.3803,26.3803,26.3503,26.3503,292.91568490353,0
IBTI.US,D,20200518,000000,26.2307,26.2307,26.2208,26.2208,220.68989958485,0
IBTI.US,D,20200521,000000,26.3005,26.3005,26.3005,26.3005,374.16969338704,0
IBTI.US,D,20200522,000000,26.3603,26.3603,26.3454,26.3454,273.85610266666,0
IBTI.US,D,20200526,000000,26.2905,26.2955,26.2905,26.2955,201.63031734798,0
IBTI.US,D,20200528,000000,26.3105,26.3105,26.2905,26.2905,456.42683777776,0
IBTI.US,D,20200529,000000,26.3753,26.3803,26.3703,26.3803,961.0041991013,0
IBTI.US,D,20200601,000000,26.3404,26.3454,26.3305,26.3454,594.85959297189,0
IBTI.US,D,20200603,000000,26.1809,26.1809,26.166,26.166,1644.1397519071,0
IBTI.US,D,20200604,000000,26.0692,26.0772,26.0692,26.0772,1553.8575202588,0
IBTI.US,D,20200608,000000,25.9625,26.0025,25.9625,25.9695,705.20454276432,0
IBTI.US,D,20200609,000000,26.0623,26.0623,26.0573,26.0573,413.29199376799,0
IBTI.US,D,20200610,000000,26.16,26.2347,26.16,26.2347,429.34216828325,0
IBTI.US,D,20200612,000000,26.3105,26.3105,26.2657,26.2657,417.30453739681,0
IBTI.US,D,20200616,000000,26.2357,26.2357,26.1899,26.2058,3240.1289802685,0
IBTI.US,D,20200617,000000,26.1909,26.2407,26.1909,26.2347,731.28607635162,0
IBTI.US,D,20200618,000000,26.2955,26.2955,26.2855,26.2855,557.74356440535,0
IBTI.US,D,20200622,000000,26.2905,26.2905,26.2706,26.2796,770.40837673257,0
IBTI.US,D,20200623,000000,26.2507,26.2607,26.2507,26.2607,290.90941308912,0
IBTI.US,D,20200624,000000,26.3205,26.3205,26.3155,26.3155,327.02230574846,0
IBTI.US,D,20200626,000000,26.4002,26.4002,26.3893,26.3893,205.64286097679,0
IBTI.US,D,20200630,000000,26.4291,26.4291,26.3703,26.3803,963.01047091571,0
IBTI.US,D,20200702,000000,26.3305,26.3404,26.3305,26.3404,651.03520377531,0
IBTI.US,D,20200708,000000,26.3703,26.3703,26.3603,26.3643,876.74078289618,0
IBTI.US,D,20200709,000000,26.3803,26.3803,26.3803,26.3803,579.81255436383,0
IBTI.US,D,20200710,000000,26.449,26.449,26.3803,26.3803,1059.3115180073,0
IBTI.US,D,20200713,000000,26.3703,26.3703,26.3703,26.3703,1120.5028083467,0
IBTI.US,D,20200715,000000,26.4002,26.4391,26.4002,26.4002,1315.1111743443,0
IBTI.US,D,20200717,000000,26.4202,26.4202,26.4192,26.4192,229.71812274969,0
IBTI.US,D,20200720,000000,26.4152,26.4291,26.4152,26.4251,694.17004778507,0
IBTI.US,D,20200721,000000,26.449,26.469,26.449,26.457,60650.600085453,0
IBTI.US,D,20200722,000000,26.459,26.459,26.457,26.457,2285.1435966104,0
IBTI.US,D,20200723,000000,26.479,26.4989,26.479,26.479,15924.782526862,0
IBTI.US,D,20200724,000000,26.479,26.479,26.474,26.474,231.72439456409,0
IBTI.US,D,20200727,000000,26.469,26.469,26.4291,26.4291,861.69374428812,0
IBTI.US,D,20200728,000000,26.469,26.4979,26.469,26.4979,697.17945550669,0
IBTI.US,D,20200729,000000,26.4989,26.5188,26.4989,26.5188,597.8690006935,0
IBTI.US,D,20200730,000000,26.5587,26.5687,26.5488,26.5637,2749.5955216458,0
IBTI.US,D,20200731,000000,26.5787,26.5787,26.5777,26.5777,516.61499220999,0
IBTI.US,D,20200803,000000,26.5288,26.5288,26.5288,26.5288,525.64321537483,0
IBTI.US,D,20200804,000000,26.6085,26.6185,26.6085,26.6185,290.90941308912,0
IBTI.US,D,20200805,000000,26.5787,26.5787,26.5488,26.5488,739.31116360925,0
IBTI.US,D,20200806,000000,26.6185,26.6185,26.5687,26.5687,707.21081457872,0
IBTI.US,D,20200807,000000,26.5488,26.5488,26.5228,26.5228,837.61848251523,0
IBTI.US,D,20200810,000000,26.5587,26.5587,26.489,26.489,703.19827094991,0
IBTI.US,D,20200811,000000,26.3902,26.4331,26.3703,26.4291,1054.2958384713,0
IBTI.US,D,20200812,000000,26.3503,26.3723,26.3205,26.3723,2173.7955109108,0
IBTI.US,D,20200813,000000,26.3005,26.3005,26.2855,26.2855,1024.2017612551,0
IBTI.US,D,20200814,000000,26.3404,26.3503,26.3205,26.3205,825.58085162878,0
IBTI.US,D,20200817,000000,26.3603,26.3603,26.3603,26.3603,284.8905976459,0
IBTI.US,D,20200819,000000,26.3803,26.3803,26.3663,26.3663,361.12892659339,0
IBTI.US,D,20200820,000000,26.4291,26.4391,26.4291,26.4391,987.0857326886,0
IBTI.US,D,20200824,000000,26.4391,26.449,26.4102,26.4102,614.92231111597,0
IBTI.US,D,20200826,000000,26.3205,26.3503,26.3205,26.3503,564.76551575578,0
IBTI.US,D,20200827,000000,26.3305,26.3305,26.2706,26.2706,1835.7387101831,0
IBTI.US,D,20200831,000000,26.3703,26.3803,26.3703,26.3803,672.10105782659,0
IBTI.US,D,20200901,000000,26.3703,26.3902,26.3523,26.3902,4244.2680233796,0
IBTI.US,D,20200902,000000,26.4291,26.4291,26.4202,26.4202,396.23868334553,0
IBTI.US,D,20200903,000000,26.479,26.479,26.479,26.479,739.31116360925,0
IBTI.US,D,20200904,000000,26.3902,26.3902,26.3404,26.3404,721.25471727958,0
IBTI.US,D,20200908,000000,26.3902,26.4002,26.3803,26.3803,716.23903774356,0
IBTI.US,D,20200909,000000,26.3803,26.3803,26.3703,26.3703,476.48955592184,0
IBTI.US,D,20200914,000000,26.4291,26.4291,26.4102,26.4102,430.34530419046,0
IBTI.US,D,20200915,000000,26.4002,26.4092,26.4002,26.4092,450.40802233454,0
IBTI.US,D,20200916,000000,26.4391,26.4391,26.3952,26.3952,656.05088331133,0
IBTI.US,D,20200917,000000,26.4202,26.4202,26.4002,26.4002,408.27631423197,0
IBTI.US,D,20200918,000000,26.4102,26.4102,26.3803,26.3803,241.75575363613,0
IBTI.US,D,20200921,000000,26.449,26.449,26.4202,26.4202,352.10070342856,0
IBTI.US,D,20200922,000000,26.4291,26.449,26.4202,26.4202,858.68433656651,0
IBTI.US,D,20200923,000000,26.4002,26.4002,26.4002,26.4002,482.50837136506,0
IBTI.US,D,20200924,000000,26.4202,26.4391,26.4202,26.4291,434.35784781927,0
