<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTJ.US,D,20200302,000000,25.3048,25.3048,25.245,25.245,808.31421285731,0
IBTJ.US,D,20200303,000000,25.265,25.6664,25.265,25.4821,16971.5861189,0
IBTJ.US,D,20200304,000000,25.5418,25.5418,25.502,25.502,707.90250939677,0
IBTJ.US,D,20200305,000000,25.6314,25.7031,25.6314,25.7031,553.26848606755,0
IBTJ.US,D,20200306,000000,26.1165,26.1354,26.0069,26.0089,6264.6861789028,0
IBTJ.US,D,20200309,000000,26.6303,26.6303,26.3725,26.3725,16475.552303804,0
IBTJ.US,D,20200310,000000,26.1902,26.3236,25.8874,25.8874,22224.12232692,0
IBTJ.US,D,20200311,000000,25.987,25.987,25.739,25.739,16463.50289939,0
IBTJ.US,D,20200312,000000,25.9372,26.0268,25.5817,25.6185,32760.322371034,0
IBTJ.US,D,20200313,000000,25.512,27.6014,25.3447,25.3447,328111.30692985,0
IBTJ.US,D,20200316,000000,25.8277,26.0129,25.7101,26.0129,15875.090317111,0
IBTJ.US,D,20200317,000000,25.8974,25.9074,25.4223,25.4223,4970.3793212965,0
IBTJ.US,D,20200318,000000,25.1066,25.3447,24.8288,24.9752,24544.636793893,0
IBTJ.US,D,20200319,000000,24.9483,25.257,24.9483,24.9782,8261.8749607328,0
IBTJ.US,D,20200320,000000,25.4323,25.6116,25.4223,25.6116,2954.1123158089,0
IBTJ.US,D,20200323,000000,25.9173,26.0567,25.9173,26.0318,2739.2312704034,0
IBTJ.US,D,20200324,000000,25.8475,25.8575,25.753,25.8227,3203.1333403911,0
IBTJ.US,D,20200325,000000,25.9472,25.9472,25.7878,25.7878,2077.5181445985,0
IBTJ.US,D,20200326,000000,25.9272,25.9272,25.9074,25.9074,619.5402103515,0
IBTJ.US,D,20200327,000000,26.0189,26.1902,26.0189,26.1692,525.1532090986,0
IBTJ.US,D,20200330,000000,26.3725,26.5706,26.1722,26.1722,255713.46461777,0
IBTJ.US,D,20200331,000000,26.3136,26.4611,26.2888,26.3038,7736.7217516342,0
IBTJ.US,D,20200401,000000,26.4222,26.9869,26.3136,26.3575,91660.823503949,0
IBTJ.US,D,20200402,000000,26.4322,26.4322,26.3326,26.3326,1296.3150916755,0
IBTJ.US,D,20200403,000000,26.3923,26.4909,26.3585,26.3725,3979.315808141,0
IBTJ.US,D,20200406,000000,26.3236,26.3236,26.2051,26.2649,1061.3517055779,0
IBTJ.US,D,20200407,000000,26.2549,26.2549,26.0368,26.1215,1494.1261474928,0
IBTJ.US,D,20200408,000000,26.0717,26.1354,26.0717,26.0866,604.47845483242,0
IBTJ.US,D,20200409,000000,26.1255,26.1752,26.0916,26.1125,2243.1974553084,0
IBTJ.US,D,20200413,000000,26.0567,26.1255,26.0567,26.0567,1517.2208392887,0
IBTJ.US,D,20200414,000000,26.1255,26.1255,26.0766,26.1095,2943.0670284283,0
IBTJ.US,D,20200415,000000,26.3725,26.3754,26.3725,26.3754,547.24378385992,0
IBTJ.US,D,20200416,000000,26.4322,26.4322,26.4023,26.4093,1511.1961370811,0
IBTJ.US,D,20200417,000000,26.4511,26.4511,26.3425,26.3425,1592.5296168841,0
IBTJ.US,D,20200420,000000,26.3824,26.4222,26.3824,26.4172,3795.5623908082,0
IBTJ.US,D,20200421,000000,26.5606,26.5606,26.5009,26.5159,781.20305292296,0
IBTJ.US,D,20200422,000000,26.4362,26.4412,26.4172,26.4172,988.05116205167,0
IBTJ.US,D,20200424,000000,26.4511,26.4611,26.4412,26.4511,1120.5946106196,0
IBTJ.US,D,20200427,000000,26.3525,26.3625,26.3038,26.3038,4373.9338027409,0
IBTJ.US,D,20200428,000000,26.3236,26.4083,26.3236,26.4083,646.65137028585,0
IBTJ.US,D,20200429,000000,26.3923,26.471,26.3725,26.4033,1200.923973388,0
IBTJ.US,D,20200430,000000,26.4083,26.4511,26.3346,26.3346,936.84119328679,0
IBTJ.US,D,20200501,000000,26.3525,26.3824,26.3425,26.3545,2168.8927947476,0
IBTJ.US,D,20200504,000000,26.3515,26.3515,26.3216,26.3425,649.66372138966,0
IBTJ.US,D,20200505,000000,26.3405,26.3425,26.3166,26.3326,682.79958353164,0
IBTJ.US,D,20200506,000000,26.1852,26.2251,26.1852,26.2161,1056.3311204048,0
IBTJ.US,D,20200507,000000,26.2151,26.3725,26.2151,26.3675,909.73003335245,0
IBTJ.US,D,20200508,000000,26.3525,26.3525,26.2898,26.2898,881.6147563835,0
IBTJ.US,D,20200511,000000,26.2549,26.2549,26.2001,26.2001,1256.1504102913,0
IBTJ.US,D,20200512,000000,26.2449,26.2848,26.2449,26.2848,227.93456685542,0
IBTJ.US,D,20200513,000000,26.3425,26.4023,26.3425,26.3625,1122.6028446888,0
IBTJ.US,D,20200514,000000,26.4122,26.4611,26.4073,26.4073,1838.5382903624,0
IBTJ.US,D,20200515,000000,26.3725,26.4023,26.3725,26.3774,529.16967723702,0
IBTJ.US,D,20200518,000000,26.2051,26.2051,26.2051,26.2051,302.23922741621,0
IBTJ.US,D,20200520,000000,26.2251,26.2898,26.2251,26.2898,500.05028323347,0
IBTJ.US,D,20200521,000000,26.3038,26.3136,26.3038,26.3136,618.5360933169,0
IBTJ.US,D,20200522,000000,26.3475,26.3625,26.3475,26.3625,627.57314662835,0
IBTJ.US,D,20200526,000000,26.2938,26.2938,26.2938,26.2938,437.79502708793,0
IBTJ.US,D,20200527,000000,26.3525,26.3525,26.3086,26.3086,398.63446273833,0
IBTJ.US,D,20200528,000000,26.3326,26.3425,26.2898,26.2898,11377.650119113,0
IBTJ.US,D,20200529,000000,26.3525,26.3814,26.3425,26.3814,1125.6151957926,0
IBTJ.US,D,20200601,000000,26.3286,26.3495,26.3286,26.3495,466.91442109149,0
IBTJ.US,D,20200602,000000,26.3136,26.3136,26.2938,26.3086,882.61887341811,0
IBTJ.US,D,20200603,000000,26.1454,26.1652,26.1404,26.1404,1918.8676531308,0
IBTJ.US,D,20200605,000000,25.8377,25.8874,25.8177,25.8874,1036.2487797127,0
IBTJ.US,D,20200608,000000,25.8575,25.9173,25.8575,25.9173,761.12071223086,0
IBTJ.US,D,20200609,000000,26.0368,26.0418,26.0069,26.0169,683.80370056625,0
IBTJ.US,D,20200610,000000,26.1115,26.2151,26.1115,26.2151,553.26848606755,0
IBTJ.US,D,20200611,000000,26.3376,26.3425,26.3336,26.3336,409.67975011898,0
IBTJ.US,D,20200612,000000,26.3038,26.3038,26.2698,26.2698,640.62666807822,0
IBTJ.US,D,20200616,000000,26.2301,26.2301,26.1652,26.1952,3390.9032258623,0
IBTJ.US,D,20200617,000000,26.2151,26.2339,26.1852,26.2339,1242.0927718068,0
IBTJ.US,D,20200618,000000,26.2988,26.3236,26.2988,26.2988,794.25657437283,0
IBTJ.US,D,20200619,000000,26.2938,26.3047,26.2938,26.3047,316.29686590069,0
IBTJ.US,D,20200622,000000,26.3425,26.3425,26.2848,26.2848,1614.6201916454,0
IBTJ.US,D,20200623,000000,26.2748,26.2748,26.2449,26.2698,1170.8004623498,0
IBTJ.US,D,20200624,000000,26.3326,26.3415,26.3326,26.3326,475.95147440294,0
IBTJ.US,D,20200625,000000,26.3625,26.3725,26.3326,26.3326,1205.944558561,0
IBTJ.US,D,20200626,000000,26.4322,26.4322,26.4122,26.4122,809.31832989191,0
IBTJ.US,D,20200629,000000,26.4222,26.4392,26.4222,26.4392,300.230993347,0
IBTJ.US,D,20200630,000000,26.4611,26.4611,26.3824,26.3824,678.78311539322,0
