<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTK.US,D,20200724,000000,24.8604,24.8604,24.8604,24.8604,2022.2172065103,0
IBTK.US,D,20200728,000000,24.8903,24.8903,24.8903,24.8903,201.31579955304,0
IBTK.US,D,20200730,000000,24.9896,24.9896,24.9896,24.9896,809.28951420324,0
IBTK.US,D,20200813,000000,24.6538,24.6637,24.6538,24.6538,608.98029364796,0
IBTK.US,D,20200819,000000,24.782,24.782,24.7323,24.7323,710.64477242224,0
IBTK.US,D,20200827,000000,24.6041,24.6041,24.5793,24.5793,503.28949888261,0
IBTK.US,D,20200903,000000,24.8416,24.8416,24.8416,24.8416,1111.2632135328,0
IBTK.US,D,20200924,000000,24.7521,24.7521,24.7521,24.7521,100.65789977652,0
IBTK.US,D,20201005,000000,24.5544,24.5544,24.5544,24.5544,205.3421155441,0
IBTK.US,D,20201006,000000,24.4849,24.5247,24.4849,24.5247,302.98027832733,0
IBTK.US,D,20201102,000000,24.3657,24.3657,24.3359,24.3359,2124.8882642824,0
IBTK.US,D,20201127,000000,24.3945,24.3955,24.3945,24.3955,100.65789977652,0
IBTK.US,D,20201208,000000,24.2574,24.2574,24.2276,24.2276,204.33553654634,0
IBTK.US,D,20201209,000000,24.168,24.168,24.168,24.168,307.0065943184,0
IBTK.US,D,20201211,000000,24.2971,24.2971,24.2961,24.2971,447.92765400552,0
IBTK.US,D,20201215,000000,24.2872,24.2872,24.2872,24.2872,1.0065789977652,0
IBTK.US,D,20201216,000000,24.2375,24.2375,24.2375,24.2375,1.0065789977652,0
IBTK.US,D,20201217,000000,24.2276,24.2276,24.2276,24.2276,2.0131579955304,0
IBTK.US,D,20210104,000000,24.2674,24.2674,24.2515,24.2515,404.64475710162,0
IBTK.US,D,20210106,000000,24.168,24.168,24.168,24.168,2.0131579955304,0
