<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICLN.US,D,20080625,000000,40.2904,40.8427,40.2904,40.6818,2633.891548632,0
ICLN.US,D,20080626,000000,46.2537,46.2626,39.3121,39.3678,12577.436248284,0
ICLN.US,D,20080627,000000,39.631,39.631,38.6199,38.6715,9947.57205676,0
ICLN.US,D,20080630,000000,39.1433,39.2913,38.742,38.742,22080.992183887,0
ICLN.US,D,20080701,000000,38.7192,38.7192,37.0566,37.6237,19186.329262512,0
ICLN.US,D,20080702,000000,37.4111,37.4111,36.6315,36.6315,8564.174890162,0
ICLN.US,D,20080703,000000,42.3752,42.3752,36.0216,36.6245,7682.18368351,0
ICLN.US,D,20080707,000000,37.0883,37.1648,36.9483,36.9483,3266.186614588,0
ICLN.US,D,20080708,000000,37.1896,37.1896,36.109,36.9711,15698.638006984,0
ICLN.US,D,20080709,000000,36.8331,37.3347,36.703,36.703,5200.324865705,0
ICLN.US,D,20080710,000000,36.6692,37.1022,36.3176,37.0268,1300.836345884,0
ICLN.US,D,20080711,000000,37.1896,37.4817,36.8708,37.2016,5387.596971227,0
ICLN.US,D,20080714,000000,37.7538,37.9912,37.4817,37.9554,28760.363947505,0
ICLN.US,D,20080715,000000,37.6296,37.6296,36.5163,37.3029,15641.248168195,0
ICLN.US,D,20080716,000000,37.3029,38.162,37.3029,38.162,5491.301416758,0
ICLN.US,D,20080717,000000,38.9268,38.9963,38.2156,38.2405,6004.789448028,0
ICLN.US,D,20080718,000000,38.0776,38.0776,37.8472,37.9167,6181.99316078,0
ICLN.US,D,20080721,000000,38.3567,38.6646,38.1799,38.6487,22264.236932301,0
ICLN.US,D,20080722,000000,38.9129,39.9379,37.6992,37.9306,12293.50757217,0
ICLN.US,D,20080723,000000,38.2494,38.2713,37.867,37.8998,6391.415730396,0
ICLN.US,D,20080724,000000,37.4111,37.4111,35.9601,36.2084,8335.622374283,0
ICLN.US,D,20080725,000000,36.4447,36.6315,36.0912,36.6315,3441.376648786,0
ICLN.US,D,20080728,000000,36.0524,36.6464,36.0524,36.3991,24231.600879559,0
ICLN.US,D,20080729,000000,36.6692,37.4042,36.5868,37.2522,24782.341964078,0
ICLN.US,D,20080730,000000,37.867,38.1541,37.7826,38.1173,4569.036639026,0
ICLN.US,D,20080731,000000,38.1322,38.2405,36.6245,37.73,4020.309233061,0
ICLN.US,D,20080801,000000,37.9783,37.9783,37.0417,37.0635,5870.879824187,0
ICLN.US,D,20080804,000000,37.3496,37.3496,36.3176,36.3176,4316.319980499,0
ICLN.US,D,20080805,000000,36.0832,36.3911,36.0455,36.1309,2010.658036169,0
ICLN.US,D,20080806,000000,36.1756,36.5619,36.0137,36.5331,5091.586223789,0
ICLN.US,D,20080807,000000,36.7328,36.7328,36.3911,36.5163,7790.922325426,0
ICLN.US,D,20080808,000000,36.1458,36.1458,35.7445,35.8816,6320.936981006,0
ICLN.US,D,20080811,000000,35.9303,35.976,35.3413,35.3413,3114.153883761,0
ICLN.US,D,20080812,000000,35.243,35.8995,35.243,35.5568,3031.593063047,0
ICLN.US,D,20080813,000000,35.5489,35.7356,35.3184,35.7356,4837.862725985,0
ICLN.US,D,20080814,000000,35.7992,35.821,35.6512,35.6512,1528.382022486,0
ICLN.US,D,20080815,000000,36.0524,36.5947,36.0524,36.5947,5131.859794869,0
ICLN.US,D,20080818,000000,36.8639,36.9155,36.1239,36.1239,3202.755740137,0
ICLN.US,D,20080819,000000,36.2382,36.3991,36.1756,36.3911,2228.135320001,0
ICLN.US,D,20080820,000000,36.5451,37.5055,36.5451,37.3575,6632.050317599,0
ICLN.US,D,20080821,000000,38.0617,38.3328,38.0547,38.3179,16330.93307294,0
