<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEF.US,D,20050225,000000,69.5897,69.6904,69.4951,69.6356,515332.8224413,0
IEF.US,D,20050228,000000,69.509,69.6126,69.0916,69.1842,481904.91695706,0
IEF.US,D,20050301,000000,68.9591,69.0767,68.8884,69.001,363941.55271489,0
IEF.US,D,20050302,000000,68.9511,69.0588,68.9193,68.993,181183.26308861,0
IEF.US,D,20050303,000000,69.0767,69.1166,68.9283,68.9511,724858.53248013,0
IEF.US,D,20050304,000000,69.1674,69.3417,69.1344,69.258,217274.35876053,0
IEF.US,D,20050307,000000,69.2919,69.3835,69.266,69.2749,197534.82922773,0
IEF.US,D,20050308,000000,69.0916,69.0986,68.9283,68.9511,843184.28332528,0
IEF.US,D,20050309,000000,68.73,68.73,68.3565,68.4251,317681.54765693,0
IEF.US,D,20050310,000000,68.4819,68.6882,68.3216,68.5477,317681.54765693,0
IEF.US,D,20050311,000000,68.4331,68.4819,68.2429,68.2608,246341.57891673,0
IEF.US,D,20050314,000000,68.1851,68.4251,68.1662,68.4251,232894.12480662,0
IEF.US,D,20050315,000000,68.5567,68.5567,68.209,68.2907,120622.53906582,0
IEF.US,D,20050316,000000,68.4411,68.713,68.3823,68.4501,270925.64514223,0
IEF.US,D,20050317,000000,68.72,68.8117,68.6075,68.713,414324.33278258,0
IEF.US,D,20050318,000000,68.5796,68.5985,68.4671,68.5397,242587.21355604,0
IEF.US,D,20050321,000000,68.4989,68.5238,68.4251,68.4581,542825.01605982,0
IEF.US,D,20050322,000000,68.6314,68.6972,67.9539,67.9539,366728.21534626,0
IEF.US,D,20050323,000000,67.8036,68.1662,67.8036,68.1114,431039.28936571,0
IEF.US,D,20050324,000000,68.1452,68.2349,68.0855,68.1662,159869.71085913,0
IEF.US,D,20050328,000000,68.0038,68.0297,67.9071,67.9471,82959.428379238,0
IEF.US,D,20050329,000000,68.0785,68.2349,68.0785,68.225,423044.69959764,0
IEF.US,D,20050330,000000,68.1851,68.3923,68.1662,68.3823,304349.53526245,0
IEF.US,D,20050331,000000,68.6642,68.72,68.5308,68.72,817505.02656275,0
IEF.US,D,20050401,000000,68.72,68.7519,68.218,68.6314,444720.63843012,0
IEF.US,D,20050404,000000,68.5567,68.8027,68.5397,68.5985,164591.77894916,0
IEF.US,D,20050405,000000,68.6075,68.6882,68.5168,68.6075,90956.025829312,0
IEF.US,D,20050406,000000,68.7519,68.8117,68.72,68.8117,62006.255070753,0
IEF.US,D,20050407,000000,68.8376,68.9761,68.5308,68.5477,237987.61406869,0
IEF.US,D,20050408,000000,68.5238,68.6314,68.4093,68.6264,104522.93701909,0
IEF.US,D,20050411,000000,68.6075,68.8286,68.5567,68.8286,50743.158988675,0
IEF.US,D,20050412,000000,68.73,69.1932,68.6702,69.1842,176945.04636325,0
IEF.US,D,20050413,000000,69.2749,69.3227,69.0508,69.2162,207708.75781881,0
IEF.US,D,20050414,000000,69.2829,69.4005,69.1762,69.4005,235806.26756367,0
IEF.US,D,20050415,000000,69.5648,69.8537,69.3925,69.8537,215467.44495057,0
IEF.US,D,20050418,000000,69.9005,69.9245,69.6844,69.6993,394942.17064776,0
IEF.US,D,20050419,000000,69.76,70.1127,69.7411,70.1127,136371.80060162,0
IEF.US,D,20050420,000000,69.6904,70.1127,69.6904,70.0698,277708.59881661,0
IEF.US,D,20050421,000000,69.7919,69.9333,69.5568,69.5648,684522.19319581,0
IEF.US,D,20050422,000000,69.7999,69.9075,69.6904,69.8627,90593.639226315,0
IEF.US,D,20050425,000000,69.8537,69.8925,69.7919,69.8627,95802.570204024,0
IEF.US,D,20050426,000000,69.9503,69.9593,69.6794,69.8278,144852.24941636,0
IEF.US,D,20050427,000000,70.025,70.1664,69.9413,70.044,149814.23550672,0
IEF.US,D,20050428,000000,70.1506,70.4733,70.1048,70.4733,125108.70451955,0
IEF.US,D,20050429,000000,70.291,70.5112,70.1904,70.2163,210978.26797383,0
IEF.US,D,20050502,000000,70.0529,70.1127,69.9005,70.0698,171252.26402087,0
IEF.US,D,20050503,000000,70.1216,70.2163,69.9413,70.1586,313917.14388618,0
IEF.US,D,20050504,000000,70.0001,70.2074,69.9593,70.1436,138667.58498128,0
IEF.US,D,20050505,000000,70.2252,70.4563,70.0948,70.3647,130800.48302092,0
IEF.US,D,20050506,000000,69.9413,70.025,69.784,69.8627,715775.77906206,0
IEF.US,D,20050509,000000,69.8188,69.8707,69.7501,69.8537,39845.461032612,0
IEF.US,D,20050510,000000,69.9333,70.1216,69.9245,70.1048,122687.4400142,0
IEF.US,D,20050511,000000,70.2332,70.3737,70.1436,70.1904,494858.48129246,0
IEF.US,D,20050512,000000,70.044,70.3059,69.9593,70.2552,662240.938237,0
IEF.US,D,20050513,000000,70.4255,70.5281,70.3159,70.4415,259656.52601412,0
IEF.US,D,20050516,000000,70.5281,70.544,70.4165,70.4484,135523.55495194,0
IEF.US,D,20050517,000000,70.553,70.6258,70.5032,70.5281,136610.71476094,0
IEF.US,D,20050518,000000,70.8011,70.8569,70.6646,70.7572,112634.9761848,0
