<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEI.US,D,20070111,000000,86.6951,86.6951,86.6264,86.6264,1257.2758860695,0
IEI.US,D,20070112,000000,86.5906,86.6354,86.5636,86.6354,1726.8729448729,0
IEI.US,D,20070116,000000,86.5456,86.5456,86.5456,86.5456,693.35805049805,0
IEI.US,D,20070117,000000,86.6424,86.6424,86.5267,86.5356,801.72660252957,0
IEI.US,D,20070118,000000,86.5536,86.6184,86.5536,86.6184,7099.1435705841,0
IEI.US,D,20070119,000000,86.5716,86.5716,86.5009,86.5167,2283.7668928126,0
IEI.US,D,20070122,000000,86.6094,86.6094,86.5636,86.5636,1367.6512631387,0
IEI.US,D,20070123,000000,86.4749,86.4749,86.441,86.441,1367.6512631387,0
IEI.US,D,20070124,000000,86.4749,86.4749,86.4749,86.4749,1492.0744154712,0
IEI.US,D,20070125,000000,86.4001,86.4001,86.3015,86.3015,2399.1593324759,0
IEI.US,D,20070126,000000,86.2845,86.3105,86.2388,86.3105,1367.6512631387,0
IEI.US,D,20070129,000000,86.3453,86.3523,86.2576,86.2845,3548.0666665139,0
IEI.US,D,20070130,000000,86.3523,86.3523,86.3265,86.3265,442.50492079542,0
IEI.US,D,20070131,000000,86.4081,86.5536,86.4081,86.5536,4126.0322773487,0
IEI.US,D,20070201,000000,86.4669,86.4669,86.2775,86.2845,1835.2414969044,0
IEI.US,D,20070202,000000,86.3015,86.4001,86.3015,86.3265,7788.4879710069,0
IEI.US,D,20070205,000000,86.441,86.441,86.441,86.441,8131.6550524402,0
IEI.US,D,20070206,000000,86.4081,86.5906,86.4081,86.5906,7557.7030916806,0
IEI.US,D,20070207,000000,86.6513,86.6862,86.6424,86.6862,2524.5858973272,0
IEI.US,D,20070208,000000,86.6682,86.7181,86.6513,86.7181,8594.2282236118,0
IEI.US,D,20070209,000000,86.5267,86.5267,86.5267,86.5267,2283.7668928126,0
IEI.US,D,20070212,000000,86.5167,86.5716,86.441,86.458,5727.4786573702,0
IEI.US,D,20070213,000000,86.5167,86.5167,86.4231,86.4231,2171.3846907059,0
IEI.US,D,20070214,000000,86.5995,86.7957,86.5995,86.7868,19009.650168865,0
IEI.US,D,20070215,000000,86.8985,86.9502,86.8785,86.9254,11336.554637521,0
IEI.US,D,20070216,000000,86.9413,86.9413,86.9164,86.9333,18670.496737507,0
IEI.US,D,20070220,000000,86.8985,86.9662,86.8985,86.9254,6186.0381784667,0
IEI.US,D,20070221,000000,86.9502,87.0031,86.9502,87.0031,2171.3846907059,0
IEI.US,D,20070222,000000,86.8695,86.8695,86.8695,86.8695,200.6825037621,0
IEI.US,D,20070223,000000,86.8885,87.0998,86.8885,87.0569,15230.798623024,0
IEI.US,D,20070226,000000,87.1696,87.2253,87.1616,87.1994,1612.4839177284,0
IEI.US,D,20070227,000000,87.4037,87.7954,87.4037,87.7335,14088.915176618,0
IEI.US,D,20070228,000000,87.7335,87.7335,87.5283,87.5741,144305.77139273,0
IEI.US,D,20070301,000000,87.3967,87.5104,87.2792,87.2792,55778.698508156,0
IEI.US,D,20070302,000000,87.4854,87.5194,87.4137,87.5194,15569.952054382,0
IEI.US,D,20070305,000000,87.6439,87.6519,87.5194,87.5473,9738.1184950557,0
IEI.US,D,20070306,000000,87.4237,87.5652,87.3779,87.4586,11680.725131472,0
IEI.US,D,20070307,000000,87.4674,87.5821,87.4674,87.5821,5261.8952486422,0
IEI.US,D,20070308,000000,87.5373,87.601,87.5283,87.601,4010.6398376855,0
IEI.US,D,20070309,000000,87.2253,87.318,87.2253,87.2882,9621.7226428737,0
IEI.US,D,20070312,000000,87.3529,87.4674,87.3529,87.4416,9507.3336157293,0
IEI.US,D,20070313,000000,87.636,87.7954,87.601,87.7157,28863.161103584,0
IEI.US,D,20070314,000000,87.7335,87.8223,87.6808,87.6968,5727.4786573702,0
IEI.US,D,20070315,000000,87.6708,87.6708,87.601,87.611,23481.859765204,0
IEI.US,D,20070316,000000,87.5562,87.6439,87.5562,87.628,10883.012179019,0
IEI.US,D,20070319,000000,87.4674,87.5283,87.4586,87.4774,2283.7668928126,0
IEI.US,D,20070320,000000,87.6439,87.6519,87.611,87.618,11569.346341885,0
IEI.US,D,20070321,000000,87.618,87.8721,87.5473,87.7954,32066.053863627,0
IEI.US,D,20070322,000000,87.7335,87.7335,87.601,87.628,4920.7349922466,0
IEI.US,D,20070323,000000,87.7157,87.7157,87.5373,87.5373,19923.758973501,0
IEI.US,D,20070326,000000,87.5194,87.7755,87.5194,87.6519,9391.9411760661,0
IEI.US,D,20070327,000000,87.611,87.6439,87.5821,87.636,36075.690288793,0
IEI.US,D,20070328,000000,87.7575,87.8223,87.6618,87.6618,2399.1593324759,0
IEI.US,D,20070329,000000,87.5562,87.618,87.5562,87.5652,8131.6550524402,0
IEI.US,D,20070330,000000,87.601,87.6898,87.4137,87.5562,31608.497755048,0
IEI.US,D,20070402,000000,87.2343,87.318,87.1616,87.2443,28744.758426364,0
IEI.US,D,20070403,000000,87.1356,87.2622,87.1356,87.1696,9391.9411760661,0
IEI.US,D,20070404,000000,87.3599,87.4037,87.1994,87.3699,22216.556578982,0
IEI.US,D,20070405,000000,87.327,87.327,87.1696,87.2253,3784.8720209531,0
IEI.US,D,20070409,000000,86.771,86.8985,86.771,86.8785,7903.8804106702,0
IEI.US,D,20070410,000000,87.0311,87.0311,86.9762,86.9932,6304.4408556862,0
IEI.US,D,20070411,000000,87.0928,87.1188,86.9333,86.9862,5498.7006030814,0
IEI.US,D,20070412,000000,86.9762,87.0111,86.9502,86.9662,4010.6398376855,0
IEI.US,D,20070413,000000,86.9862,86.9862,86.7957,86.8695,17409.207201362,0
IEI.US,D,20070416,000000,86.9075,86.9762,86.8885,86.9333,3548.0666665139,0
IEI.US,D,20070417,000000,87.0848,87.2093,87.0848,87.2093,2524.5858973272,0
IEI.US,D,20070418,000000,87.2941,87.3529,87.2941,87.3369,7214.5360102474,0
IEI.US,D,20070419,000000,87.4237,87.4237,87.2523,87.3369,3201.8893475242,0
IEI.US,D,20070420,000000,87.2523,87.3369,87.2523,87.311,4010.6398376855,0
IEI.US,D,20070423,000000,87.3041,87.4506,87.3041,87.4317,2171.3846907059,0
IEI.US,D,20070424,000000,87.601,87.601,87.5741,87.5821,1492.0744154712,0
IEI.US,D,20070425,000000,87.5024,87.5821,87.4774,87.4854,8131.6550524402,0
IEI.US,D,20070426,000000,87.4586,87.4586,87.3449,87.3449,7903.8804106702,0
IEI.US,D,20070427,000000,87.3529,87.3529,87.2941,87.3449,1946.6202864923,0
IEI.US,D,20070430,000000,87.4944,87.611,87.4854,87.611,10074.261688858,0
