<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEUS.US,D,20071119,000000,37.3243,42.6155,35.0602,35.0602,5301.7099511112,0
IEUS.US,D,20071120,000000,35.302,35.4901,35.302,35.3236,1248.8426945703,0
IEUS.US,D,20071121,000000,34.7243,34.7243,34.7243,34.7243,130.7047137408,0
IEUS.US,D,20071126,000000,35.4274,35.4509,34.8516,34.8516,1667.5062307713,0
IEUS.US,D,20071127,000000,35.1953,35.302,35.1953,35.302,1275.3920895489,0
IEUS.US,D,20071128,000000,35.2727,36.1922,35.2727,36.1922,4379.6290408929,0
IEUS.US,D,20071129,000000,36.0728,36.0728,35.9357,35.9357,6251.3613868842,0
IEUS.US,D,20071130,000000,35.9905,37.4741,35.9905,36.1707,12705.927758412,0
IEUS.US,D,20071203,000000,36.1775,36.1775,36.0346,36.0346,294.0856059168,0
IEUS.US,D,20071204,000000,35.6242,35.682,35.6086,35.6086,5544.739028223,0
IEUS.US,D,20071205,000000,35.8475,35.9288,35.8475,35.9288,6071.6424054906,0
IEUS.US,D,20071206,000000,43.1698,43.1698,34.7458,35.8172,4074.310998639,0
IEUS.US,D,20071207,000000,35.54,36.0277,35.54,36.0042,726.0238396071,0
IEUS.US,D,20071210,000000,36.2138,36.3656,36.2138,36.3656,12200.468123243,0
IEUS.US,D,20071211,000000,36.4909,36.4909,36.3509,36.3509,5726.5002707688,0
IEUS.US,D,20071212,000000,36.7553,36.7553,36.0963,36.344,16134.884232956,0
IEUS.US,D,20071213,000000,35.6448,35.6448,35.4205,35.5547,1133.454939471,0
IEUS.US,D,20071214,000000,34.9328,35.0827,34.7771,34.83,30313.282282105,0
IEUS.US,D,20071217,000000,34.1778,34.3472,33.8752,33.8752,38003.416650714,0
IEUS.US,D,20071218,000000,34.3335,34.4383,34.2346,34.2885,11207.929203274,0
IEUS.US,D,20071219,000000,33.8899,35.302,33.8243,33.9663,58897.790498872,0
IEUS.US,D,20071220,000000,33.7273,34.0711,32.3837,34.0495,67682.57684506,0
IEUS.US,D,20071221,000000,34.3707,34.925,34.3472,34.4667,21764.377098995,0
IEUS.US,D,20071224,000000,34.5529,34.5813,34.5,34.5813,4608.3622899393,0
IEUS.US,D,20071226,000000,34.4824,34.7458,34.4824,34.6635,6880.3778217618,0
IEUS.US,D,20071227,000000,34.7997,34.7997,34.6028,34.6332,14120.193606311,0
