<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFGL.US,D,20071119,000000,27.0199,27.0199,26.8492,26.862,3468.7519188132,0
IFGL.US,D,20071120,000000,27.1121,27.1446,27.1121,27.1446,1331.2342068675,0
IFGL.US,D,20071121,000000,26.4284,26.4284,26.4284,26.4284,354.72396936438,0
IFGL.US,D,20071126,000000,27.1955,27.2014,27.1386,27.2014,1844.9723693952,0
IFGL.US,D,20071127,000000,27.1955,28.2364,26.912,26.912,76356.373049186,0
IFGL.US,D,20071128,000000,27.0199,27.122,27.0199,27.122,948.98855022483,0
IFGL.US,D,20071129,000000,27.7547,27.7743,27.7302,27.7743,3577.8193461753,0
IFGL.US,D,20071130,000000,27.7851,28.0108,27.7851,28.0108,2200.7156605106,0
IFGL.US,D,20071203,000000,28.1884,28.1884,28.1658,28.1658,1239.4952492733,0
IFGL.US,D,20071204,000000,27.9853,27.9853,27.8862,27.9333,10479.646922515,0
IFGL.US,D,20071205,000000,28.1824,28.1824,27.9215,28.0049,6281.0606299521,0
IFGL.US,D,20071206,000000,28.1922,28.3277,28.1824,28.3277,26597.162450071,0
IFGL.US,D,20071207,000000,28.52,28.5572,28.52,28.5572,5709.2211276147,0
IFGL.US,D,20071210,000000,28.3414,28.4543,28.3414,28.4543,6354.4517960275,0
IFGL.US,D,20071211,000000,28.727,29.1527,28.6779,28.774,22957.164477083,0
IFGL.US,D,20071212,000000,28.7426,28.7426,28.2472,28.2472,7129.1363268233,0
IFGL.US,D,20071213,000000,28.1246,28.1246,27.2966,27.33,15371.37200579,0
IFGL.US,D,20071214,000000,26.7551,26.7551,26.5411,26.5411,2501.4155770695,0
IFGL.US,D,20071217,000000,29.1479,29.1479,25.2118,25.3011,26278.114741994,0
IFGL.US,D,20071218,000000,25.359,25.5385,25.359,25.4424,2350.5559579146,0
IFGL.US,D,20071219,000000,32.6923,32.6923,25.565,25.618,13290.936311903,0
IFGL.US,D,20071220,000000,27.1896,27.1896,25.6425,25.6425,6779.5089662141,0
IFGL.US,D,20071221,000000,25.9947,33.6351,25.8485,26.0791,25871.405363326,0
