<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFV.US,D,20140725,000000,17.8754,17.8754,17.3653,17.3731,12689.366170792,0
IFV.US,D,20140728,000000,17.2937,17.3731,17.2848,17.3486,12867.759413071,0
IFV.US,D,20140729,000000,17.4751,17.4751,17.2937,17.2937,13754.628674686,0
IFV.US,D,20140730,000000,17.3123,17.3123,17.1367,17.2103,37010.991128129,0
IFV.US,D,20140731,000000,17.119,17.119,16.915,16.915,12096.08121647,0
IFV.US,D,20140801,000000,16.8719,16.9327,16.758,16.8493,134514.62101808,0
IFV.US,D,20140804,000000,17.0779,17.0779,16.8189,16.9229,13472.257656908,0
IFV.US,D,20140805,000000,16.915,16.915,16.6826,16.7493,8425.2579853468,0
IFV.US,D,20140806,000000,16.7051,16.7051,16.6227,16.6639,4134.6456610486,0
IFV.US,D,20140807,000000,16.7051,16.7217,16.5952,16.605,10215.306747872,0
IFV.US,D,20140808,000000,16.5952,16.6826,16.5864,16.6826,1837.9600904513,0
IFV.US,D,20140811,000000,16.8395,16.8552,16.8179,16.8189,11030.818712576,0
IFV.US,D,20140812,000000,16.8886,16.8886,16.7669,16.8189,11365.178618104,0
IFV.US,D,20140813,000000,17.0867,17.0867,16.8189,16.8886,4145.8589505633,0
IFV.US,D,20140814,000000,16.9759,16.9934,16.9582,16.9934,19261.373216349,0
IFV.US,D,20140815,000000,17.0445,17.0445,16.8454,16.967,5164.2295164872,0
IFV.US,D,20140818,000000,17.1563,17.1563,17.0278,17.1367,5330.3900792956,0
IFV.US,D,20140819,000000,17.1367,17.1563,17.0779,17.1024,8203.030974965,0
IFV.US,D,20140820,000000,17.1024,17.1024,17.0602,17.0867,640.17689229253,0
IFV.US,D,20140821,000000,17.0956,17.1024,17.0867,17.0867,1628.985149496,0
IFV.US,D,20140822,000000,17.1466,17.1466,17.0779,17.0779,3160.1088632275,0
IFV.US,D,20140825,000000,17.1651,17.2348,17.1544,17.2201,36898.858232983,0
IFV.US,D,20140826,000000,17.2848,17.2848,17.2004,17.2171,20507.067742435,0
IFV.US,D,20140827,000000,17.2171,17.2858,17.2171,17.2623,5570.9661088833,0
IFV.US,D,20140828,000000,17.2348,17.2348,17.1466,17.2004,15880.056732696,0
IFV.US,D,20140829,000000,17.1563,17.1907,17.1279,17.1907,10969.655315223,0
IFV.US,D,20140902,000000,17.1907,17.1907,17.1279,17.1367,5684.1183939859,0
IFV.US,D,20140903,000000,17.3398,17.383,17.2643,17.2937,18863.811133556,0
IFV.US,D,20140904,000000,17.2937,17.2937,17.0867,17.0867,24290.023868704,0
IFV.US,D,20140905,000000,17.2004,17.2004,17.1113,17.1907,10542.53092371,0
IFV.US,D,20140908,000000,17.0956,17.1367,16.965,16.967,10689.323077356,0
IFV.US,D,20140909,000000,17.2681,17.2681,16.864,16.9052,5917.5586938824,0
IFV.US,D,20140910,000000,16.8719,16.967,16.8366,16.915,4968.5066449583,0
IFV.US,D,20140911,000000,16.812,16.8366,16.7904,16.8022,1144824.8705609,0
IFV.US,D,20140912,000000,16.7139,16.8346,16.7002,16.7934,21407.189073476,0
IFV.US,D,20140915,000000,16.7836,16.7934,16.7051,16.7051,14462.085304068,0
IFV.US,D,20140916,000000,17.0524,17.0524,16.6786,16.8189,44123.274850302,0
IFV.US,D,20140917,000000,16.8022,16.8189,16.6296,16.7217,31641.86423051,0
IFV.US,D,20140918,000000,17.2103,17.2103,16.7669,16.8719,118841.50044643,0
IFV.US,D,20140919,000000,16.7884,16.864,16.6894,16.7217,270132.22196842,0
IFV.US,D,20140922,000000,16.6149,16.8189,16.5403,16.5697,19393.893910614,0
IFV.US,D,20140923,000000,16.5423,16.5609,16.4373,16.4452,21898.535032211,0
IFV.US,D,20140924,000000,16.4285,16.5423,16.3656,16.5177,35510.449113074,0
IFV.US,D,20140925,000000,16.3353,16.3539,16.2215,16.2215,20783.322420478,0
IFV.US,D,20140926,000000,16.1872,16.2823,16.1439,16.2823,13574.196652496,0
IFV.US,D,20140929,000000,16.1518,16.1872,16.1175,16.1371,35123.08092984,0
