<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGF.US,D,20071212,000000,35.1981,35.3461,35.1518,35.2672,3119.7361111453,0
IGF.US,D,20071213,000000,35.133,35.2938,35.133,35.2938,992.5972222331,0
IGF.US,D,20071214,000000,35.0403,35.6114,35.0127,35.3461,2978.8055555882,0
IGF.US,D,20071217,000000,34.8717,34.9989,34.7227,34.8155,2978.8055555882,0
IGF.US,D,20071218,000000,34.9989,34.9989,34.3558,34.5669,3119.7361111453,0
IGF.US,D,20071219,000000,34.6744,34.8362,34.1734,34.3558,16588.236111293,0
IGF.US,D,20071220,000000,35.7396,35.7396,34.271,34.557,14179.236111266,0
IGF.US,D,20071221,000000,35.208,35.2465,34.6951,35.139,10638.736111228,0
IGF.US,D,20071224,000000,35.3786,35.3786,34.9062,35.0186,10920.597222342,0
IGF.US,D,20071226,000000,35.4141,35.4141,34.9782,35.1182,14463.125000158,0
IGF.US,D,20071227,000000,35.6045,35.6045,34.9782,35.0827,16022.486111287,0
IGF.US,D,20071228,000000,35.1587,35.1755,35.1182,35.1587,6380.4027778477,0
IGF.US,D,20071231,000000,35.4713,35.5266,35.1587,35.5266,18718.416666872,0
IGF.US,D,20080102,000000,35.3707,37.5159,35.3707,36.3531,123653.88889024,0
IGF.US,D,20080103,000000,36.9883,37.1628,35.787,35.9852,31620.152778124,0
IGF.US,D,20080104,000000,36.5711,36.5711,34.3627,34.7365,63105.458334025,0
IGF.US,D,20080107,000000,35.1468,35.1468,34.201,34.4772,27085.027778075,0
IGF.US,D,20080108,000000,35.0186,35.0186,34.4545,34.4545,40697.500000446,0
IGF.US,D,20080109,000000,34.4831,35.0048,34.2227,34.6872,20986.486111341,0
IGF.US,D,20080110,000000,35.1587,35.1587,34.5896,34.7365,15738.597222395,0
IGF.US,D,20080111,000000,35.9635,35.9635,34.0678,34.1882,62963.513889579,0
IGF.US,D,20080114,000000,33.5944,34.4485,33.5944,34.4485,10920.597222342,0
IGF.US,D,20080115,000000,34.4485,34.4485,33.8351,33.9396,15880.541666841,0
IGF.US,D,20080116,000000,33.8479,33.8479,33.1437,33.1437,17017.111111298,0
IGF.US,D,20080117,000000,33.8144,33.8144,32.4602,32.5381,16588.236111293,0
IGF.US,D,20080118,000000,32.4365,33.3271,32.3329,32.544,22972.694444696,0
IGF.US,D,20080122,000000,28.3118,31.0754,27.502,31.0754,21700.263889127,0
IGF.US,D,20080123,000000,30.1956,30.3643,29.6167,30.0201,21128.430555787,0
IGF.US,D,20080124,000000,31.1602,31.1839,30.5497,31.0359,16872.125000185,0
IGF.US,D,20080125,000000,32.475,32.475,31.3969,31.3969,19849.916666884,0
IGF.US,D,20080128,000000,31.7974,31.7974,31.1839,31.5794,31620.152778124,0
IGF.US,D,20080129,000000,32.5085,32.5381,31.5094,31.8743,46372.236111619,0
IGF.US,D,20080130,000000,32.2688,32.3882,31.5094,32.1899,20986.486111341,0
IGF.US,D,20080131,000000,32.8271,32.8271,31.3802,32.5854,11201.444444567,0
IGF.US,D,20080201,000000,33.0519,33.0519,32.5736,32.7127,38004.611111528,0
IGF.US,D,20080204,000000,33.405,33.405,33.0095,33.1141,26659.194444737,0
IGF.US,D,20080205,000000,32.8271,32.8271,32.0725,32.1071,29923.916666995,0
IGF.US,D,20080206,000000,33.4396,33.4396,31.9088,31.9088,14747.01388905,0
IGF.US,D,20080207,000000,31.4522,31.8901,31.3802,31.6701,10495.777777893,0
IGF.US,D,20080208,000000,31.9591,31.9591,31.5232,31.9207,9077.3472223217,0
IGF.US,D,20080211,000000,32.1968,32.1968,31.5902,31.898,25952.513889173,0
IGF.US,D,20080212,000000,32.9119,32.9119,32.3882,32.7432,32048.01388924,0
IGF.US,D,20080213,000000,32.979,32.979,32.5588,32.7284,25807.527778061,0
IGF.US,D,20080214,000000,33.2216,33.2216,32.8123,32.9947,20562.680555781,0
IGF.US,D,20080215,000000,32.905,32.905,32.4365,32.763,8079.6805556441,0
IGF.US,D,20080219,000000,33.5303,33.5303,33.0727,33.193,190729.7361132,0
IGF.US,D,20080220,000000,33.0243,33.0243,32.4118,32.6485,23538.444444702,0
IGF.US,D,20080221,000000,33.3912,33.3912,32.4365,32.4365,27792.722222527,0
IGF.US,D,20080222,000000,33.0519,33.0519,32.2412,32.614,10350.79166678,0
IGF.US,D,20080225,000000,33.0727,33.0727,32.5381,32.8754,37436.833333744,0
IGF.US,D,20080226,000000,33.1723,33.3695,32.6081,32.975,41263.250000452,0
IGF.US,D,20080227,000000,33.6072,33.624,32.9464,33.2768,16167.472222399,0
IGF.US,D,20080228,000000,33.5106,33.5106,32.905,33.0026,35592.569444834,0
IGF.US,D,20080229,000000,33.6151,33.6151,32.1071,32.254,44528.986111599,0
IGF.US,D,20080303,000000,31.8822,32.9947,31.8408,32.905,40272.680555997,0
IGF.US,D,20080304,000000,32.4513,32.4513,31.534,32.0084,31483.277778123,0
IGF.US,D,20080305,000000,32.1189,32.185,31.7915,32.185,7799.8472223077,0
IGF.US,D,20080306,000000,32.4168,32.4168,31.8408,31.8487,23258.611111366,0
IGF.US,D,20080307,000000,31.7352,31.8664,31.2184,31.5232,21979.083333574,0
IGF.US,D,20080310,000000,32.0637,32.0637,30.9294,31.2056,25666.597222504,0
IGF.US,D,20080311,000000,32.185,32.7432,31.8743,32.7432,20844.541666895,0
IGF.US,D,20080312,000000,32.8547,32.8754,32.185,32.2057,17582.861111304,0
IGF.US,D,20080313,000000,32.2757,32.4789,31.5902,32.326,32472.833333689,0
IGF.US,D,20080314,000000,33.1723,33.1723,31.3802,31.8487,43533.347222699,0
IGF.US,D,20080317,000000,31.7352,31.7352,31.0281,31.5153,46939.000000514,0
IGF.US,D,20080318,000000,31.752,32.8991,31.5991,32.8991,28785.31944476,0
IGF.US,D,20080319,000000,32.2471,32.2471,30.9442,31.0705,30915.500000339,0
IGF.US,D,20080320,000000,31.679,31.679,30.4639,31.2815,38291.541667086,0
IGF.US,D,20080324,000000,31.3121,31.7273,30.9945,31.5863,44667.888889378,0
IGF.US,D,20080325,000000,32.4118,32.4118,31.1563,31.898,84093.972223144,0
IGF.US,D,20080326,000000,32.5302,32.5302,31.0281,31.7352,48499.375000531,0
IGF.US,D,20080327,000000,32.2274,37.9815,31.6622,31.7352,55018.680556158,0
IGF.US,D,20080328,000000,32.2619,32.2619,31.6622,31.8013,29923.916666995,0
IGF.US,D,20080331,000000,32.185,32.185,31.6553,31.752,56440.152778396,0
IGF.US,D,20080401,000000,32.5016,32.5016,31.7451,32.0725,36444.236111511,0
IGF.US,D,20080402,000000,32.5588,32.5588,32.1189,32.2905,30206.791666998,0
IGF.US,D,20080403,000000,32.905,32.905,32.2905,32.6485,56580.069445064,0
IGF.US,D,20080404,000000,33.0381,33.0381,32.4365,32.7205,32048.01388924,0
IGF.US,D,20080407,000000,33.1289,33.1289,32.6357,32.7748,37577.763889301,0
IGF.US,D,20080408,000000,32.9119,32.9119,32.475,32.6426,52895.597222802,0
IGF.US,D,20080409,000000,32.614,32.614,32.3033,32.3684,28218.555555865,0
IGF.US,D,20080410,000000,32.7127,32.7127,32.0637,32.254,51336.236111674,0
IGF.US,D,20080411,000000,32.2215,32.2215,31.9207,31.9463,24886.916666939,0
IGF.US,D,20080414,000000,32.4296,32.4296,31.7125,31.9463,46287.069444952,0
IGF.US,D,20080415,000000,32.7205,32.7205,32.037,32.1505,30743.138889226,0
IGF.US,D,20080416,000000,32.6791,33.0865,32.6791,33.0865,47335.430556074,0
IGF.US,D,20080417,000000,33.2679,33.2679,32.7501,32.8606,47734.902778301,0
IGF.US,D,20080418,000000,33.1861,33.1861,32.8991,33.0026,43776.680556035,0
IGF.US,D,20080421,000000,33.0519,33.2679,32.8271,33.0026,55089.652778381,0
IGF.US,D,20080422,000000,33.263,33.263,32.835,32.8991,39021.541667094,0
IGF.US,D,20080423,000000,33.193,33.193,32.7916,33.1437,40947.930556004,0
IGF.US,D,20080424,000000,33.1723,33.3054,32.7432,33.2492,85759.791667606,0
IGF.US,D,20080425,000000,33.2857,33.2857,32.9681,33.1437,53870.958333924,0
IGF.US,D,20080428,000000,33.481,33.481,33.1644,33.193,77390.138889737,0
IGF.US,D,20080429,000000,33.2068,33.2068,32.8991,32.9306,37641.638889301,0
IGF.US,D,20080430,000000,33.3547,33.3547,32.975,33.1289,61070.583334003,0
IGF.US,D,20080501,000000,33.405,33.4978,32.9681,33.3202,65947.388889612,0
IGF.US,D,20080502,000000,33.2009,33.7088,33.193,33.3547,80407.472223103,0
IGF.US,D,20080505,000000,33.6378,33.6378,33.1723,33.3478,53192.66666725,0
IGF.US,D,20080506,000000,33.552,33.9071,33.2679,33.624,45914.972222725,0
IGF.US,D,20080507,000000,33.7207,33.7207,32.9681,32.9681,112892.47222346,0
IGF.US,D,20080508,000000,33.4327,33.4455,33.1861,33.3054,126029.43055694,0
IGF.US,D,20080509,000000,33.2679,33.2985,32.9306,33.2985,24483.388889157,0
IGF.US,D,20080512,000000,33.4455,33.6151,33.2068,33.6023,43542.472222699,0
IGF.US,D,20080513,000000,33.695,33.7364,33.3912,33.6023,82443.361112015,0
IGF.US,D,20080514,000000,33.7009,33.7917,33.5106,33.5747,111347.30555678,0
IGF.US,D,20080515,000000,33.8992,33.9071,33.5668,33.8479,33635.763889257,0
IGF.US,D,20080516,000000,33.8696,34.054,33.7779,34.054,43002.069444916,0
IGF.US,D,20080519,000000,34.2927,34.4061,34.1527,34.1655,50492.680556109,0
IGF.US,D,20080520,000000,34.2513,34.2513,34.0461,34.1655,34581.722222601,0
IGF.US,D,20080521,000000,34.5265,34.557,34.1102,34.2365,62553.902778463,0
IGF.US,D,20080522,000000,34.3696,34.4545,34.1172,34.3065,83101.375000911,0
IGF.US,D,20080523,000000,34.4061,34.4061,33.7572,33.8351,33347.81944481,0
IGF.US,D,20080527,000000,34.059,34.059,33.4978,33.7779,53388.347222807,0
IGF.US,D,20080528,000000,33.8479,33.8479,33.6516,33.8351,27032.305555852,0
IGF.US,D,20080529,000000,33.7986,33.9475,33.6881,33.8203,33361.000000366,0
IGF.US,D,20080530,000000,33.9396,33.9623,33.7207,33.8538,40046.583333772,0
IGF.US,D,20080602,000000,33.7848,33.7848,33.3764,33.624,31742.833333681,0
IGF.US,D,20080603,000000,33.6319,33.6723,33.2985,33.4603,23360.000000256,0
IGF.US,D,20080604,000000,33.6802,33.6802,33.2916,33.4248,26504.069444735,0
IGF.US,D,20080605,000000,33.1861,33.7986,33.1861,33.7986,48038.055556082,0
IGF.US,D,20080606,000000,33.7207,33.77,33.1289,33.1289,66797.02777851,0
IGF.US,D,20080609,000000,33.2216,33.4978,33.1516,33.3547,55821.680556167,0
IGF.US,D,20080610,000000,33.3478,33.3478,32.6702,32.7837,60568.708333997,0
IGF.US,D,20080611,000000,32.6791,32.6791,32.3882,32.4296,119010.27777908,0
IGF.US,D,20080612,000000,32.3191,32.3191,31.966,32.114,29538.638889213,0
IGF.US,D,20080613,000000,32.0854,32.1781,31.8526,32.1574,95785.12500105,0
IGF.US,D,20080616,000000,32.3684,32.4296,32.1574,32.4039,66601.347222952,0
IGF.US,D,20080617,000000,32.7205,33.1437,32.5588,32.5736,65704.055556276,0
IGF.US,D,20080618,000000,32.544,32.6298,32.3556,32.397,20184.500000221,0
IGF.US,D,20080619,000000,32.6298,32.6298,32.2274,32.5795,39059.055555984,0
IGF.US,D,20080620,000000,32.2146,32.2146,31.5232,31.5232,52160.527778349,0
IGF.US,D,20080623,000000,31.5232,31.5567,31.389,31.5153,37996.500000416,0
IGF.US,D,20080624,000000,31.5488,31.5488,30.7756,31.0507,26959.305555851,0
IGF.US,D,20080625,000000,31.7195,31.7767,31.176,31.318,34870.680555938,0
IGF.US,D,20080626,000000,31.4798,31.4798,30.7588,30.8091,46543.583333843,0
IGF.US,D,20080627,000000,31.0705,31.1681,30.7815,30.8722,17073.888889076,0
IGF.US,D,20080630,000000,31.0636,31.3121,31.0281,31.2332,43504.95833381,0
IGF.US,D,20080701,000000,30.8801,30.9708,30.5546,30.9708,76645.944445284,0
IGF.US,D,20080702,000000,30.9363,31.5429,30.4994,30.6621,21323.097222456,0
IGF.US,D,20080703,000000,30.6621,30.6878,30.4067,30.4915,9683.6527778839,0
IGF.US,D,20080707,000000,31.0833,31.0833,30.0615,30.3584,30243.291666998,0
IGF.US,D,20080708,000000,30.0615,30.3012,29.9204,30.3012,35922.083333727,0
IGF.US,D,20080709,000000,30.6395,30.6395,30.2173,30.2173,60454.138889551,0
IGF.US,D,20080710,000000,30.5132,30.5832,29.7449,30.3801,22310.625000244,0
IGF.US,D,20080711,000000,30.457,30.457,29.7932,29.9984,209235.2361134,0
IGF.US,D,20080714,000000,30.529,30.529,30.0487,30.0546,18918.152777985,0
IGF.US,D,20080715,000000,29.9698,29.9698,29.3277,29.5269,45007.54166716,0
IGF.US,D,20080716,000000,29.4618,29.6167,29.4056,29.59,485737.94444977,0
IGF.US,D,20080717,000000,30.1532,30.2656,29.6324,29.7853,73172.361111913,0
IGF.US,D,20080718,000000,30.1404,30.1404,29.6167,29.8849,457867.1527828,0
IGF.US,D,20080721,000000,30.3445,30.3505,30.0763,30.3445,52132.13888946,0
IGF.US,D,20080722,000000,30.5418,30.6395,30.2035,30.6395,52915.87500058,0
IGF.US,D,20080723,000000,30.6247,30.6247,30.1601,30.3169,57841.347222856,0
IGF.US,D,20080724,000000,30.4067,30.4067,29.8366,29.8366,34752.055555936,0
IGF.US,D,20080725,000000,30.3445,30.3445,29.9767,30.0487,21149.722222454,0
IGF.US,D,20080728,000000,29.9698,30.1049,29.5614,29.6956,46248.541667174,0
IGF.US,D,20080729,000000,29.8928,29.9845,29.4421,29.9845,38362.513889309,0
IGF.US,D,20080730,000000,30.0911,30.2656,29.8435,30.2656,69777.861111876,0
