<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGIB.US,D,20070111,000000,37.4335,37.4335,37.4335,37.4335,226.16908201004,0
IGIB.US,D,20070112,000000,37.3817,37.3817,37.3817,37.3817,226.16908201004,0
IGIB.US,D,20070116,000000,37.4205,37.4205,37.4205,37.4205,1576.14720263,0
IGIB.US,D,20070118,000000,37.4007,37.4007,37.4007,37.4007,1309.7702838181,0
IGIB.US,D,20070119,000000,37.4205,37.4205,37.3639,37.3817,19800.349233039,0
IGIB.US,D,20070122,000000,37.4126,37.4126,37.3778,37.4087,2392.3662897062,0
IGIB.US,D,20070123,000000,37.4087,37.4087,37.3817,37.3817,2969.3487478118,0
IGIB.US,D,20070124,000000,37.3897,37.4007,37.3897,37.4007,13653.576181966,0
IGIB.US,D,20070125,000000,37.3967,37.3967,37.3052,37.3121,14979.429600505,0
IGIB.US,D,20070126,000000,37.2853,37.2853,37.2564,37.2594,1911.8826399249,0
IGIB.US,D,20070129,000000,37.2684,37.2684,37.2684,37.2684,226.16908201004,0
IGIB.US,D,20070130,000000,37.3121,37.3121,37.3022,37.3081,14458.738113922,0
IGIB.US,D,20070131,000000,37.334,37.3609,37.334,37.3609,847.38016059762,0
IGIB.US,D,20070201,000000,37.2783,37.2783,37.2753,37.2753,4300.2281459509,0
IGIB.US,D,20070202,000000,37.3121,37.3121,37.3121,37.3121,226.16908201004,0
IGIB.US,D,20070206,000000,37.3499,37.4087,37.3499,37.4087,14458.738113922,0
IGIB.US,D,20070207,000000,37.4544,37.4544,37.4465,37.4465,847.38016059762,0
IGIB.US,D,20070209,000000,37.4176,37.4255,37.3778,37.3778,5873.3597608207,0
IGIB.US,D,20070212,000000,37.4156,37.4156,37.3897,37.3967,17388.884220852,0
IGIB.US,D,20070214,000000,37.5101,37.53,37.5051,37.5251,2638.6392901171,0
IGIB.US,D,20070215,000000,37.6125,37.6245,37.5997,37.5997,39342.363114627,0
IGIB.US,D,20070216,000000,37.6165,37.6444,37.6165,37.6404,9904.1954001997,0
IGIB.US,D,20070220,000000,37.6444,37.6862,37.6444,37.6862,16323.376545605,0
IGIB.US,D,20070221,000000,37.6603,37.6792,37.6543,37.6792,2638.6392901171,0
IGIB.US,D,20070222,000000,37.6285,37.6285,37.6026,37.6026,2638.6392901171,0
IGIB.US,D,20070223,000000,37.6543,37.724,37.6543,37.7091,174492.96495647,0
IGIB.US,D,20070226,000000,37.7688,37.7847,37.7688,37.7797,1911.8826399249,0
IGIB.US,D,20070227,000000,37.8424,37.916,37.8424,37.912,16323.376545605,0
IGIB.US,D,20070228,000000,37.919,37.919,37.8494,37.8642,17933.700409516,0
IGIB.US,D,20070301,000000,37.7886,37.7936,37.716,37.716,47372.873319863,0
IGIB.US,D,20070302,000000,37.6753,37.7797,37.6753,37.7688,38528.154419391,0
IGIB.US,D,20070305,000000,37.7718,37.7847,37.7718,37.7757,16323.376545605,0
IGIB.US,D,20070306,000000,37.712,37.7648,37.712,37.727,27021.67672264,0
IGIB.US,D,20070307,000000,37.732,37.7886,37.732,37.7618,25956.169047393,0
IGIB.US,D,20070308,000000,37.7688,37.8106,37.7459,37.8106,9626.7613262674,0
IGIB.US,D,20070309,000000,37.6553,37.7359,37.6553,37.6753,26229.582337644,0
IGIB.US,D,20070312,000000,37.719,37.724,37.7061,37.712,31047.486382418,0
IGIB.US,D,20070313,000000,37.7936,37.8344,37.7847,37.8344,3471.9467078341,0
IGIB.US,D,20070314,000000,37.7936,37.8264,37.7847,37.7847,11241.105973859,0
IGIB.US,D,20070315,000000,37.7459,37.7916,37.7459,37.7847,14169.241688949,0
IGIB.US,D,20070316,000000,37.7797,37.7797,37.7757,37.7757,508.62913554258,0
IGIB.US,D,20070319,000000,37.712,37.724,37.712,37.719,4802.8261059732,0
IGIB.US,D,20070320,000000,37.7688,37.7688,37.7359,37.7459,7778.2060293053,0
IGIB.US,D,20070321,000000,37.719,37.7757,37.712,37.7757,6698.6256111774,0
IGIB.US,D,20070322,000000,37.7618,37.7718,37.727,37.7359,9365.4103870558,0
IGIB.US,D,20070323,000000,37.7359,37.7359,37.7091,37.7091,2638.6392901171,0
IGIB.US,D,20070326,000000,37.6862,37.7847,37.6862,37.7538,9365.4103870558,0
IGIB.US,D,20070327,000000,37.7359,37.7359,37.716,37.719,5072.2186125452,0
IGIB.US,D,20070328,000000,37.7688,37.7886,37.724,37.724,4802.8261059732,0
IGIB.US,D,20070329,000000,37.7061,37.716,37.6941,37.6941,9626.7613262674,0
IGIB.US,D,20070330,000000,37.6603,37.727,37.6603,37.6862,19001.218476604,0
IGIB.US,D,20070402,000000,37.5339,37.5449,37.5251,37.5251,5873.3597608207,0
IGIB.US,D,20070403,000000,37.53,37.5379,37.5031,37.5171,4300.2281459509,0
IGIB.US,D,20070404,000000,37.5539,37.5668,37.5419,37.5499,2638.6392901171,0
IGIB.US,D,20070405,000000,37.5419,37.5419,37.5251,37.5419,22227.897379947,0
IGIB.US,D,20070409,000000,37.3778,37.4087,37.3778,37.4087,11241.105973859,0
IGIB.US,D,20070410,000000,37.4395,37.4544,37.4395,37.4504,138911.03977873,0
IGIB.US,D,20070411,000000,37.4912,37.4912,37.4793,37.4793,2149.1088770554,0
IGIB.US,D,20070412,000000,37.4205,37.4743,37.4205,37.4544,28905.413876803,0
IGIB.US,D,20070413,000000,37.4643,37.4743,37.4255,37.4395,26229.582337644,0
IGIB.US,D,20070416,000000,37.4395,37.4643,37.4335,37.4603,12582.037331198,0
IGIB.US,D,20070417,000000,37.5101,37.5668,37.5101,37.5639,71994.142185437,0
IGIB.US,D,20070418,000000,37.5877,37.6066,37.5877,37.6066,12582.037331198,0
IGIB.US,D,20070419,000000,37.6404,37.6404,37.5777,37.5947,6698.6256111774,0
IGIB.US,D,20070420,000000,37.6066,37.6066,37.5668,37.5917,8833.6617453522,0
IGIB.US,D,20070423,000000,37.6285,37.6404,37.6285,37.6365,8569.2952183804,0
IGIB.US,D,20070424,000000,37.6543,37.6981,37.6543,37.6981,7495.7459757728,0
IGIB.US,D,20070425,000000,37.6792,37.712,37.6633,37.6633,4017.7680924184,0
IGIB.US,D,20070426,000000,37.6543,37.6543,37.6096,37.6096,2638.6392901171,0
IGIB.US,D,20070427,000000,37.6096,37.6096,37.5917,37.5947,4017.7680924184,0
IGIB.US,D,20070430,000000,37.6753,37.6981,37.6713,37.6981,16866.182342429,0
IGIB.US,D,20070501,000000,37.4951,37.5379,37.4743,37.5379,21411.67829287,0
IGIB.US,D,20070502,000000,37.53,37.53,37.4951,37.5251,13914.927121178,0
IGIB.US,D,20070503,000000,37.5171,37.5171,37.4833,37.4951,48449.438150231,0
IGIB.US,D,20070504,000000,37.5449,37.5539,37.5419,37.5449,14722.099444974,0
IGIB.US,D,20070507,000000,37.5499,37.5609,37.5499,37.5609,2149.1088770554,0
