<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGOV.US,D,20090129,000000,42.712,42.869,42.712,42.869,2661,0
IGOV.US,D,20090130,000000,42.556,42.556,42.556,42.556,211,0
IGOV.US,D,20090202,000000,42.465,42.465,42.465,42.465,1554,0
IGOV.US,D,20090203,000000,42.846,42.846,42.802,42.802,1443,0
IGOV.US,D,20090204,000000,42.578,42.578,42.565,42.578,1404,0
IGOV.US,D,20090205,000000,42.42,42.42,42.42,42.42,233,0
IGOV.US,D,20090206,000000,43.922,43.922,42.443,42.578,7879,0
IGOV.US,D,20090209,000000,42.937,42.989,42.928,42.989,9772,0
IGOV.US,D,20090210,000000,42.824,42.824,42.824,42.824,1679,0
IGOV.US,D,20090211,000000,42.802,42.802,42.802,42.802,878,0
IGOV.US,D,20090212,000000,42.779,42.779,42.779,42.779,211,0
IGOV.US,D,20090213,000000,42.734,42.734,42.734,42.734,1458,0
IGOV.US,D,20090217,000000,42.043,42.133,41.813,41.817,9803,0
IGOV.US,D,20090218,000000,41.71,42.02,41.71,41.886,651,0
IGOV.US,D,20090219,000000,41.998,42.043,41.998,41.998,5718,0
IGOV.US,D,20090220,000000,41.817,42.534,41.817,42.534,878,0
IGOV.US,D,20090223,000000,42.309,42.309,42.309,42.309,221,0
IGOV.US,D,20090224,000000,41.975,42.133,41.975,42.111,1776,0
IGOV.US,D,20090225,000000,41.907,41.907,41.907,41.907,1230,0
IGOV.US,D,20090226,000000,41.727,41.727,41.727,41.727,211,0
IGOV.US,D,20090227,000000,41.366,41.389,41.096,41.366,16207,0
IGOV.US,D,20090302,000000,41.323,41.323,41.323,41.323,426,0
IGOV.US,D,20090303,000000,41.366,41.366,41.366,41.366,5765,0
IGOV.US,D,20090304,000000,40.965,40.965,40.965,40.965,426,0
IGOV.US,D,20090306,000000,41.592,41.592,41.592,41.592,4782,0
IGOV.US,D,20090309,000000,41.142,41.142,40.965,40.965,5733,0
IGOV.US,D,20090310,000000,41.389,41.616,41.389,41.389,3904,0
IGOV.US,D,20090311,000000,41.524,41.524,41.5,41.5,2206,0
IGOV.US,D,20090312,000000,41.569,41.569,41.569,41.569,211,0
IGOV.US,D,20090316,000000,42.067,42.067,41.948,41.948,3998,0
IGOV.US,D,20090317,000000,41.84,41.907,41.84,41.907,46958,0
IGOV.US,D,20090318,000000,43.025,43.025,43.025,43.025,626,0
IGOV.US,D,20090319,000000,44.051,44.125,44.051,44.125,2659,0
IGOV.US,D,20090320,000000,43.472,43.472,43.472,43.472,651,0
IGOV.US,D,20090323,000000,43.774,43.853,43.774,43.853,1160,0
IGOV.US,D,20090324,000000,43.387,43.387,43.205,43.205,3003,0
IGOV.US,D,20090325,000000,43.205,43.205,43.205,43.205,211,0
IGOV.US,D,20090326,000000,43.472,43.495,43.318,43.318,4517,0
IGOV.US,D,20090327,000000,42.937,42.937,42.915,42.915,2852,0
IGOV.US,D,20090330,000000,42.712,42.712,42.667,42.667,1566,0
IGOV.US,D,20090331,000000,42.667,42.667,42.644,42.644,432,0
IGOV.US,D,20090401,000000,42.824,42.891,42.515,42.824,94091,0
IGOV.US,D,20090402,000000,43.025,43.025,43.002,43.002,4806,0
IGOV.US,D,20090406,000000,42.869,42.869,42.702,42.712,1715,0
IGOV.US,D,20090407,000000,42.443,42.443,42.217,42.443,6230,0
IGOV.US,D,20090408,000000,42.241,42.6,42.241,42.6,4027,0
IGOV.US,D,20090409,000000,42.398,42.398,42.309,42.309,1986,0
IGOV.US,D,20090413,000000,42.623,42.623,42.623,42.623,1114,0
IGOV.US,D,20090415,000000,42.623,42.734,42.623,42.726,11683,0
IGOV.US,D,20090416,000000,42.6,42.6,42.6,42.6,2131,0
IGOV.US,D,20090417,000000,42.309,42.309,42.263,42.263,18144,0
IGOV.US,D,20090420,000000,42.133,42.178,42.115,42.178,3625,0
IGOV.US,D,20090422,000000,42.203,42.398,42.203,42.325,3860,0
IGOV.US,D,20090423,000000,42.375,42.556,42.375,42.556,2836,0
IGOV.US,D,20090424,000000,42.883,43.162,42.883,43.002,34781,0
IGOV.US,D,20090427,000000,42.967,42.985,42.689,42.712,3089,0
IGOV.US,D,20090428,000000,42.923,42.923,42.919,42.923,1534,0
IGOV.US,D,20090429,000000,43.965,43.965,43.427,43.427,874,0
IGOV.US,D,20090430,000000,43.08,43.188,43.08,43.188,2475,0
IGOV.US,D,20090504,000000,44.791,44.791,43.125,43.405,1420,0
IGOV.US,D,20090505,000000,43.481,43.481,43.255,43.346,7419,0
IGOV.US,D,20090506,000000,43.387,43.518,43.37,43.518,4101,0
IGOV.US,D,20090507,000000,43.365,43.37,43.296,43.3,3208,0
IGOV.US,D,20090508,000000,43.563,43.922,43.563,43.922,1984,0
IGOV.US,D,20090511,000000,44.011,44.011,43.965,44.011,5785,0
IGOV.US,D,20090512,000000,44.147,44.147,44.033,44.033,6170,0
IGOV.US,D,20090513,000000,44.139,44.185,44.139,44.185,1381,0
IGOV.US,D,20090514,000000,44.24,44.313,44.24,44.313,2273,0
IGOV.US,D,20090515,000000,43.94,44.258,43.94,43.989,4095,0
IGOV.US,D,20090518,000000,44.103,44.103,43.922,44.075,1080,0
IGOV.US,D,20090519,000000,44.125,44.304,44.125,44.304,6124,0
IGOV.US,D,20090520,000000,44.462,44.808,44.454,44.727,5042,0
IGOV.US,D,20090521,000000,44.768,45.016,44.746,45.016,2095,0
IGOV.US,D,20090522,000000,45.196,45.28,45.016,45.28,3933,0
IGOV.US,D,20090526,000000,44.828,44.996,44.828,44.957,1598,0
IGOV.US,D,20090527,000000,44.867,44.867,44.727,44.791,8561,0
IGOV.US,D,20090528,000000,44.483,44.56,44.483,44.56,3772,0
IGOV.US,D,20090529,000000,45.182,45.293,45.182,45.289,3902,0
IGOV.US,D,20090601,000000,45.087,45.169,45.087,45.16,719,0
IGOV.US,D,20090602,000000,45.334,45.509,45.334,45.509,1158,0
IGOV.US,D,20090603,000000,45.38,45.38,44.957,45.218,1572,0
IGOV.US,D,20090604,000000,45.01,45.127,44.736,44.772,5122,0
IGOV.US,D,20090605,000000,44.377,44.377,44.153,44.153,3037,0
IGOV.US,D,20090608,000000,44.065,44.134,43.885,44.134,1309,0
IGOV.US,D,20090609,000000,44.52,44.588,44.52,44.588,987,0
IGOV.US,D,20090610,000000,44.632,44.632,44.272,44.272,7811,0
IGOV.US,D,20090611,000000,44.449,44.871,44.449,44.727,5789,0
IGOV.US,D,20090612,000000,44.449,44.578,44.308,44.525,13734,0
IGOV.US,D,20090615,000000,44.326,44.326,44.139,44.189,1526,0
IGOV.US,D,20090616,000000,44.502,44.529,44.497,44.497,4232,0
IGOV.US,D,20090617,000000,44.66,44.913,44.449,44.903,9034,0
IGOV.US,D,20090618,000000,44.828,44.828,44.515,44.56,13650,0
IGOV.US,D,20090619,000000,44.691,44.917,44.691,44.889,1554,0
IGOV.US,D,20090622,000000,44.623,44.714,44.623,44.687,1693,0
IGOV.US,D,20090623,000000,45.23,45.23,45.187,45.187,1443,0
IGOV.US,D,20090624,000000,45.032,45.032,44.944,44.944,1365,0
IGOV.US,D,20090625,000000,44.867,45.064,44.867,45.064,2000,0
IGOV.US,D,20090626,000000,45.376,45.434,45.348,45.434,7504,0
IGOV.US,D,20090629,000000,45.402,45.406,45.225,45.225,2385,0
IGOV.US,D,20090630,000000,45.249,45.293,45.249,45.293,472,0
IGOV.US,D,20090701,000000,45.358,45.491,45.358,45.447,2780,0
IGOV.US,D,20090702,000000,45.244,45.339,45.244,45.339,11902,0
IGOV.US,D,20090706,000000,45.253,45.344,45.165,45.165,14233,0
IGOV.US,D,20090707,000000,45.416,45.416,45.218,45.218,3294,0
IGOV.US,D,20090708,000000,45.33,45.33,45.127,45.127,539,0
IGOV.US,D,20090709,000000,45.595,45.791,45.595,45.732,15321,0
IGOV.US,D,20090710,000000,45.573,45.711,45.394,45.687,16978,0
IGOV.US,D,20090713,000000,45.719,45.736,45.669,45.736,4448,0
IGOV.US,D,20090714,000000,45.633,45.633,45.438,45.509,8370,0
IGOV.US,D,20090715,000000,45.812,45.812,45.754,45.754,14978,0
IGOV.US,D,20090716,000000,45.917,46.007,45.917,46.007,5716,0
IGOV.US,D,20090717,000000,45.764,45.764,45.619,45.719,9164,0
IGOV.US,D,20090720,000000,45.936,46.025,45.76,46.002,3448,0
IGOV.US,D,20090721,000000,46.186,46.186,46.133,46.133,2507,0
IGOV.US,D,20090722,000000,46.093,46.236,46.093,46.205,4643,0
IGOV.US,D,20090723,000000,46.039,46.12,45.894,45.894,30351,0
IGOV.US,D,20090724,000000,45.993,46.039,45.777,45.988,22411,0
IGOV.US,D,20090727,000000,45.857,45.993,45.848,45.993,1873,0
IGOV.US,D,20090728,000000,46.016,46.107,45.88,46.084,9922,0
IGOV.US,D,20090729,000000,45.94,45.94,45.651,45.651,3900,0
IGOV.US,D,20090730,000000,45.796,45.894,45.651,45.848,36885,0
IGOV.US,D,20090731,000000,46.117,46.58,46.117,46.58,46080,0
