<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGSB.US,D,20070111,000000,41.9924,41.9924,41.9666,41.9666,660.37438043493,0
IGSB.US,D,20070112,000000,41.9666,41.9736,41.9636,41.9636,966.47496711069,0
IGSB.US,D,20070116,000000,41.9766,41.9766,41.9636,41.9706,5238.8362703196,0
IGSB.US,D,20070117,000000,41.9666,41.9706,41.9406,41.9636,4789.2196708746,0
IGSB.US,D,20070118,000000,41.9766,41.9766,41.9536,41.9536,35788.678429042,0
IGSB.US,D,20070119,000000,41.9706,41.9706,41.9636,41.9636,9294.4181416533,0
IGSB.US,D,20070122,000000,41.9496,41.9736,41.9496,41.9636,7398.6017212254,0
IGSB.US,D,20070123,000000,41.9636,41.9924,41.9536,41.9706,75167.264394278,0
IGSB.US,D,20070124,000000,41.9736,41.9736,41.9287,41.9536,42709.562513357,0
IGSB.US,D,20070125,000000,41.9576,41.9576,41.9376,41.9376,12411.626083341,0
IGSB.US,D,20070126,000000,41.9406,41.9406,41.9406,41.9406,23625.947248964,0
IGSB.US,D,20070129,000000,41.9406,41.9636,41.9068,41.9068,24581.382522786,0
IGSB.US,D,20070130,000000,42.0204,42.0284,41.9576,42.0284,17173.748325231,0
IGSB.US,D,20070131,000000,42.0104,42.0204,42.0104,42.0204,1462.2575566773,0
IGSB.US,D,20070201,000000,42.0423,42.0423,41.9237,41.9237,128381.59687725,0
IGSB.US,D,20070202,000000,41.9766,41.9766,41.9576,41.9706,12180.796132733,0
IGSB.US,D,20070205,000000,41.9337,41.9706,41.9337,41.9666,144119.18146632,0
IGSB.US,D,20070206,000000,41.9406,41.9806,41.9376,41.9376,21712.065875881,0
IGSB.US,D,20070207,000000,42.0064,42.0204,42.0064,42.0204,42946.41411485,0
IGSB.US,D,20070208,000000,42.0204,42.0284,42.0204,42.0284,4544.339201534,0
IGSB.US,D,20070209,000000,42.0154,42.0333,41.9736,41.9736,15269.903036957,0
IGSB.US,D,20070212,000000,41.9964,42.0064,41.9874,41.9964,10747.643222003,0
IGSB.US,D,20070213,000000,42.0014,42.0014,41.9855,41.9855,1462.2575566773,0
IGSB.US,D,20070214,000000,42.0154,42.0742,42.0154,42.0333,50817.715430581,0
IGSB.US,D,20070215,000000,42.1021,42.124,42.0861,42.0861,37940.415012101,0
IGSB.US,D,20070216,000000,42.1121,42.128,42.0941,42.116,15988.486709284,0
IGSB.US,D,20070220,000000,42.1569,42.1569,42.128,42.128,71593.414593778,0
IGSB.US,D,20070221,000000,42.0602,42.1609,42.0602,42.1429,38652.977033543,0
IGSB.US,D,20070222,000000,42.124,42.1359,42.0941,42.0941,17173.748325231,0
IGSB.US,D,20070223,000000,42.1429,42.1729,42.1429,42.1569,5488.7347820648,0
IGSB.US,D,20070226,000000,42.2027,42.2257,42.2027,42.2157,30307.972514825,0
IGSB.US,D,20070227,000000,42.2067,42.3452,42.2067,42.3402,30307.972514825,0
IGSB.US,D,20070228,000000,42.3073,42.3372,42.3073,42.3312,32452.683838516,0
IGSB.US,D,20070301,000000,42.6063,42.6063,42.0204,42.0284,16472.22599708,0
IGSB.US,D,20070302,000000,42.2715,42.2715,42.2346,42.2715,3102.1538144747,0
IGSB.US,D,20070305,000000,42.3073,42.3153,42.3073,42.3153,6438.1484050001,0
IGSB.US,D,20070306,000000,42.2904,42.2944,42.2306,42.2804,35073.105582157,0
IGSB.US,D,20070307,000000,42.3014,42.3402,42.2984,42.3402,10505.773578105,0
IGSB.US,D,20070308,000000,42.2535,42.2535,42.2485,42.2535,4287.4154304225,0
IGSB.US,D,20070309,000000,42.1987,42.2575,42.1987,42.2485,22203.834031524,0
IGSB.US,D,20070312,000000,42.2904,42.2904,42.2306,42.2306,8115.1781765909,0
IGSB.US,D,20070313,000000,42.3073,42.3223,42.2665,42.2715,16472.22599708,0
IGSB.US,D,20070314,000000,42.3342,42.3372,42.3073,42.3372,5022.0568384444,0
IGSB.US,D,20070315,000000,42.3312,42.3342,42.2904,42.2944,35544.801568182,0
IGSB.US,D,20070316,000000,42.3153,42.3153,42.2984,42.2984,9294.4181416533,0
IGSB.US,D,20070319,000000,42.2904,42.2944,42.2814,42.2944,6438.1484050001,0
