<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IHYF.US,D,20201209,000000,24.4128,24.4128,24.3683,24.3683,433.29041258189,0
IHYF.US,D,20210113,000000,24.6159,24.6337,24.6159,24.6197,562.57053568325,0
IHYF.US,D,20210114,000000,24.6931,24.6931,24.6584,24.6584,142.41013560384,0
IHYF.US,D,20210115,000000,24.6931,24.6931,24.6584,24.6584,114.13010867542,0
IHYF.US,D,20210119,000000,24.7208,24.7208,24.7029,24.7029,123.22011733098,0
IHYF.US,D,20210120,000000,24.7604,24.7703,24.7604,24.7703,212.10020196316,0
IHYF.US,D,20210121,000000,24.7604,24.7604,24.7257,24.7257,132.31012598654,0
IHYF.US,D,20210122,000000,24.6545,24.7208,24.6545,24.7019,423.1904029646,0
IHYF.US,D,20210125,000000,24.7208,24.7208,24.699,24.699,256.54024427925,0
IHYF.US,D,20210126,000000,24.7119,24.7119,24.6792,24.6792,135.34012887173,0
IHYF.US,D,20210127,000000,24.6445,24.6445,24.5733,24.5733,141.40013464211,0
IHYF.US,D,20210128,000000,24.7208,24.7208,24.6395,24.6395,309.06029428918,0
IHYF.US,D,20210129,000000,24.6445,24.6445,24.6386,24.6386,115.14010963715,0
IHYF.US,D,20210201,000000,24.6743,24.7208,24.6743,24.7079,374.71035680159,0
IHYF.US,D,20210202,000000,24.7168,24.7406,24.7079,24.7079,534.29050875483,0
IHYF.US,D,20210204,000000,24.7703,24.7703,24.7653,24.7653,371.6803539164,0
IHYF.US,D,20210205,000000,24.8198,24.8198,24.7851,24.7851,309.06029428918,0
IHYF.US,D,20210208,000000,24.8099,24.8485,24.8099,24.8287,490.86046740046,0
IHYF.US,D,20210209,000000,24.8099,24.8683,24.8099,24.8336,408.04038853866,0
IHYF.US,D,20210210,000000,24.8386,24.8386,24.8287,24.8287,8062.8376774854,0
IHYF.US,D,20210211,000000,24.8485,24.8634,24.8485,24.8634,8199.1878073189,0
IHYF.US,D,20210212,000000,24.907,24.9108,24.907,24.9108,8067.887682294,0
IHYF.US,D,20210218,000000,24.8485,24.8683,24.8485,24.8683,8080.0076938348,0
IHYF.US,D,20210219,000000,24.8584,24.8584,24.8485,24.8485,8064.8576794089,0
IHYF.US,D,20210222,000000,24.8198,24.8238,24.8198,24.8238,1368.5513031433,0
IHYF.US,D,20210223,000000,24.8287,24.8683,24.8287,24.8683,498.9404750943,0
IHYF.US,D,20210224,000000,24.8198,24.8584,24.8198,24.8584,1247.3511877357,0
IHYF.US,D,20210226,000000,24.7208,24.7208,24.7168,24.7168,9991.9395143885,0
IHYF.US,D,20210301,000000,24.8099,24.8198,24.7653,24.7653,10770.650255882,0
IHYF.US,D,20210302,000000,24.7604,24.8,24.7604,24.7752,266632.17388885,0
IHYF.US,D,20210303,000000,24.7604,24.7604,24.7554,24.7554,8223.4278304004,0
IHYF.US,D,20210304,000000,24.6337,24.7069,24.6337,24.7069,5669.1353981868,0
IHYF.US,D,20210305,000000,24.7703,24.7703,24.6337,24.7168,11945.281374373,0
IHYF.US,D,20210308,000000,24.7307,24.7307,24.6317,24.6317,892.84085016875,0
IHYF.US,D,20210310,000000,24.6931,24.6931,24.6782,24.6782,690.84065782288,0
IHYF.US,D,20210312,000000,24.7505,24.7505,24.7307,24.7307,6603.3862877865,0
IHYF.US,D,20210316,000000,24.7168,24.7168,24.698,24.698,8110.3077226867,0
IHYF.US,D,20210317,000000,24.6931,24.7019,24.6931,24.7019,762.55072610566,0
IHYF.US,D,20210318,000000,24.6159,24.6247,24.5821,24.5821,5363.1051067828,0
IHYF.US,D,20210319,000000,24.6247,24.6535,24.5773,24.6109,4412.6942017955,0
IHYF.US,D,20210322,000000,24.5861,24.5861,24.5673,24.5723,380.77036257196,0
IHYF.US,D,20210323,000000,24.5773,24.5773,24.5693,24.5693,106.05010098158,0
IHYF.US,D,20210324,000000,24.6197,24.6197,24.6197,24.6197,159.58015195324,0
IHYF.US,D,20210325,000000,24.6386,24.7119,24.6247,24.7119,1219.0711608073,0
IHYF.US,D,20210326,000000,24.7208,24.7218,24.701,24.7218,9372.8089248484,0
IHYF.US,D,20210329,000000,24.6782,24.6782,24.6782,24.6782,109.08010386677,0
IHYF.US,D,20210330,000000,24.6723,24.6733,24.6257,24.6485,158749.9311627,0
IHYF.US,D,20210401,000000,24.7792,24.7901,24.7653,24.7653,1772.551687835,0
IHYF.US,D,20210405,000000,24.8,24.8287,24.8,24.8148,1038.2809886578,0
IHYF.US,D,20210406,000000,24.7703,24.7901,24.7703,24.7901,469.65044720415,0
IHYF.US,D,20210407,000000,24.8485,24.8683,24.8099,24.8683,2616.9124918407,0
