<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IJT.US,D,20050225,000000,24.5393,24.8747,24.4715,24.8747,274796.52549226,0
IJT.US,D,20050228,000000,24.8018,24.8987,24.5493,24.733,271272.83802473,0
IJT.US,D,20050301,000000,24.737,24.9116,24.71,24.8847,197617.04960767,0
IJT.US,D,20050302,000000,24.8428,25.0963,24.7889,24.9286,287599.82436844,0
IJT.US,D,20050303,000000,25.0434,25.0474,24.723,24.8707,127031.08729255,0
IJT.US,D,20050304,000000,24.9825,25.224,24.9156,25.1731,286714.14346958,0
IJT.US,D,20050307,000000,25.255,25.3149,25.1242,25.2061,241720.75228626,0
IJT.US,D,20050308,000000,25.2111,25.22,24.9026,24.9286,203340.91270178,0
IJT.US,D,20050309,000000,24.8517,24.9156,24.6032,24.6032,321117.4361224,0
IJT.US,D,20050310,000000,24.6032,24.6212,24.3018,24.3796,353756.38028779,0
IJT.US,D,20050311,000000,24.4615,24.6581,24.3796,24.4435,185703.43923622,0
IJT.US,D,20050314,000000,24.4755,24.5753,24.4256,24.5164,281418.09230286,0
IJT.US,D,20050315,000000,24.6032,24.737,24.4066,24.4535,254952.8649913,0
IJT.US,D,20050316,000000,24.3337,24.4475,24.2589,24.3108,270388.15902734,0
IJT.US,D,20050317,000000,24.2988,24.4535,24.203,24.2818,532400.42177133,0
IJT.US,D,20050318,000000,24.3796,24.3936,24.185,24.3108,271712.67276975,0
IJT.US,D,20050321,000000,24.3198,24.3198,24.0722,24.211,116450.00587527,0
IJT.US,D,20050322,000000,24.2349,24.5453,24.1531,24.1531,198484.69628008,0
IJT.US,D,20050323,000000,24.1211,24.1211,23.7888,23.8147,546956.04631732,0
IJT.US,D,20050324,000000,23.8816,24.0992,23.8816,23.9375,278774.07432538,0
IJT.US,D,20050328,000000,24.0034,24.0433,23.8816,23.9734,218789.23145692,0
IJT.US,D,20050329,000000,23.8536,24.1211,23.4774,23.5013,686787.42678164,0
IJT.US,D,20050330,000000,23.681,23.9095,23.654,23.8636,234219.51598561,0
IJT.US,D,20050331,000000,23.9185,23.9594,23.7888,23.8816,203787.76075709,0
IJT.US,D,20050401,000000,24.0373,24.1211,23.6959,23.8536,1514710.7097406,0
IJT.US,D,20050404,000000,23.8576,23.9694,23.6131,23.8956,207308.44252021,0
IJT.US,D,20050405,000000,24.0403,24.0722,23.9554,23.9854,213929.00742934,0
IJT.US,D,20050406,000000,24.0772,24.2619,24.0403,24.0533,273912.84839633,0
IJT.US,D,20050407,000000,23.9644,24.189,23.9644,24.0722,130558.78236595,0
IJT.US,D,20050408,000000,24.171,24.171,23.7658,23.7928,463144.98460743,0
