<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMCV.US,D,20050225,000000,17.5663,17.6078,17.5633,17.6078,2350.5596064567,0
IMCV.US,D,20050228,000000,17.6177,17.6255,17.4941,17.5801,15254.363160319,0
IMCV.US,D,20050301,000000,17.6622,17.7027,17.6305,17.7027,7429.9530417518,0
IMCV.US,D,20050302,000000,17.585,17.7214,17.585,17.6899,8209.7643397631,0
IMCV.US,D,20050303,000000,17.6622,17.7353,17.6622,17.7353,7429.9530417518,0
IMCV.US,D,20050304,000000,17.7758,17.9429,17.7758,17.9429,12516.426475862,0
IMCV.US,D,20050307,000000,18.024,18.0398,18.0013,18.0013,15640.728809917,0
IMCV.US,D,20050308,000000,17.9973,17.9973,17.8925,17.9578,43811.032664923,0
IMCV.US,D,20050309,000000,17.8955,17.8955,17.7788,17.7926,39502.34767202,0
IMCV.US,D,20050310,000000,17.7501,17.7501,17.5988,17.7244,22301.996266081,0
IMCV.US,D,20050311,000000,17.7501,17.8263,17.7195,17.7195,22678.247631658,0
IMCV.US,D,20050314,000000,17.7669,17.8628,17.7669,17.8628,15254.363160319,0
IMCV.US,D,20050315,000000,17.9212,17.9212,17.7848,17.7926,4294.5249952734,0
IMCV.US,D,20050316,000000,17.6997,17.7353,17.5761,17.588,12121.969399047,0
IMCV.US,D,20050317,000000,17.591,17.675,17.591,17.675,17219.56854558,0
IMCV.US,D,20050318,000000,17.6869,17.6869,17.5237,17.5445,18392.825492004,0
IMCV.US,D,20050321,000000,17.5139,17.5445,17.4782,17.5316,11729.535179036,0
IMCV.US,D,20050322,000000,17.5959,17.6385,17.408,17.408,15254.363160319,0
IMCV.US,D,20050323,000000,17.2805,17.3428,17.2805,17.3141,3919.2850580981,0
IMCV.US,D,20050324,000000,17.419,17.4337,17.3823,17.4209,30113.25781542,0
IMCV.US,D,20050328,000000,17.3092,17.3092,17.2567,17.2834,23849.481721278,0
IMCV.US,D,20050329,000000,17.3062,17.3191,17.063,17.063,16819.042898352,0
IMCV.US,D,20050330,000000,17.1955,17.2489,17.1846,17.2133,205344.23990589,0
IMCV.US,D,20050331,000000,17.3556,17.4417,17.3556,17.4002,7429.9530417518,0
IMCV.US,D,20050401,000000,17.5474,17.5781,17.3428,17.3556,44587.809677727,0
IMCV.US,D,20050404,000000,17.327,17.3636,17.2993,17.3636,21132.785033265,0
IMCV.US,D,20050405,000000,17.4209,17.4812,17.4209,17.4447,15254.363160319,0
IMCV.US,D,20050406,000000,17.5089,17.5524,17.499,17.5406,53587.499599523,0
IMCV.US,D,20050407,000000,17.5316,17.5831,17.5316,17.5831,1561.6454528267,0
IMCV.US,D,20050408,000000,17.5801,17.5801,17.4734,17.4734,12897.73498345,0
IMCV.US,D,20050411,000000,17.4862,17.4862,17.4051,17.4575,10167.889726209,0
IMCV.US,D,20050412,000000,17.3735,17.6127,17.3606,17.585,15640.728809917,0
