<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INDY.US,D,20091120,000000,22.2,22.2,21.933,22.058,11697,0
INDY.US,D,20091123,000000,22.574,22.679,22.413,22.441,23432,0
INDY.US,D,20091124,000000,22.521,22.574,22.184,22.264,53721,0
INDY.US,D,20091125,000000,22.503,22.564,22.326,22.555,39019,0
INDY.US,D,20091127,000000,21.685,21.933,21.607,21.834,39926,0
INDY.US,D,20091130,000000,22.21,22.564,21.987,22.156,37173,0
INDY.US,D,20091201,000000,22.645,22.743,22.582,22.698,49168,0
INDY.US,D,20091202,000000,22.724,22.724,22.582,22.661,19588,0
INDY.US,D,20091203,000000,22.876,22.876,22.468,22.478,29496,0
INDY.US,D,20091204,000000,22.831,22.92,22.468,22.743,32498,0
INDY.US,D,20091207,000000,22.422,22.422,22.112,22.156,24282,0
INDY.US,D,20091208,000000,22.272,22.282,22.121,22.174,8764,0
INDY.US,D,20091209,000000,22.264,22.413,22.219,22.413,20176,0
INDY.US,D,20091210,000000,22.564,22.652,22.468,22.512,162247,0
INDY.US,D,20091211,000000,22.503,22.503,22.21,22.298,40189,0
INDY.US,D,20091214,000000,22.317,22.317,22.165,22.272,136666,0
INDY.US,D,20091215,000000,22.058,22.058,21.888,21.941,35868,0
INDY.US,D,20091216,000000,22.005,22.121,21.987,22.005,15122,0
INDY.US,D,20091217,000000,21.959,21.959,21.633,21.649,25244,0
INDY.US,D,20091218,000000,21.58,21.589,21.401,21.562,41025,0
INDY.US,D,20091221,000000,21.617,21.633,21.535,21.571,81374,0
INDY.US,D,20091222,000000,21.658,21.781,21.633,21.649,28558,0
INDY.US,D,20091223,000000,22.38,22.38,22.058,22.21,71050,0
INDY.US,D,20091224,000000,22.388,22.468,22.388,22.404,5185,0
INDY.US,D,20091228,000000,22.733,22.733,22.503,22.555,31995,0
INDY.US,D,20091229,000000,22.645,22.823,22.45,22.549,16242,0
INDY.US,D,20091230,000000,22.679,22.679,22.468,22.564,16101,0
INDY.US,D,20091231,000000,22.733,22.733,22.485,22.485,18410,0
INDY.US,D,20100104,000000,23.003,23.242,23.003,23.214,38595,0
INDY.US,D,20100105,000000,23.455,23.455,23.214,23.365,60504,0
INDY.US,D,20100106,000000,23.702,23.702,23.463,23.524,109862,0
INDY.US,D,20100107,000000,23.648,23.648,23.507,23.596,49784,0
INDY.US,D,20100108,000000,23.409,23.524,23.33,23.49,25327,0
INDY.US,D,20100111,000000,23.648,23.648,23.409,23.516,96280,0
INDY.US,D,20100112,000000,23.269,23.356,23.09,23.098,53630,0
INDY.US,D,20100113,000000,23.463,23.507,23.214,23.48,32580,0
INDY.US,D,20100114,000000,23.63,23.63,23.455,23.543,56980,0
INDY.US,D,20100115,000000,23.674,23.674,23.116,23.16,23119,0
INDY.US,D,20100119,000000,23.365,23.569,23.206,23.533,61828,0
INDY.US,D,20100120,000000,23.374,23.374,22.858,22.966,53031,0
INDY.US,D,20100121,000000,22.769,22.769,22.093,22.093,150007,0
INDY.US,D,20100122,000000,22.102,22.102,21.677,21.713,33710,0
INDY.US,D,20100125,000000,22.272,22.272,21.844,21.978,46319,0
INDY.US,D,20100126,000000,21.844,21.844,21.482,21.598,41230,0
INDY.US,D,20100127,000000,21.474,21.474,20.966,21.231,114100,0
INDY.US,D,20100128,000000,21.375,21.375,20.805,20.974,54624,0
INDY.US,D,20100129,000000,21.466,21.562,21.107,21.116,41550,0
INDY.US,D,20100201,000000,21.338,21.589,21.338,21.589,108413,0
INDY.US,D,20100202,000000,21.392,21.517,21.241,21.499,19631,0
INDY.US,D,20100203,000000,21.58,21.817,21.58,21.73,50387,0
INDY.US,D,20100204,000000,21.438,21.438,20.645,20.7,36547,0
INDY.US,D,20100205,000000,20.61,20.619,19.996,20.333,61513,0
INDY.US,D,20100208,000000,20.61,20.681,20.44,20.485,138584,0
INDY.US,D,20100209,000000,20.866,21.061,20.735,20.929,35381,0
INDY.US,D,20100210,000000,20.84,20.858,20.593,20.795,29113,0
INDY.US,D,20100211,000000,21.017,21.302,20.938,21.241,27352,0
INDY.US,D,20100212,000000,21.034,21.152,20.966,21.152,26268,0
INDY.US,D,20100216,000000,21.499,21.571,21.231,21.571,21874,0
INDY.US,D,20100217,000000,21.799,21.799,21.607,21.685,24023,0
INDY.US,D,20100218,000000,21.571,21.763,21.543,21.763,26624,0
INDY.US,D,20100219,000000,21.401,21.639,21.401,21.58,22020,0
INDY.US,D,20100222,000000,21.649,21.649,21.356,21.366,26506,0
INDY.US,D,20100223,000000,21.375,21.42,21.044,21.052,21381,0
INDY.US,D,20100224,000000,21.274,21.552,21.274,21.509,7509,0
INDY.US,D,20100225,000000,21.098,21.32,21.061,21.32,11287,0
INDY.US,D,20100226,000000,21.817,21.817,21.509,21.757,19495,0
INDY.US,D,20100301,000000,21.987,22.076,21.888,22.058,60336,0
INDY.US,D,20100302,000000,22.254,22.485,22.254,22.485,28943,0
INDY.US,D,20100303,000000,22.698,22.724,22.549,22.617,74109,0
INDY.US,D,20100304,000000,22.733,22.733,22.459,22.635,107472,0
INDY.US,D,20100305,000000,22.957,23.108,22.85,23.108,46468,0
INDY.US,D,20100308,000000,23.098,23.098,22.939,23.02,27030,0
INDY.US,D,20100309,000000,22.92,23.012,22.823,22.894,35336,0
INDY.US,D,20100310,000000,22.985,23.168,22.985,23.098,30590,0
INDY.US,D,20100311,000000,23.143,23.143,22.886,23.02,33864,0
INDY.US,D,20100312,000000,23.233,23.233,22.948,22.985,21658,0
INDY.US,D,20100315,000000,22.886,22.985,22.769,22.92,13160,0
INDY.US,D,20100316,000000,23.314,23.33,23.206,23.322,27231,0
INDY.US,D,20100317,000000,23.543,23.702,23.48,23.578,17673,0
INDY.US,D,20100318,000000,23.674,23.674,23.418,23.472,26288,0
INDY.US,D,20100319,000000,23.702,23.702,23.108,23.214,52383,0
INDY.US,D,20100322,000000,23.187,23.418,23.108,23.365,78773,0
INDY.US,D,20100323,000000,23.314,23.455,23.196,23.455,18014,0
INDY.US,D,20100324,000000,23.507,23.507,23.196,23.269,45185,0
INDY.US,D,20100325,000000,23.347,23.729,23.33,23.33,27066,0
INDY.US,D,20100326,000000,23.765,23.773,23.455,23.621,94026,0
INDY.US,D,20100329,000000,23.909,24.068,23.871,24.059,25269,0
INDY.US,D,20100330,000000,23.818,23.926,23.738,23.917,36285,0
INDY.US,D,20100331,000000,23.809,23.864,23.666,23.79,43373,0
INDY.US,D,20100401,000000,24.078,24.189,24.007,24.157,49473,0
INDY.US,D,20100405,000000,24.705,24.833,24.555,24.796,65799,0
INDY.US,D,20100406,000000,24.697,24.868,24.6,24.779,49735,0
INDY.US,D,20100407,000000,24.714,24.714,24.351,24.421,41759,0
INDY.US,D,20100408,000000,24.288,24.404,24.113,24.404,40812,0
INDY.US,D,20100409,000000,24.573,24.742,24.546,24.742,34718,0
INDY.US,D,20100412,000000,24.583,24.583,24.431,24.512,59252,0
INDY.US,D,20100413,000000,24.564,24.564,24.207,24.395,44946,0
INDY.US,D,20100414,000000,24.617,24.769,24.512,24.769,200514,0
INDY.US,D,20100415,000000,24.333,24.333,24.166,24.207,135383,0
INDY.US,D,20100416,000000,24.644,24.644,23.552,23.712,155871,0
INDY.US,D,20100419,000000,23.588,23.899,23.588,23.89,89630,0
INDY.US,D,20100420,000000,24.148,24.148,23.943,24.123,19754,0
INDY.US,D,20100421,000000,24.157,24.157,23.855,23.979,31829,0
INDY.US,D,20100422,000000,23.988,24.278,23.845,24.278,155088,0
INDY.US,D,20100423,000000,24.278,24.475,24.207,24.458,22093,0
INDY.US,D,20100426,000000,24.493,24.493,24.324,24.324,25355,0
INDY.US,D,20100427,000000,24.431,24.431,23.674,23.721,180415,0
INDY.US,D,20100428,000000,23.827,23.935,23.721,23.809,36176,0
INDY.US,D,20100429,000000,24.041,24.235,23.979,24.181,26629,0
INDY.US,D,20100430,000000,24.181,24.181,23.721,23.721,42926,0
INDY.US,D,20100503,000000,24.068,24.068,23.818,23.961,42762,0
INDY.US,D,20100504,000000,23.499,23.499,22.823,22.948,122239,0
INDY.US,D,20100505,000000,22.743,23.047,22.652,22.743,89042,0
INDY.US,D,20100506,000000,22.652,22.705,18.956,21.817,283012,0
INDY.US,D,20100507,000000,21.817,22.298,21.667,21.926,181303,0
INDY.US,D,20100510,000000,23.233,24.877,23.233,24.877,47573,0
INDY.US,D,20100511,000000,23.845,23.845,22.966,23.252,144333,0
INDY.US,D,20100512,000000,23.269,23.472,23.26,23.463,70447,0
INDY.US,D,20100513,000000,23.374,23.436,23.098,23.125,44407,0
INDY.US,D,20100514,000000,22.841,22.841,22.326,22.422,120645,0
INDY.US,D,20100517,000000,22.388,22.549,22.049,22.468,42101,0
INDY.US,D,20100518,000000,22.778,22.778,22.121,22.191,19042,0
INDY.US,D,20100519,000000,21.773,21.844,21.356,21.721,49266,0
INDY.US,D,20100520,000000,21.205,21.223,20.831,20.938,49902,0
INDY.US,D,20100521,000000,20.744,21.617,20.744,21.517,85814,0
INDY.US,D,20100524,000000,21.328,21.517,21.231,21.231,40514,0
INDY.US,D,20100525,000000,20.457,20.938,20.378,20.912,37384,0
INDY.US,D,20100526,000000,21.231,21.338,20.744,20.947,64984,0
INDY.US,D,20100527,000000,21.639,21.917,21.429,21.817,79417,0
INDY.US,D,20100528,000000,22.238,22.238,21.721,21.844,44121,0
INDY.US,D,20100601,000000,21.649,21.807,21.284,21.312,70649,0
INDY.US,D,20100602,000000,21.763,22.102,21.598,22.102,67818,0
INDY.US,D,20100603,000000,22.335,22.335,21.978,22.112,26523,0
INDY.US,D,20100604,000000,21.799,21.881,21.383,21.499,45498,0
INDY.US,D,20100607,000000,21.834,21.834,21.366,21.411,47116,0
INDY.US,D,20100608,000000,21.694,21.79,21.356,21.79,22129,0
INDY.US,D,20100609,000000,21.79,22.085,21.589,21.633,50257,0
INDY.US,D,20100610,000000,22.29,22.45,22.156,22.388,81876,0
INDY.US,D,20100611,000000,22.102,22.395,22.031,22.388,76445,0
INDY.US,D,20100614,000000,22.886,23.072,22.67,22.698,54101,0
INDY.US,D,20100615,000000,22.985,23.26,22.805,23.168,90267,0
INDY.US,D,20100616,000000,23.028,23.178,22.831,23.143,39322,0
INDY.US,D,20100617,000000,23.392,23.392,23.012,23.252,110811,0
INDY.US,D,20100618,000000,23.338,23.338,23.168,23.178,16571,0
INDY.US,D,20100621,000000,23.79,23.899,23.48,23.569,66474,0
INDY.US,D,20100622,000000,23.639,23.639,23.098,23.116,44998,0
INDY.US,D,20100623,000000,23.322,23.356,23.063,23.295,39001,0
INDY.US,D,20100624,000000,23.365,23.365,23.012,23.143,537277,0
INDY.US,D,20100625,000000,23.028,23.401,23.028,23.365,94972,0
INDY.US,D,20100628,000000,23.516,23.524,23.269,23.436,21884,0
INDY.US,D,20100629,000000,23.055,23.055,22.582,22.661,72707,0
INDY.US,D,20100630,000000,23.185,23.276,22.908,22.908,41218,0
INDY.US,D,20100701,000000,22.929,23.02,22.635,22.957,141089,0
INDY.US,D,20100702,000000,22.778,22.894,22.652,22.858,55491,0
INDY.US,D,20100706,000000,23.16,23.26,22.831,22.985,104896,0
INDY.US,D,20100707,000000,22.886,23.187,22.831,23.187,53812,0
INDY.US,D,20100708,000000,23.338,23.338,23.012,23.242,80733,0
INDY.US,D,20100709,000000,23.26,23.552,23.26,23.552,28558,0
INDY.US,D,20100712,000000,23.588,23.588,23.436,23.499,22800,0
INDY.US,D,20100713,000000,23.648,23.781,23.561,23.738,96725,0
INDY.US,D,20100714,000000,23.507,23.516,23.392,23.48,8248,0
INDY.US,D,20100715,000000,23.374,23.524,23.214,23.455,19480,0
INDY.US,D,20100716,000000,23.392,23.392,23.012,23.028,48982,0
INDY.US,D,20100719,000000,23.305,23.33,23.098,23.295,27919,0
INDY.US,D,20100720,000000,23.134,23.356,23.012,23.305,80603,0
INDY.US,D,20100721,000000,23.347,23.347,22.957,23.028,32767,0
INDY.US,D,20100722,000000,23.314,23.747,23.314,23.666,32382,0
INDY.US,D,20100723,000000,23.524,23.738,23.463,23.684,13734,0
INDY.US,D,20100726,000000,23.613,23.621,23.472,23.588,31758,0
