<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPKW.US,D,20140303,000000,19.6948,20.4403,19.616,19.6305,89476.258174682,0
IPKW.US,D,20140304,000000,20.1026,20.1026,19.9362,19.9362,20997.569285357,0
IPKW.US,D,20140305,000000,20.0763,20.0763,19.9128,19.9537,30788.899734105,0
IPKW.US,D,20140306,000000,20.158,20.2135,20.0423,20.1094,97133.409450166,0
IPKW.US,D,20140307,000000,20.1259,20.1678,19.9274,19.9614,21972.694964428,0
IPKW.US,D,20140310,000000,20.0423,20.0695,19.7727,19.8097,23702.02743848,0
IPKW.US,D,20140311,000000,19.8107,19.8107,19.6081,19.6081,59592.612100494,0
IPKW.US,D,20140312,000000,19.436,19.507,19.436,19.4729,9034.0410646862,0
IPKW.US,D,20140313,000000,19.4914,19.4914,19.0729,19.0895,46904.675445951,0
IPKW.US,D,20140314,000000,19.0408,19.1605,18.9483,19.1206,5359.5948809603,0
IPKW.US,D,20140317,000000,19.2715,19.3104,19.214,19.2958,15104.686493504,0
IPKW.US,D,20140318,000000,19.3551,19.4029,19.2296,19.4029,47020.786301309,0
IPKW.US,D,20140319,000000,19.4204,19.4204,19.2344,19.2344,5968.9199891677,0
IPKW.US,D,20140320,000000,19.1284,19.1381,19.0953,19.1206,4012.5034528662,0
IPKW.US,D,20140321,000000,19.2598,19.2598,19.1206,19.1381,55422.896604532,0
IPKW.US,D,20140324,000000,19.2802,19.2802,19.1478,19.1848,27538.823313769,0
IPKW.US,D,20140325,000000,19.397,19.4057,19.2617,19.4019,5708.9549767285,0
IPKW.US,D,20140326,000000,19.4204,19.5459,19.4204,19.4661,35867.979008758,0
IPKW.US,D,20140327,000000,19.6462,19.6462,19.4437,19.5528,30574.146028178,0
IPKW.US,D,20140328,000000,19.6588,19.8593,19.6588,19.7901,19947.433938666,0
IPKW.US,D,20140331,000000,19.8554,19.8904,19.8204,19.8777,7848.2717984615,0
IPKW.US,D,20140401,000000,20.0248,20.0248,19.9274,19.9712,16299.70352697,0
