<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISHP.US,D,20161110,000000,19.0383,19.0403,19.0383,19.0403,741.36204756,0
ISHP.US,D,20161116,000000,19.8784,19.8784,19.3449,19.3449,915.15016982,0
ISHP.US,D,20161117,000000,20.0118,20.0118,19.3807,19.3887,1007.56928686,0
ISHP.US,D,20161118,000000,19.4355,19.4444,19.4355,19.4444,1698.70355342,0
ISHP.US,D,20161122,000000,19.9262,19.9262,19.9262,19.9262,473.14569702,0
ISHP.US,D,20161123,000000,20.0696,20.0785,20.0128,20.0128,544.46914604,0
ISHP.US,D,20161125,000000,20.7087,20.7087,19.9919,19.9919,754.42127062,0
ISHP.US,D,20161128,000000,19.8486,19.8486,19.8486,19.8486,640.90648556,0
ISHP.US,D,20161130,000000,19.6276,19.6276,19.6276,19.6276,212.96579144,0
ISHP.US,D,20161201,000000,19.6365,19.6365,19.6365,19.6365,915.15016982,0
ISHP.US,D,20161202,000000,19.6166,19.6565,19.6166,19.6166,317.43957592,0
ISHP.US,D,20161209,000000,21.0362,21.0362,20.2936,20.2936,1975.96090454,0
ISHP.US,D,20161215,000000,20.1243,20.1243,20.0407,20.0875,981.45084074,0
ISHP.US,D,20161219,000000,19.8217,19.8307,19.8127,19.8127,7222.7549078,0
ISHP.US,D,20161221,000000,19.8267,19.8745,19.8088,19.8088,530.40536736,0
ISHP.US,D,20161222,000000,19.1099,19.1179,19.1099,19.1179,212.96579144,0
ISHP.US,D,20161223,000000,19.1229,19.1229,19.1229,19.1229,212.96579144,0
ISHP.US,D,20170106,000000,18.5744,18.5843,18.5744,18.5843,316.4350203,0
ISHP.US,D,20170112,000000,18.2996,18.5087,18.2996,18.5087,577.6194815,0
ISHP.US,D,20170113,000000,18.5455,18.6212,18.5455,18.5644,816.70371906,0
ISHP.US,D,20170117,000000,18.7725,18.7725,18.66,18.66,9962.17808354,0
ISHP.US,D,20170118,000000,18.4221,18.5186,18.3842,18.4808,6891.2515532,0
ISHP.US,D,20170127,000000,17.8357,17.8686,17.8258,17.8258,16117.09036728,0
ISHP.US,D,20170209,000000,18.4679,18.6311,18.4679,18.6311,16905.66652898,0
ISHP.US,D,20170214,000000,18.6192,18.6192,18.6192,18.6192,280.27101798,0
ISHP.US,D,20170215,000000,18.7167,18.7347,18.6978,18.7347,727.29826888,0
ISHP.US,D,20170216,000000,18.7147,18.7147,18.6023,18.6122,6660.2037606,0
ISHP.US,D,20170221,000000,19.0154,19.0164,18.9148,18.9407,8056.5360724,0
ISHP.US,D,20170222,000000,18.8551,18.8551,18.8093,18.8093,701.17982276,0
ISHP.US,D,20170228,000000,18.7725,18.7725,18.6212,18.7725,21813.9252883,0
ISHP.US,D,20170303,000000,18.7147,18.7147,18.7098,18.7098,212.96579144,0
ISHP.US,D,20170307,000000,18.3763,18.3932,18.2907,18.2907,2719.33206334,0
ISHP.US,D,20170309,000000,18.3932,18.3932,18.3932,18.3932,101.46011762,0
ISHP.US,D,20170310,000000,18.442,18.4509,18.4121,18.4509,741.36204756,0
ISHP.US,D,20170315,000000,18.3335,18.3335,18.3335,18.3335,246.1161269,0
ISHP.US,D,20170317,000000,18.5346,18.5346,18.5346,18.5346,212.96579144,0
ISHP.US,D,20170330,000000,18.2658,18.6451,18.2658,18.6451,1253.68541376,0
ISHP.US,D,20170331,000000,18.648,18.656,18.648,18.656,420.90880478,0
ISHP.US,D,20170410,000000,18.657,18.657,18.657,18.657,528.39625612,0
ISHP.US,D,20170424,000000,18.8332,18.8442,18.8242,18.8242,634.87915184,0
ISHP.US,D,20170425,000000,18.8919,18.9108,18.8919,18.9108,2428.01093354,0
ISHP.US,D,20170501,000000,18.9477,18.9656,18.9477,18.9576,560.54203596,0
ISHP.US,D,20170510,000000,19.1667,19.1836,19.1667,19.1836,1055.78795662,0
ISHP.US,D,20170511,000000,19.091,19.1179,19.091,19.1179,6542.67075306,0
ISHP.US,D,20170515,000000,18.882,18.882,18.882,18.882,503.28236562,0
ISHP.US,D,20170516,000000,18.9477,18.9477,18.8442,18.8442,242.09790442,0
ISHP.US,D,20170517,000000,18.5734,18.5734,18.5734,18.5734,111.50567382,0
