<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISTB.US,D,20121025,000000,43.1659,43.1659,43.1659,43.1659,1162.213635254,0
ISTB.US,D,20121026,000000,43.1749,43.1749,43.1749,43.1749,585.12137249835,0
ISTB.US,D,20121031,000000,43.2098,43.2098,43.2098,43.2098,2551.249620739,0
ISTB.US,D,20121105,000000,43.2446,43.2576,43.2307,43.2307,13094.474351605,0
ISTB.US,D,20121106,000000,43.2128,43.2496,43.2128,43.2496,6768.5395130856,0
ISTB.US,D,20121109,000000,43.2526,43.2526,43.2526,43.2526,454.64833917968,0
ISTB.US,D,20121114,000000,43.2736,43.2736,43.2736,43.2736,2316.3981607654,0
ISTB.US,D,20121115,000000,43.2736,43.2776,43.2736,43.2736,613.22325659776,0
ISTB.US,D,20121116,000000,43.2904,43.2904,43.2904,43.2904,200.72774356719,0
ISTB.US,D,20121119,000000,43.2446,43.2446,43.2406,43.2406,1892.8626218386,0
ISTB.US,D,20121120,000000,43.2128,43.2128,43.1908,43.1908,6405.222297229,0
ISTB.US,D,20121126,000000,43.2606,43.2606,43.2606,43.2606,434.57556482296,0
ISTB.US,D,20121127,000000,43.2646,43.2646,43.2646,43.2646,1049.8060988564,0
ISTB.US,D,20121129,000000,43.2347,43.2904,43.2128,43.2168,64021.110172037,0
ISTB.US,D,20121204,000000,43.2128,43.2128,43.2048,43.2048,28991.108003409,0
ISTB.US,D,20121205,000000,43.5316,43.5316,43.2307,43.2347,1132.1044737189,0
ISTB.US,D,20121206,000000,43.1908,43.2257,43.1908,43.2257,2361.561903068,0
ISTB.US,D,20121210,000000,43.2307,43.2307,43.1799,43.1799,12335.723480921,0
ISTB.US,D,20121211,000000,43.2208,43.2208,43.1699,43.2128,2061.473926435,0
ISTB.US,D,20121212,000000,43.2208,43.2208,43.2048,43.2048,1386.0250693314,0
ISTB.US,D,20121213,000000,43.1659,43.1699,43.1659,43.1699,454.64833917968,0
ISTB.US,D,20121214,000000,43.156,43.2048,43.156,43.2048,7574.4614035079,0
ISTB.US,D,20121217,000000,43.1948,43.1948,43.1868,43.1868,1713.211291346,0
ISTB.US,D,20121218,000000,43.156,43.1699,43.156,43.156,3880.0672831537,0
ISTB.US,D,20121219,000000,43.14,43.152,43.14,43.152,2732.9082286673,0
ISTB.US,D,20121221,000000,43.14,43.148,43.14,43.148,1614.854696998,0
ISTB.US,D,20121224,000000,43.14,43.14,43.14,43.14,474.7211135364,0
ISTB.US,D,20121226,000000,43.1301,43.156,43.1301,43.147,7999.0005811525,0
ISTB.US,D,20121227,000000,43.144,43.1699,43.134,43.1699,14157.327753794,0
ISTB.US,D,20121228,000000,43.1789,43.1789,43.1789,43.1789,1042.7806278315,0
ISTB.US,D,20121231,000000,43.1898,43.1928,43.1729,43.1729,3720.4887270178,0
ISTB.US,D,20130103,000000,43.2696,43.2696,43.1699,43.1699,5106.5137963493,0
ISTB.US,D,20130104,000000,43.147,43.147,43.147,43.147,290.05158945459,0
ISTB.US,D,20130107,000000,43.152,43.156,43.144,43.147,16927.370615021,0
ISTB.US,D,20130108,000000,43.1121,43.1739,43.1121,43.1739,1691.1312395536,0
ISTB.US,D,20130109,000000,43.1649,43.2247,43.1649,43.2247,28072.778576589,0
ISTB.US,D,20130110,000000,43.1819,43.1819,43.1819,43.1819,543.97218506708,0
ISTB.US,D,20130114,000000,43.1898,43.1898,43.1829,43.1829,763.76906427315,0
ISTB.US,D,20130115,000000,43.147,43.1988,43.144,43.1739,46097.126310205,0
ISTB.US,D,20130116,000000,43.1649,43.1649,43.1649,43.1649,200.72774356719,0
ISTB.US,D,20130117,000000,43.1789,43.1829,43.1649,43.1649,68862.663346878,0
ISTB.US,D,20130118,000000,43.16,43.1868,43.16,43.1699,1276.6284490873,0
ISTB.US,D,20130122,000000,43.1699,43.1699,43.134,43.1649,3630.1612424126,0
ISTB.US,D,20130123,000000,43.162,43.1759,43.153,43.153,26439.85838267,0
ISTB.US,D,20130124,000000,43.144,43.1898,43.14,43.144,14607.961538102,0
ISTB.US,D,20130125,000000,43.14,43.14,43.0942,43.0942,15384.777905707,0
ISTB.US,D,20130128,000000,43.0892,43.1022,43.0892,43.0982,3855.9799539257,0
ISTB.US,D,20130130,000000,43.1061,43.1111,43.0982,43.1111,1490.4034959864,0
ISTB.US,D,20130131,000000,43.1141,43.2198,43.1141,43.1141,2438.8420843413,0
ISTB.US,D,20130201,000000,43.134,43.152,43.134,43.134,12207.257725039,0
ISTB.US,D,20130206,000000,43.162,43.1759,43.162,43.162,1154.1845255113,0
ISTB.US,D,20130207,000000,43.1659,43.1958,43.1659,43.1958,2788.1083581482,0
ISTB.US,D,20130208,000000,43.1829,43.1829,43.136,43.148,5895.3738285683,0
ISTB.US,D,20130211,000000,43.1779,43.1779,43.1779,43.1779,200.72774356719,0
ISTB.US,D,20130212,000000,43.1111,43.1649,43.1061,43.1649,4273.4936605454,0
ISTB.US,D,20130213,000000,43.0942,43.146,43.0942,43.14,7641.7051976029,0
ISTB.US,D,20130214,000000,43.156,43.1739,43.156,43.1739,7719.9890175941,0
ISTB.US,D,20130219,000000,43.1261,43.16,43.1111,43.1111,6160.334450077,0
ISTB.US,D,20130220,000000,43.162,43.1799,43.1181,43.1221,17029.741764241,0
ISTB.US,D,20130221,000000,43.144,43.2038,43.144,43.2038,520.88849455685,0
ISTB.US,D,20130222,000000,43.2088,43.2347,43.2048,43.2347,97401.130288543,0
ISTB.US,D,20130226,000000,43.2865,43.2954,42.7923,43.2297,39680.863987079,0
ISTB.US,D,20130227,000000,43.2954,43.2994,43.2954,43.2994,749.71812222345,0
ISTB.US,D,20130228,000000,43.146,43.2606,43.144,43.2606,46820.749825764,0
ISTB.US,D,20130301,000000,43.2696,43.2736,43.2606,43.2696,12352.785339125,0
ISTB.US,D,20130304,000000,43.1908,43.2696,43.1908,43.2606,4110.904188256,0
ISTB.US,D,20130305,000000,43.2606,43.2606,43.2496,43.2606,6614.9827892567,0
ISTB.US,D,20130306,000000,43.2446,43.2496,43.2277,43.2446,7996.9933037168,0
ISTB.US,D,20130307,000000,43.2227,43.2227,43.2227,43.2227,474.7211135364,0
