<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUS.US,D,20180913,000000,23.3515,23.3515,23.3515,23.3515,104.02968032158,0
IUS.US,D,20180918,000000,23.4446,23.5387,23.4446,23.5387,543.37833022339,0
IUS.US,D,20180919,000000,23.4882,23.4882,23.4882,23.4882,103.01968342525,0
IUS.US,D,20181002,000000,23.6011,23.6011,23.6011,23.6011,103.01968342525,0
IUS.US,D,20181011,000000,22.3694,22.3981,22.1208,22.3981,1520.0453289706,0
IUS.US,D,20181015,000000,22.3981,22.511,22.3882,22.511,649.42800433762,0
IUS.US,D,20181016,000000,22.6773,22.6773,22.6773,22.6773,325.21900061698,0
IUS.US,D,20181023,000000,22.2129,22.2129,21.9813,21.9813,217.14933271009,0
IUS.US,D,20181025,000000,22.0565,22.0565,22.0565,22.0565,217.14933271009,0
IUS.US,D,20181105,000000,22.2615,22.2615,22.2615,22.2615,320.16901613535,0
IUS.US,D,20181107,000000,22.5644,22.6862,22.5644,22.6802,649.42800433762,0
IUS.US,D,20181114,000000,22.1674,22.1674,22.1674,22.1674,103.01968342525,0
IUS.US,D,20181119,000000,22.1674,22.1674,22.1674,22.1674,103.01968342525,0
IUS.US,D,20181120,000000,21.6595,21.6595,21.6595,21.6595,103.01968342525,0
IUS.US,D,20181206,000000,21.8902,21.8902,21.6595,21.7416,1082.7166728615,0
IUS.US,D,20181217,000000,21.1941,21.1941,20.9624,20.9624,319.15901923902,0
IUS.US,D,20181231,000000,20.3397,20.3397,20.3397,20.3397,102.00968652893,0
IUS.US,D,20190103,000000,20.1802,20.1802,20.1802,20.1802,102.00968652893,0
IUS.US,D,20190107,000000,20.6485,20.6485,20.6485,20.6485,102.00968652893,0
IUS.US,D,20190109,000000,21.1159,21.1159,21.1159,21.1159,102.00968652893,0
IUS.US,D,20190111,000000,21.1159,21.1159,21.1159,21.1159,102.00968652893,0
IUS.US,D,20190115,000000,21.1159,21.1159,21.1159,21.1159,216.13933581377,0
IUS.US,D,20190117,000000,21.1159,21.1159,21.1159,21.1159,102.00968652893,0
IUS.US,D,20190123,000000,21.1159,21.1159,21.1159,21.1159,103.01968342525,0
IUS.US,D,20190208,000000,21.8595,21.8625,21.8595,21.8625,216.13933581377,0
IUS.US,D,20190219,000000,22.6229,22.6229,22.6229,22.6229,109.07966480321,0
IUS.US,D,20190220,000000,22.6139,22.6516,22.6139,22.6516,431.26867473121,0
IUS.US,D,20190311,000000,22.4169,22.4169,22.4169,22.4169,533.27836126013,0
IUS.US,D,20190415,000000,23.3189,23.409,23.3189,23.3921,803.9575294755,0
IUS.US,D,20190416,000000,23.4961,23.506,23.4961,23.506,1068.5767163129,0
IUS.US,D,20190417,000000,23.4189,23.4189,23.4189,23.4189,136.34958100401,0
IUS.US,D,20190430,000000,23.5337,23.5337,23.5337,23.5337,102.00968652893,0
IUS.US,D,20190501,000000,23.5971,23.7308,23.5971,23.7308,1854.3543016546,0
IUS.US,D,20190502,000000,23.506,23.5248,23.3387,23.409,51683.561178795,0
IUS.US,D,20190503,000000,23.5891,23.6604,23.5891,23.6604,681.74790502006,0
IUS.US,D,20190506,000000,23.2041,23.4773,23.2041,23.4773,1710.9347423763,0
IUS.US,D,20190507,000000,23.309,23.309,23.309,23.309,102.00968652893,0
IUS.US,D,20190508,000000,23.2812,23.2812,23.2812,23.2812,105.03967721791,0
IUS.US,D,20190509,000000,22.9595,22.9595,22.9595,22.9595,428.23868404223,0
IUS.US,D,20190510,000000,23.0644,23.1654,23.0644,23.1654,4193.5071135456,0
IUS.US,D,20190513,000000,22.8209,22.8397,22.5773,22.7367,48831.32994357,0
IUS.US,D,20190515,000000,22.8684,22.8684,22.8684,22.8684,102.00968652893,0
IUS.US,D,20190520,000000,22.8783,22.907,22.8783,22.907,1050.3967721791,0
IUS.US,D,20190521,000000,23.0526,23.0526,23.0526,23.0526,185.83942892399,0
IUS.US,D,20190523,000000,22.7545,22.7545,22.6149,22.6149,531.25836746748,0
IUS.US,D,20190524,000000,22.699,22.7743,22.699,22.7545,316.12902855004,0
IUS.US,D,20190528,000000,22.7743,22.7743,22.4842,22.4842,36664.907330427,0
IUS.US,D,20190529,000000,22.316,22.316,22.316,22.316,102.00968652893,0
IUS.US,D,20190530,000000,22.4664,22.4664,22.306,22.306,529.23837367483,0
IUS.US,D,20190531,000000,22.0902,22.0902,22.0902,22.0902,102.00968652893,0
IUS.US,D,20190605,000000,22.709,22.709,22.709,22.709,123.21962135177,0
IUS.US,D,20190610,000000,23.3456,23.3545,23.2327,23.2327,11242.275453005,0
IUS.US,D,20190612,000000,23.2139,23.2229,23.2139,23.2229,219.16932650274,0
IUS.US,D,20190613,000000,23.299,23.309,23.2812,23.2812,2279.5629950078,0
IUS.US,D,20190614,000000,23.2812,23.2812,23.2812,23.2812,107.05967101056,0
IUS.US,D,20190617,000000,23.3545,23.3545,23.3545,23.3545,428.23868404223,0
IUS.US,D,20190618,000000,23.5703,23.5703,23.5437,23.5437,215.12933891744,0
IUS.US,D,20190621,000000,23.8416,23.8416,23.8416,23.8416,102.00968652893,0
IUS.US,D,20190624,000000,23.8318,23.8318,23.6822,23.6822,2472.4724022061,0
IUS.US,D,20190625,000000,23.6139,23.6139,23.5505,23.5505,639.32803537436,0
IUS.US,D,20190626,000000,23.5693,23.5693,23.5505,23.5595,315.11903165372,0
IUS.US,D,20190627,000000,23.6139,23.6139,23.6139,23.6139,102.00968652893,0
IUS.US,D,20190701,000000,23.9833,23.9833,23.8892,23.8892,826.17746119468,0
IUS.US,D,20190702,000000,23.8604,23.8694,23.8604,23.8694,315.11903165372,0
IUS.US,D,20190705,000000,23.9258,24.0021,23.9258,23.9833,4576181.8076039,0
IUS.US,D,20190708,000000,23.9357,23.9545,23.9258,23.9545,30381.716638382,0
IUS.US,D,20190709,000000,23.911,23.911,23.8981,23.8981,8337.5243791712,0
IUS.US,D,20190710,000000,24.0832,24.0832,24.0021,24.0783,16183.180269832,0
IUS.US,D,20190711,000000,24.1149,24.1149,24.0298,24.0298,3961.2078273906,0
IUS.US,D,20190712,000000,24.2179,24.2278,24.2179,24.2278,5739.8123618207,0
