<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUSG.US,D,20050225,000000,16.7001,16.8843,16.6972,16.8843,22767.99519634,0
IUSG.US,D,20050228,000000,16.8544,16.8624,16.7001,16.7698,19981.410446397,0
IUSG.US,D,20050301,000000,16.7918,16.8923,16.7918,16.8574,8362.7689466363,0
IUSG.US,D,20050302,000000,16.7828,16.9668,16.7828,16.9052,16260.269685835,0
IUSG.US,D,20050303,000000,16.955,16.955,16.7698,16.8286,25322.448292032,0
IUSG.US,D,20050304,000000,16.9301,17.0107,16.9052,16.9938,39028.264882175,0
IUSG.US,D,20050307,000000,17.0007,17.131,17.0007,17.0545,45062.682993753,0
IUSG.US,D,20050308,000000,17.0863,17.0863,16.9052,16.9141,41817.864328926,0
IUSG.US,D,20050309,000000,16.9052,16.9301,16.7918,16.7918,10924.256334881,0
IUSG.US,D,20050310,000000,16.8325,16.8743,16.7559,16.7878,15563.874723084,0
IUSG.US,D,20050311,000000,16.8236,16.8286,16.6614,16.6903,10453.963632763,0
IUSG.US,D,20050314,000000,16.6942,16.7559,16.6614,16.7271,31595.027451477,0
IUSG.US,D,20050315,000000,16.7918,16.8325,16.6753,16.6753,29965.081377043,0
IUSG.US,D,20050316,000000,16.6176,16.6176,16.4574,16.4842,19510.112845343,0
IUSG.US,D,20050317,000000,16.4922,16.5659,16.4713,16.5429,30897.62758979,0
IUSG.US,D,20050318,000000,16.5529,16.5529,16.3827,16.3827,18591.635217702,0
IUSG.US,D,20050321,000000,16.4882,16.4882,16.3579,16.4295,70151.994732598,0
IUSG.US,D,20050322,000000,16.4614,16.4743,16.33,16.3439,6499.6863190151,0
IUSG.US,D,20050323,000000,16.2732,16.4056,16.2732,16.3737,68759.204807094,0
IUSG.US,D,20050324,000000,16.3489,16.4246,16.3131,16.336,22767.99519634,0
IUSG.US,D,20050328,000000,16.3827,16.4136,16.323,16.3399,36471.80198861,0
IUSG.US,D,20050329,000000,16.3489,16.4246,16.1867,16.2076,394681.09146528,0
IUSG.US,D,20050330,000000,16.2285,16.4246,16.2285,16.4246,122423.82269428,0
IUSG.US,D,20050331,000000,16.3659,16.4186,16.33,16.33,36471.80198861,0
IUSG.US,D,20050401,000000,16.4713,16.4713,16.1727,16.2145,95709.589375688,0
IUSG.US,D,20050404,000000,16.2037,16.2912,16.1727,16.2912,11150.358595515,0
IUSG.US,D,20050405,000000,16.3619,16.4186,16.336,16.4086,23464.390159091,0
IUSG.US,D,20050406,000000,16.4295,16.5061,16.3698,16.3698,17420.927957088,0
IUSG.US,D,20050407,000000,16.3777,16.5261,16.3777,16.5191,11847.758457203,0
IUSG.US,D,20050408,000000,16.5021,16.5061,16.3777,16.3867,98028.896120322,0
IUSG.US,D,20050411,000000,16.3737,16.3917,16.3131,16.3579,27184.526020717,0
IUSG.US,D,20050412,000000,16.3619,16.4614,16.1767,16.4524,45300.84404162,0
IUSG.US,D,20050413,000000,16.3659,16.4186,16.2365,16.2832,21836.453882529,0
IUSG.US,D,20050414,000000,16.2832,16.2832,16.0553,16.0553,36238.665435424,0
IUSG.US,D,20050415,000000,16.0155,16.0643,15.8473,15.9041,53199.349679755,0
IUSG.US,D,20050418,000000,15.9011,15.9478,15.8165,15.8902,426503.22607633,0
IUSG.US,D,20050419,000000,15.9817,16.0115,15.935,15.9977,39028.264882175,0
IUSG.US,D,20050420,000000,15.9578,16.0016,15.8215,15.8215,35545.285169481,0
IUSG.US,D,20050421,000000,15.9618,16.1399,15.909,16.115,49245.072366008,0
IUSG.US,D,20050422,000000,16.0932,16.0932,15.8802,15.8951,15563.874723084,0
IUSG.US,D,20050425,000000,16.0155,16.111,16.0155,16.0593,15335.762664578,0
IUSG.US,D,20050426,000000,16.0375,16.1638,15.9678,15.9678,229048.62431444,0
IUSG.US,D,20050427,000000,15.918,16.0514,15.8513,16.0016,17895.240254951,0
IUSG.US,D,20050428,000000,15.9618,15.9618,15.8423,15.8473,84318.055035498,0
IUSG.US,D,20050429,000000,15.8802,15.9817,15.7678,15.9817,23464.390159091,0
IUSG.US,D,20050502,000000,16.0832,16.0832,15.9857,16.0553,14171.08479758,0
IUSG.US,D,20050503,000000,16.0832,16.1817,16.0424,16.124,66901.146674155,0
IUSG.US,D,20050504,000000,16.1608,16.3061,16.1608,16.2912,86185.157258864,0
IUSG.US,D,20050505,000000,16.2832,16.3399,16.2076,16.2702,21138.049121906,0
IUSG.US,D,20050506,000000,16.3659,16.3659,16.2544,16.2544,66901.146674155,0
IUSG.US,D,20050509,000000,16.3091,16.3827,16.2912,16.3827,33912.324398238,0
IUSG.US,D,20050510,000000,16.3002,16.3399,16.1817,16.2076,21375.205270836,0
IUSG.US,D,20050511,000000,16.2454,16.3399,16.1499,16.3191,33912.324398238,0
IUSG.US,D,20050512,000000,16.3489,16.3659,16.2195,16.2315,22532.84884528,0
IUSG.US,D,20050513,000000,16.2454,16.3131,16.0792,16.2315,39489.513493868,0
IUSG.US,D,20050516,000000,16.1997,16.4056,16.1997,16.4056,23001.131749526,0
IUSG.US,D,20050517,000000,16.3399,16.4882,16.2962,16.4882,6044.4671009393,0
IUSG.US,D,20050518,000000,16.5349,16.7091,16.5349,16.7001,42515.264190614,0
IUSG.US,D,20050519,000000,16.7001,16.7609,16.6823,16.7519,29034.544962168,0
IUSG.US,D,20050520,000000,16.743,16.7519,16.6614,16.734,34613.743855671,0
IUSG.US,D,20050523,000000,16.7738,16.8574,16.747,16.7738,23698.531611214,0
IUSG.US,D,20050524,000000,16.8046,16.8495,16.734,16.8286,193974.63674601,0
IUSG.US,D,20050525,000000,16.7698,16.7698,16.6803,16.7181,587494.06504109,0
IUSG.US,D,20050526,000000,16.8286,16.8963,16.8086,16.8663,127299.59233248,0
IUSG.US,D,20050527,000000,16.8843,16.8963,16.8425,16.8693,32985.807579107,0
IUSG.US,D,20050531,000000,16.8544,16.8843,16.7698,16.7778,23229.243808033,0
IUSG.US,D,20050601,000000,16.8236,16.9938,16.7878,16.939,185609.8580015,0
IUSG.US,D,20050602,000000,16.9231,17.0007,16.9231,17.0007,17197.840393262,0
IUSG.US,D,20050603,000000,16.9798,16.9938,16.8365,16.8495,106629.82611482,0
IUSG.US,D,20050606,000000,16.8455,16.8923,16.8007,16.8923,200242.19141077,0
IUSG.US,D,20050607,000000,16.8923,17.0585,16.8923,16.8963,66674.039514584,0
IUSG.US,D,20050608,000000,16.948,16.948,16.8007,16.8186,238573.05643126,0
IUSG.US,D,20050609,000000,16.7918,16.9231,16.7519,16.9091,18591.635217702,0
IUSG.US,D,20050610,000000,16.8743,16.9091,16.7609,16.8146,24627.058228217,0
IUSG.US,D,20050613,000000,16.8574,16.948,16.8046,16.8624,16497.425834767,0
IUSG.US,D,20050614,000000,16.8495,16.955,16.8495,16.939,35772.392329051,0
IUSG.US,D,20050615,000000,16.959,16.9938,16.8286,16.948,18810.703185783,0
IUSG.US,D,20050616,000000,16.951,17.0196,16.951,17.0146,109411.38637009,0
IUSG.US,D,20050617,000000,17.1072,17.1122,17.0057,17.0683,55747.773381831,0
IUSG.US,D,20050620,000000,16.939,17.0585,16.939,17.0545,29034.544962168,0
IUSG.US,D,20050621,000000,16.9898,17.0335,16.9898,17.0196,9977.6415370286,0
IUSG.US,D,20050622,000000,17.1212,17.1212,16.9629,17.0196,46693.633967124,0
IUSG.US,D,20050623,000000,17.0236,17.0683,16.8455,16.8495,10676.046297652,0
IUSG.US,D,20050624,000000,16.8495,16.8624,16.6942,16.6942,65973.624956088,0
IUSG.US,D,20050627,000000,16.7091,16.7091,16.6664,16.6903,6044.4671009393,0
