<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUSV.US,D,20050225,000000,22.3737,22.6274,22.3737,22.6255,88759.727120846,0
IUSV.US,D,20050228,000000,22.597,22.6058,22.3717,22.4996,45147.294379418,0
IUSV.US,D,20050301,000000,22.5507,22.6166,22.5419,22.5999,62676.227456981,0
IUSV.US,D,20050302,000000,22.5124,22.6924,22.5124,22.5852,26075.367946577,0
IUSV.US,D,20050303,000000,22.6864,22.6864,22.5183,22.6471,23356.324978616,0
IUSV.US,D,20050304,000000,22.7533,22.9521,22.7533,22.8724,230837.09156558,0
IUSV.US,D,20050307,000000,22.9197,22.9865,22.9108,22.9108,724847.04848994,0
IUSV.US,D,20050308,000000,22.9108,22.9138,22.8251,22.8439,75128.936017911,0
IUSV.US,D,20050309,000000,22.7868,22.8045,22.5124,22.5124,66169.816496562,0
IUSV.US,D,20050310,000000,22.594,22.594,22.412,22.54,26852.963412181,0
IUSV.US,D,20050311,000000,22.6088,22.6088,22.414,22.4356,41258.300586738,0
IUSV.US,D,20050314,000000,22.5437,22.6344,22.5024,22.6225,47875.485529327,0
IUSV.US,D,20050315,000000,22.7003,22.7357,22.5104,22.5183,86020.354859667,0
IUSV.US,D,20050316,000000,22.3923,22.4012,22.2457,22.3116,64616.658494677,0
IUSV.US,D,20050317,000000,22.3324,22.412,22.3284,22.3983,65394.253960281,0
IUSV.US,D,20050318,000000,22.4316,22.4316,22.2653,22.3205,348017.17060575,0
IUSV.US,D,20050321,000000,22.3824,22.3824,22.2093,22.2939,34644.165038132,0
IUSV.US,D,20050322,000000,22.3166,22.408,22.0205,22.0205,42816.540911928,0
IUSV.US,D,20050323,000000,21.9841,22.0224,21.9151,21.9379,46708.58409859,0
IUSV.US,D,20050324,000000,21.8916,21.9379,21.8266,21.8975,45941.153279597,0
IUSV.US,D,20050328,000000,21.867,21.9151,21.8059,21.8059,465189.11792863,0
IUSV.US,D,20050329,000000,21.7726,21.9133,21.5856,21.5856,423920.65269528,0
IUSV.US,D,20050330,000000,21.7263,21.9408,21.7263,21.9408,42054.192416238,0
IUSV.US,D,20050331,000000,21.9919,22.046,21.9752,22.0135,57223.911015807,0
IUSV.US,D,20050401,000000,22.1149,22.2211,21.8385,21.9053,69676.619576735,0
IUSV.US,D,20050404,000000,21.9053,21.9859,21.8059,21.9339,56834.605050674,0
IUSV.US,D,20050405,000000,21.9919,22.046,21.9653,22.0047,110173.58813244,0
IUSV.US,D,20050406,000000,22.0746,22.1641,22.0657,22.0923,62288.95442117,0
IUSV.US,D,20050407,000000,22.1562,22.2005,22.1119,22.2005,106657.63687032,0
IUSV.US,D,20050408,000000,22.2153,22.2153,22.0047,22.0047,67344.849644585,0
IUSV.US,D,20050411,000000,22.0205,22.0322,21.9595,22.0135,30372.980532947,0
IUSV.US,D,20050412,000000,21.8916,22.1789,21.8315,22.1414,75523.324306347,0
IUSV.US,D,20050413,000000,22.0843,22.0843,21.8188,21.8462,58782.151340997,0
IUSV.US,D,20050414,000000,21.8355,21.8415,21.5226,21.5226,76304.985630595,0
IUSV.US,D,20050415,000000,21.4882,21.5856,21.1695,21.2138,178693.47092506,0
IUSV.US,D,20050418,000000,21.2138,21.3701,21.137,21.3485,473361.49380242,0
IUSV.US,D,20050419,000000,21.4449,21.5423,21.3997,21.5019,76683.110484457,0
IUSV.US,D,20050420,000000,21.5178,21.5178,21.2,21.2177,121846.66829844,0
IUSV.US,D,20050421,000000,21.3791,21.5659,21.2944,21.5394,209819.65177174,0
IUSV.US,D,20050422,000000,21.5452,21.5944,21.3278,21.4882,425091.61998466,0
IUSV.US,D,20050425,000000,21.5718,21.6938,21.5718,21.6732,74354.389946289,0
IUSV.US,D,20050426,000000,21.6849,21.7135,21.5148,21.5148,58782.151340997,0
IUSV.US,D,20050427,000000,21.4154,21.6495,21.3407,21.5807,43603.284559481,0
IUSV.US,D,20050428,000000,21.4764,21.4842,21.32,21.3357,173233.0227666,0
IUSV.US,D,20050429,000000,21.4065,21.5207,21.2,21.5148,64233.45131751,0
IUSV.US,D,20050502,000000,21.5915,21.6662,21.5079,21.6662,56446.315550203,0
IUSV.US,D,20050503,000000,21.6466,21.7185,21.5245,21.5245,76683.110484457,0
IUSV.US,D,20050504,000000,21.6849,21.8975,21.6849,21.8886,41651.672410515,0
IUSV.US,D,20050505,000000,21.8798,21.9417,21.7351,21.8827,358128.96105259,0
IUSV.US,D,20050506,000000,21.9339,21.9339,21.8217,21.8415,54888.075225012,0
IUSV.US,D,20050509,000000,21.8217,21.9417,21.7942,21.928,27253.450488585,0
IUSV.US,D,20050510,000000,21.8335,21.8522,21.6732,21.6908,52549.190040236,0
IUSV.US,D,20050511,000000,21.7755,21.8266,21.5944,21.8217,66563.188320339,0
IUSV.US,D,20050512,000000,21.8335,21.8385,21.4685,21.5079,118736.28643604,0
IUSV.US,D,20050513,000000,21.5049,21.5394,21.1675,21.2993,84468.213322443,0
