<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IXUS.US,D,20121025,000000,38.4492,38.4955,38.329,38.4955,612.2814322599,0
IXUS.US,D,20121026,000000,38.2759,38.2759,38.2759,38.2759,233.540181459,0
IXUS.US,D,20121031,000000,38.3379,38.4393,38.2128,38.2906,3670.6424172795,0
IXUS.US,D,20121101,000000,38.59,38.6688,38.5043,38.6619,2400.3869085612,0
IXUS.US,D,20121102,000000,38.6619,38.6619,38.4068,38.4068,3791.4740763822,0
IXUS.US,D,20121105,000000,38.3458,38.3704,38.3379,38.3704,936.1915100226,0
IXUS.US,D,20121107,000000,38.3379,38.3379,37.9361,38.1399,8721.2026893537,0
IXUS.US,D,20121108,000000,37.9361,37.9361,37.7598,37.7598,3789.4432921956,0
IXUS.US,D,20121109,000000,37.7056,37.8622,37.6524,37.8169,6883.3430004807,0
IXUS.US,D,20121112,000000,37.9558,37.9558,37.6653,37.6653,2283.6168178317,0
IXUS.US,D,20121113,000000,37.6653,37.6653,37.6653,37.6653,759.5132857884,0
IXUS.US,D,20121114,000000,37.4525,37.4525,37.16,37.16,4420.0017821349,0
IXUS.US,D,20121115,000000,37.1453,37.1453,37.1453,37.1453,380.7720349875,0
IXUS.US,D,20121116,000000,37.16,37.224,36.7178,37.1206,2405.4638690277,0
IXUS.US,D,20121119,000000,37.6436,37.8868,37.6436,37.879,3943.7828903772,0
IXUS.US,D,20121120,000000,37.8169,37.8484,37.68,37.8484,1786.0746921147,0
IXUS.US,D,20121126,000000,38.3379,38.5191,38.3379,38.5191,1391.087167821,0
IXUS.US,D,20121127,000000,38.5674,38.5674,38.4393,38.5674,5350.1009395977,0
IXUS.US,D,20121128,000000,38.1646,38.5674,38.1567,38.5674,1130.1313998429,0
IXUS.US,D,20121129,000000,38.9761,39.0194,38.8993,38.8993,3469.5947828061,0
IXUS.US,D,20121130,000000,39.0893,39.0893,39.0096,39.0194,2087.6461438248,0
IXUS.US,D,20121203,000000,39.176,39.2528,39.1671,39.1671,677.2665262311,0
IXUS.US,D,20121204,000000,39.2065,39.2065,38.9761,39.1356,9244.1296174032,0
IXUS.US,D,20121205,000000,39.2696,39.3966,39.1445,39.3966,8403.3849641508,0
IXUS.US,D,20121206,000000,39.3572,39.4045,39.1987,39.2065,4911.4515552921,0
IXUS.US,D,20121207,000000,39.4518,39.4774,39.239,39.435,25693.481528863,0
IXUS.US,D,20121210,000000,39.4695,39.498,39.3415,39.4695,4891.1437134261,0
IXUS.US,D,20121211,000000,39.7295,39.7531,39.634,39.634,1603.3041153207,0
IXUS.US,D,20121212,000000,39.8378,40.0604,39.8319,39.8319,2087.6461438248,0
IXUS.US,D,20121213,000000,39.759,39.8319,39.6024,39.6645,2884.7289370653,0
IXUS.US,D,20121214,000000,39.8083,40.0121,39.7295,39.8378,13445.822099479,0
IXUS.US,D,20121217,000000,39.7039,40.019,39.634,39.957,16880.893551113,0
IXUS.US,D,20121218,000000,40.0368,40.2731,40.0368,40.2731,4578.4029486897,0
IXUS.US,D,20121219,000000,40.5577,40.5577,40.345,40.345,53210.607257293,0
IXUS.US,D,20121220,000000,40.5036,40.5902,40.4238,40.5036,5745.0884638914,0
IXUS.US,D,20121221,000000,40.1057,40.2662,40.0289,40.2268,11069.804601157,0
IXUS.US,D,20121224,000000,40.2268,40.3834,40.1786,40.2967,10168.136422306,0
IXUS.US,D,20121226,000000,40.3036,40.5745,40.2662,40.4238,6324.8773491657,0
IXUS.US,D,20121227,000000,40.5272,40.5272,40.1943,40.4474,9550.7780295798,0
IXUS.US,D,20121228,000000,40.2731,40.4238,40.1146,40.1146,28493.932922185,0
IXUS.US,D,20121231,000000,40.2889,41.0245,40.2889,41.0245,28302.023816551,0
IXUS.US,D,20130102,000000,41.5317,41.5317,41.1841,41.3564,23235.217270984,0
IXUS.US,D,20130103,000000,41.1998,41.7523,40.9861,41.0787,26197.11600714,0
IXUS.US,D,20130104,000000,41.0157,41.2708,40.8985,41.2294,29386.462572195,0
IXUS.US,D,20130107,000000,41.0157,41.0876,40.8601,41.0334,82418.360821068,0
IXUS.US,D,20130108,000000,40.8266,40.9783,40.6533,40.7931,32283.37621438,0
IXUS.US,D,20130109,000000,40.992,41.061,40.865,41.0068,27329.27819117,0
IXUS.US,D,20130110,000000,41.3968,41.4845,41.2767,41.4677,15984.302332729,0
IXUS.US,D,20130111,000000,41.4677,41.4756,41.2767,41.4598,38458.990925831,0
IXUS.US,D,20130114,000000,41.388,41.4756,41.3427,41.4756,16831.139338541,0
IXUS.US,D,20130115,000000,41.2993,41.453,41.2708,41.4136,13714.901004203,0
IXUS.US,D,20130116,000000,41.1673,41.2993,41.1673,41.255,13302.651814323,0
IXUS.US,D,20130117,000000,41.5229,41.6017,41.4273,41.5938,37066.888365917,0
IXUS.US,D,20130118,000000,41.6017,41.6017,41.4057,41.4205,22325.425955387,0
IXUS.US,D,20130122,000000,41.5229,41.6017,41.2993,41.5061,17887.147115573,0
IXUS.US,D,20130123,000000,41.4598,41.5613,41.2924,41.4273,12780.740278367,0
IXUS.US,D,20130124,000000,41.5317,41.711,41.2067,41.4963,58317.014094499,0
IXUS.US,D,20130125,000000,41.6982,41.8459,41.5534,41.7612,124294.14614085,0
IXUS.US,D,20130128,000000,41.6805,41.6805,41.3161,41.3427,257179.52478312,0
IXUS.US,D,20130129,000000,41.6805,41.8459,41.6017,41.7986,67858.653595239,0
IXUS.US,D,20130130,000000,41.8311,41.8961,41.7051,41.7267,78468.485578131,0
IXUS.US,D,20130131,000000,41.7051,41.8154,41.646,41.6805,15257.281593926,0
IXUS.US,D,20130201,000000,41.8873,42.1,41.8311,42.0202,32309.776408806,0
IXUS.US,D,20130204,000000,41.7908,41.7908,41.2629,41.3801,29166.122487949,0
IXUS.US,D,20130205,000000,41.6391,41.6558,41.4598,41.5534,19844.823071455,0
